,date,open,low,high,close,volume
0,2020-01-06,84.0,83.6,84.82,84.82,1993200
1,2020-01-03,84.67,84.5,85.33,84.57,1118322
2,2020-01-02,85.9,85.2,86.35,85.95,1410500
3,2020-04-06,72.97,72.25,74.99,74.36,2312033
4,2020-04-03,71.71,69.66,72.33,70.42,2052649
5,2020-04-02,68.27,68.14,72.45,72.29,1840311
6,2020-04-01,69.47,68.15,70.23,68.92,2173600
7,2020-03-31,72.34,70.5,72.8,71.62,1822122
8,2020-03-30,71.06,71.06,73.18,72.67,1486203
9,2020-03-27,71.55,70.28,73.21,70.91,1829800
10,2020-03-26,70.0,69.65,74.45,73.72,3267500
11,2020-03-25,67.12,65.11,71.79,69.0,2628144
12,2020-03-24,65.53,64.6,68.18,67.0,2868917
13,2020-03-23,66.8,62.09,67.56,63.37,2989765
14,2020-03-20,65.99,64.96,71.0,66.46,3258446
15,2020-03-19,68.54,64.17,68.59,65.76,3430844
16,2020-03-18,65.19,65.18,69.88,68.87,4123900
17,2020-03-17,66.02,63.94,70.53,70.44,3341896
18,2020-03-16,63.41,61.13,66.62,64.13,4742810
19,2020-03-13,66.53,63.75,69.51,69.2,3261200
20,2020-03-12,64.0,62.16,67.14,63.42,5055000
21,2020-03-11,70.76,67.57,71.73,68.84,4985900
22,2020-03-10,73.05,69.66,73.62,72.91,3537300
23,2020-03-09,72.59,70.17,74.19,70.75,4598200
24,2020-03-06,77.95,76.5,78.9,78.56,2959913
25,2020-03-05,82.14,79.7,83.25,80.46,2322637
26,2020-03-04,81.77,80.72,84.43,84.35,1905300
27,2020-03-03,81.89,79.28,85.0,80.32,3017230
28,2020-03-02,77.31,77.24,82.0,81.97,3407549
29,2020-02-28,74.97,74.17,77.07,77.07,3755600
30,2020-02-27,76.68,76.37,80.3,77.43,2879719
31,2020-02-26,78.66,78.09,80.27,78.11,2526026
32,2020-02-25,80.7,77.69,80.88,77.95,2768000
33,2020-02-24,82.22,80.02,82.59,80.5,2919380
34,2020-02-21,83.9,83.4,85.09,85.07,1762536
35,2020-02-20,84.9,83.36,84.99,84.34,2543600
36,2020-02-19,84.7,83.45,85.84,85.35,4741300
37,2020-02-18,85.66,84.53,86.08,84.79,2873640
38,2020-02-14,85.72,85.12,85.86,85.82,1965430
39,2020-02-13,85.1,84.66,85.68,85.47,1596300
40,2020-02-12,85.4,85.29,86.06,85.43,1464200
41,2020-02-11,85.03,84.84,85.67,85.09,1543233
42,2020-02-10,83.04,82.93,84.64,84.43,2066900
43,2020-02-07,84.61,82.92,84.79,83.17,1447645
44,2020-02-06,85.31,84.58,85.39,84.82,835500
45,2020-02-05,84.53,84.39,85.5,84.93,2345127
46,2020-02-04,82.85,82.78,83.9,83.52,1676020
47,2020-02-03,83.29,82.11,83.69,82.15,1919800
48,2020-01-31,84.03,82.34,84.34,82.56,2850446
49,2020-01-30,84.9,83.6,85.03,84.38,3026700
50,2020-01-29,87.55,87.15,88.36,87.24,1131523
51,2020-01-28,86.85,86.19,87.48,87.18,1652210
52,2020-01-27,86.54,86.21,87.17,86.56,1868000
53,2020-01-24,89.45,87.58,89.46,88.26,1164500
54,2020-01-23,89.62,88.66,89.98,89.07,1228300
55,2020-01-22,89.94,89.84,90.64,90.13,1665822
56,2020-01-21,89.8,89.46,90.15,89.61,2697400
57,2020-01-17,89.97,89.21,90.28,90.12,3718336
58,2020-01-16,89.12,88.86,89.49,89.46,1595900
59,2020-01-15,87.63,87.55,89.11,88.62,1630400
60,2020-01-14,87.27,86.7,88.21,87.99,1675253
61,2020-01-13,87.81,86.74,88.32,87.46,1630200
62,2020-01-10,87.72,87.32,88.24,87.59,1417028
63,2020-01-09,86.46,86.17,87.7,87.27,1912700
64,2020-01-08,85.96,85.2,86.47,85.92,1847600
65,2020-01-07,83.96,83.94,85.26,85.08,1723146
66,2020-07-06,89.02,89.02,90.64,89.31,1412249
67,2020-07-02,88.83,88.55,89.49,88.68,1507700
68,2020-07-01,88.89,87.3,88.89,88.11,1137000
69,2020-06-30,87.33,87.24,88.88,88.37,1920200
70,2020-06-29,86.56,86.11,87.36,87.29,1302500
71,2020-06-26,87.23,85.52,87.56,85.9,2225800
72,2020-06-25,86.43,84.8,87.35,87.26,1350229
73,2020-06-24,89.08,86.32,89.08,86.56,1806600
74,2020-06-23,89.19,88.66,89.7,89.28,1160309
75,2020-06-22,88.64,87.77,89.07,88.53,1245512
76,2020-06-19,89.41,87.76,89.79,88.73,1784741
77,2020-06-18,87.43,87.26,88.5,88.21,1491515
78,2020-06-17,87.85,87.46,88.75,87.92,900800
79,2020-06-16,88.88,86.51,89.24,87.44,1049239
80,2020-06-15,84.4,83.71,87.28,86.96,1551405
81,2020-06-12,86.83,83.99,87.3,86.11,1520001
82,2020-06-11,88.63,85.02,88.63,85.03,2491313
83,2020-06-10,90.32,89.46,90.58,89.81,1410326
84,2020-06-09,90.09,89.32,90.51,89.77,1817300
85,2020-06-08,89.31,89.06,90.59,90.29,1804747
86,2020-06-05,92.13,90.09,93.04,90.38,2844700
87,2020-06-04,89.82,89.82,91.74,91.14,2227500
88,2020-06-03,90.65,90.26,91.14,90.49,1382690
89,2020-06-02,90.0,89.11,90.63,90.29,1682945
90,2020-06-01,88.04,87.94,89.98,89.91,2482239
91,2020-05-29,87.17,86.47,88.49,88.14,2394576
92,2020-05-28,86.87,86.06,87.85,86.69,1908700
93,2020-05-27,86.3,84.37,86.48,86.18,1917600
94,2020-05-26,86.23,85.64,86.79,86.13,3173416
95,2020-05-22,85.0,84.2,87.67,84.98,5063406
96,2020-05-21,81.72,80.46,82.19,80.75,2576500
97,2020-05-20,82.98,81.47,82.98,81.71,2748256
98,2020-05-19,83.23,81.89,83.54,81.97,2099200
99,2020-05-18,83.24,82.29,84.39,83.66,2076000
100,2020-05-15,81.51,81.22,82.83,81.59,4529629
101,2020-05-14,79.29,78.72,81.66,81.64,2285942
102,2020-05-13,80.38,79.03,81.93,80.16,2664900
103,2020-05-12,81.58,79.78,82.3,79.85,2278944
104,2020-05-11,79.6,79.5,81.99,81.27,1691600
105,2020-05-08,79.67,79.19,80.33,79.71,2255008
106,2020-05-07,78.77,77.54,79.33,78.5,1190600
107,2020-05-06,76.69,76.65,78.83,77.87,2303600
108,2020-05-05,74.91,74.83,77.58,76.37,1476100
109,2020-05-04,74.28,73.42,74.62,74.56,1555400
110,2020-05-01,75.55,73.57,76.1,74.21,1618600
111,2020-04-30,77.96,75.99,78.44,76.66,1795200
112,2020-04-29,76.3,76.14,79.38,78.72,2409400
113,2020-04-28,77.0,75.34,77.0,75.45,1855939
114,2020-04-27,76.35,75.84,76.62,76.25,1295830
115,2020-04-24,75.62,74.02,75.91,75.75,1654300
116,2020-04-23,76.6,75.05,77.49,75.09,2097828
117,2020-04-22,74.75,73.78,75.58,75.17,2347400
118,2020-04-21,75.76,73.71,75.8,73.75,2848142
119,2020-04-20,79.05,76.98,79.05,77.37,1679446
120,2020-04-17,80.09,78.31,80.35,79.55,1313443
121,2020-04-16,78.06,76.47,78.92,78.75,1969300
122,2020-04-15,77.44,77.0,78.39,77.05,2721179
123,2020-04-14,77.3,77.24,79.2,78.83,2650300
124,2020-04-13,77.44,75.02,77.99,76.21,1533378
125,2020-04-09,76.43,76.23,78.72,78.33,2399963
126,2020-04-08,74.17,72.75,77.17,76.69,2703000
127,2020-04-07,76.61,74.02,77.56,74.03,2458009
128,2020-10-05,100.99,100.96,103.46,103.12,803927
129,2020-10-02,100.21,99.81,101.28,100.01,712248
130,2020-10-01,101.77,100.54,102.41,101.22,723600
131,2020-09-30,100.54,100.31,101.89,100.94,1362200
132,2020-09-29,99.79,99.59,101.33,100.22,722400
133,2020-09-28,98.64,98.12,99.73,99.51,1336600
134,2020-09-25,95.96,95.77,98.14,97.69,1028618
135,2020-09-24,96.57,95.44,96.97,96.34,1157600
136,2020-09-23,98.6,96.57,98.91,96.91,1148728
137,2020-09-22,97.84,97.49,98.98,98.62,845849
138,2020-09-21,98.18,96.5,98.56,98.13,927900
139,2020-09-18,99.14,98.46,100.59,99.38,2162445
