,date,open,low,high,close,volume
0,2020-01-06,73.45,73.19,74.99,74.95,118578576
1,2020-01-03,74.29,74.13,75.15,74.36,146535512
2,2020-01-02,74.06,73.8,75.15,75.09,135647456
3,2020-04-06,62.73,62.35,65.78,65.62,201820400
4,2020-04-03,60.7,59.74,61.43,60.35,129880068
5,2020-04-02,60.09,59.23,61.29,61.23,165934000
6,2020-04-01,61.63,59.78,62.18,60.23,176218552
7,2020-03-31,63.9,63.0,65.62,63.57,197002004
8,2020-03-30,62.69,62.35,63.88,63.7,167976440
9,2020-03-27,63.19,61.76,63.97,61.94,204216800
10,2020-03-26,61.63,61.59,64.67,64.61,252560676
11,2020-03-25,62.69,61.08,64.56,61.38,303602040
12,2020-03-24,59.09,58.58,61.92,61.72,287531200
13,2020-03-23,57.02,53.15,57.12,56.09,336752832
14,2020-03-20,61.8,57.0,62.96,57.31,401693384
15,2020-03-19,61.85,60.65,63.21,61.2,271857200
16,2020-03-18,59.94,59.28,62.5,61.67,300233624
17,2020-03-17,61.88,59.6,64.4,63.22,324056000
18,2020-03-16,60.49,60.0,64.77,60.55,322423600
19,2020-03-13,66.22,63.24,69.98,69.49,370732128
20,2020-03-12,63.99,62.0,67.5,62.06,418474068
21,2020-03-11,69.35,67.97,70.31,68.86,256379880
22,2020-03-10,69.29,67.34,71.61,71.33,285290080
23,2020-03-09,65.94,65.75,69.52,66.54,286744832
24,2020-03-06,70.5,70.31,72.71,72.26,226176984
25,2020-03-05,73.88,72.85,74.89,73.23,187572876
26,2020-03-04,74.11,73.28,75.85,75.69,219178400
27,2020-03-03,75.92,71.45,76.0,72.33,319475600
28,2020-03-02,70.57,69.43,75.36,74.7,341397356
29,2020-02-28,64.32,64.09,69.6,68.34,426884920
30,2020-02-27,70.28,68.24,71.5,68.38,320605600
31,2020-02-26,71.63,71.63,74.47,73.16,198713724
32,2020-02-25,75.24,71.53,75.63,72.02,230673600
33,2020-02-24,74.32,72.31,76.05,74.55,222195312
34,2020-02-21,79.66,77.63,80.11,78.26,129705660
35,2020-02-20,80.66,79.55,81.16,80.08,100566000
36,2020-02-19,80.0,80.0,81.14,80.91,93984000
37,2020-02-18,78.84,78.65,79.94,79.75,152762180
38,2020-02-14,81.19,80.71,81.5,81.24,80113788
39,2020-02-13,81.05,80.84,81.56,81.22,94747600
40,2020-02-12,80.37,80.37,81.81,81.8,113730400
41,2020-02-11,80.9,79.68,80.97,79.9,94323200
42,2020-02-10,78.55,78.46,80.39,80.39,109348860
43,2020-02-07,80.59,79.5,80.85,80.01,117684048
44,2020-02-06,80.64,80.07,81.31,81.3,105425600
45,2020-02-05,80.88,79.74,81.19,80.36,118826872
46,2020-02-04,78.83,78.41,79.91,79.71,136616536
47,2020-02-03,76.08,75.56,78.37,77.17,173985604
48,2020-01-31,80.23,77.07,80.67,77.38,199588400
49,2020-01-30,80.14,79.69,81.02,80.97,126743232
50,2020-01-29,81.11,80.35,81.96,81.08,216599712
51,2020-01-28,78.15,78.05,79.6,79.42,162234000
52,2020-01-27,77.52,76.22,77.94,77.24,161940020
53,2020-01-24,80.06,79.38,80.83,79.58,146537600
54,2020-01-23,79.48,78.91,79.89,79.81,104472000
