,date,open,low,high,close,volume
0,2020-01-06,88.22,87.98,89.62,89.4,6786729
1,2020-01-03,88.17,87.9,89.39,88.7,5989437
2,2020-01-02,89.08,88.51,89.57,89.55,5639200
3,2020-04-06,75.74,74.03,77.26,75.73,10266500
4,2020-04-03,74.65,72.55,75.44,73.37,8062700
5,2020-04-02,72.78,71.46,75.5,75.13,8077800
6,2020-04-01,72.12,71.43,73.99,73.42,12948010
7,2020-03-31,75.4,74.44,77.92,76.19,20481986
8,2020-03-30,73.52,73.47,76.24,75.24,10671600
9,2020-03-27,71.63,70.71,75.06,72.67,12293300
10,2020-03-26,68.82,68.76,74.31,73.83,15985184
11,2020-03-25,67.92,65.55,70.68,67.91,20017317
12,2020-03-24,68.16,67.09,71.82,67.49,18376342
13,2020-03-23,67.38,62.55,67.75,64.5,19219000
14,2020-03-20,73.0,66.81,73.0,68.82,18844500
15,2020-03-19,69.1,65.33,74.85,71.06,19739932
16,2020-03-18,70.0,64.69,71.39,71.03,23712811
17,2020-03-17,75.71,69.99,77.71,73.02,23205000
18,2020-03-16,79.0,73.58,82.18,74.27,20916000
19,2020-03-13,83.36,80.69,86.32,85.37,21867700
20,2020-03-12,78.85,77.06,81.29,78.61,19935700
21,2020-03-11,85.8,83.57,86.64,84.85,10385830
22,2020-03-10,88.19,83.76,88.22,87.53,12965837
23,2020-03-09,84.0,82.43,87.34,85.27,15806200
24,2020-03-06,88.73,87.26,89.76,88.82,12664600
25,2020-03-05,90.06,89.43,91.71,90.61,9688400
26,2020-03-04,89.27,88.95,91.86,91.75,16590400
27,2020-03-03,89.44,85.66,90.9,87.57,12660900
28,2020-03-02,86.0,83.55,88.78,88.69,12171100
29,2020-02-28,82.79,81.58,85.71,85.71,18460266
30,2020-02-27,86.19,84.2,89.45,85.42,14184100
31,2020-02-26,88.62,88.19,91.18,88.41,9789105
32,2020-02-25,93.32,88.11,93.46,89.18,11366413
33,2020-02-24,92.17,92.15,93.87,93.14,10705100
34,2020-02-21,93.96,93.38,95.52,94.96,6678156
35,2020-02-20,93.93,92.59,94.39,94.23,5446200
36,2020-02-19,93.77,93.02,94.79,94.14,6349100
37,2020-02-18,93.67,93.26,94.5,93.61,9406845
38,2020-02-14,95.23,93.77,95.3,94.05,11175800
39,2020-02-13,96.85,95.23,97.36,95.35,10613000
40,2020-02-12,95.98,95.71,97.86,97.79,10591004
41,2020-02-11,95.26,95.01,97.08,96.0,10682800
42,2020-02-10,92.36,92.11,95.5,94.75,13998300
43,2020-02-07,89.74,88.88,92.98,92.29,19090317
44,2020-02-06,87.89,86.22,87.96,87.18,7769700
45,2020-02-05,85.06,84.88,87.14,86.63,10020600
46,2020-02-04,83.59,83.59,84.71,84.36,8251500
47,2020-02-03,81.31,80.92,82.6,82.3,10146411
48,2020-01-31,81.54,80.41,81.72,81.02,13870121
49,2020-01-30,82.58,81.18,82.79,81.78,10870022
50,2020-01-29,83.8,83.13,84.0,83.2,5704705
51,2020-01-28,84.99,83.64,84.99,83.77,8614400
52,2020-01-27,85.05,84.0,85.93,84.02,13832033
53,2020-01-24,85.43,82.76,85.48,83.54,13215418
54,2020-01-23,87.05,84.99,87.07,85.27,12266800
55,2020-01-22,88.03,87.15,88.17,87.21,6438919
56,2020-01-21,87.68,87.57,88.53,87.99,13552072
57,2020-01-17,89.13,87.79,89.27,88.0,10122317
58,2020-01-16,89.31,88.92,89.8,89.26,7073377
59,2020-01-15,88.18,88.18,89.88,89.26,8490129
60,2020-01-14,87.1,86.77,88.44,88.2,8877304
61,2020-01-13,89.5,87.92,89.5,88.52,9298850
62,2020-01-10,90.23,88.83,90.29,89.06,8583695
63,2020-01-09,90.01,89.05,90.23,90.21,7518166
64,2020-01-08,89.15,88.87,90.06,89.52,7697073
65,2020-01-07,88.93,88.26,89.54,88.89,7257498
66,2020-07-06,99.64,97.95,99.8,99.01,7039000
67,2020-07-02,99.45,97.86,99.99,98.88,6158800
68,2020-07-01,98.5,97.5,99.66,99.14,6522930
69,2020-06-30,95.97,95.83,98.88,98.18,8112500
70,2020-06-29,96.5,95.68,97.33,96.44,6676428
71,2020-06-26,96.89,95.04,97.03,96.13,14568404
72,2020-06-25,95.18,94.32,97.07,96.99,6411717
73,2020-06-24,96.46,94.35,97.16,95.14,9025114
74,2020-06-23,98.42,97.05,99.1,97.31,6715648
75,2020-06-22,96.64,95.82,97.3,97.27,6004318
76,2020-06-19,97.72,95.75,98.2,96.71,9210938
77,2020-06-18,95.56,95.26,96.45,96.23,4571600
78,2020-06-17,96.85,95.27,97.1,95.74,6212200
79,2020-06-16,94.86,93.48,96.2,96.06,9370575
80,2020-06-15,91.27,90.78,94.03,93.08,7121938
81,2020-06-12,93.74,91.03,94.74,92.46,8010100
82,2020-06-11,95.69,92.03,96.89,92.26,12584809
83,2020-06-10,96.99,96.8,99.35,96.9,11138331
84,2020-06-09,94.95,94.76,96.66,96.17,9555900
85,2020-06-08,92.91,92.81,95.01,94.59,6621400
86,2020-06-05,93.5,92.81,95.54,93.85,9630100
87,2020-06-04,90.28,90.25,93.48,93.04,9525700
88,2020-06-03,91.47,89.6,91.5,90.89,8588400
89,2020-06-02,90.97,90.05,91.7,91.04,9413300
90,2020-06-01,92.05,90.69,93.06,90.7,8486500
91,2020-05-29,91.0,89.6,92.89,92.67,13781605
92,2020-05-28,90.87,90.0,91.19,90.03,8766219
93,2020-05-27,90.54,88.56,91.0,89.98,12529500
