,date,open,low,high,close,volume
0,2021-01-04,150.99,137.0,151.01,139.15,6409900
1,2020-12-31,146.9,144.51,147.89,146.8,2795800
2,2020-12-30,151.34,145.6,152.81,148.43,3462400
3,2020-12-29,150.0,143.12,151.65,150.0,5402300
4,2020-12-28,158.6,147.52,163.64,149.0,6229200
5,2020-12-24,159.16,154.11,162.79,154.84,3621400
6,2020-12-23,162.81,155.5,168.25,158.01,5852500
7,2020-12-22,170.0,161.05,174.97,163.19,9872600
8,2020-12-21,155.31,145.11,172.0,163.02,17788100
9,2020-12-18,150.45,150.3,159.0,157.3,15954200
10,2020-12-17,143.0,142.67,152.45,147.05,15054700
11,2020-12-16,125.83,124.91,142.0,137.99,20409600
12,2020-12-15,126.69,121.5,127.6,124.8,10914400
13,2020-12-14,135.0,125.16,135.3,130.0,16966100
14,2020-12-11,146.55,135.1,151.5,139.25,26980800
15,2020-12-10,146.0,141.25,165.0,144.71,70447500
16,2021-04-05,191.66,185.81,192.1,186.69,2591400
17,2021-04-01,192.5,185.37,193.99,188.24,2921400
18,2021-03-31,185.43,185.13,192.27,187.94,3079500
19,2021-03-30,182.35,178.38,185.23,183.1,2903300
20,2021-03-29,175.36,173.5,185.46,182.5,4508800
21,2021-03-26,178.42,168.0,181.0,174.4,3562900
22,2021-03-25,173.1,170.5,179.54,176.16,5264100
23,2021-03-24,189.0,178.51,189.78,178.85,3756100
24,2021-03-23,195.5,185.74,196.75,187.14,3460600
25,2021-03-22,196.85,194.71,203.3,195.0,3740400
26,2021-03-19,193.01,187.81,196.49,194.39,4444600
27,2021-03-18,196.8,190.68,199.9,191.45,3711500
28,2021-03-17,195.63,194.44,203.46,201.36,3781900
29,2021-03-16,209.11,198.18,215.49,200.01,4605600
30,2021-03-15,209.54,203.81,213.74,209.99,4329400
31,2021-03-12,196.27,192.2,208.7,206.74,5556500
32,2021-03-11,189.9,188.5,201.0,197.87,6031200
33,2021-03-10,184.57,181.55,191.0,183.79,6145600
34,2021-03-09,184.99,180.72,189.46,183.11,6079900
35,2021-03-08,179.99,177.03,186.4,180.81,4988500
36,2021-03-05,182.52,161.9,183.5,179.81,8788500
37,2021-03-04,178.64,170.87,183.9,180.23,9993700
38,2021-03-03,186.97,178.8,188.48,180.4,10592900
39,2021-03-02,195.63,188.5,200.0,189.9,9144900
40,2021-03-01,195.82,192.62,199.69,196.42,15798500
41,2021-02-26,194.18,185.75,214.1,206.35,19368600
42,2021-02-25,197.41,180.0,199.8,182.06,11568500
43,2021-02-24,190.98,189.0,208.15,200.2,5983500
44,2021-02-23,189.0,175.0,191.67,187.59,5902400
45,2021-02-22,200.7,193.5,205.0,195.34,3674200
46,2021-02-19,203.95,200.18,205.55,201.07,2605800
47,2021-02-18,199.01,192.17,200.36,198.04,2791400
48,2021-02-17,207.05,196.02,208.76,201.96,4090600
49,2021-02-16,216.24,209.09,218.78,209.86,3487900
50,2021-02-12,214.46,209.0,216.94,212.68,3041700
