,date,open,low,high,close,volume
0,2020-01-06,85.62,85.21,86.36,86.34,5631729
1,2020-01-03,85.75,85.59,86.67,85.89,4747091
2,2020-01-02,86.06,85.8,86.96,86.95,4969000
3,2020-04-06,81.08,79.61,83.12,82.73,12373800
4,2020-04-03,78.79,78.18,79.99,79.45,9139400
5,2020-04-02,76.12,76.0,79.66,79.44,10167927
6,2020-04-01,77.0,75.35,77.38,76.57,12208300
7,2020-03-31,81.43,78.56,81.49,78.91,23792300
8,2020-03-30,82.83,78.47,84.4,79.34,47540243
9,2020-03-27,77.5,73.61,77.5,74.56,8360600
10,2020-03-26,71.08,71.0,75.97,75.81,10546005
11,2020-03-25,68.95,68.15,72.63,70.75,9351358
12,2020-03-24,64.91,64.5,69.97,69.69,10903740
13,2020-03-23,67.07,61.61,67.49,62.82,13037139
14,2020-03-20,74.05,67.95,74.86,68.0,15131400
15,2020-03-19,81.36,73.55,81.81,74.5,14476030
16,2020-03-18,74.98,74.39,81.99,79.26,17541136
17,2020-03-17,75.52,73.34,79.79,79.49,13315307
18,2020-03-16,70.65,70.0,79.25,73.66,14358968
19,2020-03-13,77.91,74.83,82.67,81.65,18317155
20,2020-03-12,73.28,72.01,78.15,74.74,13876300
21,2020-03-11,78.53,76.35,79.07,78.09,11534362
22,2020-03-10,79.23,75.93,81.0,80.88,9417572
23,2020-03-09,76.61,75.1,79.34,77.02,10285000
24,2020-03-06,78.6,78.09,82.3,81.74,10647883
25,2020-03-05,80.29,79.13,81.47,80.52,9288700
26,2020-03-04,80.66,79.46,82.33,82.09,8660411
27,2020-03-03,81.58,77.26,83.5,77.99,9510600
28,2020-03-02,77.88,77.25,81.68,81.61,11483600
29,2020-02-28,77.12,74.02,78.16,77.03,16672979
30,2020-02-27,80.4,79.16,82.03,79.19,8657223
31,2020-02-26,82.13,81.11,82.88,81.36,7380113
32,2020-02-25,84.93,80.78,85.37,81.13,7022157
33,2020-02-24,85.45,84.07,85.67,84.63,5667245
34,2020-02-21,88.04,87.16,88.25,87.45,5570994
35,2020-02-20,89.1,88.04,89.56,88.46,3657505
36,2020-02-19,88.83,88.69,89.93,89.36,3464900
37,2020-02-18,89.42,88.31,89.49,88.88,4492300
38,2020-02-14,88.87,88.31,89.71,89.66,3919818
39,2020-02-13,88.5,87.7,89.04,88.68,4448862
40,2020-02-12,89.56,88.58,89.59,88.79,3389518
41,2020-02-11,88.64,88.53,89.41,89.17,2661900
42,2020-02-10,87.21,87.21,88.3,88.3,4219431
43,2020-02-07,89.23,87.68,89.51,87.87,4472300
44,2020-02-06,90.0,89.25,90.08,89.47,4270871
45,2020-02-05,88.87,88.55,89.61,89.56,3565733
46,2020-02-04,88.15,88.15,89.25,88.23,3904607
47,2020-02-03,87.78,86.75,88.4,87.06,4675901
48,2020-01-31,89.13,86.9,89.23,87.14,5914103
49,2020-01-30,88.29,87.97,89.21,89.16,5248100
50,2020-01-29,89.61,89.07,90.23,89.14,3914384
51,2020-01-28,89.7,89.39,90.03,89.54,4983710
52,2020-01-27,89.11,88.89,90.0,89.59,4482200
53,2020-01-24,90.85,90.21,91.53,90.4,4219102
54,2020-01-23,91.81,90.16,91.85,90.73,7418780
55,2020-01-22,90.78,90.03,92.45,91.86,9841587
56,2020-01-21,88.86,88.61,90.04,89.73,7458100
57,2020-01-17,88.45,88.31,89.2,89.0,5879746
58,2020-01-16,87.94,87.42,88.31,88.28,5023300
59,2020-01-15,86.11,86.11,87.85,87.38,5389727
60,2020-01-14,84.13,84.01,86.0,85.74,8751400
61,2020-01-13,85.5,84.74,85.73,85.12,5571500
62,2020-01-10,86.79,85.17,86.99,85.36,4680400
63,2020-01-09,86.3,85.75,86.68,86.44,6432500
64,2020-01-08,86.24,85.93,86.66,86.21,5694099
65,2020-01-07,85.77,85.54,86.3,85.86,3410955
66,2020-07-06,92.76,92.45,93.97,92.97,5919133
67,2020-07-02,92.5,91.93,93.06,92.23,3845629
68,2020-07-01,91.98,90.43,91.98,91.64,3389696
69,2020-06-30,88.75,88.44,91.9,91.43,5221178
70,2020-06-29,89.58,88.09,89.7,89.01,4669327
71,2020-06-26,89.82,87.94,89.95,88.71,8522534
72,2020-06-25,87.24,86.16,89.81,89.62,5781467
73,2020-06-24,90.63,86.82,90.73,87.3,6141939
74,2020-06-23,91.11,90.79,92.3,91.3,4157172
75,2020-06-22,90.33,89.16,90.65,90.34,5072803
76,2020-06-19,91.67,90.61,92.4,90.68,9473300
77,2020-06-18,90.5,89.57,91.34,90.28,6022939
78,2020-06-17,90.42,90.1,91.67,90.9,4359470
79,2020-06-16,90.62,89.14,91.76,89.74,6144086
80,2020-06-15,87.52,87.05,90.35,89.55,5667401
81,2020-06-12,89.25,87.59,90.19,89.02,5590474
82,2020-06-11,92.17,86.94,92.5,87.78,8168332
83,2020-06-10,90.85,90.64,92.75,92.16,5829143
84,2020-06-09,92.32,90.24,92.82,90.27,4857400
