,date,open,low,high,close,volume
0,2020-01-06,43.42,43.22,43.61,43.52,1272784
1,2020-01-03,43.16,43.04,43.49,43.35,784853
2,2020-01-02,43.01,42.88,43.4,43.4,1377071
3,2020-04-06,26.02,25.96,27.38,27.03,2901000
4,2020-04-03,25.99,24.45,26.5,24.61,2294100
5,2020-04-02,25.67,25.67,27.23,26.32,2276400
6,2020-04-01,27.27,25.53,27.43,26.02,1982343
7,2020-03-31,30.16,28.03,30.16,28.46,5591700
8,2020-03-30,29.15,28.04,30.63,30.54,2062700
9,2020-03-27,28.22,28.1,30.18,29.07,3075100
10,2020-03-26,26.2,25.53,30.07,29.67,3721408
11,2020-03-25,26.0,24.66,26.41,25.72,6418420
12,2020-03-24,24.66,24.3,25.99,25.6,4464839
13,2020-03-23,25.67,22.54,25.67,23.26,3341166
14,2020-03-20,27.0,25.55,27.61,25.97,4155223
15,2020-03-19,27.0,26.53,28.6,27.06,3775108
16,2020-03-18,27.81,26.07,29.02,27.49,5941737
17,2020-03-17,27.73,25.95,30.52,30.22,3721600
18,2020-03-16,30.04,27.07,30.31,27.24,2928200
19,2020-03-13,32.38,30.38,32.85,32.77,3214600
20,2020-03-12,33.16,30.37,33.88,30.68,3018005
21,2020-03-11,36.54,35.42,37.1,35.88,1928359
22,2020-03-10,37.87,36.25,38.09,37.83,1846300
23,2020-03-09,37.6,36.12,38.42,36.65,1662000
24,2020-03-06,39.77,39.39,40.93,40.7,1534200
25,2020-03-05,42.05,40.7,42.26,41.17,1047400
26,2020-03-04,42.11,41.71,43.11,43.08,997900
27,2020-03-03,42.6,41.18,43.02,41.62,1045742
28,2020-03-02,40.5,40.26,42.54,42.49,1657700
29,2020-02-28,41.21,39.79,41.69,40.43,2915190
30,2020-02-27,43.2,42.33,43.84,42.42,2299208
31,2020-02-26,44.62,43.77,45.03,43.83,1364600
32,2020-02-25,45.71,44.36,45.85,44.39,1178131
33,2020-02-24,46.17,45.63,46.78,45.65,1352739
34,2020-02-21,47.8,47.01,47.99,47.12,1346716
35,2020-02-20,48.2,47.61,48.2,47.9,1720900
36,2020-02-19,48.0,47.86,48.32,48.18,1077600
37,2020-02-18,47.62,47.58,47.97,47.89,1223330
38,2020-02-14,47.84,47.25,47.98,47.68,1044539
39,2020-02-13,47.0,46.78,47.84,47.83,1286100
40,2020-02-12,47.27,46.03,47.47,47.04,1595004
41,2020-02-11,46.87,46.87,47.95,47.75,1781017
42,2020-02-10,46.18,46.05,46.84,46.78,1277031
43,2020-02-07,46.08,45.78,46.31,46.15,783066
44,2020-02-06,45.85,45.85,46.66,46.14,1309919
45,2020-02-05,45.15,44.85,45.74,45.72,2279312
46,2020-02-04,45.11,44.83,45.39,44.87,1351600
47,2020-02-03,44.32,44.32,45.06,44.68,2053616
48,2020-01-31,44.46,44.08,44.86,44.16,2061944
49,2020-01-30,43.9,43.55,44.52,44.48,3521600
50,2020-01-29,44.77,44.12,44.83,44.13,1448800
51,2020-01-28,44.77,44.65,45.05,44.66,2173100
52,2020-01-27,44.2,44.02,44.88,44.55,969520
53,2020-01-24,45.24,44.87,45.45,44.99,1131618
54,2020-01-23,45.24,44.56,45.32,45.24,922700
55,2020-01-22,45.29,45.08,45.59,45.48,1277600
56,2020-01-21,45.19,44.89,45.37,45.15,1081610
57,2020-01-17,44.81,44.63,45.26,45.17,1386000
58,2020-01-16,44.17,44.17,44.59,44.56,1209531
59,2020-01-15,43.73,43.57,44.21,44.05,695600
60,2020-01-14,43.74,43.53,44.09,43.67,1089300
61,2020-01-13,43.5,43.31,43.78,43.69,928345
62,2020-01-10,43.67,43.47,43.75,43.53,1409200
63,2020-01-09,42.81,42.77,43.63,43.6,1326310
64,2020-01-08,43.12,42.68,43.28,42.73,1285331
65,2020-01-07,43.59,43.13,43.6,43.16,1334800
66,2020-07-06,28.8,28.27,29.17,28.5,1207004
67,2020-07-02,28.88,28.0,29.37,28.09,1286100
68,2020-07-01,28.7,27.98,29.03,28.15,1279000
69,2020-06-30,28.16,28.16,28.95,28.65,2012739
70,2020-06-29,28.04,27.63,28.57,28.37,1438500
71,2020-06-26,28.58,27.64,28.96,27.7,4415300
72,2020-06-25,28.01,28.01,29.01,28.88,1555723
73,2020-06-24,29.56,28.11,29.72,28.45,2497300
74,2020-06-23,30.27,29.36,30.35,29.56,1737429
75,2020-06-22,29.14,28.81,30.25,29.71,2698228
76,2020-06-19,31.17,29.33,31.17,29.33,5111616
77,2020-06-18,30.21,30.06,31.0,30.55,2351806
78,2020-06-17,31.16,30.65,31.51,30.71,1576734
79,2020-06-16,32.54,30.82,33.83,31.22,2891600
80,2020-06-15,29.44,29.29,31.22,30.93,1914715
81,2020-06-12,31.74,29.97,31.9,30.61,2318800
82,2020-06-11,31.5,30.23,32.09,30.3,2310622
83,2020-06-10,33.77,32.69,33.97,32.86,2501149
84,2020-06-09,34.58,34.23,34.94,34.38,1521000
85,2020-06-08,35.72,34.89,35.76,35.65,1825941
86,2020-06-05,34.94,34.24,35.49,34.98,3437900
87,2020-06-04,32.38,31.92,32.97,32.79,2382307
88,2020-06-03,31.1,30.94,32.8,32.35,2393500
89,2020-06-02,29.4,29.12,30.63,30.38,3248328
90,2020-06-01,28.45,27.87,29.28,29.1,2089214
91,2020-05-29,28.55,27.9,28.84,28.22,8330500
92,2020-05-28,30.21,28.8,30.33,29.04,2077802
93,2020-05-27,30.5,29.48,30.75,29.92,2916100
94,2020-05-26,29.75,28.89,30.1,29.39,2573701
95,2020-05-22,27.77,27.54,28.58,28.3,3130726
96,2020-05-21,26.54,26.12,27.69,27.45,3938515
97,2020-05-20,24.31,24.11,26.75,26.54,3960300
98,2020-05-19,24.13,23.68,24.54,24.28,2368800
99,2020-05-18,23.87,23.87,24.57,24.36,1811200
100,2020-05-15,22.7,22.22,23.04,22.98,2631500
101,2020-05-14,21.77,20.93,22.97,22.85,2519900
102,2020-05-13,23.82,22.06,23.82,22.24,2321833
103,2020-05-12,25.15,23.63,25.34,23.65,2466300
104,2020-05-11,25.6,25.16,25.7,25.26,2391232
105,2020-05-08,25.14,24.92,26.01,25.95,3114319
106,2020-05-07,23.81,23.81,24.89,24.71,3098001
107,2020-05-06,23.84,23.32,24.28,23.42,2981400
108,2020-05-05,24.64,23.69,25.66,23.74,3510400
109,2020-05-04,22.94,22.41,24.03,23.8,2242258
110,2020-05-01,23.43,22.8,23.64,23.11,2156500
111,2020-04-30,24.89,24.01,25.07,24.03,2052202
112,2020-04-29,25.52,25.09,26.0,25.58,1735600
113,2020-04-28,25.1,24.29,25.54,24.75,2221300
114,2020-04-27,23.98,23.76,24.85,24.65,3080742
115,2020-04-24,24.54,23.46,24.73,23.64,1955996
116,2020-04-23,25.04,24.23,25.4,24.26,1509800
117,2020-04-22,25.85,24.88,26.03,24.9,1992008
118,2020-04-21,25.71,25.18,26.08,25.29,1998017
119,2020-04-20,26.46,25.86,26.8,26.7,1890332
120,2020-04-17,27.59,26.73,28.04,27.15,2150122
121,2020-04-16,27.09,26.03,27.23,26.49,3566703
122,2020-04-15,28.76,27.31,28.76,27.35,1815943
123,2020-04-14,29.78,28.87,30.48,29.25,3814821
