,date,open,low,high,close,volume
0,2020-01-06,208.27,206.81,208.79,208.43,2841444
1,2020-01-03,208.5,207.0,210.63,209.8,1802100
2,2020-01-02,210.86,208.81,211.92,210.15,2431100
3,2020-04-06,158.98,157.04,166.75,166.05,3090000
4,2020-04-03,155.6,148.28,158.72,152.15,3766837
5,2020-04-02,154.05,153.55,160.5,156.27,3030044
6,2020-04-01,158.57,152.58,160.82,154.68,2973100
7,2020-03-31,167.43,162.16,169.88,163.26,2963228
8,2020-03-30,164.12,163.78,170.37,169.82,2731346
9,2020-03-27,165.0,160.61,169.29,162.88,3802537
10,2020-03-26,153.4,150.0,171.6,171.34,5194535
11,2020-03-25,156.44,148.11,159.69,151.82,4795680
12,2020-03-24,152.26,149.49,157.63,156.85,4685100
13,2020-03-23,148.01,137.15,148.01,143.69,6173888
14,2020-03-20,157.53,147.42,159.47,149.94,6449708
15,2020-03-19,151.36,151.36,177.8,158.5,6338300
16,2020-03-18,151.57,142.0,159.8,151.15,5860200
17,2020-03-17,154.0,152.48,160.66,157.71,6081186
18,2020-03-16,148.29,143.51,166.51,152.54,5324900
19,2020-03-13,160.62,152.93,166.71,166.51,5742804
20,2020-03-12,153.0,147.08,158.75,152.53,6357925
21,2020-03-11,169.32,162.65,171.17,165.11,5188300
22,2020-03-10,171.08,166.04,174.74,174.56,4349500
23,2020-03-09,165.4,160.1,170.88,164.11,5112245
24,2020-03-06,177.45,173.92,180.31,178.75,3284400
25,2020-03-05,185.09,180.92,187.46,182.56,3548249
26,2020-03-04,185.8,184.3,189.71,188.86,3875483
27,2020-03-03,189.77,180.62,191.9,182.22,3514000
28,2020-03-02,182.0,178.02,189.82,189.55,4317919
29,2020-02-28,180.26,175.3,183.2,180.59,5785220
30,2020-02-27,192.2,186.37,194.35,186.44,3040446
31,2020-02-26,198.67,194.79,201.45,195.67,2671100
32,2020-02-25,204.78,195.86,205.48,197.1,2883600
33,2020-02-24,204.47,203.45,207.87,204.36,2600408
34,2020-02-21,212.59,210.49,213.55,211.89,2088815
35,2020-02-20,215.88,211.61,216.32,213.9,1481700
36,2020-02-19,215.0,214.38,216.39,215.92,1806042
37,2020-02-18,212.5,211.2,214.06,213.76,1699427
38,2020-02-14,213.25,211.35,213.54,212.37,2096600
39,2020-02-13,209.87,209.34,213.54,212.4,1721214
