,date,open,low,high,close,volume
0,2020-01-06,328.29,328.2,333.91,333.71,1875122
1,2020-01-03,329.17,328.69,332.98,331.81,1579371
2,2020-01-02,330.0,329.17,334.48,334.43,1990496
3,2020-04-06,306.56,299.955,320.51,319.13,5145092
4,2020-04-03,302.06,289.71,303.47,293.61,3934718
5,2020-04-02,297.76,293.18,306.5,303.96,3590071
6,2020-04-01,307.0,298.32,309.6105,301.21,3902957
7,2020-03-31,316.41,312.68,326.3344,318.24,6414549
8,2020-03-30,308.89,308.01,322.97,318.39,4340463
9,2020-03-27,311.7,300.63,314.2872,305.83,4862124
10,2020-03-26,305.99,305.69,324.43,322.67,4534399
11,2020-03-25,308.0,298.13,317.65,305.91,4830363
12,2020-03-24,322.96,301.59,326.99,310.0,6592213
13,2020-03-23,296.67,287.78,312.49,307.27,6016822
14,2020-03-20,312.92,293.77,324.8,295.34,7461753
15,2020-03-19,291.77,281.1,318.705,307.51,6023835
16,2020-03-18,290.0,255.1314,296.87,294.61,7293306
17,2020-03-17,291.2,278.35,312.95,311.81,6189140
18,2020-03-16,288.3558,283.25,307.11,286.03,7140139
19,2020-03-13,312.88,298.0001,336.0,335.5,8935220
20,2020-03-12,290.41,283.0001,310.13,285.0,7230152
21,2020-03-11,324.32,309.0,326.357,315.23,4868076
22,2020-03-10,318.98,309.31,332.94,332.38,5973672
23,2020-03-09,311.68,305.33,322.44,305.79,5291910
24,2020-03-06,340.45,326.6,344.1599,336.77,5622911
25,2020-03-05,355.06,347.19,360.45,351.03,3199006
26,2020-03-04,354.38,350.08,364.27,363.85,4146282
27,2020-03-03,361.76,344.04,364.95,348.34,4204501
28,2020-03-02,349.81,342.61,360.75,360.28,5398135
29,2020-02-28,324.42,324.0,345.46,345.12,6469131
30,2020-02-27,340.0,337.27,352.2396,337.52,4737676
31,2020-02-26,349.4,348.6,360.07,351.34,3494105
32,2020-02-25,361.0,346.28,363.97,347.8,4188112
33,2020-02-24,355.39,349.17,363.46,357.41,3924013
34,2020-02-21,378.02,368.75,378.34,372.95,2743135
35,2020-02-20,384.0,373.48,386.745,378.96,3789340
36,2020-02-19,383.83,381.48,385.0,383.28,2580455
37,2020-02-18,380.2,378.59,382.59,378.85,2074715
38,2020-02-14,376.28,375.85,379.83,379.67,1690561
39,2020-02-13,372.56,372.39,377.71,374.84,1917119
