,date,open,low,high,close,volume
0,2020-01-06,116.25,115.61,117.32,116.92,1979400
1,2020-01-03,118.0,117.73,119.67,118.31,1374400
2,2020-01-02,120.11,118.74,120.65,120.43,1279300
3,2020-04-06,90.14,89.92,96.3,95.8,3673920
4,2020-04-03,87.39,85.34,88.8,86.56,2253800
5,2020-04-02,83.13,82.9,88.27,87.7,3638215
6,2020-04-01,86.04,83.67,88.11,84.09,3231933
7,2020-03-31,90.56,89.18,92.27,89.65,3432100
8,2020-03-30,89.54,87.6,91.47,90.97,3268287
9,2020-03-27,89.26,88.26,92.63,88.67,3009981
10,2020-03-26,94.53,90.86,96.5,92.62,5063654
11,2020-03-25,92.66,89.74,97.44,94.36,3860017
12,2020-03-24,89.78,87.44,94.0,93.73,3651400
13,2020-03-23,85.78,80.51,87.51,85.16,4063700
14,2020-03-20,92.41,84.88,93.37,85.08,4567550
15,2020-03-19,82.44,79.44,91.7,90.32,4465000
16,2020-03-18,87.44,79.08,92.49,82.23,5726126
17,2020-03-17,86.14,82.32,96.9,95.44,5555718
18,2020-03-16,89.84,83.02,92.86,83.21,7287252
19,2020-03-13,94.88,89.36,100.46,99.79,6399368
20,2020-03-12,89.79,87.25,95.36,90.01,8483817
21,2020-03-11,99.48,93.96,100.65,94.41,4168159
22,2020-03-10,100.13,96.12,102.54,102.44,4355311
23,2020-03-09,99.61,97.11,103.61,97.51,4936845
24,2020-03-06,105.0,104.51,107.46,107.0,3801200
25,2020-03-05,109.03,107.92,112.07,108.87,2197267
26,2020-03-04,109.0,106.68,112.54,112.46,2181000
27,2020-03-03,110.13,106.57,113.19,107.2,3416121
28,2020-03-02,110.09,107.24,111.44,111.27,3979561
29,2020-02-28,103.96,103.5,110.06,109.05,6036781
30,2020-02-27,111.82,107.57,113.71,107.72,3541339
31,2020-02-26,115.98,114.29,117.39,114.84,2896612
32,2020-02-25,118.54,113.38,118.78,114.66,3251681
33,2020-02-24,119.34,116.97,119.69,117.36,3041587
