,date,open,low,high,close,volume
0,2020-01-06,45.79,45.32,45.85,45.66,2831733
1,2020-01-03,45.89,45.72,46.19,46.02,2259500
2,2020-01-02,46.57,45.88,46.64,46.11,3081000
3,2020-04-06,35.84,35.26,36.02,35.78,5224630
4,2020-04-03,34.05,33.85,34.78,34.65,2582000
5,2020-04-02,33.72,33.54,35.2,34.33,3022752
6,2020-04-01,33.7,33.52,34.97,33.87,3496900
7,2020-03-31,35.86,34.73,36.48,35.18,3882352
8,2020-03-30,33.78,33.28,36.0,35.83,3215323
9,2020-03-27,33.5,33.15,34.43,33.5,3277729
10,2020-03-26,33.12,32.83,34.79,34.46,3557034
11,2020-03-25,32.38,31.88,34.03,32.7,3921500
12,2020-03-24,30.85,30.5,32.49,32.32,5301801
13,2020-03-23,30.22,28.92,31.0,29.31,4870422
14,2020-03-20,33.89,30.43,33.89,30.61,5009900
15,2020-03-19,32.92,31.6,35.0,33.46,3483901
16,2020-03-18,33.13,31.06,33.33,33.02,4471637
17,2020-03-17,33.53,33.1,35.28,35.26,4465180
18,2020-03-16,31.1,31.01,34.59,32.68,5685000
19,2020-03-13,33.01,31.33,34.69,34.64,6236600
20,2020-03-12,32.97,31.46,33.76,31.54,7272714
21,2020-03-11,35.71,34.57,36.33,35.07,4993461
22,2020-03-10,36.46,34.66,37.15,37.12,7447300
23,2020-03-09,35.49,34.98,37.54,35.3,6747000
24,2020-03-06,36.95,36.9,38.11,37.64,4051200
25,2020-03-05,38.38,38.01,38.85,38.33,2848466
26,2020-03-04,38.77,38.33,39.39,39.37,2971300
27,2020-03-03,38.57,37.84,39.6,38.06,4886647
28,2020-03-02,38.19,37.57,38.84,38.84,4829300
29,2020-02-28,36.63,35.78,37.65,37.65,8056958
30,2020-02-27,39.25,37.59,39.31,37.62,4476174
31,2020-02-26,40.66,39.86,41.12,39.87,5252015
32,2020-02-25,42.89,40.39,42.94,40.43,3364837
33,2020-02-24,42.76,42.5,43.01,42.82,3011000
34,2020-02-21,44.09,43.58,44.15,43.9,2645815
35,2020-02-20,43.75,43.68,44.33,44.23,1951031
36,2020-02-19,44.5,43.88,44.53,43.97,2257222
37,2020-02-18,44.48,44.16,44.65,44.45,2512100
38,2020-02-14,45.08,44.62,45.16,44.77,2513200
39,2020-02-13,45.42,45.02,45.63,45.27,2317471
40,2020-02-12,45.95,45.59,46.17,45.61,2281000
41,2020-02-11,45.9,45.73,46.51,46.12,2200143
42,2020-02-10,45.6,45.36,45.87,45.68,1695346
43,2020-02-07,45.73,45.55,46.0,45.71,2289400
44,2020-02-06,46.19,45.94,46.33,45.98,2387330
45,2020-02-05,45.78,45.69,46.14,46.07,3038600
46,2020-02-04,45.5,45.27,45.69,45.37,2567400
47,2020-02-03,44.97,44.64,45.27,44.96,3939435
48,2020-01-31,45.48,44.55,45.62,44.76,8398285
49,2020-01-30,45.62,44.78,46.0,45.8,5958841
50,2020-01-29,44.06,43.66,44.1,43.68,2803504
51,2020-01-28,43.7,43.53,44.11,43.92,2219424
52,2020-01-27,43.76,43.37,43.9,43.53,2718508
53,2020-01-24,45.05,43.98,45.06,44.3,2169300
54,2020-01-23,44.74,44.51,45.04,44.97,1459900
55,2020-01-22,45.24,44.89,45.31,44.93,2101400
56,2020-01-21,45.1,44.87,45.39,45.12,2663411
57,2020-01-17,45.4,45.11,45.55,45.25,2741700
58,2020-01-16,44.65,44.59,45.46,45.34,2585000
59,2020-01-15,44.35,44.01,44.84,44.39,2586700
60,2020-01-14,44.51,44.08,44.64,44.5,4798500
61,2020-01-13,44.04,43.98,44.48,44.42,3167800
62,2020-01-10,44.37,43.8,44.46,43.95,2311400
63,2020-01-09,44.33,43.03,44.33,44.15,4080200
64,2020-01-08,45.11,44.38,45.23,44.61,3346400
65,2020-01-07,45.57,45.1,45.69,45.11,2301528
66,2020-07-06,40.14,39.31,40.36,39.67,1961000
67,2020-07-02,40.01,39.52,40.51,39.56,2647504
68,2020-07-01,40.1,39.33,40.1,39.41,1991347
69,2020-06-30,39.74,39.45,40.05,39.9,2839600
70,2020-06-29,39.37,39.21,39.87,39.66,1799700
71,2020-06-26,39.82,38.72,39.86,38.93,4166904
72,2020-06-25,39.16,39.01,40.05,39.95,2568900
73,2020-06-24,39.43,38.93,39.6,39.32,3655880
74,2020-06-23,40.5,39.92,40.5,39.93,2217201
75,2020-06-22,40.09,39.51,40.22,40.0,1551400
76,2020-06-19,41.25,40.19,41.67,40.24,5032300
77,2020-06-18,40.11,39.94,40.66,40.58,2139820
78,2020-06-17,41.01,40.15,41.01,40.47,2347200
79,2020-06-16,40.73,40.19,41.4,40.75,2780800
80,2020-06-15,38.25,38.04,39.58,39.5,2955000
81,2020-06-12,39.6,38.66,39.97,39.43,3304600
82,2020-06-11,40.15,38.55,40.39,38.6,3486847
83,2020-06-10,42.31,41.28,42.4,41.34,4093689
84,2020-06-09,42.12,41.88,42.7,42.38,3929440
85,2020-06-08,42.52,41.89,42.92,42.89,4290500
86,2020-06-05,41.95,41.95,42.88,42.52,3539720
87,2020-06-04,40.24,40.03,41.16,41.14,2463500
88,2020-06-03,40.0,39.94,40.63,40.51,2280500
89,2020-06-02,39.0,38.83,39.71,39.67,2902627
90,2020-06-01,39.08,38.49,39.08,38.89,2563100
91,2020-05-29,38.64,38.49,39.45,39.31,3755800
92,2020-05-28,39.67,38.89,39.67,39.0,4333593
93,2020-05-27,37.72,37.72,39.0,39.0,4187370
94,2020-05-26,36.31,36.3,37.35,37.13,2720961
95,2020-05-22,35.05,34.81,35.41,35.38,1745729
96,2020-05-21,35.1,34.89,35.32,35.12,1817344
97,2020-05-20,35.17,35.02,35.45,35.35,1955313
98,2020-05-19,35.43,34.76,35.44,34.82,1980700
99,2020-05-18,35.21,35.18,35.99,35.8,2600118
100,2020-05-15,34.0,33.91,34.77,34.12,6204700
101,2020-05-14,33.42,33.01,34.22,34.16,2448704
102,2020-05-13,34.5,33.63,34.8,33.84,2888920
103,2020-05-12,35.87,34.66,36.03,34.74,2322083
104,2020-05-11,36.0,35.07,36.08,35.43,2588631
105,2020-05-08,35.4,35.25,36.49,36.39,2890542
106,2020-05-07,34.89,34.69,35.22,34.76,2964630
107,2020-05-06,35.08,34.31,35.31,34.4,2934662
108,2020-05-05,35.15,34.92,35.57,34.96,2623400
109,2020-05-04,34.77,34.35,34.96,34.76,2530500
110,2020-05-01,36.66,34.94,36.93,35.12,2773069
111,2020-04-30,38.4,37.05,38.71,37.14,4571500
112,2020-04-29,37.9,37.64,38.6,38.41,3875598
113,2020-04-28,37.17,36.31,37.31,37.17,2657867
114,2020-04-27,35.87,35.81,36.71,36.54,1906528
115,2020-04-24,36.08,35.36,36.16,35.99,2244737
116,2020-04-23,35.59,35.47,36.2,35.74,2417449
117,2020-04-22,35.52,34.76,35.71,35.4,3132800
118,2020-04-21,35.76,34.86,35.78,35.0,2906600
