,date,open,low,high,close,volume
0,2020-01-06,169.08,168.83,170.34,170.19,1205933
1,2020-01-03,168.06,168.06,170.45,169.96,1000100
2,2020-01-02,171.96,169.2,172.0,170.32,1364626
3,2020-04-06,135.0,134.35,140.45,139.65,3664182
4,2020-04-03,130.7,126.69,132.53,128.57,1567500
5,2020-04-02,127.72,127.43,132.61,131.55,3808200
6,2020-04-01,129.98,128.09,133.41,129.72,2905449
7,2020-03-31,134.98,134.22,139.4,136.68,3513047
8,2020-03-30,132.4,131.77,138.54,137.82,2522320
9,2020-03-27,130.36,128.92,136.0,131.38,2997814
10,2020-03-26,123.06,122.6,138.14,137.06,4041046
11,2020-03-25,120.76,116.49,130.0,122.59,3941861
12,2020-03-24,114.66,114.3,122.04,120.96,4884199
13,2020-03-23,108.53,104.89,112.06,109.07,4794500
14,2020-03-20,118.92,107.1,119.47,112.06,6257644
15,2020-03-19,117.8,110.0,123.17,117.37,4022176
16,2020-03-18,120.86,103.11,122.59,117.6,5108621
17,2020-03-17,124.45,118.43,130.53,129.39,4274804
18,2020-03-16,128.06,122.05,131.72,122.46,4415900
19,2020-03-13,136.99,129.27,144.53,144.5,3604922
20,2020-03-12,137.55,125.86,137.87,130.28,5497208
21,2020-03-11,149.65,145.69,151.92,148.01,2751000
22,2020-03-10,156.95,147.21,157.12,154.42,4152369
23,2020-03-09,149.1,146.28,155.22,150.92,4551601
24,2020-03-06,153.42,153.01,160.11,159.15,3137434
25,2020-03-05,159.44,158.93,163.15,160.67,3359700
26,2020-03-04,158.42,156.81,164.62,164.39,2847640
27,2020-03-03,161.63,154.0,164.44,155.24,3095200
28,2020-03-02,155.55,154.24,163.09,163.0,3194691
29,2020-02-28,153.41,150.53,159.45,154.74,4585812
30,2020-02-27,164.06,157.46,165.97,157.53,2843642
31,2020-02-26,169.0,166.23,170.8,166.33,2319739
32,2020-02-25,174.65,166.9,175.49,167.18,2606831
33,2020-02-24,175.78,173.9,177.18,174.54,2084100
34,2020-02-21,179.8,177.35,180.43,178.58,3538453
35,2020-02-20,180.67,178.5,181.75,180.77,1501665
36,2020-02-19,180.5,180.19,181.74,181.25,1651517
37,2020-02-18,181.36,179.74,182.32,179.93,1512243
38,2020-02-14,180.16,179.4,181.28,181.25,1566513
39,2020-02-13,177.47,177.07,180.99,180.11,1913906
40,2020-02-12,178.69,176.9,180.85,178.03,2622500
41,2020-02-11,180.25,177.79,180.25,177.97,1584200
42,2020-02-10,178.66,178.31,179.82,179.36,2153800
43,2020-02-07,179.78,178.49,179.9,179.1,2311532
44,2020-02-06,179.75,178.8,180.47,180.26,1600800
45,2020-02-05,178.37,176.81,179.01,178.62,2675204
