,date,open,low,high,close,volume
0,2020-01-06,183.78,183.16,187.25,187.12,1021917
1,2020-01-03,184.49,183.78,186.41,184.95,737862
2,2020-01-02,184.21,181.88,187.89,187.83,1515128
3,2020-04-06,146.12,144.61,153.52,152.32,2732670
4,2020-04-03,136.89,136.28,141.54,139.0,2214656
5,2020-04-02,136.97,135.52,142.14,137.05,2729652
6,2020-04-01,147.53,137.86,150.47,139.22,3185117
7,2020-03-31,154.0,152.83,158.91,156.1,3679702
8,2020-03-30,142.74,141.29,157.18,155.91,3378468
9,2020-03-27,155.83,140.3206,156.62,141.57,2929303
10,2020-03-26,150.85,150.645,163.15,160.88,2753388
11,2020-03-25,149.4,142.32,154.97,149.99,2497272
12,2020-03-24,151.25,141.43,153.4,149.96,2691644
13,2020-03-23,147.81,138.1,151.84,144.14,3309178
14,2020-03-20,151.46,145.38,156.06,148.02,4515807
15,2020-03-19,141.45,134.98,152.27,149.23,3749324
16,2020-03-18,145.22,125.38,154.38,141.82,4762375
17,2020-03-17,149.69,140.0501,157.95,154.92,4110652
18,2020-03-16,140.9892,135.24,153.49,148.08,4101260
19,2020-03-13,146.0,138.45,158.17,158.03,3998375
20,2020-03-12,143.79,135.7,148.5,136.0,5014108
21,2020-03-11,159.55,152.36,161.75,154.4,2789599
22,2020-03-10,165.6,157.1,166.5,164.48,3439444
23,2020-03-09,157.82,156.7141,164.81,160.05,3108606
24,2020-03-06,177.83,168.55,179.68,173.42,3272212
25,2020-03-05,185.47,182.83,192.73,184.04,2328656
26,2020-03-04,183.9,182.13,191.68,191.42,2242924
27,2020-03-03,187.85,177.82,190.0,180.55,2756240
28,2020-03-02,190.67,183.27,191.97,190.83,2698908
29,2020-02-28,176.57,175.0476,191.36,190.88,4340064
30,2020-02-27,184.24,180.07,188.4851,180.65,2688333
31,2020-02-26,188.59,187.66,194.15,190.67,2850215
32,2020-02-25,196.47,185.74,197.4236,186.73,2282521
33,2020-02-24,195.56,192.43,197.29,194.37,2104856
34,2020-02-21,205.0,199.85,206.27,201.91,1774916
35,2020-02-20,210.44,205.07,211.58,206.67,1527322
36,2020-02-19,209.33,208.64,211.175,210.76,1569936
37,2020-02-18,209.47,206.9,209.82,207.06,1342962
38,2020-02-14,208.09,207.24,209.2,208.95,996939
39,2020-02-13,206.34,206.34,208.47,207.51,897453
40,2020-02-12,206.76,205.45,207.72,207.11,1177216
41,2020-02-11,207.35,204.52,207.99,205.8,1289730
42,2020-02-10,207.24,205.34,207.76,206.1,1556983
43,2020-02-07,205.58,204.64,210.13,207.01,1410217
44,2020-02-06,203.62,202.46,206.92,206.0,1326371
45,2020-02-05,206.72,200.79,207.19,202.08,1366488
46,2020-02-04,202.0,200.51,204.19,203.94,1093377
47,2020-02-03,197.86,197.7788,199.94,199.26,888698
48,2020-01-31,198.77,193.31,199.32,196.85,1616556
49,2020-01-30,198.42,196.98,200.84,198.99,1521004
50,2020-01-29,200.92,198.86,201.57,199.74,838460
51,2020-01-28,196.26,195.675,200.43,200.03,1270143
52,2020-01-27,195.77,192.96,197.15,195.87,1837765
53,2020-01-24,199.43,197.91,200.9,199.19,2437185
54,2020-01-23,195.39,193.76,198.91,198.6,1687276
55,2020-01-22,197.47,194.6199,198.72,194.73,1068602
56,2020-01-21,194.01,193.695,197.5497,195.84,1455400
57,2020-01-17,192.38,191.31,194.24,193.35,2384909
58,2020-01-16,192.51,191.5,193.12,192.5,2196018
59,2020-01-15,190.94,190.01,192.17,190.79,1444325
60,2020-01-14,192.25,190.63,193.13,191.11,1146466
61,2020-01-13,190.0,190.0,193.37,192.45,1454238
62,2020-01-10,193.16,191.835,193.42,192.36,708850
63,2020-01-09,191.71,190.68,192.7,191.94,1164494
64,2020-01-08,188.22,187.03,190.5,189.95,1314830
65,2020-01-07,186.13,185.1,188.17,187.5,897889
66,2020-07-06,243.32,243.07,248.35,244.36,1092704
67,2020-07-02,242.51,239.18,244.4,240.15,1158173
68,2020-07-01,239.94,237.8,242.67,241.22,1275289
69,2020-06-30,232.95,231.2,239.95,239.19,1602535
70,2020-06-29,232.53,227.755,233.93,232.17,930460
71,2020-06-26,234.93,230.66,236.71,232.74,1510209
72,2020-06-25,233.5,228.37,234.81,234.47,1782536
73,2020-06-24,240.29,231.4382,242.6747,233.44,1863968
74,2020-06-23,242.91,241.455,247.14,241.62,1461835
75,2020-06-22,236.0,236.0,241.13,240.88,1203830
76,2020-06-19,242.11,235.4949,242.98,237.82,2023843
77,2020-06-18,237.95,236.048,239.2,238.07,1181220
78,2020-06-17,242.29,236.42,243.76,237.04,1127113
79,2020-06-16,234.95,234.0,241.77,240.93,2385790
80,2020-06-15,218.96,218.76,229.75,229.0,1522421
81,2020-06-12,227.95,218.95,228.1325,222.96,1865112
82,2020-06-11,233.0,218.95,233.47,219.1,2798355
83,2020-06-10,235.59,233.46,240.245,236.59,1810693
84,2020-06-09,232.49,231.45,237.8,234.15,1916273
85,2020-06-08,231.14,230.46,236.47,233.51,2273377
86,2020-06-05,224.67,223.0,234.54,233.71,1956278
87,2020-06-04,225.0,223.29,227.365,225.2,2177537
88,2020-06-03,220.75,219.17,227.39,226.39,2025133
89,2020-06-02,218.93,212.11,221.0,219.09,2479929
90,2020-06-01,210.0,209.0588,221.51,219.29,2746022
91,2020-05-29,203.6,200.34,210.71,210.38,2750750
92,2020-05-28,196.38,194.6,208.3,202.63,3709293
93,2020-05-27,198.65,192.51,199.82,199.81,2192991
94,2020-05-26,199.32,198.62,203.83,199.53,1662644
95,2020-05-22,194.03,192.51,196.9,195.78,1534589
96,2020-05-21,196.08,193.65,197.58,194.75,1261075
97,2020-05-20,197.97,194.32,199.59,196.64,1028971
98,2020-05-19,190.13,190.13,198.9,194.71,1519154
99,2020-05-18,183.84,183.04,190.81,190.1,1437177
100,2020-05-15,176.49,175.44,181.125,180.72,1077856
101,2020-05-14,174.53,170.57,177.98,177.87,1222797
102,2020-05-13,180.6,173.83,182.68,176.86,1164858
103,2020-05-12,184.37,180.97,187.12,180.97,1097398
104,2020-05-11,183.14,182.92,186.14,184.4,1112115
105,2020-05-08,186.0,183.25,187.1575,184.29,1005491
106,2020-05-07,182.93,180.81,186.46,184.0,1632447
107,2020-05-06,182.23,179.66,185.075,181.23,1011883
108,2020-05-05,179.57,179.275,184.87,180.49,972833
109,2020-05-04,174.78,173.13,179.33,177.8,1153457
110,2020-05-01,179.22,172.22,181.54,174.9,2061724
111,2020-04-30,187.0,185.14,189.55,187.13,1941415
112,2020-04-29,180.61,180.0,189.86,187.9,1559298
113,2020-04-28,185.53,176.27,185.79,177.31,1829452
114,2020-04-27,182.24,182.24,186.56,182.51,1684183
115,2020-04-24,177.2643,174.19,180.97,180.35,1151076
116,2020-04-23,172.99,172.2222,178.98,175.55,1582439
117,2020-04-22,176.05,173.36,177.33,175.37,1013487
118,2020-04-21,175.96,166.86,177.16,170.02,2331901
119,2020-04-20,178.19,176.44,181.52,177.87,1191987
120,2020-04-17,176.08,173.97,182.0,180.94,2357706
