,date,open,low,high,close,volume
0,2020-01-06,76.08,75.91,76.39,76.15,1382407
1,2020-01-03,75.84,75.84,76.55,76.08,1239926
2,2020-01-02,76.94,75.76,77.1,76.05,1460900
3,2020-04-06,71.21,70.76,75.04,74.29,1320800
4,2020-04-03,70.21,68.37,71.65,68.75,2175540
5,2020-04-02,66.85,66.76,72.31,71.67,2065000
6,2020-04-01,69.91,65.9,70.59,67.73,1976801
7,2020-03-31,76.75,72.48,76.75,72.83,2556924
8,2020-03-30,76.02,74.66,78.77,78.17,2470024
9,2020-03-27,70.87,70.44,77.02,74.24,1829817
10,2020-03-26,67.14,66.64,73.69,72.79,2056100
11,2020-03-25,64.13,61.59,69.12,67.54,2397400
12,2020-03-24,63.4,60.3,65.49,65.29,2620500
13,2020-03-23,63.08,58.74,64.94,61.37,3118409
14,2020-03-20,71.5,62.01,71.64,62.93,3145800
15,2020-03-19,76.75,70.95,78.16,71.88,3094900
16,2020-03-18,71.94,70.18,77.38,76.15,2533300
17,2020-03-17,67.71,66.86,79.18,77.69,3872136
18,2020-03-16,70.02,64.93,72.33,65.95,3280500
19,2020-03-13,75.66,71.2,76.51,76.15,2490900
20,2020-03-12,75.5,71.04,76.82,72.4,2952100
21,2020-03-11,80.96,79.59,81.86,80.87,2737945
22,2020-03-10,81.99,79.16,83.59,82.59,2920841
23,2020-03-09,82.0,80.02,83.37,81.6,4268426
24,2020-03-06,83.81,81.3,85.69,85.35,3040900
25,2020-03-05,85.6,85.11,87.12,86.05,2061800
26,2020-03-04,83.74,83.74,87.66,87.07,1952700
27,2020-03-03,84.17,82.96,86.0,83.16,2231900
28,2020-03-02,79.29,79.15,84.46,84.42,2835748
29,2020-02-28,80.08,77.19,80.28,79.0,4615000
30,2020-02-27,85.15,81.57,85.81,81.57,2564011
31,2020-02-26,84.73,84.04,86.47,85.21,2840838
32,2020-02-25,84.9,83.32,85.32,83.56,2613111
33,2020-02-24,85.0,84.54,85.62,84.82,1700536
34,2020-02-21,85.66,85.23,86.42,85.34,2212936
35,2020-02-20,85.55,85.1,85.92,85.66,1999047
36,2020-02-19,86.64,85.77,86.71,85.88,1598600
37,2020-02-18,87.16,86.5,87.33,86.75,2305848
38,2020-02-14,86.0,85.8,86.87,86.79,1754321
39,2020-02-13,84.57,84.37,85.85,85.75,1069670
40,2020-02-12,83.96,83.8,84.74,84.57,1155439
41,2020-02-11,84.16,83.87,84.48,84.27,1498106
42,2020-02-10,83.75,83.25,84.03,83.98,1220500
43,2020-02-07,83.45,83.27,83.76,83.6,1597912
44,2020-02-06,82.72,82.57,83.35,83.17,1388321
45,2020-02-05,82.11,81.94,82.74,82.68,1071230
46,2020-02-04,82.65,82.11,83.02,82.27,1595503
47,2020-02-03,82.23,82.08,82.71,82.63,1105701
48,2020-01-31,81.81,81.61,82.41,82.05,2038434
49,2020-01-30,80.97,80.77,81.94,81.9,1086120
50,2020-01-29,80.73,80.44,81.07,81.02,1493400
51,2020-01-28,80.2,79.97,80.67,80.32,1350700
52,2020-01-27,80.33,79.75,80.84,80.11,1774848
53,2020-01-24,80.25,80.03,80.83,80.39,1185829
54,2020-01-23,79.94,79.69,80.36,80.3,1269800
55,2020-01-22,80.14,79.88,80.44,79.91,2366319
56,2020-01-21,79.75,79.36,80.06,80.03,1732705
57,2020-01-17,79.24,79.16,79.9,79.75,1552813
58,2020-01-16,78.7,78.7,79.3,79.21,2065904
59,2020-01-15,77.8,77.58,78.33,78.2,1732400
60,2020-01-14,77.59,77.11,77.87,77.61,1439745
61,2020-01-13,77.02,77.02,77.76,77.63,1280800
62,2020-01-10,76.8,76.7,77.3,77.01,1073951
63,2020-01-09,76.24,76.07,76.68,76.59,1460743
64,2020-01-08,76.81,76.19,76.81,76.3,1034700
65,2020-01-07,75.88,75.54,76.44,76.43,1227283
66,2020-07-06,73.62,72.46,74.48,73.34,1682939
67,2020-07-02,72.83,72.77,73.83,73.23,1774400
68,2020-07-01,70.34,70.26,72.75,72.49,1782100
69,2020-06-30,69.7,69.6,70.7,70.36,1351000
70,2020-06-29,69.44,68.53,69.8,69.73,1248638
71,2020-06-26,68.52,67.65,69.58,68.9,3616690
72,2020-06-25,69.44,67.14,69.44,68.81,1388534
73,2020-06-24,69.34,68.26,69.87,69.46,1674508
74,2020-06-23,71.33,69.19,71.33,70.0,1783700
75,2020-06-22,69.53,68.28,71.34,70.62,2053500
76,2020-06-19,73.07,69.74,73.3,69.8,3761600
77,2020-06-18,71.91,70.61,72.55,72.46,2041400
78,2020-06-17,72.72,71.4,73.03,72.46,2199900
