,date,open,low,high,close,volume
0,2020-01-06,93.35,93.27,93.99,93.67,1253886
1,2020-01-03,93.28,93.1,94.04,93.36,1939441
2,2020-01-02,94.5,92.98,94.56,93.46,1779700
3,2020-04-06,74.87,74.59,79.78,78.59,3610300
4,2020-04-03,75.83,71.2,76.72,72.5,3964095
5,2020-04-02,73.63,72.39,77.58,76.79,4959900
6,2020-04-01,77.45,73.82,78.91,74.57,3570112
7,2020-03-31,82.68,79.24,83.49,79.98,6250250
8,2020-03-30,84.87,79.83,86.45,83.71,5390573
9,2020-03-27,79.79,79.13,86.59,83.4,3255255
10,2020-03-26,73.48,73.25,82.88,81.8,3903506
11,2020-03-25,71.38,69.35,76.31,73.29,5448600
12,2020-03-24,71.66,68.09,73.78,72.05,4937521
13,2020-03-23,71.02,65.14,71.84,70.0,5499800
14,2020-03-20,80.95,70.26,81.1,71.45,5611003
15,2020-03-19,88.0,79.57,88.06,80.81,4741700
16,2020-03-18,85.02,81.01,92.86,88.28,5517910
17,2020-03-17,83.64,83.49,95.77,91.2,6641800
18,2020-03-16,78.57,77.76,86.18,81.66,5564629
19,2020-03-13,86.43,81.71,87.15,86.47,5127501
20,2020-03-12,83.0,73.53,85.97,82.54,7534018
21,2020-03-11,92.91,88.04,92.96,89.72,4213666
22,2020-03-10,98.32,91.23,98.33,94.72,5729024
23,2020-03-09,92.81,92.52,99.39,94.96,6660614
24,2020-03-06,95.9,93.85,97.72,97.7,5815534
25,2020-03-05,98.37,97.72,100.18,98.79,5285700
26,2020-03-04,96.37,96.37,100.65,99.82,4027236
27,2020-03-03,95.0,94.05,97.8,95.45,6823018
28,2020-03-02,89.55,89.34,95.31,95.09,4936258
29,2020-02-28,90.03,86.42,90.03,89.26,6764169
30,2020-02-27,97.31,91.79,97.51,91.86,5865608
31,2020-02-26,98.4,97.39,99.02,97.43,3258500
32,2020-02-25,100.23,97.94,100.62,98.17,3356560
33,2020-02-24,101.63,100.03,102.3,100.04,3279645
34,2020-02-21,102.05,101.61,103.14,101.71,3361334
35,2020-02-20,102.95,102.04,103.99,102.38,3344545
36,2020-02-19,104.15,103.44,104.39,103.5,1910110
37,2020-02-18,104.08,103.84,104.63,104.33,2121920
38,2020-02-14,103.15,102.92,103.88,103.76,1377056
39,2020-02-13,102.2,101.66,103.18,102.85,2555129
40,2020-02-12,101.78,101.35,102.35,101.79,1503509
41,2020-02-11,102.0,101.76,102.42,102.22,1498000
42,2020-02-10,101.67,101.21,101.98,101.92,1541038
43,2020-02-07,102.04,101.24,102.19,101.34,2260943
44,2020-02-06,101.98,101.98,102.72,102.25,2752700
45,2020-02-05,102.73,101.97,103.1,102.12,4064644
46,2020-02-04,103.82,102.85,104.97,102.87,3203280
47,2020-02-03,104.47,103.86,104.7,104.22,3671534
48,2020-01-31,104.0,103.61,104.43,104.22,2457818
49,2020-01-30,102.73,102.41,104.13,104.1,1952900
50,2020-01-29,102.34,101.86,103.14,102.81,1643627
51,2020-01-28,101.83,101.71,102.55,102.19,1572417
52,2020-01-27,102.13,101.59,102.75,101.78,2295042
53,2020-01-24,100.97,100.79,102.36,102.16,3189174
54,2020-01-23,100.03,100.01,101.03,100.97,2402205
55,2020-01-22,100.0,99.8,100.4,100.0,2985100
56,2020-01-21,98.81,98.51,99.85,99.34,4731400
57,2020-01-17,97.42,97.06,98.66,98.56,4554800
58,2020-01-16,96.69,96.64,97.53,97.31,2175900
59,2020-01-15,95.7,95.52,96.67,96.6,4114400
60,2020-01-14,94.55,94.05,94.98,94.98,2717505
61,2020-01-13,94.39,94.39,95.1,94.63,2383800
62,2020-01-10,94.2,94.02,94.66,94.34,1452847
63,2020-01-09,93.27,93.26,94.14,93.88,2141900
64,2020-01-08,93.41,93.18,94.02,93.41,2245400
65,2020-01-07,93.28,92.94,93.83,93.69,2608662
66,2020-07-06,83.11,81.12,83.72,82.12,2250123
67,2020-07-02,82.67,82.3,83.29,82.52,1645337
68,2020-07-01,79.76,79.71,82.51,82.0,2378100
69,2020-06-30,79.7,79.05,80.78,79.64,2587029
70,2020-06-29,78.72,78.19,79.57,79.57,2377142
71,2020-06-26,79.31,77.15,80.23,78.0,4365216
72,2020-06-25,80.41,78.76,80.61,79.3,3559427
73,2020-06-24,80.23,79.77,80.96,80.71,3337551
74,2020-06-23,81.5,80.06,81.97,80.95,3444931
75,2020-06-22,79.6,79.32,81.16,80.62,2741759
76,2020-06-19,82.62,79.66,82.62,79.71,5708900
77,2020-06-18,81.86,80.98,82.39,81.77,1896880
78,2020-06-17,82.25,80.91,82.75,82.25,1888310
79,2020-06-16,83.52,81.19,84.02,81.6,3505710
80,2020-06-15,80.16,79.7,82.17,81.76,3116209
81,2020-06-12,83.0,80.62,83.03,81.8,2389442
82,2020-06-11,84.08,81.0,84.35,81.76,3910106
83,2020-06-10,85.83,85.3,86.9,85.37,2059876
84,2020-06-09,87.31,84.82,87.35,85.91,2041700
85,2020-06-08,85.43,85.02,88.12,87.91,2179617
86,2020-06-05,84.99,84.72,87.1,85.51,2670668
87,2020-06-04,86.39,83.38,86.54,84.4,2252927
88,2020-06-03,86.31,86.12,87.96,86.99,1868138
89,2020-06-02,86.81,85.26,86.84,85.98,1672300
90,2020-06-01,85.08,84.86,86.46,86.14,1711500
91,2020-05-29,84.99,84.31,85.85,85.25,3445400
92,2020-05-28,82.62,82.62,85.62,85.1,3752108
93,2020-05-27,81.04,80.27,81.49,81.44,3547610
94,2020-05-26,79.5,79.31,80.78,79.92,2952494
95,2020-05-22,77.39,77.35,78.84,78.78,2186400
96,2020-05-21,77.59,76.89,77.82,77.37,2108573
97,2020-05-20,78.08,77.18,78.56,77.75,2160328
98,2020-05-19,79.29,77.13,79.37,77.14,2781100
99,2020-05-18,79.28,79.19,80.7,79.88,3470500
100,2020-05-15,77.5,76.66,78.46,78.43,8018103
101,2020-05-14,77.29,76.23,78.7,78.1,3766874
102,2020-05-13,77.49,76.71,77.85,77.73,3673700
103,2020-05-12,79.5,77.51,79.72,77.91,3699136
104,2020-05-11,79.35,78.01,79.94,79.17,2496943
105,2020-05-08,79.16,79.0,80.42,79.86,2409219
106,2020-05-07,78.82,78.27,80.66,78.6,3833455
107,2020-05-06,84.26,78.45,84.33,78.82,5099996
108,2020-05-05,82.64,82.01,84.64,83.31,2982909
109,2020-05-04,81.19,80.46,83.27,83.05,2419303
110,2020-05-01,82.39,81.05,82.66,81.39,2742181
111,2020-04-30,83.1,81.87,83.58,83.11,3253600
112,2020-04-29,85.75,82.87,85.8,83.13,3387600
113,2020-04-28,84.72,84.2,86.57,84.63,2129704
114,2020-04-27,83.78,83.47,84.39,83.62,1956200
115,2020-04-24,82.77,82.59,83.62,83.23,2828707
116,2020-04-23,84.82,82.86,85.19,83.02,2426428
117,2020-04-22,83.55,83.07,85.67,85.0,2512409
118,2020-04-21,81.77,80.91,82.84,82.47,3013900
119,2020-04-20,87.32,82.83,87.32,82.91,2331365
120,2020-04-17,85.45,84.58,86.97,86.38,2323513
121,2020-04-16,84.3,82.78,84.7,84.05,1802900
122,2020-04-15,85.08,83.29,85.5,83.61,2558973
123,2020-04-14,85.53,84.65,86.38,86.25,2187800
124,2020-04-13,85.64,82.56,86.6,83.5,2076667
125,2020-04-09,83.99,83.99,88.29,86.31,4003717
126,2020-04-08,79.26,79.0,83.87,83.3,2912851
127,2020-04-07,80.68,77.94,81.16,78.75,4041289
128,2020-10-05,85.25,84.25,87.33,87.05,3397338
129,2020-10-02,82.73,82.22,85.61,85.3,3919298
130,2020-10-01,81.69,81.3,83.09,83.06,2365643
131,2020-09-30,81.54,81.24,82.1,81.73,2594934
132,2020-09-29,81.01,80.48,81.56,80.97,1688908
133,2020-09-28,81.06,80.46,81.53,80.65,1707900
134,2020-09-25,80.31,79.81,80.89,80.65,3252586
135,2020-09-24,79.13,78.58,80.57,80.49,3551500
136,2020-09-23,79.84,78.94,80.17,79.18,3406030
137,2020-09-22,78.97,78.84,80.65,79.85,1773710
138,2020-09-21,78.34,77.79,79.54,79.36,3135226
139,2020-09-18,79.89,78.51,79.95,78.78,3160410
140,2020-09-17,80.01,79.11,80.07,80.04,1562757
141,2020-09-16,79.84,79.61,80.98,80.46,2112063
142,2020-09-15,80.61,79.39,81.34,80.0,1667446
143,2020-09-14,79.32,79.21,81.01,80.34,1979500
144,2020-09-11,78.48,78.12,79.19,79.15,1824198
145,2020-09-10,79.4,78.14,79.59,78.52,2424100
146,2020-09-09,79.5,79.19,81.13,79.91,2124500
147,2020-09-08,79.08,77.67,79.38,78.98,1821800
148,2020-09-04,79.55,77.91,79.89,79.05,1710200
149,2020-09-03,80.66,78.73,81.28,79.56,2230047
150,2020-09-02,77.81,77.71,80.51,80.31,3201300
151,2020-09-01,78.59,77.3,78.64,77.82,3172135
152,2020-08-31,78.75,77.78,80.24,78.83,4966700
153,2020-08-28,78.38,77.32,78.44,78.35,2894300
154,2020-08-27,78.8,78.2,79.36,78.37,2159844
155,2020-08-26,79.06,78.17,79.44,78.61,2532000
156,2020-08-25,80.85,79.39,80.86,79.77,1685000
157,2020-08-24,79.25,78.73,80.97,80.78,2519913
158,2020-08-21,79.2,77.99,79.69,79.08,3090628
159,2020-08-20,80.69,79.17,81.04,79.41,2412273
160,2020-08-19,81.59,80.67,81.63,80.92,2021228
161,2020-08-18,81.36,80.06,81.67,81.55,3340924
162,2020-08-17,83.27,81.21,83.32,81.23,2988834
163,2020-08-14,83.44,82.79,83.77,82.95,2874921
164,2020-08-13,83.57,83.11,84.01,83.66,2059609
165,2020-08-12,83.75,83.73,85.11,84.15,5597439
166,2020-08-11,85.2,82.87,85.27,83.29,6387000
167,2020-08-10,86.94,85.5,86.94,85.94,2774168
168,2020-08-07,84.25,84.25,87.15,86.6,2230752
169,2020-08-06,84.01,82.77,85.6,85.37,2313300
170,2020-08-05,85.84,84.5,86.12,84.83,2336028
171,2020-08-04,85.53,85.18,86.79,85.54,2162700
172,2020-08-03,86.62,84.95,86.62,85.77,2088541
173,2020-07-31,85.74,85.16,86.97,86.88,2797300
174,2020-07-30,84.48,83.92,86.07,86.07,2684453
175,2020-07-29,85.0,83.84,85.26,84.8,2950504
176,2020-07-28,83.38,83.38,85.25,84.74,5519400
