,date,open,low,high,close,volume
0,2020-01-06,19.75,19.74,20.04,20.03,4352088
1,2020-01-03,19.89,19.74,20.04,19.8,5349500
2,2020-01-02,19.97,19.88,20.1,20.03,3069900
3,2020-04-06,12.9,12.8,13.78,13.62,5158046
4,2020-04-03,12.75,12.13,13.08,12.24,6542600
5,2020-04-02,12.66,12.48,13.57,13.04,6683706
6,2020-04-01,13.0,12.34,13.27,12.8,7036166
7,2020-03-31,13.5,13.18,13.93,13.6,6796388
8,2020-03-30,13.75,13.28,13.96,13.66,7614514
9,2020-03-27,12.85,12.68,13.83,13.45,5612400
10,2020-03-26,12.93,12.7,13.68,13.5,7775900
11,2020-03-25,12.75,11.81,13.59,12.82,7160900
12,2020-03-24,12.65,12.15,13.42,12.66,7597200
13,2020-03-23,11.98,11.53,12.99,11.87,10708596
14,2020-03-20,11.21,10.84,12.13,11.87,12070673
15,2020-03-19,9.5,9.0,11.27,10.99,8728900
16,2020-03-18,11.15,8.11,11.15,9.56,9184300
17,2020-03-17,11.3,9.84,11.72,11.56,7799060
18,2020-03-16,11.55,10.99,12.7,10.99,6959314
19,2020-03-13,12.99,11.98,13.23,13.0,7406400
20,2020-03-12,13.06,11.7,13.14,12.18,7510200
21,2020-03-11,14.76,14.04,14.96,14.16,7945713
22,2020-03-10,15.1,14.29,15.28,15.21,7209431
23,2020-03-09,15.65,14.49,15.8,14.58,6968044
24,2020-03-06,16.13,15.89,16.93,16.82,9374100
25,2020-03-05,17.53,16.58,17.54,16.73,6056817
26,2020-03-04,17.68,17.3,17.91,17.83,5851345
27,2020-03-03,18.01,17.41,18.43,17.43,11037924
28,2020-03-02,16.77,16.48,18.24,18.22,8987994
29,2020-02-28,16.0,15.75,17.39,16.73,12558230
30,2020-02-27,18.56,18.25,19.06,18.29,8442900
31,2020-02-26,19.49,18.68,19.53,18.69,4952992
32,2020-02-25,20.31,19.36,20.32,19.38,5871000
33,2020-02-24,20.33,20.13,20.49,20.25,3922000
34,2020-02-21,20.8,20.7,20.9,20.75,3949000
35,2020-02-20,20.87,20.66,20.94,20.8,2819000
36,2020-02-19,21.14,20.91,21.15,20.91,2224411
37,2020-02-18,20.94,20.84,21.23,21.03,2535800
38,2020-02-14,20.85,20.82,20.97,20.93,3469330
39,2020-02-13,20.91,20.74,20.96,20.83,3407700
40,2020-02-12,20.75,20.69,21.01,20.96,3134645
41,2020-02-11,20.61,20.6,20.89,20.79,3166021
42,2020-02-10,20.5,20.38,20.56,20.52,2505704
43,2020-02-07,20.55,20.42,20.61,20.5,2206300
44,2020-02-06,20.83,20.56,20.87,20.58,3116000
45,2020-02-05,20.68,20.62,20.91,20.76,3629103
46,2020-02-04,20.39,20.35,20.69,20.61,4225313
47,2020-02-03,19.97,19.9,20.38,20.31,3843300
48,2020-01-31,20.06,19.79,20.18,19.86,3644232
49,2020-01-30,20.08,19.94,20.2,20.18,2355519
50,2020-01-29,20.16,20.05,20.39,20.32,3345321
51,2020-01-28,20.16,20.08,20.33,20.18,3129500
52,2020-01-27,20.31,20.02,20.38,20.08,3593900
53,2020-01-24,20.55,20.32,20.56,20.38,2052446
54,2020-01-23,20.38,20.31,20.58,20.56,3144919
55,2020-01-22,20.45,20.38,20.71,20.4,3833100
56,2020-01-21,20.37,20.25,20.56,20.47,6399900
57,2020-01-17,20.51,20.24,20.6,20.5,5006100
58,2020-01-16,20.45,20.35,20.58,20.57,2819620
59,2020-01-15,20.35,20.26,20.58,20.46,3099200
60,2020-01-14,20.3,20.2,20.41,20.4,3893404
61,2020-01-13,20.14,20.14,20.42,20.31,3143707
62,2020-01-10,20.23,20.14,20.33,20.18,2555000
63,2020-01-09,20.07,20.07,20.42,20.26,4163200
64,2020-01-08,20.14,19.89,20.25,20.06,4476400
65,2020-01-07,20.02,19.88,20.12,20.1,3240685
66,2020-07-06,14.79,14.34,15.05,14.47,5526910
67,2020-07-02,14.61,14.44,14.81,14.48,4701800
68,2020-07-01,14.6,14.28,14.69,14.41,5702446
69,2020-06-30,14.26,14.09,14.55,14.49,9237205
70,2020-06-29,13.96,13.72,14.44,14.34,9840408
71,2020-06-26,13.82,13.53,13.98,13.75,13077506
72,2020-06-25,13.74,13.57,13.96,13.88,9719485
73,2020-06-24,13.68,13.48,14.01,13.84,8331520
74,2020-06-23,14.13,13.77,14.38,13.84,7689825
75,2020-06-22,13.36,13.18,14.14,13.98,9029900
76,2020-06-19,13.71,13.32,13.91,13.34,11402400
77,2020-06-18,13.2,13.12,13.51,13.44,4560859
78,2020-06-17,13.77,13.29,13.88,13.41,6822664
79,2020-06-16,13.58,13.36,13.9,13.66,7945502
80,2020-06-15,12.23,12.03,12.98,12.88,5976498
81,2020-06-12,12.73,12.25,12.96,12.67,6952813
82,2020-06-11,12.5,12.0,12.6,12.2,8830992
83,2020-06-10,13.78,13.16,13.79,13.17,7941327
84,2020-06-09,14.51,13.72,14.59,13.84,6287675
85,2020-06-08,14.5,14.45,15.08,14.97,5488532
86,2020-06-05,14.48,14.22,15.06,14.3,8321300
87,2020-06-04,13.55,13.41,13.96,13.84,9202530
88,2020-06-03,13.34,13.33,13.75,13.63,5804000
89,2020-06-02,12.67,12.46,13.13,13.11,5416580
90,2020-06-01,12.47,12.33,12.76,12.55,6524067
91,2020-05-29,12.81,12.3,12.83,12.49,8118022
92,2020-05-28,12.94,12.62,13.15,12.89,8437539
93,2020-05-27,13.15,12.57,13.23,12.77,7715800
94,2020-05-26,12.83,12.74,13.17,12.88,5538100
95,2020-05-22,12.3,11.97,12.34,12.24,5943629
96,2020-05-21,12.9,12.29,13.0,12.31,7769100
97,2020-05-20,13.09,12.9,13.3,12.97,5266600
98,2020-05-19,13.15,12.81,13.26,12.81,5433349
99,2020-05-18,12.22,12.2,13.13,13.04,5725312
100,2020-05-15,11.72,11.56,11.83,11.75,7670046
101,2020-05-14,11.43,11.0,11.83,11.82,7523116
102,2020-05-13,12.36,11.51,12.39,11.61,9049000
103,2020-05-12,12.4,12.35,12.61,12.47,6687104
104,2020-05-11,12.74,12.32,12.74,12.4,5335028
105,2020-05-08,12.41,12.26,12.95,12.87,7503216
106,2020-05-07,12.53,12.07,13.05,12.12,7777775
107,2020-05-06,13.11,12.45,13.11,12.53,7499022
108,2020-05-05,13.02,12.9,13.21,13.05,5684931
109,2020-05-04,12.87,12.54,12.88,12.81,3618895
110,2020-05-01,13.0,12.6,13.17,12.94,3957400
111,2020-04-30,14.03,13.22,14.04,13.25,5606817
112,2020-04-29,13.98,13.87,14.48,14.32,5761303
113,2020-04-28,13.7,13.4,14.01,13.63,4307225
114,2020-04-27,13.0,12.89,13.45,13.28,3550909
115,2020-04-24,12.74,12.53,13.02,12.86,5041012
116,2020-04-23,12.82,12.65,13.14,12.69,4019523
117,2020-04-22,12.79,12.35,12.86,12.68,4492118
118,2020-04-21,12.4,12.25,12.58,12.46,5763819
119,2020-04-20,12.87,12.56,13.1,12.7,4971706
120,2020-04-17,12.59,12.48,13.19,13.12,7584500
121,2020-04-16,12.7,12.01,12.88,12.16,10028000
122,2020-04-15,13.31,12.66,13.65,12.69,10034265
123,2020-04-14,14.41,13.76,14.49,14.01,5190000
124,2020-04-13,14.63,13.92,14.63,14.19,3747500
125,2020-04-09,14.45,14.4,14.99,14.72,7452961
126,2020-04-08,13.21,13.16,14.27,14.13,4545621
127,2020-04-07,14.33,13.2,14.61,13.23,6269821
128,2020-10-05,18.65,18.55,18.78,18.58,3445046
129,2020-10-02,17.53,17.46,18.55,18.54,6500237
130,2020-10-01,18.24,17.68,18.31,17.92,4895918
131,2020-09-30,18.04,17.96,18.27,18.11,6615591
132,2020-09-29,18.06,17.82,18.23,18.0,4226900
133,2020-09-28,18.28,17.85,18.45,17.87,5012716
134,2020-09-25,18.01,17.72,18.07,17.99,3652737
135,2020-09-24,17.85,17.42,18.13,17.96,7458016
