,date,open,low,high,close,volume
0,2020-01-06,52.65,52.62,52.92,52.83,2760703
1,2020-01-03,52.82,52.77,53.22,52.98,2125444
2,2020-01-02,53.04,52.82,53.37,53.35,3363200
3,2020-04-06,34.53,34.08,36.11,35.22,5275800
4,2020-04-03,31.31,31.3,32.66,32.41,4690333
5,2020-04-02,31.63,31.11,33.12,31.83,4892733
6,2020-04-01,32.06,31.05,33.15,31.9,5237009
7,2020-03-31,35.74,34.06,36.0,34.24,7316118
8,2020-03-30,35.63,34.5,36.75,36.26,4316012
9,2020-03-27,34.18,33.74,37.16,35.4,6083000
10,2020-03-26,37.2,34.78,41.22,35.77,10740121
11,2020-03-25,29.45,29.19,38.23,36.73,14431000
12,2020-03-24,27.5,26.68,29.22,29.11,6025717
13,2020-03-23,26.43,25.13,26.99,25.69,6926061
14,2020-03-20,27.32,26.23,29.35,26.73,6986029
15,2020-03-19,25.17,24.19,28.45,26.9,7171344
16,2020-03-18,27.86,23.07,28.59,25.27,7493400
17,2020-03-17,29.51,27.01,30.35,30.15,7086580
18,2020-03-16,30.1,28.82,32.52,28.99,5979300
19,2020-03-13,33.54,31.16,34.85,34.69,6242100
20,2020-03-12,33.41,31.41,34.69,31.42,6058072
21,2020-03-11,37.91,36.33,38.09,36.94,5903400
22,2020-03-10,39.04,37.21,39.27,39.22,6962000
23,2020-03-09,38.0,36.75,40.15,37.59,7871314
24,2020-03-06,39.72,39.27,40.96,40.78,6310800
25,2020-03-05,43.21,41.19,43.21,41.58,5574500
26,2020-03-04,44.19,43.12,44.62,44.55,7922725
27,2020-03-03,45.03,43.08,45.65,43.33,7326031
28,2020-03-02,43.12,42.92,45.3,45.29,6569002
29,2020-02-28,43.31,41.92,43.87,42.85,8944888
30,2020-02-27,45.77,44.38,46.39,44.4,6232324
31,2020-02-26,48.05,46.1,48.3,46.55,5292023
32,2020-02-25,49.3,47.51,49.42,47.7,4013932
33,2020-02-24,50.54,49.19,50.7,49.23,4080343
34,2020-02-21,51.28,51.12,51.72,51.53,2977612
35,2020-02-20,51.48,51.14,51.65,51.49,2623719
36,2020-02-19,51.92,51.55,51.95,51.55,2182604
37,2020-02-18,52.4,51.74,52.5,51.88,2210024
38,2020-02-14,52.5,52.4,52.82,52.81,2073500
39,2020-02-13,52.41,52.12,52.66,52.46,2568500
40,2020-02-12,53.02,52.38,53.09,52.4,2474400
41,2020-02-11,52.89,52.83,53.35,52.94,2026700
42,2020-02-10,52.83,52.44,52.91,52.74,2168874
43,2020-02-07,52.71,52.67,53.29,52.93,2341700
44,2020-02-06,53.24,52.46,53.38,52.74,3480507
45,2020-02-05,52.65,52.42,53.28,53.28,4929505
46,2020-02-04,52.5,52.17,52.82,52.17,3685222
47,2020-02-03,51.85,51.85,52.45,52.01,4109800
48,2020-01-31,52.72,51.52,52.8,51.57,4313400
49,2020-01-30,51.94,51.94,53.12,53.04,2552000
50,2020-01-29,52.56,52.35,52.78,52.38,1566444
51,2020-01-28,52.07,52.0,52.69,52.37,2576743
52,2020-01-27,51.72,51.65,52.1,51.83,2619612
53,2020-01-24,52.73,52.01,52.8,52.39,2793831
54,2020-01-23,52.24,51.92,52.67,52.56,3005700
55,2020-01-22,53.02,52.47,53.06,52.53,2523435
56,2020-01-21,53.2,52.83,53.39,52.84,2968827
57,2020-01-17,52.89,52.79,53.46,53.42,3369800
58,2020-01-16,52.55,52.47,52.92,52.79,3048600
