,date,open,low,high,close,volume
0,2020-01-06,51.13,51.04,51.64,51.4,2699832
1,2020-01-03,51.23,50.94,51.47,51.36,2358800
2,2020-01-02,51.64,51.24,51.87,51.76,3104600
3,2020-04-06,21.95,20.82,22.19,21.52,15414348
4,2020-04-03,21.25,19.9,21.69,20.46,9573017
5,2020-04-02,21.11,21.08,22.83,21.25,9317762
6,2020-04-01,22.7,21.01,22.87,21.61,10498725
7,2020-03-31,25.48,23.88,25.79,24.25,9555177
8,2020-03-30,25.0,24.07,25.99,25.71,8377600
9,2020-03-27,26.0,25.01,26.76,25.51,9473500
10,2020-03-26,25.81,25.5,27.7,27.51,11286661
11,2020-03-25,23.2,22.03,27.75,25.72,14365100
12,2020-03-24,21.03,20.74,23.3,22.93,11436800
13,2020-03-23,18.96,18.08,20.08,19.3,9604905
14,2020-03-20,20.81,19.14,21.25,19.23,12948460
15,2020-03-19,18.49,17.52,21.38,20.6,11718957
16,2020-03-18,20.62,16.07,21.29,18.78,13531026
17,2020-03-17,23.98,20.52,24.03,22.25,15057900
18,2020-03-16,23.88,22.4,25.32,23.25,15835900
19,2020-03-13,27.55,25.09,28.58,28.5,11920610
20,2020-03-12,29.66,25.5,29.78,25.67,13594514
21,2020-03-11,33.68,31.9,34.3,32.43,10814889
22,2020-03-10,34.58,33.17,37.18,35.07,10322100
23,2020-03-09,34.61,30.41,35.0,32.81,19741438
24,2020-03-06,39.16,37.42,39.55,37.84,14681430
25,2020-03-05,41.0,40.18,41.71,40.65,9251400
26,2020-03-04,41.91,41.37,42.65,42.54,8324248
27,2020-03-03,42.68,41.17,43.88,41.49,11832200
28,2020-03-02,42.11,41.43,42.89,42.85,10262199
29,2020-02-28,42.28,41.31,42.95,42.16,10908322
30,2020-02-27,44.34,43.39,45.19,43.41,7159503
31,2020-02-26,45.49,44.73,46.13,45.0,7270000
32,2020-02-25,45.85,45.19,46.34,45.24,8706000
33,2020-02-24,47.5,45.59,47.69,45.7,9774200
34,2020-02-21,49.55,48.59,49.78,48.6,4913794
35,2020-02-20,49.41,49.2,49.94,49.8,5507100
36,2020-02-19,49.4,49.1,49.78,49.41,5756034
37,2020-02-18,48.11,47.84,49.01,49.01,9404053
38,2020-02-14,49.86,48.29,50.66,48.48,11891212
39,2020-02-13,55.77,50.9,56.42,50.93,13179801
40,2020-02-12,54.9,54.28,55.1,54.28,3984127
41,2020-02-11,54.34,54.18,54.84,54.47,4656800
42,2020-02-10,53.46,53.36,54.15,54.14,2756800
43,2020-02-07,52.98,52.93,53.76,53.46,3766300
44,2020-02-06,52.87,52.64,53.6,53.41,5286400
45,2020-02-05,51.38,51.27,52.65,52.48,4408400
