,date,open,low,high,close,volume
0,2020-01-06,132.29,131.91,133.11,133.11,235101
1,2020-01-03,131.01,131.01,133.05,132.99,280300
2,2020-01-02,131.52,131.15,132.39,132.36,332800
3,2020-04-06,102.81,99.87,104.67,103.93,527247
4,2020-04-03,98.88,97.56,100.87,98.75,288327
5,2020-04-02,100.99,98.81,104.96,100.06,609500
6,2020-04-01,100.5,100.21,103.29,102.12,578613
7,2020-03-31,106.36,102.32,106.44,104.09,754931
8,2020-03-30,104.55,99.5,108.66,107.33,358710
9,2020-03-27,102.12,101.1,108.31,104.7,409400
10,2020-03-26,99.17,98.87,106.05,105.35,477527
11,2020-03-25,96.89,96.33,103.58,99.64,597400
12,2020-03-24,97.23,94.68,100.57,98.12,695734
13,2020-03-23,91.6,88.46,98.02,93.18,793573
14,2020-03-20,83.39,80.26,93.86,91.05,1082642
15,2020-03-19,79.66,76.27,85.47,83.44,883900
16,2020-03-18,86.32,79.1,90.3,80.41,868600
17,2020-03-17,86.48,83.73,94.86,92.5,1063700
18,2020-03-16,93.0,83.33,100.15,83.9,968836
19,2020-03-13,102.35,97.57,104.72,104.53,573700
20,2020-03-12,100.15,95.37,104.28,96.61,716517
21,2020-03-11,110.69,107.09,111.93,108.38,457743
22,2020-03-10,112.67,108.87,114.01,113.89,499000
23,2020-03-09,113.0,107.74,115.5,109.05,723326
24,2020-03-06,116.16,115.91,120.3,119.69,468323
25,2020-03-05,123.15,118.79,123.92,120.8,445504
26,2020-03-04,125.26,122.75,126.96,126.85,533400
27,2020-03-03,127.37,122.88,129.65,123.25,553100
28,2020-03-02,120.8,120.61,127.95,127.89,553208
29,2020-02-28,124.05,117.93,125.59,120.59,1207400
30,2020-02-27,131.03,126.84,132.53,126.89,956015
31,2020-02-26,134.43,132.02,135.59,132.51,520524
32,2020-02-25,137.02,133.69,137.86,133.86,639500
33,2020-02-24,137.26,136.44,139.12,137.24,508000
34,2020-02-21,140.59,139.38,141.58,140.1,431111
35,2020-02-20,140.54,140.49,142.33,141.57,499000
36,2020-02-19,142.11,140.5,142.17,140.68,372413
37,2020-02-18,141.94,141.2,142.61,141.8,361800
38,2020-02-14,140.44,140.3,142.56,142.52,298200
39,2020-02-13,136.69,136.69,140.82,140.34,384700
40,2020-02-12,137.0,132.55,139.59,136.69,748508
41,2020-02-11,137.46,137.46,140.03,139.61,507700
42,2020-02-10,135.9,135.68,137.14,137.11,318017
43,2020-02-07,135.74,135.41,136.86,136.36,234248
44,2020-02-06,137.33,136.18,137.83,136.29,276544
45,2020-02-05,135.21,135.21,136.87,136.83,335900
46,2020-02-04,133.9,133.66,135.09,134.32,319912
47,2020-02-03,131.62,131.25,133.47,132.75,487700
48,2020-01-31,130.95,130.05,132.8,130.56,383500
49,2020-01-30,129.14,128.9,131.6,131.51,282700
50,2020-01-29,130.27,129.75,131.04,130.17,278500
51,2020-01-28,128.57,128.51,130.02,129.49,296300
52,2020-01-27,127.55,126.88,128.35,128.0,433900
53,2020-01-24,130.34,128.29,130.42,129.18,338000
54,2020-01-23,130.53,128.52,130.53,130.33,410100
55,2020-01-22,132.02,130.96,132.24,131.29,260600
56,2020-01-21,133.31,131.43,133.57,131.53,376200
57,2020-01-17,131.79,131.43,133.8,133.77,458000
58,2020-01-16,131.44,130.97,132.29,131.57,466543
59,2020-01-15,129.93,129.93,131.66,130.73,484221
60,2020-01-14,132.15,129.71,132.2,130.0,496300
61,2020-01-13,132.74,131.6,132.98,132.47,326500
62,2020-01-10,134.51,132.34,134.89,132.44,324041
63,2020-01-09,133.06,132.86,134.73,134.64,281600
64,2020-01-08,132.42,132.42,133.84,132.71,265139
65,2020-01-07,133.0,132.18,133.18,132.21,255547
66,2020-07-06,103.11,100.84,104.17,102.26,593626
67,2020-07-02,103.1,100.38,103.97,100.5,375431
68,2020-07-01,102.95,100.48,103.49,101.07,360400
69,2020-06-30,100.02,100.02,103.88,103.29,365944
70,2020-06-29,100.53,99.36,101.32,100.6,313000
71,2020-06-26,98.89,97.67,99.83,99.21,868005
72,2020-06-25,100.02,98.01,100.84,100.3,648203
73,2020-06-24,103.84,100.53,103.84,100.68,672418
74,2020-06-23,106.78,104.33,107.4,104.86,395105
75,2020-06-22,105.68,104.25,106.09,105.18,695230
76,2020-06-19,109.62,105.48,109.62,106.28,891600
77,2020-06-18,105.04,104.39,107.56,107.03,332640
78,2020-06-17,107.99,105.96,108.38,106.04,341425
79,2020-06-16,111.71,106.62,111.71,108.52,362504
80,2020-06-15,103.24,103.24,107.85,107.12,499014
81,2020-06-12,109.25,104.46,109.75,107.03,331600
82,2020-06-11,109.98,104.34,110.9,104.81,527937
83,2020-06-10,116.02,114.44,117.82,114.44,638900
84,2020-06-09,114.77,114.15,117.4,116.7,408829
85,2020-06-08,116.0,115.14,117.46,117.41,491104
86,2020-06-05,116.27,112.41,116.27,114.88,608504
87,2020-06-04,107.96,106.24,110.42,110.39,473639
88,2020-06-03,106.3,106.13,108.91,108.34,539000
89,2020-06-02,103.89,103.03,105.08,104.14,370100
90,2020-06-01,103.18,102.5,103.71,103.06,324439
91,2020-05-29,102.33,101.7,103.37,102.58,451500
92,2020-05-28,105.29,103.45,106.13,103.49,398944
93,2020-05-27,107.08,103.27,107.11,104.37,370518
94,2020-05-26,104.94,102.45,105.66,102.83,397842
95,2020-05-22,100.86,99.31,101.88,101.37,453545
96,2020-05-21,100.71,100.25,102.59,101.08,559900
97,2020-05-20,99.68,98.57,101.83,100.93,560500
98,2020-05-19,97.85,97.28,100.41,97.98,781200
99,2020-05-18,94.89,94.7,99.16,98.29,719239
100,2020-05-15,88.01,86.75,91.18,91.11,1931241
101,2020-05-14,86.39,83.89,89.3,89.05,669718
102,2020-05-13,92.26,86.78,92.42,87.76,1018788
103,2020-05-12,98.45,93.09,98.85,93.1,536702
104,2020-05-11,97.7,95.47,99.13,98.4,477900
105,2020-05-08,100.93,97.89,101.42,98.8,521929
106,2020-05-07,98.68,98.26,102.53,98.59,520914
107,2020-05-06,104.92,97.35,105.5,97.92,850916
108,2020-05-05,101.05,101.02,103.66,102.09,721400
109,2020-05-04,102.13,98.69,102.29,100.0,450800
110,2020-05-01,104.34,101.52,105.42,102.32,440500
111,2020-04-30,107.09,106.09,109.33,106.24,375635
112,2020-04-29,112.0,109.66,112.29,109.73,300200
113,2020-04-28,110.63,109.47,112.56,109.58,429746
114,2020-04-27,105.09,105.09,109.78,108.37,528900
115,2020-04-24,103.0,101.33,105.45,104.65,445011
116,2020-04-23,103.5,100.79,104.19,101.25,416800
117,2020-04-22,104.08,100.35,104.9,103.0,684800
118,2020-04-21,100.75,100.5,103.91,101.15,405600
119,2020-04-20,103.75,101.18,104.77,103.02,468800
120,2020-04-17,104.08,103.35,106.1,105.81,468230
121,2020-04-16,101.02,99.47,102.59,100.58,472065
122,2020-04-15,105.1,100.87,105.74,101.41,365200
123,2020-04-14,110.9,106.15,112.61,107.69,377900
124,2020-04-13,111.81,108.49,112.0,108.57,321107
125,2020-04-09,108.26,107.0,114.74,112.39,353700
126,2020-04-08,105.11,103.84,107.52,106.72,310922
127,2020-04-07,107.1,103.85,110.63,104.09,420844
128,2020-10-05,124.98,124.13,125.9,125.36,281316
129,2020-10-02,121.2,120.79,124.42,123.43,275413
130,2020-10-01,121.35,120.1,122.71,122.47,322200
131,2020-09-30,121.2,120.76,123.46,121.31,479836
132,2020-09-29,120.02,118.41,120.98,120.59,265300
133,2020-09-28,119.17,119.07,121.37,120.1,228807
134,2020-09-25,116.9,116.46,118.2,117.82,303300
135,2020-09-24,118.33,116.4,119.5,117.84,270000
136,2020-09-23,121.42,118.37,123.34,118.73,627200
137,2020-09-22,119.54,119.54,122.49,120.91,501000
138,2020-09-21,117.75,117.75,121.22,120.07,686504
139,2020-09-18,119.5,119.43,121.22,119.93,563800
140,2020-09-17,116.59,116.11,119.74,119.47,468400
141,2020-09-16,117.96,117.43,119.58,117.73,378741
142,2020-09-15,119.36,117.18,119.88,117.26,209300
143,2020-09-14,119.85,119.23,121.36,119.45,194200
144,2020-09-11,118.1,118.09,119.9,118.7,313400
145,2020-09-10,121.45,118.16,122.57,118.36,348201
146,2020-09-09,121.36,120.64,123.13,121.35,455000
147,2020-09-08,121.93,120.06,122.42,120.31,344638
148,2020-09-04,124.43,121.04,124.43,122.67,278500
149,2020-09-03,124.9,120.96,126.57,122.0,374300
150,2020-09-02,123.2,122.5,125.17,124.02,315059
151,2020-09-01,120.83,120.51,123.21,123.15,354700
152,2020-08-31,122.6,120.71,122.75,121.56,314600
153,2020-08-28,124.35,122.39,124.42,122.68,317611
154,2020-08-27,122.06,121.91,125.24,123.66,277800
155,2020-08-26,122.83,120.82,122.83,121.71,576806
156,2020-08-25,125.12,122.68,125.12,122.85,213419
157,2020-08-24,120.7,120.65,123.86,123.68,217449
158,2020-08-21,121.96,120.48,122.66,120.64,251900
159,2020-08-20,122.23,121.92,123.38,122.03,264300
160,2020-08-19,124.2,123.21,125.25,123.54,251410
161,2020-08-18,124.48,123.37,125.31,123.61,315700
162,2020-08-17,125.12,123.73,125.75,124.57,320310
163,2020-08-14,123.24,123.24,125.87,125.07,216130
164,2020-08-13,123.92,123.0,125.0,124.44,322447
165,2020-08-12,126.37,123.56,128.49,124.47,292000
166,2020-08-11,126.43,124.48,127.91,124.96,493403
167,2020-08-10,123.11,121.49,124.56,124.2,341542
168,2020-08-07,118.45,118.41,122.31,122.21,428400
169,2020-08-06,121.56,117.95,122.11,118.87,501300
170,2020-08-05,114.8,112.41,124.81,122.31,1149522
171,2020-08-04,106.64,106.49,108.27,107.15,427400
172,2020-08-03,107.84,106.75,108.38,107.29,352700
173,2020-07-31,105.2,105.14,107.54,107.47,408500
174,2020-07-30,105.46,104.2,106.2,105.28,383900
175,2020-07-29,105.97,105.69,107.9,107.58,353644
176,2020-07-28,105.12,105.08,106.56,105.98,317408
177,2020-07-27,106.14,104.68,106.44,105.67,327413
178,2020-07-24,107.72,106.31,107.95,106.79,296200
179,2020-07-23,105.58,105.58,108.3,107.35,352739
180,2020-07-22,104.38,104.38,106.08,105.93,216940
181,2020-07-21,103.34,103.34,105.17,104.7,263644
182,2020-07-20,103.89,102.65,104.56,103.21,237000
183,2020-07-17,105.43,103.95,105.51,104.17,397345
184,2020-07-16,103.6,103.43,106.4,105.07,345411
185,2020-07-15,103.71,102.07,104.2,103.85,265143
186,2020-07-14,100.58,100.21,102.0,101.53,278600
187,2020-07-13,101.3,99.6,101.74,100.17,518500
188,2020-07-10,98.32,97.97,100.71,100.37,301410
189,2020-07-09,100.29,96.72,100.79,97.56,463300
190,2020-07-08,99.46,98.83,101.15,100.74,434800
191,2020-07-07,101.22,99.0,102.01,99.42,435107
192,2021-01-04,136.21,131.05,136.59,132.11,395700
193,2020-12-31,134.46,133.87,136.4,136.22,233100
194,2020-12-30,132.43,132.43,134.53,134.03,210917
195,2020-12-29,133.89,132.01,133.89,132.53,204500
196,2020-12-28,132.99,132.5,134.04,133.38,188304
197,2020-12-24,132.55,131.85,132.85,132.62,86700
198,2020-12-23,131.57,131.57,133.45,132.44,260635
199,2020-12-22,131.16,131.08,132.52,131.49,334214
200,2020-12-21,130.92,128.98,131.62,130.82,370303
201,2020-12-18,132.25,130.25,133.61,131.29,915154
202,2020-12-17,134.65,132.17,135.2,132.37,434235
203,2020-12-16,133.14,132.78,134.81,134.21,310900
204,2020-12-15,132.32,131.72,133.94,132.39,473694
205,2020-12-14,133.75,131.6,134.37,131.65,244600
206,2020-12-11,131.99,131.48,133.35,132.22,257000
207,2020-12-10,130.8,130.58,132.99,132.52,379539
208,2020-12-09,132.3,130.95,132.57,131.18,376000
209,2020-12-08,130.36,130.36,132.88,131.93,395934
210,2020-12-07,131.54,130.64,132.01,131.33,476911
211,2020-12-04,132.9,131.72,133.32,132.58,338700
212,2020-12-03,131.19,131.19,132.74,132.18,604924
213,2020-12-02,130.4,130.21,132.11,131.58,619000
214,2020-12-01,131.39,130.73,132.67,131.36,455725
215,2020-11-30,132.88,129.04,133.77,129.12,504525
216,2020-11-27,134.54,133.5,134.98,133.79,158320
217,2020-11-25,135.28,134.19,136.09,135.58,377543
218,2020-11-24,136.66,135.18,136.89,136.08,521978
219,2020-11-23,135.58,134.63,135.88,135.33,379100
220,2020-11-20,134.51,133.53,135.26,133.89,423802
221,2020-11-19,134.63,133.19,135.09,134.92,284735
222,2020-11-18,138.74,135.52,139.68,135.62,342500
223,2020-11-17,135.76,134.55,138.78,138.59,558923
224,2020-11-16,136.52,135.24,137.82,137.11,466100
225,2020-11-13,131.9,131.72,133.91,133.51,428300
226,2020-11-12,130.86,129.39,131.86,130.82,344922
227,2020-11-11,134.21,130.67,134.96,131.59,638809
228,2020-11-10,133.49,131.58,134.18,134.16,719014
229,2020-11-09,136.44,130.62,136.87,131.8,716155
230,2020-11-06,128.46,126.73,129.4,127.09,259400
231,2020-11-05,126.87,125.27,128.09,127.36,324729
232,2020-11-04,123.78,123.78,130.05,125.89,438500
233,2020-11-03,130.49,124.57,131.3,126.31,961566
234,2020-11-02,125.5,125.29,130.27,129.93,881800
235,2020-10-30,124.27,122.92,125.81,124.37,286300
236,2020-10-29,121.49,119.97,125.96,125.2,360700
237,2020-10-28,118.58,118.58,123.81,122.21,402300
238,2020-10-27,123.22,120.54,123.4,120.69,186941
239,2020-10-26,124.32,121.57,124.83,123.16,195664
240,2020-10-23,125.7,124.36,127.0,125.99,258546
241,2020-10-22,122.42,122.17,125.05,124.59,236400
242,2020-10-21,122.34,122.34,123.87,122.94,298300
243,2020-10-20,122.8,122.36,123.74,122.6,184136
