,date,open,low,high,close,volume
0,2020-01-06,95.05,94.53,95.75,95.75,1024700
1,2020-01-03,94.5,94.29,95.52,95.31,678200
2,2020-01-02,95.61,94.62,95.86,95.51,724500
3,2020-04-06,79.69,77.46,83.0,82.21,1483241
4,2020-04-03,77.6,74.52,78.82,76.26,2491406
5,2020-04-02,76.18,75.57,79.06,78.76,1651600
6,2020-04-01,78.12,75.63,79.65,77.0,1603900
7,2020-03-31,82.23,80.97,83.48,81.51,1693131
8,2020-03-30,81.35,78.59,83.47,83.22,989230
9,2020-03-27,77.88,77.68,83.1,80.17,1122108
10,2020-03-26,78.28,76.27,81.07,80.78,1634300
11,2020-03-25,76.15,75.29,81.47,77.21,2309300
12,2020-03-24,71.23,70.37,78.07,77.27,1364346
13,2020-03-23,71.57,66.04,71.99,68.24,1672569
14,2020-03-20,68.73,66.9,73.91,71.58,2402000
15,2020-03-19,71.67,67.4,72.13,68.55,2039700
16,2020-03-18,80.1,65.09,81.43,72.44,1722516
17,2020-03-17,82.71,79.75,87.58,85.46,1999100
18,2020-03-16,75.12,75.0,85.73,79.85,1607025
19,2020-03-13,90.43,83.14,91.02,90.06,1826200
20,2020-03-12,88.88,79.78,92.55,86.17,1636600
21,2020-03-11,95.0,93.32,96.61,94.98,1474800
22,2020-03-10,96.81,93.03,98.35,97.56,1762832
23,2020-03-09,94.04,90.63,95.61,94.14,1554600
24,2020-03-06,98.61,97.1,101.26,100.84,860742
25,2020-03-05,103.63,100.78,104.16,102.11,1070221
26,2020-03-04,102.67,102.17,106.3,106.21,1324239
27,2020-03-03,103.22,99.56,104.36,100.69,1063300
28,2020-03-02,97.82,97.82,103.59,103.51,1815500
29,2020-02-28,96.92,93.91,98.0,97.49,2218798
30,2020-02-27,102.7,99.03,103.35,99.08,1357500
31,2020-02-26,104.39,103.4,105.53,103.84,2081000
32,2020-02-25,106.59,103.63,106.6,103.87,1006000
33,2020-02-24,106.81,105.82,107.76,106.21,799200
34,2020-02-21,107.89,106.74,108.2,107.83,800500
35,2020-02-20,108.51,106.64,108.51,108.17,689430
36,2020-02-19,108.74,108.16,109.14,108.78,565500
37,2020-02-18,109.12,108.13,109.46,108.51,612400
38,2020-02-14,108.21,108.05,109.19,109.16,606422
39,2020-02-13,106.6,106.44,108.25,108.2,424503
40,2020-02-12,107.16,106.55,107.75,106.65,640716
41,2020-02-11,107.2,107.0,107.94,107.4,680432
42,2020-02-10,104.73,104.65,106.79,106.78,591500
43,2020-02-07,105.12,104.8,105.77,104.93,578100
44,2020-02-06,105.23,104.97,105.61,105.12,773800
45,2020-02-05,105.36,104.51,105.49,105.08,696200
46,2020-02-04,104.8,104.01,105.4,104.7,915121
47,2020-02-03,103.24,103.13,104.66,104.26,1035700
48,2020-01-31,103.0,102.27,105.67,102.57,1874437
49,2020-01-30,98.32,97.48,100.36,100.2,942300
50,2020-01-29,98.76,98.43,99.45,98.82,506401
51,2020-01-28,96.58,96.25,98.93,98.37,822100
52,2020-01-27,95.8,95.78,96.99,96.19,700400
53,2020-01-24,97.23,96.23,97.3,96.86,479539
54,2020-01-23,95.84,95.26,97.17,96.99,782841
55,2020-01-22,96.3,96.06,96.69,96.27,568341
56,2020-01-21,96.17,96.07,96.5,96.19,495710
57,2020-01-17,96.33,96.12,96.7,96.45,629103
58,2020-01-16,96.19,95.76,96.43,96.05,633302
59,2020-01-15,94.97,94.77,95.99,95.81,618400
60,2020-01-14,95.16,94.83,95.51,95.09,673833
61,2020-01-13,95.47,95.03,95.75,95.37,556900
62,2020-01-10,95.83,95.33,96.18,95.44,675244
63,2020-01-09,95.3,95.15,95.95,95.78,635527
64,2020-01-08,94.75,94.7,95.78,94.85,795700
65,2020-01-07,95.56,94.66,95.75,94.72,627848
66,2020-07-06,99.0,96.55,99.0,96.88,809247
67,2020-07-02,98.71,96.96,98.92,97.34,684700
68,2020-07-01,97.87,96.91,98.29,97.35,714744
69,2020-06-30,95.58,95.26,98.08,97.49,633300
70,2020-06-29,97.5,94.97,97.5,95.67,721128
71,2020-06-26,96.65,95.96,97.92,96.67,2072700
72,2020-06-25,94.75,93.87,97.49,97.28,871030
73,2020-06-24,96.31,94.17,96.47,94.78,1011103
74,2020-06-23,97.79,96.92,98.38,97.52,771414
75,2020-06-22,94.97,94.74,97.17,96.74,1120926
76,2020-06-19,100.91,94.74,101.0,94.74,2929200
77,2020-06-18,98.35,98.27,100.58,99.17,890735
78,2020-06-17,96.14,95.87,99.36,98.35,1207800
79,2020-06-16,98.13,95.06,98.13,95.65,1285600
80,2020-06-15,93.02,92.49,96.08,95.13,2044000
81,2020-06-12,97.16,93.86,97.16,95.32,1968708
82,2020-06-11,98.56,94.1,98.56,94.47,2108047
83,2020-06-10,100.82,100.39,102.25,100.41,1168300
84,2020-06-09,101.0,99.51,102.05,101.15,1229000
85,2020-06-08,99.65,99.28,101.9,101.9,1349400
86,2020-06-05,100.84,99.01,101.54,100.45,1379400
87,2020-06-04,96.56,95.77,98.46,98.2,766317
88,2020-06-03,96.36,96.14,98.1,97.95,792500
89,2020-06-02,94.62,94.25,95.98,95.5,962500
90,2020-06-01,94.38,93.58,95.02,94.46,946900
91,2020-05-29,93.62,93.07,94.95,94.28,1389624
92,2020-05-28,95.0,93.29,95.0,94.0,1131209
93,2020-05-27,94.06,92.85,94.5,93.82,1007107
94,2020-05-26,92.69,91.62,93.44,92.38,1229808
95,2020-05-22,90.96,89.9,91.17,91.1,900224
96,2020-05-21,90.14,89.67,91.22,91.0,938900
97,2020-05-20,90.91,90.01,91.59,90.69,1008900
98,2020-05-19,89.79,89.79,91.16,90.22,1019383
99,2020-05-18,90.06,89.49,90.87,90.3,1140120
100,2020-05-15,85.56,85.06,87.49,87.23,2523030
101,2020-05-14,84.8,84.05,87.14,86.49,1406023
102,2020-05-13,86.15,83.77,86.81,85.83,1577916
103,2020-05-12,87.02,86.41,87.81,87.03,1322400
104,2020-05-11,85.72,84.9,87.98,86.86,804700
105,2020-05-08,86.36,85.08,86.49,86.4,1097900
106,2020-05-07,81.48,81.48,85.94,85.38,1508936
107,2020-05-06,84.16,80.24,84.36,80.45,1444300
108,2020-05-05,80.52,80.1,83.64,83.13,1845117
109,2020-05-04,77.03,76.44,80.57,80.14,1312131
110,2020-05-01,78.5,76.26,80.45,77.51,1848600
111,2020-04-30,78.38,77.94,79.56,78.5,2421304
112,2020-04-29,78.89,77.48,80.6,79.67,2055300
113,2020-04-28,78.47,76.75,79.6,77.22,1386300
114,2020-04-27,75.87,75.74,77.76,77.38,1048838
115,2020-04-24,75.32,73.66,75.85,75.28,1169500
116,2020-04-23,77.75,74.51,78.02,74.82,1045621
117,2020-04-22,78.92,76.78,79.35,77.59,1187512
118,2020-04-21,78.72,77.03,79.93,77.54,1211816
119,2020-04-20,83.23,80.17,83.42,80.78,1240300
120,2020-04-17,83.29,81.65,84.06,83.6,1602537
121,2020-04-16,83.85,80.56,84.24,80.79,1100017
122,2020-04-15,84.5,82.88,86.48,83.65,1593700
123,2020-04-14,85.66,85.0,88.3,86.54,1552400
124,2020-04-13,85.48,82.75,86.22,83.57,983245
125,2020-04-09,85.9,85.37,88.35,86.84,1374600
126,2020-04-08,83.03,81.76,85.62,85.04,1187724
127,2020-04-07,84.81,81.83,86.98,82.28,1753900
128,2020-10-05,106.72,106.4,107.65,107.06,558000
129,2020-10-02,104.53,103.95,106.94,106.21,535600
130,2020-10-01,105.83,104.55,106.46,105.61,745035
131,2020-09-30,105.26,104.55,106.46,105.58,1197900
132,2020-09-29,104.68,104.35,105.44,104.77,504335
133,2020-09-28,103.96,103.26,105.42,104.96,629337
134,2020-09-25,102.08,101.36,103.18,102.97,623531
135,2020-09-24,102.42,101.66,103.82,102.45,656117
136,2020-09-23,104.1,101.97,105.13,102.36,1709449
137,2020-09-22,103.83,102.96,105.5,104.29,1236218
138,2020-09-21,102.46,102.16,104.14,104.11,1537708
139,2020-09-18,103.71,103.66,105.69,104.21,1533000
140,2020-09-17,102.48,102.0,104.03,103.71,1177100
141,2020-09-16,103.34,102.83,104.38,103.04,873806
142,2020-09-15,102.69,102.61,103.85,102.98,658608
143,2020-09-14,102.39,102.2,103.13,102.61,1010634
144,2020-09-11,102.45,101.22,102.77,101.79,548318
145,2020-09-10,103.31,101.62,103.79,101.93,1160426
146,2020-09-09,101.77,101.77,104.32,103.23,657200
147,2020-09-08,103.22,100.32,103.22,101.08,826837
148,2020-09-04,105.51,102.47,105.88,103.68,731526
149,2020-09-03,107.64,103.9,108.03,104.58,612408
150,2020-09-02,105.69,105.35,107.76,107.35,806917
151,2020-09-01,105.7,104.84,105.73,105.69,748800
152,2020-08-31,104.96,104.4,105.83,105.3,1150300
153,2020-08-28,106.43,104.39,106.53,105.05,674700
154,2020-08-27,104.9,104.68,106.26,106.0,698900
155,2020-08-26,103.94,103.32,104.8,104.47,1382300
156,2020-08-25,104.72,103.89,105.56,104.27,910307
