,date,open,low,high,close,volume
0,2020-01-06,86.65,86.61,87.58,87.55,1394159
1,2020-01-03,86.44,86.4,87.5,87.24,865924
2,2020-01-02,86.84,86.53,87.83,87.64,1079893
3,2020-04-06,98.13,95.4,98.4,97.79,2191639
4,2020-04-03,94.21,93.48,96.69,95.36,2035570
5,2020-04-02,91.44,90.7501,95.96,93.12,2028147
6,2020-04-01,89.24,88.75,92.89,91.6,2357774
7,2020-03-31,92.89,91.29,95.1,91.49,1741713
8,2020-03-30,92.09,90.32,94.5,94.19,2335486
9,2020-03-27,93.03,88.93,93.1,90.61,2736633
10,2020-03-26,90.02,86.74,94.86,94.38,2919716
11,2020-03-25,90.12,88.48,93.78,89.35,2704008
12,2020-03-24,87.29,85.33,90.25,89.98,2369959
13,2020-03-23,84.16,81.8,88.21,85.54,3185492
14,2020-03-20,90.02,81.95,90.03,82.37,3468913
15,2020-03-19,93.7,88.44,98.255,88.85,2966776
16,2020-03-18,82.47,82.47,97.645,97.1,4423232
17,2020-03-17,85.31,82.33,90.9,88.43,3271930
18,2020-03-16,76.75,75.1801,87.37,83.23,2789913
19,2020-03-13,84.38,81.1558,86.93,85.73,2820407
20,2020-03-12,81.62,79.81,88.8,80.05,3202603
21,2020-03-11,84.22,84.11,87.84,87.02,2531030
22,2020-03-10,84.79,82.435,86.82,86.15,2058796
23,2020-03-09,83.8,82.46,86.685,82.62,1898296
24,2020-03-06,89.78,88.03,91.19,90.62,2097221
25,2020-03-05,92.13,91.77,93.86,92.98,1903736
26,2020-03-04,91.96,91.27,95.0,94.9,1507117
27,2020-03-03,90.53,89.15,93.09,90.28,2616485
28,2020-03-02,87.31,86.6,90.92,90.91,1726810
29,2020-02-28,86.61,84.28,87.8,86.51,3279654
30,2020-02-27,90.7,89.0,92.42,89.31,1706676
31,2020-02-26,94.57,92.48,95.58,92.54,1635237
32,2020-02-25,97.62,93.525,98.32,93.73,1293881
33,2020-02-24,97.1,95.89,98.54,97.11,1514131
34,2020-02-21,101.4,99.34,102.0,100.52,1132070
35,2020-02-20,101.9,100.82,103.34,101.47,1474213
36,2020-02-19,101.2,101.19,102.985,102.56,1274712
37,2020-02-18,99.29,98.77,101.24,100.96,1527854
38,2020-02-14,99.77,98.9,100.38,99.67,1053354
39,2020-02-13,96.7,96.69,100.49,99.6,1914166
40,2020-02-12,99.95,97.0,103.29,97.45,4497907
41,2020-02-11,96.21,95.76,96.87,96.37,1834255
42,2020-02-10,95.66,95.18,96.17,95.76,1387078
43,2020-02-07,96.43,95.77,97.4003,96.12,1242820
44,2020-02-06,96.32,96.0,97.2,96.95,776475
45,2020-02-05,95.74,94.91,96.04,95.95,915884
46,2020-02-04,94.8,94.21,95.29,95.22,1055647
47,2020-02-03,94.01,93.33,94.28,93.68,820336
48,2020-01-31,94.49,92.97,94.49,93.35,1020152
49,2020-01-30,94.49,93.4,95.27,94.61,852077
50,2020-01-29,95.2,94.75,95.88,94.84,922653
51,2020-01-28,94.73,94.49,95.43,94.83,851445
52,2020-01-27,94.06,93.81,94.72,94.23,845887
53,2020-01-24,97.2,95.17,97.75,95.52,1004876
54,2020-01-23,95.5,94.98,96.89,96.44,817883
55,2020-01-22,95.51,95.29,96.15,95.585,902377
56,2020-01-21,94.92,94.5549,95.48,94.95,1353145
57,2020-01-17,96.0,94.7,96.0,95.31,944056
58,2020-01-16,95.61,94.89,95.85,95.82,1274652
59,2020-01-15,94.14,94.0,95.81,95.12,1106992
60,2020-01-14,94.58,93.245,94.59,93.93,1090277
61,2020-01-13,94.0,93.83,95.36,94.68,1066596
62,2020-01-10,93.59,92.73,93.96,93.53,1183819
63,2020-01-09,92.0,91.83,93.22,93.19,1639613
64,2020-01-08,90.54,89.99,91.97,91.4,1899024
65,2020-01-07,88.96,88.41,91.15,90.2,2476356
66,2020-07-06,116.0,111.88,116.39,112.61,2911831
67,2020-07-02,109.98,109.14,114.37,113.12,4433879
68,2020-07-01,106.55,104.89,107.0,106.33,1746424
69,2020-06-30,105.38,105.11,107.53,107.09,1709684
70,2020-06-29,105.62,103.55,105.71,104.99,1862547
71,2020-06-26,102.78,102.395,105.92,105.37,4123594
72,2020-06-25,101.0,98.62,102.96,102.89,2134142
73,2020-06-24,100.92,99.82,102.11,100.97,2147763
74,2020-06-23,102.05,100.62,103.2,100.88,1626564
75,2020-06-22,100.95,100.25,102.7,101.59,1302136
76,2020-06-19,101.9,100.05,102.67,100.47,2825139
77,2020-06-18,101.62,99.55,101.85,100.69,1368281
78,2020-06-17,100.69,100.3,102.6,101.41,1886504
79,2020-06-16,102.895,99.05,102.895,100.04,2411574
80,2020-06-15,99.68,99.5875,101.4,100.54,1593347
81,2020-06-12,102.04,99.64,103.19,100.34,1501696
82,2020-06-11,102.89,100.36,104.42,100.48,1574229
83,2020-06-10,103.5,102.6,104.56,103.85,1414454
84,2020-06-09,103.26,101.1,103.26,102.73,1201856
85,2020-06-08,99.48,99.165,103.59,103.38,1686290
86,2020-06-05,101.32,98.14,101.83,99.0,2962818
87,2020-06-04,102.21,101.53,103.68,101.84,1933036
88,2020-06-03,105.5,102.42,105.5,103.01,1961263
89,2020-06-02,106.1465,102.59,106.45,105.53,2047666
90,2020-06-01,105.05,103.03,106.46,105.71,1695783
91,2020-05-29,103.76,102.23,106.27,105.8,6083167
92,2020-05-28,99.91,99.91,104.49,102.91,1742107
93,2020-05-27,99.35,97.25,99.99,99.97,1569450
94,2020-05-26,102.0,99.83,102.17,100.08,1523358
95,2020-05-22,100.65,99.885,101.26,100.42,1177949
96,2020-05-21,100.46,99.8,101.94,101.0,1604634
97,2020-05-20,98.79,98.46,100.88,100.58,1665787
98,2020-05-19,98.27,97.26,99.35,97.3,1247988
99,2020-05-18,98.8,97.0,99.62,98.1,1783420
100,2020-05-15,96.09,95.71,99.015,98.09,3004396
101,2020-05-14,95.2,94.21,97.26,97.23,1765366
102,2020-05-13,97.0,94.4,97.59,95.37,2321183
103,2020-05-12,102.54,95.75,102.69,95.76,2804034
104,2020-05-11,101.31,100.76,103.1462,101.89,1360288
105,2020-05-08,101.52,100.35,101.81,101.15,1213300
106,2020-05-07,101.28,99.88,102.47,100.6,1905106
107,2020-05-06,100.36,98.88,100.84,99.17,1566974
108,2020-05-05,98.92,97.83,100.47,99.19,1941996
109,2020-05-04,96.05,95.53,97.64,97.6,1929752
110,2020-05-01,96.36,94.92,97.87,95.86,1913862
111,2020-04-30,96.84,94.61,97.95,97.71,3496729
112,2020-04-29,98.06,92.79,98.51,97.87,10771658
113,2020-04-28,104.78,101.71,104.78,101.93,2975395
114,2020-04-27,104.39,101.335,104.39,103.07,2227947
115,2020-04-24,101.1,99.74,102.83,102.78,2293585
116,2020-04-23,104.81,101.56,104.81,102.26,2273020
117,2020-04-22,104.86,102.58,105.93,104.29,1664028
118,2020-04-21,106.23,101.74,107.391,103.36,1462568
119,2020-04-20,106.88,105.13,108.25,106.24,2305102
120,2020-04-17,106.89,102.8,107.04,105.35,3013706
121,2020-04-16,100.63,100.31,107.22,105.84,3617059
122,2020-04-15,100.5,98.86,100.88,100.39,1989555
