,date,open,low,high,close,volume
0,2020-01-06,71.0,70.19,72.17,71.49,1330518
1,2020-01-03,71.41,71.22,72.39,71.57,1337602
2,2020-01-02,73.5,72.19,73.88,72.61,1620838
3,2020-04-06,55.13,54.48,57.68,56.93,1725868
4,2020-04-03,53.63,52.69,55.38,52.7,1749720
5,2020-04-02,54.88,52.95,59.01,53.66,1911448
6,2020-04-01,54.26,53.62,57.04,54.84,2253925
7,2020-03-31,55.52,55.11,57.73,56.37,2585900
8,2020-03-30,55.61,54.51,56.49,55.6,2045810
9,2020-03-27,58.0,54.75,58.0,55.02,2439630
10,2020-03-26,60.0,57.2,60.72,60.46,2245139
11,2020-03-25,56.39,55.38,63.86,60.02,2295600
12,2020-03-24,53.89,53.05,57.87,56.03,1839895
13,2020-03-23,52.38,48.89,54.38,50.9,2507501
14,2020-03-20,62.68,53.02,63.41,53.45,2963641
15,2020-03-19,66.55,60.25,67.83,61.94,2016208
16,2020-03-18,62.41,58.62,69.11,68.64,2762401
17,2020-03-17,60.29,57.31,68.26,67.06,3062418
18,2020-03-16,61.34,58.93,63.02,58.96,2388300
19,2020-03-13,69.46,62.12,69.78,68.01,2067848
20,2020-03-12,63.97,60.57,68.56,64.79,2619611
21,2020-03-11,73.38,69.06,73.38,70.07,2059329
22,2020-03-10,77.11,72.22,77.63,75.19,2771420
23,2020-03-09,75.5,69.59,76.35,72.96,2627494
24,2020-03-06,82.36,80.64,83.96,82.6,1490928
25,2020-03-05,83.83,83.51,86.78,84.77,1490247
26,2020-03-04,85.06,83.27,86.37,86.27,1198018
27,2020-03-03,83.71,80.88,85.24,82.79,1932306
28,2020-03-02,82.49,80.15,84.3,84.3,1661390
29,2020-02-28,78.11,76.67,82.0,81.85,2580248
30,2020-02-27,83.11,80.74,84.94,80.8,2530266
31,2020-02-26,85.19,84.31,87.78,85.65,1583916
32,2020-02-25,90.39,85.68,91.17,85.83,2195608
33,2020-02-24,87.87,87.21,90.53,89.61,1682221
34,2020-02-21,92.15,90.46,93.32,92.43,2263619
35,2020-02-20,89.0,88.35,99.4,94.31,4973615
36,2020-02-19,89.0,88.69,90.7,89.34,2041284
37,2020-02-18,88.79,86.69,89.58,88.7,1449140
38,2020-02-14,88.54,88.49,90.54,89.64,2105605
39,2020-02-13,85.94,85.1,88.67,87.93,1725472
40,2020-02-12,87.02,86.1,88.09,86.83,1311807
41,2020-02-11,83.77,83.26,85.39,84.71,1311100
42,2020-02-10,83.11,83.11,84.7,83.25,1553820
43,2020-02-07,85.52,82.1,85.72,82.54,2337772
