,date,open,low,high,close,volume
0,2020-01-06,276.68,276.405,286.18,285.88,775783
1,2020-01-03,279.1,278.68,282.02,280.44,488782
2,2020-01-02,281.2,278.61,284.14,283.68,766209
3,2020-04-06,167.05,164.04,177.88,176.74,1575071
4,2020-04-03,151.37,151.37,158.96,154.2,1464502
5,2020-04-02,155.07,150.38,160.7,152.07,1316848
6,2020-04-01,164.09,153.19,170.62,157.2,1513289
7,2020-03-31,177.99,169.76,182.5449,173.95,1270930
8,2020-03-30,174.69,170.33,180.79,179.92,1222474
9,2020-03-27,180.5,173.39,182.01,177.04,1168208
10,2020-03-26,182.9,182.495,200.62,191.64,1529335
11,2020-03-25,170.37,168.01,194.48,183.68,2143438
12,2020-03-24,149.53,146.54,165.8,165.28,1478097
13,2020-03-23,146.25,133.0,148.66,137.72,1631490
14,2020-03-20,144.95,142.62,157.94,144.82,1755861
15,2020-03-19,141.29,127.88,146.79,142.23,1832179
16,2020-03-18,158.79,135.0,163.825,145.76,1613999
17,2020-03-17,165.43,147.08,171.68,169.25,1882668
18,2020-03-16,170.65,161.38,172.904,161.72,1513767
19,2020-03-13,190.0,179.05,195.97,195.88,1240570
20,2020-03-12,182.23,174.565,194.4,180.12,1874835
21,2020-03-11,221.43,199.46,223.15,202.18,1587963
22,2020-03-10,221.56,216.85,229.67,228.16,1006463
23,2020-03-09,209.26,202.95,221.5,216.84,1313869
24,2020-03-06,219.77,218.8,226.58,225.17,1061003
25,2020-03-05,229.54,226.52,236.58,230.69,1101400
26,2020-03-04,228.32,225.1415,234.99,234.7,924346
27,2020-03-03,229.44,222.0,238.68,224.56,1065364
28,2020-03-02,218.91,212.94,230.49,230.22,1325385
29,2020-02-28,215.33,211.01,220.4699,218.35,1741406
30,2020-02-27,222.25,217.07,234.4,223.97,1050143
31,2020-02-26,232.69,226.75,236.685,227.54,720367
32,2020-02-25,241.45,229.25,242.5109,229.61,1134910
33,2020-02-24,245.36,238.5,248.99,240.11,1368111
