,date,open,low,high,close,volume
0,2020-01-06,112.34,112.04,113.21,113.16,1214837
1,2020-01-03,111.84,111.77,113.1,112.83,1047144
2,2020-01-02,112.97,111.66,113.0,112.82,1212402
3,2020-04-06,90.53,88.64,94.63,93.52,2408457
4,2020-04-03,85.09,83.75,86.99,85.96,3264330
5,2020-04-02,86.27,84.04,89.73,85.79,2580000
6,2020-04-01,86.49,85.35,88.8,86.4,2684000
7,2020-03-31,93.4,91.21,94.19,91.73,2534960
8,2020-03-30,88.28,85.48,95.29,94.64,2745400
9,2020-03-27,86.11,85.13,92.59,88.46,2662532
10,2020-03-26,83.11,83.01,90.51,89.5,3563500
11,2020-03-25,77.86,75.01,86.71,83.0,3539600
12,2020-03-24,78.1,75.7,79.18,77.92,3197668
13,2020-03-23,71.74,68.86,75.92,73.23,3181239
14,2020-03-20,76.36,70.76,78.66,73.87,3911134
15,2020-03-19,74.13,70.73,78.52,74.69,2475800
16,2020-03-18,81.64,64.13,83.75,75.55,3617445
17,2020-03-17,87.16,85.27,90.65,87.94,2917937
18,2020-03-16,78.0,78.0,90.54,84.98,3607740
19,2020-03-13,89.46,83.1,93.06,92.77,3606114
20,2020-03-12,86.04,83.72,90.38,83.8,4397735
21,2020-03-11,96.25,90.55,96.68,92.77,2662000
22,2020-03-10,99.36,94.58,100.2,99.26,2511182
23,2020-03-09,99.57,94.02,100.16,95.61,2527123
24,2020-03-06,104.21,103.91,107.71,107.14,3277500
25,2020-03-05,111.15,107.04,112.09,108.46,2459900
26,2020-03-04,111.33,110.17,114.89,114.51,1905902
27,2020-03-03,112.43,108.0,113.58,109.2,2810344
28,2020-03-02,104.59,104.59,112.76,112.67,2794625
29,2020-02-28,106.58,102.91,107.9,105.25,4179813
30,2020-02-27,114.59,109.87,115.03,109.92,2367068
31,2020-02-26,117.96,115.72,119.01,115.73,2479025
32,2020-02-25,120.75,117.14,120.8,117.31,2046443
33,2020-02-24,121.45,120.18,122.37,120.54,1745600
34,2020-02-21,123.29,122.92,124.03,123.62,1477700
35,2020-02-20,123.99,123.05,124.48,123.46,2146134
36,2020-02-19,124.6,123.85,125.0,124.26,1414649
37,2020-02-18,125.4,124.11,125.92,124.3,1663721
38,2020-02-14,124.93,124.65,125.59,125.57,1110900
39,2020-02-13,123.65,123.2,124.92,124.89,1367500
40,2020-02-12,125.25,122.95,125.25,123.78,1549109
41,2020-02-11,123.9,123.72,125.41,125.1,1739604
42,2020-02-10,124.34,123.27,124.83,123.95,1534300
43,2020-02-07,123.87,123.61,124.76,124.43,1331600
44,2020-02-06,124.77,123.79,125.43,123.89,1506724
45,2020-02-05,121.07,121.07,124.94,124.67,2718400
46,2020-02-04,120.16,119.91,121.16,119.95,1848480
47,2020-02-03,119.0,118.8,120.07,119.05,1439702
48,2020-01-31,119.21,118.27,120.11,118.54,1754500
49,2020-01-30,117.59,117.57,119.98,119.88,1289419
50,2020-01-29,118.5,117.67,118.72,118.36,1878800
51,2020-01-28,116.88,116.88,118.15,117.54,1496518
52,2020-01-27,117.0,116.56,117.93,116.58,1135200
53,2020-01-24,118.24,117.48,118.75,118.28,2152200
54,2020-01-23,117.06,116.1,118.39,118.15,1502433
55,2020-01-22,118.24,117.59,118.69,117.65,1274111
56,2020-01-21,117.15,117.06,118.27,117.8,1314122
57,2020-01-17,116.4,115.85,117.62,117.55,1725700
58,2020-01-16,114.54,114.27,116.16,116.15,1902984
59,2020-01-15,113.62,113.05,114.63,114.26,1692535
60,2020-01-14,114.35,113.44,114.39,113.8,1899100
61,2020-01-13,113.48,113.45,114.49,114.48,1526100
62,2020-01-10,113.96,113.18,114.16,113.45,1431212
63,2020-01-09,113.0,112.72,113.91,113.78,1462006
64,2020-01-08,112.55,112.44,113.83,112.5,1748900
65,2020-01-07,112.68,112.16,112.99,112.19,1641000
66,2020-07-06,95.83,95.09,96.82,95.64,1451429
67,2020-07-02,97.07,93.87,97.26,94.09,1941311
68,2020-07-01,96.73,95.37,97.43,95.53,1611000
69,2020-06-30,95.55,95.41,97.68,96.99,1839800
70,2020-06-29,95.56,94.58,95.88,95.44,1262200
71,2020-06-26,94.5,93.71,95.7,94.58,2418300
72,2020-06-25,93.37,93.25,95.88,95.83,1652416
73,2020-06-24,95.8,92.88,95.9,92.95,2743741
74,2020-06-23,98.92,96.54,99.28,96.66,1672452
75,2020-06-22,97.89,96.94,98.58,97.16,1465302
76,2020-06-19,101.0,97.51,101.0,98.73,3654700
77,2020-06-18,97.46,96.6,99.02,98.75,1337107
78,2020-06-17,99.13,97.7,99.65,97.95,1566900
79,2020-06-16,100.63,97.21,101.08,99.12,1850200
80,2020-06-15,93.09,92.7,98.41,97.83,2049011
81,2020-06-12,97.34,93.26,97.5,95.7,2198847
82,2020-06-11,99.73,94.78,100.23,94.79,2295456
83,2020-06-10,102.98,101.69,104.0,101.98,2013100
84,2020-06-09,105.41,102.81,105.88,103.21,1654900
85,2020-06-08,105.65,104.77,107.08,106.99,2240200
86,2020-06-05,106.45,102.86,106.6,105.47,2313500
87,2020-06-04,99.9,99.25,102.09,101.86,1980848
88,2020-06-03,100.25,99.71,100.91,100.41,1673395
89,2020-06-02,99.4,98.34,99.72,99.0,1586047
90,2020-06-01,98.36,97.97,99.59,99.07,1601100
91,2020-05-29,97.69,96.1,98.03,97.81,2112427
92,2020-05-28,98.59,96.92,99.31,98.26,1932700
93,2020-05-27,96.41,94.53,97.75,97.73,2711629
94,2020-05-26,97.9,93.87,98.12,94.05,2756818
95,2020-05-22,94.43,92.69,95.06,94.82,1510228
96,2020-05-21,96.49,92.08,96.84,94.13,2972322
97,2020-05-20,98.57,96.75,98.94,96.99,2386800
98,2020-05-19,98.37,97.22,99.39,97.27,1180413
99,2020-05-18,98.29,98.06,100.03,99.04,1611824
100,2020-05-15,93.08,92.05,95.61,95.38,2439700
101,2020-05-14,91.18,89.51,94.15,93.92,1690400
102,2020-05-13,96.93,91.45,97.39,92.08,2798216
103,2020-05-12,102.07,97.53,102.56,97.55,1634126
104,2020-05-11,99.87,98.78,102.42,101.84,2079100
105,2020-05-08,102.6,100.64,102.8,100.79,2217700
106,2020-05-07,102.58,100.16,104.05,100.85,2408662
107,2020-05-06,102.33,101.03,104.29,101.48,2471513
108,2020-05-05,101.15,101.15,103.32,102.15,2006917
109,2020-05-04,98.98,98.16,100.74,100.34,1548412
