,date,open,low,high,close,volume
0,2020-01-06,122.16,120.88,123.63,123.61,627557
1,2020-01-03,123.83,122.83,124.9,123.84,480509
2,2020-01-02,124.79,123.45,125.39,125.39,572400
3,2020-04-06,87.39,87.08,95.13,94.49,843300
4,2020-04-03,84.02,82.2,85.87,84.04,830700
5,2020-04-02,84.16,82.62,87.0,84.42,1059235
6,2020-04-01,88.55,82.9,88.55,84.59,1061044
7,2020-03-31,93.77,91.18,95.63,92.02,1142732
8,2020-03-30,92.24,91.0,95.74,95.01,849733
9,2020-03-27,95.71,90.56,96.4,91.62,764300
10,2020-03-26,89.38,89.38,97.43,96.78,745414
11,2020-03-25,84.76,82.64,92.17,89.45,830700
12,2020-03-24,80.79,80.05,87.12,84.92,948205
13,2020-03-23,82.27,77.37,83.6,78.6,1262483
14,2020-03-20,96.29,81.61,96.46,82.84,1202700
15,2020-03-19,95.72,92.95,99.48,94.16,1280900
16,2020-03-18,95.31,82.59,101.44,96.68,1547200
17,2020-03-17,99.56,97.06,106.43,102.6,1290300
18,2020-03-16,99.52,94.64,104.44,97.71,1040026
19,2020-03-13,109.21,104.26,112.65,111.81,1081315
20,2020-03-12,108.39,103.1,112.07,103.39,1598800
21,2020-03-11,115.93,113.51,116.63,114.78,1248333
22,2020-03-10,117.55,110.64,118.66,118.39,1277700
23,2020-03-09,112.27,102.12,120.01,115.0,1126938
24,2020-03-06,119.38,115.53,120.28,119.8,970148
25,2020-03-05,122.26,121.46,124.72,122.65,961500
26,2020-03-04,121.67,120.66,124.48,124.35,772626
27,2020-03-03,120.76,118.23,124.5,119.34,848902
28,2020-03-02,115.36,114.73,120.86,120.86,912700
29,2020-02-28,114.87,111.96,116.7,114.99,1246511
30,2020-02-27,121.7,118.11,124.28,118.18,1206900
31,2020-02-26,124.63,122.26,125.78,123.66,809900
32,2020-02-25,127.42,123.8,127.68,124.0,782900
33,2020-02-24,125.27,125.0,127.89,126.95,677100
34,2020-02-21,129.23,127.35,129.24,128.58,638700
35,2020-02-20,128.77,126.69,131.96,129.85,1245913
36,2020-02-19,133.97,130.39,134.69,131.16,766710
37,2020-02-18,132.94,130.61,134.64,134.36,1034900
38,2020-02-14,136.75,136.62,139.24,138.9,748133
39,2020-02-13,136.52,136.22,137.64,136.83,808800
40,2020-02-12,137.79,136.8,138.72,138.57,604303
41,2020-02-11,136.83,135.84,138.02,137.89,460600
42,2020-02-10,133.72,133.72,136.4,136.38,631300
43,2020-02-07,132.37,132.02,134.89,134.04,782616
44,2020-02-06,133.64,131.63,133.73,132.41,649912
45,2020-02-05,136.57,132.88,137.05,133.28,765049
46,2020-02-04,133.8,133.62,135.45,135.25,641000
47,2020-02-03,130.05,129.94,133.02,132.18,722300
48,2020-01-31,130.47,128.7,131.28,129.32,607400
49,2020-01-30,130.0,129.38,131.26,130.66,524229
50,2020-01-29,130.0,129.22,131.71,130.82,555200
51,2020-01-28,128.22,127.55,129.67,129.44,380846
52,2020-01-27,126.56,126.41,128.58,127.67,675300
53,2020-01-24,130.0,127.81,130.58,128.0,682100
54,2020-01-23,128.92,128.57,129.95,129.8,729211
55,2020-01-22,127.61,127.54,129.9,129.45,786324
56,2020-01-21,127.7,126.65,128.14,127.14,669031
57,2020-01-17,128.94,127.69,129.95,128.05,975712
58,2020-01-16,126.13,126.04,128.57,128.51,784717
59,2020-01-15,124.83,123.84,125.73,125.32,884100
60,2020-01-14,124.46,123.89,125.5,124.72,703109
61,2020-01-13,124.0,122.37,124.66,124.65,945600
62,2020-01-10,123.21,122.54,123.88,123.43,525330
63,2020-01-09,123.15,122.22,123.72,122.87,458500
64,2020-01-08,122.25,121.85,123.54,122.65,938703
65,2020-01-07,123.3,122.06,123.56,122.13,588412
66,2020-07-06,104.4,103.4,105.04,103.97,397800
67,2020-07-02,103.4,102.3,104.6,102.39,453000
68,2020-07-01,102.28,101.03,103.36,101.89,804500
69,2020-06-30,99.39,99.39,102.74,102.22,806345
70,2020-06-29,98.13,97.0,99.81,99.79,515247
71,2020-06-26,97.7,96.34,98.52,97.05,837545
72,2020-06-25,97.08,95.08,98.25,98.0,716200
73,2020-06-24,101.6,97.71,101.97,97.83,560209
74,2020-06-23,104.23,102.42,104.91,102.66,466736
75,2020-06-22,102.22,100.41,102.86,102.7,709800
76,2020-06-19,104.99,101.91,104.99,102.74,969000
77,2020-06-18,103.48,102.17,105.26,102.99,563400
78,2020-06-17,105.55,103.64,106.03,104.25,481300
79,2020-06-16,106.69,102.06,106.81,104.53,472649
80,2020-06-15,99.14,98.47,103.23,102.65,540734
81,2020-06-12,104.9,99.37,104.91,102.41,732000
82,2020-06-11,105.26,101.38,105.49,101.56,734400
83,2020-06-10,111.89,108.76,112.42,109.02,663200
84,2020-06-09,113.57,111.78,113.64,112.29,612132
85,2020-06-08,114.94,114.32,116.7,115.54,707917
86,2020-06-05,109.84,109.29,117.49,115.35,1535500
87,2020-06-04,103.81,103.21,106.24,106.09,774900
88,2020-06-03,100.89,100.6,105.39,105.04,714810
89,2020-06-02,101.37,99.36,101.99,100.01,664267
90,2020-06-01,100.38,99.43,102.01,100.65,480400
91,2020-05-29,98.82,97.85,100.18,99.7,917223
92,2020-05-28,100.64,98.39,101.59,99.91,645421
93,2020-05-27,99.6,97.68,100.41,99.03,853612
94,2020-05-26,96.96,96.36,98.55,97.64,746109
95,2020-05-22,94.37,92.92,94.6,94.29,497645
96,2020-05-21,93.97,93.52,95.52,94.0,972800
97,2020-05-20,95.76,95.38,97.84,97.34,814731
98,2020-05-19,95.57,94.11,97.46,94.25,712900
99,2020-05-18,96.22,95.75,97.71,95.88,726813
100,2020-05-15,92.78,92.04,94.48,92.94,766100
101,2020-05-14,92.36,89.83,93.62,93.57,1442749
102,2020-05-13,98.7,92.76,99.85,93.66,908745
103,2020-05-12,102.19,99.67,103.56,99.72,538700
104,2020-05-11,101.59,100.02,102.69,101.68,530444
105,2020-05-08,101.94,101.52,103.79,102.27,409901
106,2020-05-07,99.14,99.14,101.21,100.14,908800
107,2020-05-06,97.55,96.8,99.61,97.99,838930
108,2020-05-05,95.57,94.89,97.91,96.74,751977
109,2020-05-04,96.38,94.4,96.38,94.76,666600
110,2020-05-01,98.92,96.78,99.92,97.48,705900
111,2020-04-30,100.85,98.61,101.58,100.54,1215200
112,2020-04-29,104.33,101.67,104.6,102.36,810200
113,2020-04-28,101.03,100.64,103.03,101.62,564400
114,2020-04-27,97.57,97.41,99.57,99.07,717737
115,2020-04-24,94.76,93.37,96.79,96.57,691500
116,2020-04-23,94.58,92.12,98.29,95.13,1311100
117,2020-04-22,92.33,91.1,93.16,92.97,699978
118,2020-04-21,92.23,90.26,92.96,90.76,603300
119,2020-04-20,95.64,93.32,96.31,93.95,571503
120,2020-04-17,96.37,94.92,98.25,97.63,767500
121,2020-04-16,94.37,92.15,95.47,93.98,754900
122,2020-04-15,96.38,93.05,96.87,94.46,623600
123,2020-04-14,97.75,96.88,99.11,97.92,615100
124,2020-04-13,94.88,92.3,96.55,95.77,816529
125,2020-04-09,94.72,94.16,97.81,95.36,816700
126,2020-04-08,91.71,90.88,96.39,94.65,856122
127,2020-04-07,98.06,91.6,98.84,92.75,1064523
128,2020-10-05,99.89,99.54,101.22,100.8,970918
129,2020-10-02,96.53,96.32,99.69,98.82,1666042
130,2020-10-01,99.94,98.17,101.68,98.5,872416
131,2020-09-30,99.94,97.9,101.72,98.91,1442808
132,2020-09-29,99.02,98.58,100.49,99.17,485489
133,2020-09-28,98.94,98.46,100.72,99.21,614545
134,2020-09-25,95.28,94.63,98.07,97.24,637300
135,2020-09-24,95.0,94.01,96.62,95.63,716100
136,2020-09-23,98.99,95.07,99.2,95.37,781700
137,2020-09-22,97.66,96.3,98.89,98.22,845800
138,2020-09-21,101.42,95.72,101.48,97.77,984900
139,2020-09-18,104.05,102.81,105.67,103.25,1464900
140,2020-09-17,102.48,101.88,105.43,103.98,1244000
141,2020-09-16,101.49,101.17,105.16,103.83,885312
142,2020-09-15,99.74,99.13,101.17,100.92,684400
143,2020-09-14,99.16,97.87,99.45,99.14,590528
144,2020-09-11,97.4,97.29,98.88,97.97,649200
145,2020-09-10,99.0,96.62,99.35,97.01,537926
146,2020-09-09,98.94,98.53,100.04,98.69,584700
147,2020-09-08,98.95,97.38,99.21,98.0,775600
148,2020-09-04,101.42,98.9,102.05,99.67,583214
149,2020-09-03,104.94,99.85,105.34,100.42,591220
150,2020-09-02,102.35,102.0,105.42,104.8,635100
151,2020-09-01,102.97,100.61,103.01,102.1,593722
152,2020-08-31,103.77,103.26,104.39,103.39,866900
153,2020-08-28,103.33,102.17,104.87,104.0,622821
154,2020-08-27,102.88,102.53,103.9,103.24,591520
155,2020-08-26,102.06,101.41,103.05,102.46,471320
156,2020-08-25,103.32,100.76,103.64,102.08,534709
157,2020-08-24,100.45,100.42,102.99,102.9,522300
158,2020-08-21,99.35,99.25,100.57,100.27,584800
159,2020-08-20,99.66,98.84,100.17,99.34,376300
160,2020-08-19,100.77,99.5,101.29,100.71,565900
161,2020-08-18,102.4,100.42,102.83,100.59,959000
162,2020-08-17,101.46,101.0,102.88,102.26,638549
163,2020-08-14,102.43,101.09,102.86,101.56,490900
164,2020-08-13,103.93,102.36,104.68,102.69,453816
165,2020-08-12,104.79,103.53,105.01,104.17,407000
166,2020-08-11,103.24,102.64,106.21,104.16,759431
167,2020-08-10,100.47,100.18,102.39,102.32,449700
168,2020-08-07,99.6,98.63,100.11,100.11,693000
169,2020-08-06,99.79,98.22,100.69,99.2,810543
170,2020-08-05,99.94,99.68,101.03,100.44,748242
171,2020-08-04,99.6,98.28,100.06,99.41,700811
172,2020-08-03,100.12,99.01,100.91,100.45,703500
173,2020-07-31,97.78,96.54,99.51,99.46,896527
174,2020-07-30,96.96,95.43,97.88,97.58,721800
175,2020-07-29,98.67,97.81,99.64,98.22,570900
176,2020-07-28,100.8,98.47,101.18,98.51,658000
177,2020-07-27,101.68,100.59,102.08,101.39,732500
178,2020-07-24,102.75,100.4,103.28,101.02,873738
179,2020-07-23,108.7,102.35,110.0,102.56,1622510
180,2020-07-22,109.35,109.35,112.4,111.6,1117100
181,2020-07-21,109.08,108.43,110.18,109.82,774300
182,2020-07-20,107.0,106.65,108.53,107.53,635500
183,2020-07-17,107.53,104.92,107.53,106.85,750344
184,2020-07-16,106.72,106.14,107.92,107.41,586151
185,2020-07-15,105.95,105.54,107.78,106.8,722900
186,2020-07-14,101.55,101.15,104.38,104.24,548934
187,2020-07-13,102.02,101.5,103.54,101.75,499913
188,2020-07-10,100.27,99.51,101.74,101.51,436600
189,2020-07-09,102.55,100.06,103.18,100.53,473735
190,2020-07-08,102.9,101.73,103.47,102.49,700000
191,2020-07-07,103.13,102.01,103.77,102.05,514800
192,2021-01-04,116.42,113.71,116.8,114.48,770800
193,2020-12-31,115.21,114.04,116.65,116.38,375900
194,2020-12-30,113.47,113.43,115.25,114.94,390330
195,2020-12-29,115.19,112.69,115.19,113.54,324021
196,2020-12-28,113.49,113.49,115.45,114.52,428540
197,2020-12-24,113.04,112.16,113.22,113.03,138805
198,2020-12-23,112.78,111.7,113.44,112.76,564900
199,2020-12-22,112.6,112.09,113.96,112.39,479937
200,2020-12-21,111.75,110.83,113.62,112.79,595000
201,2020-12-18,113.62,112.59,114.37,113.75,1351270
202,2020-12-17,112.05,111.08,112.89,112.82,1232900
203,2020-12-16,111.73,110.75,112.17,111.2,674705
204,2020-12-15,109.99,109.62,112.59,111.7,562531
205,2020-12-14,110.16,108.82,110.94,109.69,822500
206,2020-12-11,109.76,108.86,110.49,109.58,518700
207,2020-12-10,110.52,108.97,112.52,110.65,674742
208,2020-12-09,113.87,111.14,115.35,111.36,1154227
209,2020-12-08,111.56,110.07,113.57,113.12,693314
210,2020-12-07,114.72,111.84,114.72,112.21,654200
211,2020-12-04,114.29,113.87,116.03,114.54,840348
212,2020-12-03,113.98,113.5,115.35,113.77,575602
213,2020-12-02,114.38,112.54,115.97,113.54,553914
214,2020-12-01,115.89,114.75,116.55,115.0,734500
215,2020-11-30,113.8,112.6,114.15,114.04,956827
216,2020-11-27,115.61,114.11,116.99,114.28,326500
217,2020-11-25,116.7,113.76,116.7,115.21,547340
218,2020-11-24,115.93,114.85,117.71,116.79,668500
219,2020-11-23,113.82,112.7,114.77,114.16,780132
220,2020-11-20,113.95,111.95,114.67,113.0,490100
221,2020-11-19,113.9,111.87,114.66,114.13,584100
222,2020-11-18,115.88,114.51,116.42,114.56,691931
223,2020-11-17,116.88,114.36,117.13,115.46,813306
224,2020-11-16,116.45,115.57,118.38,118.26,548722
225,2020-11-13,111.0,111.0,114.93,114.0,611608
226,2020-11-12,111.62,108.35,111.62,110.15,906000
227,2020-11-11,118.34,111.39,118.34,112.36,980625
228,2020-11-10,112.58,111.33,116.57,115.15,971011
229,2020-11-09,106.25,105.45,114.74,111.87,1144207
230,2020-11-06,104.0,102.47,104.75,102.83,749700
231,2020-11-05,102.86,102.86,104.72,104.13,741000
232,2020-11-04,104.27,101.24,104.91,101.55,814028
233,2020-11-03,102.81,102.19,104.66,104.08,726100
234,2020-11-02,99.89,99.6,101.79,101.51,901947
235,2020-10-30,97.11,95.8,98.57,98.5,912200
236,2020-10-29,95.78,95.67,98.87,98.11,776537
237,2020-10-28,96.98,96.08,98.97,96.36,994100
238,2020-10-27,100.84,99.0,100.97,99.26,683635
239,2020-10-26,101.61,99.9,102.13,100.84,715408
240,2020-10-23,103.15,101.74,104.01,102.88,764542
241,2020-10-22,105.0,99.83,105.5,101.97,1536900
242,2020-10-21,105.16,103.16,107.11,103.9,1155400
243,2020-10-20,105.08,104.69,107.61,105.3,576800
244,2020-10-19,105.15,103.75,105.84,103.93,569505
245,2020-10-16,105.23,104.93,106.27,104.99,386500
246,2020-10-15,102.95,102.94,104.84,104.82,357200
247,2020-10-14,105.0,103.92,106.03,104.48,473100
248,2020-10-13,106.72,104.79,107.19,105.04,700309
249,2020-10-12,104.68,104.68,108.09,107.76,570200
250,2020-10-09,104.67,103.91,105.38,103.99,484700
251,2020-10-08,102.7,102.05,103.77,103.69,517516
252,2020-10-07,101.72,100.72,102.4,101.56,684100
253,2020-10-06,101.01,100.44,102.76,100.86,669600
254,2021-04-05,128.95,128.45,130.06,130.03,631400
255,2021-04-01,125.85,124.62,128.0,127.75,735800
256,2021-03-31,124.75,124.09,126.65,125.62,592900
257,2021-03-30,125.83,124.44,126.3,125.29,578303
258,2021-03-29,126.74,125.7,128.41,126.28,812800
259,2021-03-26,124.56,123.75,126.82,126.75,471106
260,2021-03-25,122.04,120.52,123.68,123.48,718435
261,2021-03-24,120.43,119.85,123.31,121.65,1272819
262,2021-03-23,119.38,119.02,121.07,119.29,612300
263,2021-03-22,119.38,118.23,120.94,120.45,719428
264,2021-03-19,121.74,119.72,121.74,119.92,1024801
265,2021-03-18,121.9,121.53,123.42,121.98,678400
266,2021-03-17,121.19,121.03,123.56,122.56,1109503
267,2021-03-16,118.9,118.52,122.74,121.33,859835
268,2021-03-15,116.52,116.42,118.16,118.13,1375148
269,2021-03-12,116.29,115.6,117.3,117.29,437700
270,2021-03-11,116.33,114.67,116.56,115.0,527700
271,2021-03-10,114.37,113.93,116.47,115.95,636727
272,2021-03-09,116.27,114.19,117.14,114.44,721900
273,2021-03-08,114.29,113.49,119.53,116.49,1233900
