,date,open,low,high,close,volume
0,2020-01-06,59.85,59.3,60.46,59.89,8588868
1,2020-01-03,60.69,60.56,61.73,61.21,5416193
2,2020-01-02,62.0,61.7,62.65,62.2,6647900
3,2020-04-06,44.84,44.64,46.45,46.15,12046500
4,2020-04-03,43.46,41.58,43.62,42.28,9488600
5,2020-04-02,42.5,42.13,44.46,43.24,8764600
6,2020-04-01,43.83,42.83,46.18,43.3,10665913
7,2020-03-31,47.17,45.15,47.28,45.82,11068717
8,2020-03-30,45.4,45.33,47.51,47.3,7839200
9,2020-03-27,47.7,44.84,48.13,45.05,10624200
10,2020-03-26,46.23,45.34,49.39,49.2,11869403
11,2020-03-25,44.93,43.77,48.22,44.73,11550731
12,2020-03-24,44.24,43.03,46.24,45.14,16338500
13,2020-03-23,38.64,37.92,41.54,40.17,15138428
14,2020-03-20,41.49,37.8,43.26,37.99,13967138
15,2020-03-19,38.68,36.86,42.07,40.19,13066600
16,2020-03-18,40.57,36.64,41.76,39.18,18870019
17,2020-03-17,41.76,39.77,46.07,44.86,16361231
18,2020-03-16,44.05,40.41,46.7,40.53,13763000
19,2020-03-13,48.67,45.35,51.23,50.89,15539300
20,2020-03-12,48.78,45.1,50.36,45.11,18043724
21,2020-03-11,54.28,51.41,54.99,52.49,12977850
22,2020-03-10,54.4,52.57,56.17,56.17,10107411
23,2020-03-09,52.81,52.0,55.33,52.07,10305900
24,2020-03-06,57.0,56.25,58.48,57.79,8958735
25,2020-03-05,58.56,58.26,60.44,59.13,9842549
26,2020-03-04,59.44,58.27,60.65,60.52,7925800
27,2020-03-03,59.97,57.56,61.38,58.04,14036618
28,2020-03-02,58.7,57.0,60.19,60.16,10795212
29,2020-02-28,54.19,54.08,58.18,58.12,14945271
30,2020-02-27,57.2,56.4,58.5,57.0,15746200
31,2020-02-26,59.58,59.31,60.76,59.81,10855351
32,2020-02-25,61.92,58.48,62.28,58.86,9942547
33,2020-02-24,61.13,60.4,61.85,61.08,11223700
34,2020-02-21,65.91,63.63,66.13,64.27,9660153
35,2020-02-20,67.0,65.22,67.35,66.4,7535934
36,2020-02-19,66.5,66.27,67.74,67.41,8502634
37,2020-02-18,64.23,63.85,66.0,65.16,10218491
38,2020-02-14,67.46,66.55,67.9,66.85,8104000
39,2020-02-13,66.75,65.95,69.44,67.37,21742726
40,2020-02-12,64.93,64.62,65.68,65.37,11592200
41,2020-02-11,63.6,63.34,64.7,64.45,6203824
42,2020-02-10,61.08,61.08,62.96,62.92,5121109
43,2020-02-07,62.84,61.63,62.98,61.71,6093200
44,2020-02-06,64.02,63.05,64.16,63.19,4870600
45,2020-02-05,63.98,62.87,64.44,63.8,8252100
46,2020-02-04,61.41,61.2,63.65,63.01,12322100
47,2020-02-03,58.68,58.66,60.25,59.72,7850022
48,2020-01-31,59.82,57.53,59.85,57.99,10132200
49,2020-01-30,61.54,59.42,62.03,60.25,9656100
50,2020-01-29,60.07,59.49,60.66,59.82,6532570
51,2020-01-28,59.76,58.92,60.35,60.19,6228135
52,2020-01-27,59.95,58.82,60.45,59.05,9350600
53,2020-01-24,64.8,61.61,64.93,62.0,8007737
54,2020-01-23,64.13,63.13,64.26,63.89,6540700
55,2020-01-22,63.7,63.62,64.6,63.89,5598714
56,2020-01-21,62.74,62.65,63.89,63.2,5777443
57,2020-01-17,63.79,62.53,63.81,62.85,6327840
58,2020-01-16,62.59,62.47,63.23,63.21,5733800
59,2020-01-15,62.3,61.35,62.37,61.93,6314386
60,2020-01-14,62.09,62.08,63.55,62.35,8003042
61,2020-01-13,61.48,61.34,61.95,61.81,4112445
62,2020-01-10,62.53,61.2,62.71,61.47,4456534
63,2020-01-09,62.2,61.21,62.85,61.97,5713547
64,2020-01-08,61.7,61.25,62.2,61.58,4364451
65,2020-01-07,60.27,60.14,62.1,61.62,8002207
66,2020-07-06,62.39,62.29,63.71,63.46,7776900
67,2020-07-02,60.5,60.34,61.65,61.0,5596111
68,2020-07-01,60.43,59.54,60.78,59.68,5305213
69,2020-06-30,59.12,59.07,60.94,60.45,6067624
70,2020-06-29,58.44,57.56,59.07,59.06,5035900
71,2020-06-26,59.57,58.01,60.14,58.38,12786506
72,2020-06-25,59.6,58.61,60.07,59.98,6298900
73,2020-06-24,60.33,59.15,60.89,59.97,7937300
74,2020-06-23,61.93,60.44,61.98,60.84,7264936
75,2020-06-22,60.52,59.58,61.39,61.27,5379935
76,2020-06-19,61.4,60.41,62.33,60.95,10092800
77,2020-06-18,59.57,59.57,60.72,60.38,5674000
78,2020-06-17,58.73,58.54,60.43,60.0,8338141
79,2020-06-16,58.96,57.9,60.13,58.54,9719139
80,2020-06-15,54.92,54.52,57.23,57.05,7222230
81,2020-06-12,57.51,54.97,58.01,56.55,8534200
82,2020-06-11,58.26,55.35,58.59,55.41,9386832
83,2020-06-10,60.2,59.46,60.57,59.86,5319825
84,2020-06-09,59.02,58.93,60.26,59.79,6184300
85,2020-06-08,59.93,59.09,60.47,59.9,5528700
86,2020-06-05,59.71,59.62,61.11,60.19,8349728
87,2020-06-04,57.16,57.1,59.2,58.13,7456900
88,2020-06-03,56.69,56.41,58.25,57.81,8026744
89,2020-06-02,56.0,54.75,56.22,55.79,6998700
90,2020-06-01,55.63,55.19,56.47,55.69,5377115
91,2020-05-29,55.0,54.46,56.38,56.18,10820226
92,2020-05-28,56.12,54.35,56.68,54.67,7239260
93,2020-05-27,55.59,53.32,56.44,56.4,9071600
94,2020-05-26,56.31,54.96,56.71,55.14,7757600
95,2020-05-22,55.02,53.72,55.17,54.39,7121020
96,2020-05-21,56.84,54.85,56.92,55.02,7467200
97,2020-05-20,56.5,56.32,58.16,56.88,9824100
98,2020-05-19,54.5,54.03,57.0,55.47,10535645
99,2020-05-18,53.53,52.41,54.65,54.36,11300624
100,2020-05-15,53.16,51.17,53.47,52.04,20755933
101,2020-05-14,50.75,49.66,54.65,54.43,15839000
102,2020-05-13,52.5,50.4,52.86,51.49,8696600
103,2020-05-12,54.4,52.31,54.59,52.33,7479010
104,2020-05-11,54.13,53.37,54.41,54.01,8211500
105,2020-05-08,52.41,52.24,53.89,53.81,8089548
106,2020-05-07,51.46,50.91,51.8,51.25,6645646
107,2020-05-06,49.99,49.54,51.16,50.5,8594600
108,2020-05-05,48.83,48.53,50.75,48.85,8220600
109,2020-05-04,46.56,46.22,47.64,47.58,7798029
110,2020-05-01,48.08,46.37,48.36,46.89,13583130
111,2020-04-30,53.45,49.64,53.88,49.68,14457000
112,2020-04-29,51.83,51.42,54.65,54.34,8946300
113,2020-04-28,51.91,50.26,52.12,50.42,7759524
114,2020-04-27,52.5,50.65,52.72,51.03,6587434
115,2020-04-24,51.22,49.94,51.88,51.74,7665048
116,2020-04-23,51.75,50.59,52.22,50.9,9048300
117,2020-04-22,50.1,49.81,52.43,52.11,7790213
118,2020-04-21,49.9,48.21,50.05,48.33,9359637
119,2020-04-20,52.1,50.61,52.49,50.63,7041200
120,2020-04-17,53.64,52.27,53.9,53.2,9367600
121,2020-04-16,51.87,50.8,52.57,52.23,8878100
122,2020-04-15,51.31,49.75,51.31,50.37,7206700
123,2020-04-14,51.41,51.08,52.84,52.47,8025517
