,date,open,low,high,close,volume
0,2020-01-06,10.48,10.41,10.52,10.42,8622008
1,2020-01-03,10.46,10.31,10.63,10.49,9447340
2,2020-01-02,10.88,10.62,10.91,10.63,10029735
3,2020-04-06,8.17,8.06,8.33,8.22,7592570
4,2020-04-03,8.02,7.76,8.23,7.84,8311159
5,2020-04-02,8.07,8.03,8.4,8.18,10753775
6,2020-04-01,7.96,7.8,8.18,7.86,11719860
7,2020-03-31,8.15,8.04,8.32,8.12,8216973
8,2020-03-30,7.89,7.88,8.34,8.28,6232180
9,2020-03-27,7.68,7.38,8.04,7.8,13334614
10,2020-03-26,7.71,7.64,8.21,8.13,12820461
11,2020-03-25,7.41,7.33,7.91,7.71,13716893
12,2020-03-24,7.1,6.98,7.57,7.52,13247405
13,2020-03-23,7.12,6.58,7.2,6.62,13431550
14,2020-03-20,7.37,7.1,7.95,7.3,24911464
15,2020-03-19,6.43,6.38,7.53,7.43,19168950
16,2020-03-18,5.9,5.82,6.5,6.39,12179104
17,2020-03-17,6.15,5.85,6.23,6.23,16162688
18,2020-03-16,6.11,5.8,6.43,5.95,22065657
19,2020-03-13,7.04,6.32,7.3,6.82,31337650
20,2020-03-12,6.92,6.55,7.1,6.7,30060299
21,2020-03-11,8.23,7.94,8.39,7.99,17668916
22,2020-03-10,8.99,8.49,9.04,8.97,18775613
23,2020-03-09,8.9,8.61,9.19,8.88,19570515
24,2020-03-06,9.31,9.1,9.39,9.32,10808659
25,2020-03-05,9.51,9.34,9.68,9.39,8225089
26,2020-03-04,9.71,9.42,9.79,9.77,8590719
27,2020-03-03,9.59,9.44,9.83,9.59,11562118
28,2020-03-02,9.68,9.38,9.8,9.79,10196558
29,2020-02-28,9.27,9.13,9.43,9.32,16467194
30,2020-02-27,9.72,9.36,9.73,9.46,15332900
31,2020-02-26,9.74,9.7,9.89,9.76,13578996
32,2020-02-25,9.96,9.64,9.97,9.67,11195732
33,2020-02-24,10.11,9.9,10.13,9.93,7056298
34,2020-02-21,10.21,10.06,10.26,10.24,4534352
35,2020-02-20,10.21,10.2,10.36,10.27,5240256
36,2020-02-19,10.23,10.17,10.38,10.18,6412403
37,2020-02-18,10.24,10.13,10.26,10.21,4424330
38,2020-02-14,10.09,10.07,10.35,10.21,5678747
39,2020-02-13,10.33,10.14,10.35,10.16,5677924
40,2020-02-12,10.76,10.34,10.83,10.47,8379329
41,2020-02-11,10.85,10.83,11.04,10.97,5560017
42,2020-02-10,10.78,10.66,10.94,10.81,5903309
43,2020-02-07,10.91,10.8,10.95,10.82,5040966
44,2020-02-06,11.05,10.95,11.05,11.01,8581398
45,2020-02-05,10.94,10.89,11.1,11.02,11780409
46,2020-02-04,10.8,10.76,10.94,10.87,8144317
47,2020-02-03,10.59,10.41,10.77,10.68,12881308
48,2020-01-31,10.65,10.43,10.68,10.59,49978608
49,2020-01-30,10.74,10.65,10.84,10.83,5651861
50,2020-01-29,10.89,10.8,10.97,10.85,6260570
51,2020-01-28,10.82,10.79,11.03,10.89,8221963
52,2020-01-27,10.35,10.35,10.93,10.77,15210024
53,2020-01-24,10.69,10.45,10.69,10.49,3739535
54,2020-01-23,10.62,10.59,10.76,10.73,4760486
55,2020-01-22,10.7,10.7,10.76,10.73,4057789
56,2020-01-21,10.75,10.57,10.77,10.7,6903332
57,2020-01-17,10.82,10.79,10.91,10.9,6028978
58,2020-01-16,10.71,10.67,10.83,10.82,3512185
59,2020-01-15,10.82,10.64,10.84,10.67,3977224
60,2020-01-14,10.64,10.56,10.67,10.62,5521632
61,2020-01-13,10.47,10.47,10.71,10.69,4205647
62,2020-01-10,10.38,10.34,10.56,10.45,3526855
63,2020-01-09,10.43,10.37,10.44,10.4,3992967
64,2020-01-08,10.38,10.34,10.54,10.37,4951461
65,2020-01-07,10.36,10.33,10.49,10.33,9098485
66,2020-07-06,10.73,10.52,10.78,10.75,10833757
67,2020-07-02,10.46,10.39,10.62,10.6,14253013
68,2020-07-01,10.19,10.07,10.39,10.33,8278436
69,2020-06-30,9.92,9.88,10.22,10.21,9042659
70,2020-06-29,9.78,9.68,9.99,9.95,10692738
71,2020-06-26,10.01,9.62,10.03,9.67,86363144
72,2020-06-25,10.04,9.92,10.14,10.01,11638627
73,2020-06-24,10.12,9.92,10.17,9.96,11200031
74,2020-06-23,10.33,10.22,10.44,10.24,9898689
75,2020-06-22,10.27,10.14,10.44,10.27,9993680
76,2020-06-19,10.28,10.03,10.34,10.31,43111650
77,2020-06-18,10.21,10.21,10.44,10.28,7617635
78,2020-06-17,10.33,10.22,10.42,10.27,8133311
79,2020-06-16,10.4,10.11,10.55,10.26,10856903
80,2020-06-15,9.57,9.54,10.35,10.2,17304145
81,2020-06-12,10.0,9.58,10.21,9.81,17342906
82,2020-06-11,9.57,9.14,9.66,9.19,13253717
83,2020-06-10,9.98,9.72,10.02,9.82,7877520
84,2020-06-09,10.35,10.14,10.4,10.2,8920676
85,2020-06-08,10.86,10.29,10.89,10.5,11382633
86,2020-06-05,10.77,10.71,11.02,10.88,7674020
87,2020-06-04,10.45,10.4,10.63,10.53,5044857
88,2020-06-03,10.44,10.4,10.78,10.5,7546482
89,2020-06-02,10.29,10.27,10.45,10.33,8777552
90,2020-06-01,10.15,10.03,10.34,10.18,6712319
91,2020-05-29,9.93,9.82,10.23,10.21,27393580
92,2020-05-28,10.03,9.87,10.2,10.0,4668359
93,2020-05-27,9.94,9.72,9.94,9.86,5925205
94,2020-05-26,9.81,9.8,10.03,10.0,5228168
95,2020-05-22,9.49,9.44,9.6,9.6,4462998
96,2020-05-21,9.41,9.39,9.56,9.48,4191013
97,2020-05-20,9.39,9.33,9.54,9.45,5555586
98,2020-05-19,9.54,9.38,9.61,9.4,4584558
99,2020-05-18,9.46,9.45,9.72,9.64,4662819
100,2020-05-15,9.06,8.98,9.16,9.1,3739474
101,2020-05-14,9.04,8.71,9.1,9.09,5028785
102,2020-05-13,9.25,8.97,9.4,9.11,7714747
103,2020-05-12,9.0,9.0,9.55,9.11,9652544
104,2020-05-11,8.75,8.56,8.93,8.83,5269714
105,2020-05-08,8.78,8.74,9.0,8.97,3815663
106,2020-05-07,8.53,8.51,8.73,8.61,5307333
107,2020-05-06,8.44,8.43,8.68,8.48,3881976
108,2020-05-05,8.65,8.57,8.8,8.58,4130325
109,2020-05-04,8.63,8.57,8.73,8.69,6556831
110,2020-05-01,8.88,8.58,8.88,8.68,4097598
111,2020-04-30,9.08,8.9,9.15,8.97,9612902
112,2020-04-29,9.19,9.15,9.34,9.24,4705624
113,2020-04-28,8.88,8.87,9.11,9.02,9313191
114,2020-04-27,8.48,8.45,8.78,8.68,4336328
115,2020-04-24,8.38,8.29,8.47,8.42,3881121
116,2020-04-23,8.4,8.2,8.51,8.21,4101898
117,2020-04-22,8.37,8.23,8.42,8.36,3539392
118,2020-04-21,8.32,8.18,8.46,8.26,4576486
119,2020-04-20,8.74,8.56,8.79,8.64,4062489
120,2020-04-17,8.6,8.6,8.9,8.78,5256434
121,2020-04-16,8.55,8.31,8.6,8.46,5291101
122,2020-04-15,8.66,8.6,8.77,8.65,6360110
123,2020-04-14,8.96,8.84,9.11,9.04,4835872
124,2020-04-13,9.09,8.84,9.18,8.9,5300808
125,2020-04-09,8.65,8.61,9.26,9.16,9347298
126,2020-04-08,8.22,8.08,8.67,8.51,8152778
127,2020-04-07,8.47,8.12,8.59,8.13,6739710
128,2020-10-05,11.14,11.07,11.26,11.13,8284386
129,2020-10-02,10.89,10.86,11.18,11.01,7948952
130,2020-10-01,11.22,10.94,11.22,11.01,7317518
131,2020-09-30,10.97,10.92,11.11,11.05,7177875
132,2020-09-29,10.82,10.78,10.98,10.85,5108228
133,2020-09-28,10.96,10.88,10.98,10.91,6415373
134,2020-09-25,10.49,10.45,10.86,10.82,6898886
135,2020-09-24,10.55,10.44,10.73,10.58,4678471
136,2020-09-23,10.99,10.57,10.99,10.58,6475023
137,2020-09-22,10.97,10.95,11.14,11.04,4370079
138,2020-09-21,11.01,10.87,11.14,11.01,8858703
139,2020-09-18,11.33,11.21,11.38,11.25,14908236
140,2020-09-17,11.08,10.93,11.35,11.32,11903908
141,2020-09-16,11.27,11.17,11.34,11.19,8645178
142,2020-09-15,11.23,11.18,11.35,11.21,5624950
143,2020-09-14,11.11,11.05,11.27,11.15,11268764
144,2020-09-11,11.16,10.97,11.17,11.06,5901326
145,2020-09-10,11.08,11.06,11.35,11.11,11677503
146,2020-09-09,10.88,10.85,11.1,11.01,7026995
147,2020-09-08,10.89,10.73,10.97,10.77,9049207
148,2020-09-04,11.15,10.87,11.2,11.02,8696609
149,2020-09-03,11.27,10.96,11.31,11.08,8274727
150,2020-09-02,11.08,11.02,11.43,11.43,12587120
151,2020-09-01,10.98,10.95,11.24,11.24,7595314
152,2020-08-31,11.19,11.03,11.2,11.06,7593424
153,2020-08-28,11.08,11.03,11.26,11.25,3691662
154,2020-08-27,11.06,11.02,11.13,11.07,4956177
155,2020-08-26,10.85,10.79,10.97,10.95,5527532
156,2020-08-25,10.9,10.68,10.91,10.87,5746218
157,2020-08-24,11.17,10.86,11.18,10.87,7440571
158,2020-08-21,11.23,11.09,11.26,11.11,5455770
159,2020-08-20,11.17,11.15,11.3,11.28,5687573
160,2020-08-19,11.35,11.22,11.59,11.29,10889129
161,2020-08-18,11.4,10.99,11.5,11.08,7580633
162,2020-08-17,11.28,11.24,11.38,11.31,3754739
163,2020-08-14,11.18,11.12,11.29,11.2,3099473
164,2020-08-13,11.09,11.07,11.26,11.2,7298559
165,2020-08-12,11.19,11.12,11.23,11.19,3267910
166,2020-08-11,11.2,11.03,11.29,11.08,6354851
167,2020-08-10,10.91,10.83,11.14,11.1,5518813
168,2020-08-07,10.71,10.69,10.85,10.81,5022947
169,2020-08-06,10.73,10.65,10.84,10.8,6875122
170,2020-08-05,10.8,10.67,10.87,10.69,7340985
171,2020-08-04,10.45,10.45,10.75,10.7,6866932
172,2020-08-03,10.4,10.32,10.58,10.44,8996347
173,2020-07-31,10.32,10.05,10.34,10.3,22997899
174,2020-07-30,10.48,10.23,10.52,10.36,7415007
175,2020-07-29,10.7,10.54,10.75,10.62,5264718
176,2020-07-28,10.77,10.68,10.91,10.71,7292547
177,2020-07-27,10.78,10.63,10.83,10.82,8583108
178,2020-07-24,10.77,10.6,10.78,10.67,5610155
179,2020-07-23,10.88,10.64,10.93,10.74,5722845
180,2020-07-22,10.85,10.81,10.95,10.9,7379286
181,2020-07-21,10.81,10.79,10.92,10.85,4880595
182,2020-07-20,10.76,10.7,10.82,10.73,4791989
183,2020-07-17,10.84,10.68,10.84,10.77,4866470
184,2020-07-16,10.69,10.67,10.87,10.75,4622132
185,2020-07-15,10.76,10.63,10.81,10.7,5112618
186,2020-07-14,10.4,10.39,10.64,10.61,5668094
187,2020-07-13,10.58,10.38,10.63,10.41,8381909
188,2020-07-10,10.43,10.39,10.55,10.51,7626805
189,2020-07-09,10.46,10.24,10.47,10.37,9151485
190,2020-07-08,10.54,10.31,10.57,10.45,8905039
191,2020-07-07,10.62,10.54,10.72,10.62,10153031
192,2021-01-04,11.7,11.35,11.77,11.38,7452333
193,2020-12-31,11.81,11.64,11.84,11.77,2822502
194,2020-12-30,11.68,11.66,11.78,11.74,2625993
195,2020-12-29,11.7,11.53,11.7,11.6,2513066
196,2020-12-28,11.71,11.58,11.76,11.59,1829029
197,2020-12-24,11.64,11.54,11.66,11.64,957941
198,2020-12-23,11.54,11.53,11.66,11.56,2033819
199,2020-12-22,11.51,11.49,11.62,11.5,4999318
200,2020-12-21,11.41,11.16,11.5,11.47,4696988
201,2020-12-18,11.54,11.47,11.7,11.66,14021466
202,2020-12-17,11.53,11.4,11.56,11.56,3891115
203,2020-12-16,11.51,11.39,11.59,11.4,3246073
204,2020-12-15,11.45,11.42,11.63,11.54,4158688
205,2020-12-14,11.57,11.27,11.6,11.27,4446962
206,2020-12-11,11.39,11.31,11.49,11.44,6307054
207,2020-12-10,11.59,11.48,11.65,11.53,6171317
208,2020-12-09,11.53,11.51,11.65,11.61,7143940
209,2020-12-08,11.3,11.3,11.59,11.54,5468393
210,2020-12-07,11.48,11.26,11.49,11.35,5807760
211,2020-12-04,11.48,11.47,11.63,11.54,4609172
212,2020-12-03,11.5,11.4,11.59,11.44,4071387
213,2020-12-02,11.48,11.44,11.61,11.47,4745261
214,2020-12-01,11.47,11.43,11.61,11.53,4601161
215,2020-11-30,11.38,11.24,11.45,11.33,6321074
216,2020-11-27,11.5,11.39,11.58,11.48,2629057
217,2020-11-25,11.62,11.53,11.67,11.59,6027508
218,2020-11-24,11.53,11.49,11.82,11.8,10089287
219,2020-11-23,11.8,11.52,11.8,11.57,6501715
220,2020-11-20,11.96,11.88,12.02,11.93,3949850
221,2020-11-19,11.79,11.7,11.95,11.92,3830729
222,2020-11-18,11.94,11.83,12.0,11.84,4273075
223,2020-11-17,12.01,11.84,12.05,11.93,5869172
224,2020-11-16,12.0,11.81,12.23,12.15,5714390
225,2020-11-13,11.57,11.52,11.84,11.79,4377307
226,2020-11-12,11.73,11.37,11.85,11.55,10966636
227,2020-11-11,11.93,11.79,12.06,11.93,7208818
228,2020-11-10,11.81,11.66,11.88,11.86,9546232
229,2020-11-09,12.16,11.93,12.4,12.04,9649317
230,2020-11-06,11.72,11.39,11.93,11.52,6756948
231,2020-11-05,11.2,11.14,11.62,11.51,5138936
232,2020-11-04,11.11,10.93,11.2,11.09,5291113
233,2020-11-03,10.98,10.92,11.19,11.14,3322084
234,2020-11-02,10.6,10.59,10.89,10.85,6030307
235,2020-10-30,10.48,10.31,10.55,10.43,7502014
236,2020-10-29,10.36,10.32,10.56,10.5,5135431
237,2020-10-28,10.34,10.26,10.47,10.32,6842620
238,2020-10-27,10.64,10.48,10.66,10.57,5360579
239,2020-10-26,10.82,10.54,10.83,10.63,4178719
240,2020-10-23,11.06,10.89,11.06,10.97,3025373
241,2020-10-22,10.99,10.87,11.05,11.04,3621208
242,2020-10-21,11.19,11.07,11.27,11.08,4102886
243,2020-10-20,11.28,11.18,11.37,11.19,5223878
244,2020-10-19,11.52,11.27,11.56,11.28,3816519
245,2020-10-16,11.52,11.47,11.59,11.5,4263111
246,2020-10-15,11.25,11.24,11.48,11.47,3273582
247,2020-10-14,11.45,11.36,11.5,11.4,3115111
248,2020-10-13,11.41,11.28,11.47,11.41,3576251
249,2020-10-12,11.47,11.36,11.5,11.43,6064234
250,2020-10-09,11.49,11.36,11.56,11.42,3257733
251,2020-10-08,11.21,11.18,11.35,11.34,5689322
252,2020-10-07,11.1,11.08,11.38,11.23,7216831
253,2020-10-06,11.12,10.99,11.27,11.01,8164463
254,2021-04-05,11.74,11.67,11.91,11.89,4263001
255,2021-04-01,11.68,11.36,11.68,11.66,6316170
256,2021-03-31,11.75,11.48,11.77,11.68,7359106
257,2021-03-30,11.73,11.65,11.79,11.74,4775070
258,2021-03-29,11.68,11.65,11.88,11.8,6208146
259,2021-03-26,11.61,11.54,11.79,11.78,5173000
260,2021-03-25,11.35,11.24,11.65,11.58,5450702
261,2021-03-24,11.36,11.3,11.47,11.31,6059681
262,2021-03-23,11.36,11.28,11.58,11.37,7927231
263,2021-03-22,11.25,11.13,11.49,11.41,7660386
264,2021-03-19,11.28,10.33,11.51,11.3,36593533
265,2021-03-18,11.6,11.34,11.61,11.36,7442167
266,2021-03-17,11.53,11.43,11.68,11.64,5512701
267,2021-03-16,11.75,11.48,11.77,11.5,7171234
268,2021-03-15,11.65,11.59,11.77,11.76,7160686
269,2021-03-12,11.81,11.7,11.84,11.77,4124770
270,2021-03-11,11.89,11.68,11.91,11.73,6007095
271,2021-03-10,11.75,11.64,12.02,11.93,5984599
272,2021-03-09,11.76,11.65,11.83,11.75,8763722
273,2021-03-08,11.66,11.59,11.98,11.76,6761343
274,2021-03-05,11.31,11.21,11.63,11.61,5394874
275,2021-03-04,11.5,11.14,11.59,11.27,7405309
276,2021-03-03,11.42,11.31,11.54,11.47,5313157
277,2021-03-02,11.25,11.19,11.51,11.43,6094928
278,2021-03-01,11.09,11.07,11.4,11.29,4695347
279,2021-02-26,11.28,10.92,11.34,10.94,7559316
280,2021-02-25,11.4,11.26,11.49,11.34,4083226
281,2021-02-24,11.29,11.21,11.45,11.41,4478090
282,2021-02-23,11.38,11.18,11.46,11.37,5759396
283,2021-02-22,11.38,11.28,11.47,11.42,6575643
284,2021-02-19,11.42,11.32,11.58,11.42,5913254
285,2021-02-18,11.31,11.25,11.55,11.42,7436250
286,2021-02-17,11.25,11.14,11.38,11.3,5204160
287,2021-02-16,11.5,11.24,11.51,11.25,5397384
288,2021-02-12,11.2,11.2,11.51,11.5,4830641
289,2021-02-11,11.44,11.19,11.45,11.3,5260820
290,2021-02-10,11.37,11.32,11.54,11.43,11574090
291,2021-02-09,11.39,11.22,11.55,11.24,5718438
292,2021-02-08,11.45,11.32,11.53,11.47,6384051
293,2021-02-05,11.3,11.3,11.53,11.47,6154555
294,2021-02-04,11.13,10.94,11.25,11.18,5617956
295,2021-02-03,11.23,10.66,11.3,11.01,11101476
296,2021-02-02,10.97,10.83,11.08,10.93,5353288
297,2021-02-01,11.02,10.68,11.08,10.89,7305310
298,2021-01-29,11.11,10.88,11.12,10.94,14989443
299,2021-01-28,11.18,11.09,11.28,11.18,8100619
300,2021-01-27,11.03,10.98,11.28,11.06,8619686
301,2021-01-26,11.03,10.96,11.26,11.21,5638021
302,2021-01-25,11.1,10.86,11.23,10.97,9073163
303,2021-01-22,11.18,10.94,11.23,11.09,7302058
304,2021-01-21,11.1,11.07,11.32,11.25,5448324
305,2021-01-20,10.99,10.92,11.28,11.23,5634192
306,2021-01-19,11.14,10.93,11.16,10.95,5481890
307,2021-01-15,11.33,11.05,11.33,11.05,6619465
308,2021-01-14,11.44,11.34,11.51,11.39,4375342
309,2021-01-13,11.57,11.36,11.58,11.43,5774293
310,2021-01-12,11.5,11.42,11.69,11.63,4136208
311,2021-01-11,11.36,11.36,11.59,11.54,3775466
312,2021-01-08,11.64,11.35,11.71,11.5,3717659
313,2021-01-07,11.72,11.58,11.77,11.68,5787882
314,2021-01-06,11.48,11.48,11.88,11.78,7457573
315,2021-01-05,11.35,11.35,11.55,11.46,7657369
316,2021-07-02,11.53,11.41,11.55,11.54,3846936
317,2021-07-01,11.58,11.51,11.64,11.56,5376603
318,2021-06-30,11.41,11.33,11.52,11.46,6373486
319,2021-06-29,11.53,11.44,11.6,11.46,4248097
320,2021-06-28,11.65,11.48,11.68,11.55,4043678
321,2021-06-25,11.6,11.53,11.69,11.61,11200070
322,2021-06-24,11.53,11.4,11.56,11.52,3269662
323,2021-06-23,11.61,11.48,11.64,11.49,5920926
324,2021-06-22,11.5,11.43,11.62,11.54,3686451
325,2021-06-21,11.47,11.44,11.59,11.47,5340993
326,2021-06-18,11.5,11.28,11.53,11.36,12988795
327,2021-06-17,11.8,11.45,11.85,11.54,4698757
328,2021-06-16,12.05,11.81,12.07,11.82,4230028
329,2021-06-15,12.09,11.94,12.12,12.01,6809640
330,2021-06-14,12.25,12.11,12.29,12.15,4151430
331,2021-06-11,12.13,12.07,12.25,12.24,4513452
332,2021-06-10,12.11,12.0,12.18,12.07,4352694
333,2021-06-09,12.08,11.98,12.17,12.07,7003737
334,2021-06-08,12.09,12.02,12.19,12.08,5111790
335,2021-06-07,12.15,12.01,12.17,12.1,9468440
336,2021-06-04,11.98,11.97,12.28,12.15,9596872
337,2021-06-03,11.82,11.77,11.94,11.94,7285892
338,2021-06-02,11.94,11.81,11.97,11.86,4880393
339,2021-06-01,11.9,11.73,11.95,11.89,5356442
340,2021-05-28,11.84,11.72,11.87,11.8,8493048
341,2021-05-27,11.8,11.77,11.89,11.88,15849933
342,2021-05-26,11.66,11.66,11.8,11.78,7302986
343,2021-05-25,11.77,11.69,11.85,11.72,6755189
344,2021-05-24,12.06,11.9,12.11,11.94,3735780
345,2021-05-21,11.99,11.94,12.12,11.98,4193182
346,2021-05-20,11.95,11.95,12.09,11.99,5033522
347,2021-05-19,12.13,11.93,12.15,12.01,4886015
348,2021-05-18,12.24,12.17,12.34,12.19,4336183
349,2021-05-17,12.38,12.24,12.41,12.29,5526159
350,2021-05-14,12.38,12.34,12.47,12.37,4264338
351,2021-05-13,12.12,12.07,12.46,12.38,7088068
352,2021-05-12,12.37,12.13,12.45,12.15,5478148
353,2021-05-11,12.45,12.31,12.54,12.4,4750265
354,2021-05-10,12.57,12.45,12.76,12.45,6742989
355,2021-05-07,12.49,12.31,12.52,12.45,5196016
356,2021-05-06,12.33,12.27,12.51,12.49,6166431
357,2021-05-05,12.1,12.04,12.31,12.28,8401461
358,2021-05-04,11.86,11.86,12.5,12.43,11810803
359,2021-05-03,11.75,11.72,11.91,11.79,7715283
360,2021-04-30,11.88,11.66,11.88,11.75,13108652
361,2021-04-29,11.81,11.73,11.91,11.89,4871916
362,2021-04-28,11.72,11.68,11.85,11.69,3797537
363,2021-04-27,11.68,11.59,11.7,11.67,4486142
364,2021-04-26,11.79,11.71,11.85,11.74,3989338
365,2021-04-23,11.67,11.64,11.79,11.73,5480298
366,2021-04-22,11.88,11.64,11.92,11.65,5575097
367,2021-04-21,11.85,11.83,12.01,11.94,4227664
368,2021-04-20,11.88,11.79,11.92,11.86,4084733
369,2021-04-19,11.97,11.76,11.98,11.86,3717529
370,2021-04-16,11.99,11.88,12.07,11.95,6645922
371,2021-04-15,11.84,11.73,11.94,11.89,3220074
372,2021-04-14,11.76,11.66,11.82,11.74,3517864
373,2021-04-13,11.67,11.61,11.83,11.78,6517643
374,2021-04-12,11.76,11.67,11.83,11.72,3723190
375,2021-04-09,11.69,11.58,11.75,11.73,3323904
376,2021-04-08,11.55,11.53,11.67,11.57,3641188
377,2021-04-07,11.91,11.59,11.91,11.63,5832002
378,2021-04-06,11.81,11.78,11.98,11.98,4286215
379,2021-10-04,11.64,11.57,11.77,11.63,5208657
380,2021-10-01,11.71,11.49,11.79,11.69,5347096
381,2021-09-30,11.79,11.57,11.81,11.59,5867720
382,2021-09-29,11.72,11.71,11.81,11.73,2644264
383,2021-09-28,11.89,11.65,11.91,11.7,5528798
384,2021-09-27,11.76,11.72,11.94,11.87,4333355
385,2021-09-24,11.77,11.74,11.89,11.79,3990738
386,2021-09-23,11.74,11.74,11.92,11.82,3455787
387,2021-09-22,11.8,11.72,11.84,11.74,3732607
388,2021-09-21,11.83,11.68,11.86,11.69,4961872
389,2021-09-20,11.75,11.65,11.87,11.78,7146003
390,2021-09-17,12.16,11.83,12.25,11.85,9889574
391,2021-09-16,12.34,12.13,12.38,12.13,5012281
392,2021-09-15,12.35,12.29,12.43,12.4,6096317
393,2021-09-14,12.34,12.26,12.38,12.32,5150164
394,2021-09-13,12.4,12.24,12.41,12.3,4902428
395,2021-09-10,12.22,12.22,12.44,12.3,7148776
396,2021-09-09,12.34,12.12,12.38,12.13,7558677
397,2021-09-08,12.25,12.22,12.4,12.32,5285805
398,2021-09-07,12.3,12.21,12.43,12.22,5529091
399,2021-09-03,12.77,12.66,12.8,12.68,4625130
400,2021-09-02,12.72,12.6,12.76,12.75,4675289
401,2021-09-01,12.8,12.64,12.85,12.69,6419700
402,2021-08-31,12.81,12.74,12.87,12.85,7398740
403,2021-08-30,12.81,12.73,12.83,12.79,5282255
404,2021-08-27,12.7,12.69,12.81,12.78,3957585
405,2021-08-26,12.79,12.61,12.85,12.65,8815552
406,2021-08-25,12.65,12.57,12.92,12.8,10676591
407,2021-08-24,12.6,12.45,12.63,12.62,8023724
408,2021-08-23,12.77,12.5,12.79,12.68,10778683
409,2021-08-20,12.45,12.25,12.86,12.79,11016596
410,2021-08-19,12.14,12.05,12.44,12.4,6516269
411,2021-08-18,11.91,11.91,12.3,12.14,8812677
412,2021-08-17,12.18,12.02,12.19,12.1,5159343
413,2021-08-16,12.15,12.04,12.27,12.22,5735356
414,2021-08-13,12.05,12.01,12.16,12.15,2314188
415,2021-08-12,12.1,11.97,12.13,12.05,3619410
416,2021-08-11,12.0,11.95,12.18,12.18,4144050
417,2021-08-10,11.77,11.77,12.02,11.95,4293815
418,2021-08-09,11.7,11.67,11.83,11.82,4945334
419,2021-08-06,11.73,11.69,11.82,11.73,3187743
420,2021-08-05,11.68,11.67,11.77,11.68,4898374
421,2021-08-04,11.61,11.53,11.69,11.6,3292275
422,2021-08-03,11.56,11.44,11.69,11.67,4341797
