,date,open,low,high,close,volume
0,2020-01-06,48.02,47.86,48.86,48.39,48176286
1,2020-01-03,48.03,47.54,49.39,48.6,73362157
2,2020-01-02,46.86,46.63,49.25,49.1,80524599
3,2020-04-06,44.3,44.06,47.58,47.52,82293964
4,2020-04-03,44.3,41.7,44.8393,42.59,79334966
5,2020-04-02,43.4,43.1,45.28,44.49,79024133
6,2020-04-01,44.18,43.16,46.85,43.66,92083081
7,2020-03-31,47.925,45.16,48.53,45.48,83483749
8,2020-03-30,47.24,46.66,48.46,47.86,68486602
9,2020-03-27,46.32,45.9,47.975,46.58,74599218
10,2020-03-26,45.78,45.4,47.5,47.5,73915608
11,2020-03-25,46.79,44.425,47.875,44.63,93760389
12,2020-03-24,44.04,43.99,46.81,46.22,106794151
13,2020-03-23,40.62,38.95,42.32,41.64,101704663
14,2020-03-20,41.51,39.58,42.4825,39.61,106859502
15,2020-03-19,39.56,37.69,41.7,39.82,88939024
16,2020-03-18,39.54,36.75,41.95,39.12,106949287
17,2020-03-17,40.19,38.3,42.88,41.88,92741881
18,2020-03-16,39.08,38.51,43.37,38.71,84545868
19,2020-03-13,42.2,39.6,43.91,43.9,86689681
20,2020-03-12,42.0,39.0,42.5,39.01,107461521
21,2020-03-11,44.19,43.8,45.97,45.7,102319010
22,2020-03-10,45.41,43.1,45.44,45.38,76228247
23,2020-03-09,43.03,42.51,46.34,43.27,80856174
24,2020-03-06,49.44,46.74,49.54,48.59,124590861
25,2020-03-05,48.68,47.51,49.72,48.11,98302748
26,2020-03-04,48.25,47.2101,50.14,50.11,93311779
27,2020-03-03,49.03,45.67,50.2,46.75,141972258
28,2020-03-02,47.42,44.66,47.68,47.46,102323726
29,2020-02-28,41.355,41.04,46.15,45.48,100667707
30,2020-02-27,45.38,42.21,46.24,44.01,106416222
31,2020-02-26,47.7,47.07,49.29,47.49,86897680
32,2020-02-25,51.14,47.12,51.24,47.57,88699382
33,2020-02-24,48.175,47.49,50.275,49.12,86493836
34,2020-02-21,56.71,52.89,56.8,53.28,88526374
