,date,open,low,high,close,volume
0,2020-01-06,100.31,99.89,101.09,101.05,1157800
1,2020-01-03,99.29,99.19,101.03,100.94,785500
2,2020-01-02,100.15,99.44,100.8,100.8,1108200
3,2020-04-06,75.44,74.41,76.28,75.43,1788739
4,2020-04-03,70.8,69.72,72.36,71.29,1802700
5,2020-04-02,69.31,68.61,71.68,71.09,1765500
6,2020-04-01,68.45,68.02,70.42,69.81,2119800
7,2020-03-31,73.02,70.57,73.71,72.02,2453616
8,2020-03-30,70.97,69.81,74.1,73.72,1410516
9,2020-03-27,68.75,67.88,73.64,71.01,2148124
10,2020-03-26,72.37,69.72,74.44,72.41,2367526
11,2020-03-25,68.15,65.6,74.49,71.0,3310246
12,2020-03-24,62.01,61.15,69.46,67.94,3162900
13,2020-03-23,62.5,56.69,62.9,58.21,2527206
14,2020-03-20,70.71,63.1,70.71,63.37,3217800
15,2020-03-19,64.81,61.84,70.21,69.01,3338000
16,2020-03-18,60.55,54.82,67.32,65.65,3772101
17,2020-03-17,64.04,60.25,66.77,65.9,3188236
18,2020-03-16,65.84,61.59,67.21,62.54,2898632
19,2020-03-13,71.49,67.47,74.7,74.6,2459700
20,2020-03-12,70.76,66.75,74.69,67.52,3500011
21,2020-03-11,79.41,76.45,80.2,77.25,2216337
22,2020-03-10,78.77,77.39,82.31,82.26,3053900
23,2020-03-09,79.99,74.73,84.73,76.26,3613436
24,2020-03-06,86.01,85.86,88.9,88.52,2763900
25,2020-03-05,88.56,87.79,89.92,89.07,1935800
26,2020-03-04,88.81,87.63,91.28,91.01,1634700
27,2020-03-03,90.01,86.78,91.92,87.32,2258400
28,2020-03-02,86.53,86.07,90.43,90.02,3211447
29,2020-02-28,84.5,83.24,86.0,86.0,2982200
30,2020-02-27,89.3,87.34,91.47,87.36,1974540
31,2020-02-26,92.19,91.05,93.52,91.11,1677800
32,2020-02-25,95.81,91.57,96.09,91.75,1668500
33,2020-02-24,96.3,94.34,96.48,95.36,2305648
34,2020-02-21,99.9,98.82,100.14,99.34,3049900
35,2020-02-20,99.77,99.07,101.15,100.55,1437247
36,2020-02-19,100.94,100.13,100.94,100.17,901525
37,2020-02-18,101.0,100.17,101.69,100.47,1757200
38,2020-02-14,101.64,100.55,101.78,101.34,776800
39,2020-02-13,101.18,100.95,101.83,101.44,1025925
40,2020-02-12,101.0,100.66,102.0,101.77,1049300
41,2020-02-11,99.0,98.79,100.88,100.15,1179804
42,2020-02-10,98.07,97.61,98.61,98.6,1407922
43,2020-02-07,98.35,98.07,99.91,98.3,1711000
44,2020-02-06,100.35,97.64,100.35,98.68,1755201
45,2020-02-05,98.0,96.7,101.47,100.03,2023400
46,2020-02-04,99.24,98.96,100.07,99.11,1633644
47,2020-02-03,97.63,97.29,98.83,97.72,1316902
48,2020-01-31,98.65,96.54,98.65,97.15,1285800
49,2020-01-30,98.63,97.98,99.46,99.33,1232700
50,2020-01-29,100.01,99.23,100.33,99.63,939210
51,2020-01-28,98.12,97.78,99.97,99.33,1120204
52,2020-01-27,97.64,97.14,98.75,97.78,1301505
53,2020-01-24,101.16,99.2,101.23,99.57,826705
54,2020-01-23,99.85,99.29,100.93,100.78,1012000
55,2020-01-22,101.78,100.23,102.3,100.27,1143511
56,2020-01-21,101.36,100.88,101.99,101.26,1176100
57,2020-01-17,100.47,100.19,102.07,101.78,1532600
58,2020-01-16,100.16,99.84,100.77,100.19,1642600
59,2020-01-15,100.84,100.39,102.0,100.66,756611
60,2020-01-14,100.72,100.38,101.6,100.84,1007416
61,2020-01-13,100.38,99.98,101.0,100.83,1181922
62,2020-01-10,101.61,100.59,101.61,100.76,840700
63,2020-01-09,101.82,100.97,101.97,101.36,764200
64,2020-01-08,101.54,101.0,102.31,101.86,874038
65,2020-01-07,100.5,100.31,101.78,101.63,1265629
66,2020-07-06,90.53,89.18,91.28,89.76,888300
67,2020-07-02,88.92,88.54,90.09,88.96,1029600
68,2020-07-01,89.74,87.36,89.98,87.59,1138415
69,2020-06-30,88.03,87.71,89.7,89.37,1029432
70,2020-06-29,87.25,86.16,88.14,88.11,1256600
71,2020-06-26,86.85,85.06,86.87,85.79,5586244
72,2020-06-25,85.55,84.53,87.25,87.14,1468700
73,2020-06-24,88.17,85.69,88.26,85.84,1875029
74,2020-06-23,90.57,88.93,90.57,89.08,949107
75,2020-06-22,88.3,87.33,89.56,89.33,740005
76,2020-06-19,91.05,88.06,91.1,88.53,1856800
77,2020-06-18,89.43,88.89,90.36,89.2,788715
78,2020-06-17,91.4,89.73,91.58,89.98,740400
79,2020-06-16,91.62,89.23,91.96,90.74,1159729
80,2020-06-15,85.33,84.64,89.23,88.28,1274400
81,2020-06-12,90.06,85.26,90.18,87.66,1757306
82,2020-06-11,90.12,87.83,90.43,88.09,1499900
83,2020-06-10,94.82,92.63,94.87,93.15,924300
84,2020-06-09,94.42,93.8,95.87,94.79,1054600
85,2020-06-08,97.1,95.6,98.0,95.95,1351900
86,2020-06-05,97.61,95.73,97.74,96.99,1287100
87,2020-06-04,94.17,93.49,94.69,94.21,786432
88,2020-06-03,94.37,93.98,95.55,95.01,1409200
89,2020-06-02,92.35,91.5,93.84,92.94,1091800
90,2020-06-01,91.31,90.49,92.87,92.02,1075535
91,2020-05-29,91.5,89.91,92.14,91.71,1650219
92,2020-05-28,92.5,91.2,93.2,91.88,1545241
93,2020-05-27,90.0,89.5,91.83,91.69,1133345
94,2020-05-26,89.01,88.23,90.33,88.41,1963400
95,2020-05-22,84.9,84.46,86.0,85.9,1266400
96,2020-05-21,84.85,84.27,85.39,84.86,1004026
97,2020-05-20,85.14,84.73,85.85,84.83,1027046
98,2020-05-19,82.79,82.64,84.81,84.01,1556415
99,2020-05-18,83.0,82.51,83.96,83.28,1289400
100,2020-05-15,77.99,77.37,80.13,79.59,2751800
101,2020-05-14,76.45,75.22,79.1,78.75,1916938
102,2020-05-13,80.57,77.52,80.73,77.97,1604706
103,2020-05-12,83.51,80.62,83.76,80.82,1409900
104,2020-05-11,83.61,82.55,83.95,83.24,921100
105,2020-05-08,84.73,83.64,85.09,84.32,1128600
106,2020-05-07,82.96,82.55,84.13,83.31,1386542
107,2020-05-06,81.38,80.83,82.47,81.72,1303800
108,2020-05-05,81.56,80.56,83.62,81.19,2052800
109,2020-05-04,79.68,78.27,79.94,79.67,2081640
110,2020-05-01,81.97,79.93,82.34,80.49,1210300
111,2020-04-30,83.31,82.47,84.63,83.87,1466521
112,2020-04-29,82.31,82.0,84.96,84.5,1427501
113,2020-04-28,81.22,80.14,82.39,80.76,1366200
114,2020-04-27,77.53,77.26,79.83,79.28,1134619
115,2020-04-24,76.6,75.26,77.3,77.06,1015412
116,2020-04-23,76.75,75.06,77.03,75.68,1370803
117,2020-04-22,75.78,74.01,76.59,75.89,1181441
118,2020-04-21,75.86,73.83,76.58,73.91,2503515
119,2020-04-20,78.67,77.16,79.95,77.75,2028218
120,2020-04-17,78.41,78.39,80.55,80.31,1829500
121,2020-04-16,76.02,73.11,77.41,76.0,1860343
122,2020-04-15,75.45,74.51,76.52,76.05,1224511
123,2020-04-14,78.89,77.44,81.01,78.08,1214000
124,2020-04-13,76.99,75.27,77.43,76.97,968508
125,2020-04-09,77.81,77.33,80.64,78.23,1537704
126,2020-04-08,75.23,75.23,77.74,77.23,1350200
127,2020-04-07,80.11,75.6,81.5,75.79,1623541
128,2020-10-05,101.94,101.76,103.97,103.5,864700
129,2020-10-02,98.15,98.04,101.68,100.78,715461
130,2020-10-01,100.7,99.01,101.38,99.85,1046619
131,2020-09-30,100.0,98.73,101.11,99.4,1032403
132,2020-09-29,99.95,99.3,100.91,99.89,1046495
133,2020-09-28,98.93,98.82,100.44,99.49,685900
134,2020-09-25,95.52,95.15,97.93,97.49,573300
135,2020-09-24,95.32,94.9,97.08,96.23,834200
136,2020-09-23,97.56,95.12,98.42,95.32,712000
137,2020-09-22,96.1,95.99,97.55,97.24,838300
138,2020-09-21,98.75,95.04,99.41,96.24,919922
139,2020-09-18,102.03,100.62,103.2,100.71,1209338
140,2020-09-17,101.16,100.3,103.04,102.33,695715
141,2020-09-16,102.79,102.0,103.48,102.34,1079048
142,2020-09-15,101.65,101.59,102.95,102.32,734811
143,2020-09-14,100.64,100.51,101.79,101.39,684608
144,2020-09-11,98.73,98.48,100.84,99.91,914900
145,2020-09-10,99.6,97.94,100.36,98.11,1243900
146,2020-09-09,98.11,97.83,100.02,99.35,675243
147,2020-09-08,98.67,96.91,98.75,96.99,915113
148,2020-09-04,100.86,98.42,101.23,99.47,795200
149,2020-09-03,103.4,99.05,103.58,99.89,862100
150,2020-09-02,101.98,101.61,103.95,103.08,1525700
151,2020-09-01,100.42,100.19,102.21,102.02,533700
152,2020-08-31,101.78,100.37,101.78,100.7,657600
153,2020-08-28,101.17,100.67,101.98,101.93,696907
154,2020-08-27,101.5,100.48,101.57,100.91,586116
155,2020-08-26,100.48,99.97,101.2,101.01,627500
156,2020-08-25,101.42,100.27,101.6,100.92,568300
157,2020-08-24,100.85,99.77,100.97,100.8,678800
158,2020-08-21,99.98,99.83,100.7,100.24,636900
159,2020-08-20,100.07,99.61,100.6,100.16,637116
160,2020-08-19,101.48,100.82,101.53,101.01,684700
161,2020-08-18,101.35,101.31,101.8,101.58,967600
162,2020-08-17,101.28,101.17,101.94,101.4,906617
163,2020-08-14,100.36,100.36,102.03,101.28,1007230
164,2020-08-13,100.74,100.51,101.34,100.96,849700
165,2020-08-12,100.23,99.98,101.55,101.23,843323
166,2020-08-11,100.0,99.23,101.68,99.25,1370700
167,2020-08-10,97.98,97.84,99.27,99.04,1711323
