,date,open,low,high,close,volume
0,2020-01-06,237.2,236.56,240.45,240.3,1802823
1,2020-01-03,237.16,236.24,240.26,238.47,1879024
2,2020-01-02,243.0,238.98,243.19,240.1,2088000
3,2020-04-06,212.0,206.85,212.71,211.58,3702502
4,2020-04-03,207.43,203.03,209.75,205.41,2281426
5,2020-04-02,194.41,194.21,209.53,208.88,3867332
6,2020-04-01,197.56,194.99,201.38,197.81,2747906
7,2020-03-31,203.49,200.7,207.25,202.73,2929128
8,2020-03-30,200.05,200.05,209.45,208.48,3219000
9,2020-03-27,194.42,194.01,205.87,198.27,4119780
10,2020-03-26,193.12,190.5,199.72,198.49,5162547
11,2020-03-25,197.77,190.01,201.36,193.14,5301004
12,2020-03-24,191.47,190.01,202.85,202.34,5288247
13,2020-03-23,188.89,177.05,191.96,185.93,4396603
14,2020-03-20,198.89,186.0,201.97,188.25,5727006
15,2020-03-19,201.0,195.27,208.75,198.76,4796717
16,2020-03-18,198.56,196.74,210.9,204.88,5597900
17,2020-03-17,192.21,191.65,210.91,207.8,5912873
18,2020-03-16,184.67,182.96,204.72,188.68,4932563
19,2020-03-13,189.76,188.52,203.17,202.1,6903900
20,2020-03-12,184.63,181.77,196.26,182.24,4902612
21,2020-03-11,201.0,195.81,203.92,198.65,3777570
22,2020-03-10,203.36,194.67,207.1,206.8,3928777
23,2020-03-09,197.74,190.75,203.62,198.37,4065600
24,2020-03-06,203.97,203.82,211.61,210.65,3100544
25,2020-03-05,207.66,207.58,216.39,212.12,3185407
26,2020-03-04,209.53,207.62,215.29,215.11,3880450
27,2020-03-03,210.34,202.66,216.16,204.42,3975261
28,2020-03-02,199.9,198.71,212.37,212.2,4245732
29,2020-02-28,198.05,195.18,203.0,199.73,5316456
30,2020-02-27,214.92,203.22,215.28,203.5,4071100
31,2020-02-26,216.18,212.02,216.7,214.54,3314000
32,2020-02-25,218.08,209.82,219.56,210.38,3915518
33,2020-02-24,219.88,215.76,223.99,217.88,3049600
34,2020-02-21,222.24,220.99,223.8,222.79,2047500
35,2020-02-20,223.2,218.51,223.48,222.14,1638000
36,2020-02-19,222.94,222.05,224.05,222.96,1322900
37,2020-02-18,224.15,220.92,224.35,221.69,1936402
38,2020-02-14,222.93,221.34,223.49,223.48,1611960
39,2020-02-13,224.99,222.82,226.52,223.04,1946511
40,2020-02-12,229.47,225.88,230.23,227.0,2501300
41,2020-02-11,227.7,226.8,229.47,228.96,1934539
42,2020-02-10,228.15,226.26,228.96,227.42,2144700
43,2020-02-07,231.41,227.67,232.18,229.33,2295149
44,2020-02-06,233.72,229.34,233.89,231.45,2007526
45,2020-02-05,223.74,223.74,234.64,231.94,3669500
46,2020-02-04,220.77,220.48,223.85,221.81,2765342
47,2020-02-03,216.39,215.56,219.62,216.88,2565440
48,2020-01-31,218.76,210.01,219.08,216.05,5968931
49,2020-01-30,226.0,223.31,226.97,226.15,2581606
50,2020-01-29,225.5,225.0,228.93,227.15,2001389
51,2020-01-28,223.57,222.85,226.7,224.84,2103970
52,2020-01-27,223.68,221.17,224.93,222.95,2843600
53,2020-01-24,235.8,224.5,235.88,225.59,5020236
54,2020-01-23,237.06,233.07,237.06,235.04,2088700
55,2020-01-22,238.75,235.76,239.7,236.75,1998233
56,2020-01-21,240.97,237.26,242.01,237.6,3094208
57,2020-01-17,242.11,239.27,242.14,241.49,2582849
58,2020-01-16,242.18,239.85,243.85,240.5,2085700
59,2020-01-15,240.67,240.05,242.6,241.7,1920726
60,2020-01-14,235.8,235.17,240.68,240.0,2239100
