,date,open,low,high,close,volume
0,2020-01-06,165.42,165.22,167.8,167.67,748741
1,2020-01-03,167.98,165.79,168.21,167.12,581317
2,2020-01-02,167.54,166.69,169.24,169.23,822100
3,2020-04-06,96.28,93.84,103.86,102.58,1064944
4,2020-04-03,93.55,88.55,94.46,90.32,937906
5,2020-04-02,93.55,91.99,100.43,94.05,922510
6,2020-04-01,95.89,93.16,99.48,94.31,1205914
7,2020-03-31,108.46,100.0,109.1,102.48,1281352
8,2020-03-30,102.81,100.03,109.85,109.15,992200
9,2020-03-27,105.0,102.88,108.58,103.33,1152707
10,2020-03-26,105.53,100.62,111.88,110.87,1298100
11,2020-03-25,102.89,97.52,111.41,103.6,1375800
12,2020-03-24,89.56,86.99,100.76,100.06,1485930
13,2020-03-23,87.96,82.03,89.21,82.88,1449741
14,2020-03-20,97.28,86.51,98.0,89.83,1608746
15,2020-03-19,91.82,86.58,99.16,95.43,1601830
16,2020-03-18,89.53,80.01,94.04,93.91,1803305
17,2020-03-17,89.48,82.11,97.97,97.94,1930512
18,2020-03-16,90.78,85.95,99.96,86.34,1888742
19,2020-03-13,99.18,98.19,113.54,113.34,1810507
20,2020-03-12,101.18,92.02,104.68,92.42,1968258
21,2020-03-11,114.78,108.42,116.06,110.78,1535612
22,2020-03-10,114.85,110.5,119.54,119.28,1738700
23,2020-03-09,114.16,107.63,118.4,109.13,1498400
24,2020-03-06,128.26,123.77,131.33,126.6,1588900
25,2020-03-05,138.36,132.64,139.41,134.51,1456000
26,2020-03-04,143.41,139.22,145.36,144.46,1243531
27,2020-03-03,149.47,139.44,150.34,140.56,1433545
28,2020-03-02,142.13,139.49,150.89,150.86,1482611
29,2020-02-28,139.31,136.49,142.84,141.3,2050441
30,2020-02-27,151.58,146.12,153.93,146.18,1487200
31,2020-02-26,156.39,156.0,160.36,156.0,1031948
32,2020-02-25,164.89,155.03,165.34,156.23,1085821
33,2020-02-24,168.52,163.29,169.38,164.47,846823
34,2020-02-21,178.64,174.67,178.95,175.43,595324
35,2020-02-20,178.26,177.98,180.85,179.72,654900
36,2020-02-19,178.55,177.82,179.42,179.04,559100
37,2020-02-18,177.9,175.75,179.48,177.29,994914
38,2020-02-14,178.12,177.55,179.01,178.82,525122
39,2020-02-13,176.53,175.86,178.62,178.4,514128
40,2020-02-12,178.59,178.03,179.57,178.64,409300
41,2020-02-11,176.65,176.23,179.35,177.63,462500
42,2020-02-10,174.46,173.96,175.87,175.77,454523
43,2020-02-07,174.52,174.15,176.31,175.32,461208
44,2020-02-06,177.51,175.17,177.51,175.91,521900
45,2020-02-05,175.0,173.68,176.59,176.06,649827
46,2020-02-04,171.4,171.4,174.45,173.28,681200
47,2020-02-03,166.98,166.46,169.72,167.46,864943
48,2020-01-31,168.96,164.72,168.96,165.41,932900
49,2020-01-30,167.24,165.65,170.77,170.51,887000
50,2020-01-29,166.19,165.37,167.87,166.04,711092
51,2020-01-28,164.03,163.47,165.76,165.12,619737
52,2020-01-27,163.56,162.04,164.78,162.4,754502
53,2020-01-24,171.4,166.5,171.48,167.57,558929
54,2020-01-23,169.97,168.02,171.47,171.38,751311
