,date,open,low,high,close,volume
0,2020-01-06,228.48,227.89,230.0,228.55,1526810
1,2020-01-03,227.56,227.0,229.83,228.61,1598900
2,2020-01-02,229.68,228.01,231.15,228.5,1426000
3,2020-04-06,228.02,227.0,236.22,235.18,3050622
4,2020-04-03,219.16,216.82,223.75,222.8,2858165
5,2020-04-02,207.0,205.59,221.09,220.75,3993438
6,2020-04-01,205.81,202.03,213.4,206.97,3772037
7,2020-03-31,228.46,215.92,230.0,217.75,4630207
8,2020-03-30,222.68,221.34,231.97,230.58,2581797
9,2020-03-27,216.19,211.73,222.04,218.48,3367124
10,2020-03-26,198.15,198.0,226.29,222.2,3413575
11,2020-03-25,188.9,186.03,208.54,199.26,3201601
12,2020-03-24,187.79,179.25,193.85,190.27,4221718
13,2020-03-23,196.0,174.32,196.27,179.09,3890335
14,2020-03-20,207.0,192.37,210.0,195.39,3941076
15,2020-03-19,217.57,201.52,219.78,209.0,3847896
16,2020-03-18,210.0,206.17,235.84,217.14,4210129
17,2020-03-17,210.17,203.63,234.9,227.53,4527146
18,2020-03-16,206.65,201.37,229.81,202.75,4093294
19,2020-03-13,225.53,220.02,241.56,238.99,4220426
20,2020-03-12,216.29,204.14,231.72,217.83,4734515
21,2020-03-11,237.37,228.68,239.19,232.9,3361080
22,2020-03-10,236.74,229.85,244.21,243.87,2658406
23,2020-03-09,231.43,225.0,239.61,231.86,3209409
24,2020-03-06,243.17,237.9,247.58,246.32,2693600
25,2020-03-05,248.55,243.53,250.89,246.94,1969400
26,2020-03-04,245.58,245.32,251.97,251.66,2350741
27,2020-03-03,240.75,238.84,246.84,242.65,3502639
28,2020-03-02,229.03,228.08,240.88,240.75,2718500
29,2020-02-28,226.7,218.03,228.71,226.8,5188144
30,2020-02-27,239.99,232.9,244.89,232.93,3169065
31,2020-02-26,246.14,240.0,248.36,242.67,2024998
32,2020-02-25,247.92,244.16,253.99,246.14,2268642
33,2020-02-24,244.82,243.61,248.77,245.11,2329828
34,2020-02-21,247.94,246.8,248.64,247.01,2570200
35,2020-02-20,247.98,244.72,248.53,247.54,2150626
36,2020-02-19,251.24,247.85,252.39,248.1,2618500
37,2020-02-18,255.3,252.68,255.6,252.93,1998612
38,2020-02-14,257.0,255.26,258.32,256.25,1600798
39,2020-02-13,255.62,254.43,257.43,256.9,1146600
40,2020-02-12,254.28,252.08,256.66,256.18,1625719
41,2020-02-11,246.55,246.55,258.62,254.27,3231900
42,2020-02-10,239.68,238.79,243.88,243.69,1576800
43,2020-02-07,238.44,237.81,239.52,238.75,1237699
44,2020-02-06,237.18,236.35,238.57,237.81,1257153
45,2020-02-05,237.5,235.2,237.98,236.38,1338703
46,2020-02-04,234.42,233.02,238.22,237.45,1105748
47,2020-02-03,232.98,232.11,235.04,234.07,1560200
48,2020-01-31,234.36,230.85,234.94,231.74,1701116
49,2020-01-30,232.42,231.31,235.26,235.2,1271408
50,2020-01-29,237.43,232.86,237.86,233.44,1434517
51,2020-01-28,237.11,236.33,237.67,237.18,1051800
52,2020-01-27,236.32,235.68,238.16,237.47,1197200
53,2020-01-24,238.0,236.72,239.99,237.52,1284878
54,2020-01-23,235.16,235.01,238.49,237.83,1485444
55,2020-01-22,237.91,234.26,238.17,235.16,1294091
56,2020-01-21,233.92,233.0,237.92,236.73,1827100
57,2020-01-17,232.89,232.59,234.41,233.42,2352919
58,2020-01-16,235.0,231.94,235.15,232.24,1782952
59,2020-01-15,234.5,234.5,236.74,235.38,1152304
60,2020-01-14,235.13,232.84,235.94,233.95,1217185
61,2020-01-13,231.25,231.15,235.42,235.41,1840796
62,2020-01-10,228.09,227.44,231.02,230.8,1578992
63,2020-01-09,225.5,225.36,227.14,226.47,1376723
64,2020-01-08,223.48,222.52,226.49,225.62,1434323
65,2020-01-07,227.13,221.62,227.57,223.68,1464433
66,2020-07-06,268.0,264.57,268.95,265.97,1504608
67,2020-07-02,268.05,262.53,268.63,264.21,1175736
68,2020-07-01,259.32,258.15,266.71,265.39,1207200
69,2020-06-30,254.25,253.12,259.12,258.54,1980526
70,2020-06-29,250.04,247.5,254.46,253.8,1638438
71,2020-06-26,254.07,244.02,258.09,246.48,3268805
72,2020-06-25,254.28,250.58,255.94,254.36,2649146
73,2020-06-24,262.25,250.27,263.18,254.18,3475300
74,2020-06-23,266.13,262.01,266.82,264.5,1941463
75,2020-06-22,264.16,261.12,266.84,264.6,2034576
76,2020-06-19,261.51,256.42,265.87,265.6,6193100
77,2020-06-18,260.51,256.54,262.03,257.6,1776100
78,2020-06-17,267.15,263.78,268.4,263.97,1380184
79,2020-06-16,268.58,261.0,268.8,264.78,1837571
80,2020-06-15,252.11,252.0,263.08,262.49,1532640
81,2020-06-12,256.72,253.96,259.0,258.08,1436549
82,2020-06-11,262.82,251.07,263.59,251.51,2549046
83,2020-06-10,266.51,263.23,269.03,265.34,1603515
84,2020-06-09,266.7,264.35,267.08,265.76,2691000
85,2020-06-08,265.0,264.3,269.12,266.88,2096076
86,2020-06-05,263.73,260.58,265.91,264.89,2336945
87,2020-06-04,264.09,256.51,266.91,259.72,1997649
88,2020-06-03,264.93,263.6,269.25,267.39,1802351
89,2020-06-02,264.51,259.74,265.59,263.59,1810146
90,2020-06-01,258.03,255.52,266.78,264.31,2035579
91,2020-05-29,257.16,254.09,258.97,258.17,2138776
92,2020-05-28,255.62,253.52,259.47,258.12,2191111
93,2020-05-27,245.61,241.83,252.94,252.01,2311226
94,2020-05-26,248.59,240.14,248.68,243.93,2833785
95,2020-05-22,228.54,227.41,242.6,242.43,2812700
96,2020-05-21,229.39,227.12,230.48,228.16,1263314
97,2020-05-20,231.98,228.92,232.66,230.14,1346639
98,2020-05-19,235.08,229.66,236.85,229.97,1542800
99,2020-05-18,236.07,232.07,238.14,236.03,1792941
100,2020-05-15,228.35,223.83,229.97,229.58,2246834
101,2020-05-14,229.38,224.76,231.0,229.62,2112861
102,2020-05-13,231.26,229.39,237.08,231.15,2200639
103,2020-05-12,239.36,230.74,240.25,231.69,1852668
104,2020-05-11,236.08,234.48,242.93,238.23,2040771
105,2020-05-08,237.65,236.68,240.25,238.36,1879771
106,2020-05-07,239.18,235.03,239.67,235.25,2548935
107,2020-05-06,240.86,236.79,242.24,237.26,1441516
108,2020-05-05,237.68,237.68,243.55,240.26,1421211
109,2020-05-04,237.39,228.11,237.5,236.63,1642846
110,2020-05-01,233.24,232.59,235.9,234.2,1896859
111,2020-04-30,234.11,232.71,239.09,238.0,3410300
112,2020-04-29,251.02,235.67,251.02,236.81,3506086
113,2020-04-28,255.25,242.72,255.8,243.53,2092140
114,2020-04-27,247.0,245.24,252.29,250.22,1557532
115,2020-04-24,250.28,243.77,251.49,244.61,1776471
116,2020-04-23,252.19,248.14,254.81,248.6,1419204
117,2020-04-22,246.23,245.56,255.11,252.98,2041450
118,2020-04-21,245.21,239.1,245.87,242.0,1925620
119,2020-04-20,252.03,248.51,253.0,248.68,1281800
120,2020-04-17,256.56,248.08,257.77,254.06,2328281
121,2020-04-16,249.59,247.55,252.72,251.78,1640950
122,2020-04-15,252.93,243.21,252.98,247.49,1910011
123,2020-04-14,255.08,252.52,257.66,255.1,2011864
124,2020-04-13,256.7,246.76,257.35,249.76,1831195
125,2020-04-09,248.5,248.2,260.43,259.6,4331939
126,2020-04-08,229.64,228.0,249.65,249.25,3329400
127,2020-04-07,241.11,227.03,243.88,227.77,2227926
128,2020-10-05,243.25,237.89,243.64,243.33,2130344
129,2020-10-02,240.07,238.99,243.91,243.3,2138392
130,2020-10-01,242.19,239.95,245.0,242.15,2500814
131,2020-09-30,241.93,239.69,243.58,241.73,3345702
132,2020-09-29,241.21,239.12,242.0,240.12,3098426
133,2020-09-28,243.07,238.41,244.42,240.0,2593500
134,2020-09-25,235.0,234.97,240.67,239.81,2861500
135,2020-09-24,236.3,235.1,240.13,236.18,2246600
136,2020-09-23,242.23,235.07,242.23,235.71,2550349
137,2020-09-22,241.99,240.2,244.85,241.94,1702340
138,2020-09-21,243.38,238.29,244.42,240.97,2849314
139,2020-09-18,248.67,243.81,251.26,245.5,3270500
140,2020-09-17,259.62,248.94,260.4,250.73,2341536
141,2020-09-16,265.0,262.8,268.66,263.29,2326421
142,2020-09-15,255.61,255.57,265.22,263.75,2426762
143,2020-09-14,251.11,250.93,255.69,253.9,1333946
144,2020-09-11,249.78,248.23,252.56,249.79,1219479
145,2020-09-10,251.92,247.54,251.92,248.38,1256800
146,2020-09-09,250.62,249.46,255.29,252.42,2202209
147,2020-09-08,248.72,243.1,249.63,246.81,1451385
148,2020-09-04,251.3,246.83,256.22,249.98,1885100
149,2020-09-03,255.56,249.24,256.76,252.32,2094649
150,2020-09-02,247.71,247.03,257.29,256.5,2034000
151,2020-09-01,248.44,246.63,249.75,248.03,1085246
152,2020-08-31,249.0,247.49,250.12,249.15,1307540
153,2020-08-28,248.77,245.41,249.73,249.59,1062982
154,2020-08-27,247.4,246.04,249.1,247.97,1398405
155,2020-08-26,245.65,243.75,247.1,246.97,1479484
156,2020-08-25,246.3,243.52,247.18,246.41,1060825
157,2020-08-24,248.25,242.18,248.38,245.44,1201432
158,2020-08-21,249.69,245.44,249.98,249.34,1139606
159,2020-08-20,245.0,243.39,248.96,247.68,1017400
160,2020-08-19,253.23,244.86,253.58,245.23,1496873
161,2020-08-18,252.17,251.34,254.78,252.55,1896180
