,date,open,low,high,close,volume
0,2020-01-06,93.0,93.0,95.18,95.14,81236000
1,2020-01-03,93.22,93.22,94.31,93.75,75288000
2,2020-01-02,93.75,93.21,94.9,94.9,80580000
3,2020-04-06,96.8,96.5,99.93,99.88,115464000
4,2020-04-03,95.56,94.46,96.32,95.33,72198000
5,2020-04-02,95.08,94.5,96.38,95.94,86720000
6,2020-04-01,96.65,94.65,97.25,95.39,82438000
7,2020-03-31,98.22,97.2,99.65,97.49,102472000
8,2020-03-30,96.14,95.62,98.68,98.2,122522000
9,2020-03-27,96.54,95.0,96.99,95.0,107758000
10,2020-03-26,95.1,94.46,97.82,97.77,124426000
11,2020-03-25,96.03,94.29,97.51,94.29,129582000
12,2020-03-24,97.57,95.02,97.75,97.0,142942000
13,2020-03-23,91.39,90.6,95.97,95.14,156170000
14,2020-03-20,96.32,91.04,97.85,92.3,196358000
15,2020-03-19,93.0,91.63,97.25,94.05,207998000
16,2020-03-18,87.5,87.25,92.08,91.5,192904000
17,2020-03-17,88.77,84.46,92.89,90.39,218342000
18,2020-03-16,82.08,81.3,87.97,84.46,178346000
19,2020-03-13,87.75,84.03,89.32,89.25,176194000
20,2020-03-12,86.1,83.75,88.25,83.83,226924000
21,2020-03-11,92.89,90.07,93.57,91.04,112496000
22,2020-03-10,93.54,90.91,94.71,94.59,142666000
23,2020-03-09,88.69,88.06,93.14,90.03,156264000
24,2020-03-06,93.75,93.47,95.54,95.05,105472000
25,2020-03-05,96.65,95.5,98.04,96.2,94964000
26,2020-03-04,97.33,96.1,98.9,98.79,95458000
27,2020-03-03,98.77,94.4,99.82,95.45,150690000
28,2020-03-02,95.32,93.5,97.73,97.7,135234000
29,2020-02-28,90.73,90.56,94.49,94.19,189620000
30,2020-02-27,96.72,94.14,98.75,94.21,162880000
31,2020-02-26,98.51,98.02,100.73,98.98,104492000
32,2020-02-25,101.32,97.92,101.73,98.64,124382000
33,2020-02-24,100.16,99.4,101.96,100.46,130940000
34,2020-02-21,107.11,104.4,107.23,104.8,92926000
35,2020-02-20,108.65,106.37,108.84,107.65,62626000
36,2020-02-19,108.39,108.06,109.25,108.51,51224000
37,2020-02-18,106.25,106.21,108.3,107.78,58912000
38,2020-02-14,107.78,106.29,107.95,106.74,52124000
39,2020-02-13,107.25,107.1,108.51,107.49,60636000
40,2020-02-12,108.16,107.76,109.01,108.0,66686000
41,2020-02-11,107.54,106.8,109.3,107.54,114920000
42,2020-02-10,104.25,104.25,106.78,106.7,101124000
43,2020-02-07,102.1,101.9,104.93,103.96,101906000
44,2020-02-06,102.05,101.24,102.82,102.51,63660000
45,2020-02-05,103.55,101.6,103.55,101.99,87524000
46,2020-02-04,101.49,100.77,102.99,102.48,105786000
47,2020-02-03,100.53,100.01,102.43,100.21,117834000
48,2020-01-31,102.57,100.11,102.79,100.44,311346000
49,2020-01-30,92.9,92.53,93.64,93.53,126548000
50,2020-01-29,93.2,92.75,93.74,92.9,41760000
51,2020-01-28,92.03,91.5,92.91,92.66,56160000
52,2020-01-27,91.0,90.77,92.05,91.42,70570000
53,2020-01-24,94.57,92.37,94.75,93.08,75324000
54,2020-01-23,94.26,93.64,94.5,94.23,49692000
55,2020-01-22,94.8,94.17,95.13,94.37,64326000
56,2020-01-21,93.25,93.0,94.71,94.6,74156000
57,2020-01-17,94.29,92.86,94.33,93.24,79946000
58,2020-01-16,94.15,93.3,94.28,93.9,53190000
59,2020-01-15,93.61,92.75,93.94,93.1,57932000
60,2020-01-14,94.29,92.93,94.36,93.47,68818000
61,2020-01-13,94.57,94.04,94.9,94.57,55616000
62,2020-01-10,95.27,94.0,95.35,94.16,57074000
63,2020-01-09,95.49,94.79,95.89,95.05,63346000
64,2020-01-08,94.9,94.32,95.55,94.6,70160000
65,2020-01-07,95.22,94.6,95.69,95.34,80898000
66,2020-07-06,146.75,146.5,152.99,152.85,137612000
67,2020-07-02,145.6,143.55,147.78,144.51,131868000
68,2020-07-01,137.9,137.7,144.75,143.93,127268000
69,2020-06-30,134.25,133.75,138.48,137.94,75394000
70,2020-06-29,134.5,131.5,134.84,134.02,84468000
71,2020-06-26,138.75,134.4,139.13,134.64,130016000
72,2020-06-25,136.98,135.61,137.81,137.73,59374000
73,2020-06-24,139.0,136.05,139.8,136.72,90532000
74,2020-06-23,136.3,135.9,139.16,138.22,84634000
75,2020-06-22,134.23,133.45,135.75,135.69,64176000
76,2020-06-19,133.9,132.95,134.87,133.75,115540000
77,2020-06-18,132.35,131.81,132.98,132.7,49756000
78,2020-06-17,132.38,131.59,132.75,132.05,59186000
79,2020-06-16,131.0,128.8,131.0,130.76,71712000
80,2020-06-15,126.33,125.4,129.2,128.63,77302000
81,2020-06-12,130.06,125.17,131.07,127.25,108722000
82,2020-06-11,130.18,126.81,133.57,127.9,116002000
83,2020-06-10,132.25,131.31,136.12,132.37,98920000
84,2020-06-09,126.47,126.25,131.32,130.04,103520000
85,2020-06-08,125.01,124.37,126.5,126.2,79414000
86,2020-06-05,122.23,121.86,124.43,124.15,66128000
87,2020-06-04,123.87,122.5,125.38,123.03,58974000
88,2020-06-03,123.4,123.06,124.4,123.92,53420000
89,2020-06-02,123.35,122.27,123.68,123.62,50598000
90,2020-06-01,122.4,122.21,123.85,123.55,58578000
91,2020-05-29,120.8,119.91,122.12,122.12,70198000
92,2020-05-28,119.22,118.91,121.85,120.06,63804000
93,2020-05-27,120.25,116.5,120.68,120.52,101138000
94,2020-05-26,122.9,120.7,123.1,121.09,71364000
95,2020-05-22,122.75,121.51,123.49,121.84,57342000
96,2020-05-21,125.0,122.13,126.27,122.34,102288000
97,2020-05-20,123.89,123.36,125.0,124.9,79962000
98,2020-05-19,121.49,121.45,124.25,122.47,86410000
99,2020-05-18,120.22,119.2,121.65,121.31,87144000
100,2020-05-15,118.43,117.82,120.55,120.49,84700000
101,2020-05-14,118.05,117.66,119.57,119.44,72962000
102,2020-05-13,118.34,116.89,120.39,118.4,95658000
103,2020-05-12,120.59,117.75,120.95,117.85,61498000
104,2020-05-11,118.74,118.61,120.98,120.45,65184000
105,2020-05-08,118.61,117.85,119.36,118.98,64132000
106,2020-05-07,118.74,117.16,118.8,118.38,67928000
107,2020-05-06,116.47,116.0,117.87,117.56,62356000
108,2020-05-05,117.0,115.36,117.55,115.89,64850000
109,2020-05-04,112.82,112.82,116.35,115.8,97318000
