,date,open,low,high,close,volume
0,2020-01-06,12.42,12.38,12.7,12.68,8261728
1,2020-01-03,12.5,12.41,12.74,12.55,12270592
2,2020-01-02,12.86,12.69,12.95,12.8,9995024
3,2020-04-06,12.52,12.42,13.04,12.98,15977776
4,2020-04-03,12.11,12.01,12.36,12.17,13510016
5,2020-04-02,11.89,11.82,12.38,12.13,10616448
6,2020-04-01,12.16,11.81,12.47,12.05,13703424
7,2020-03-31,12.77,12.45,13.04,12.66,18129984
8,2020-03-30,11.94,11.82,12.93,12.86,16642384
9,2020-03-27,12.08,11.86,12.26,11.96,14644432
10,2020-03-26,11.79,11.66,12.67,12.54,18999744
11,2020-03-25,11.72,11.56,12.29,11.77,24232912
12,2020-03-24,10.73,10.63,11.85,11.66,23580848
13,2020-03-23,10.25,9.79,10.48,10.12,15707296
14,2020-03-20,11.28,10.22,11.74,10.28,18301184
15,2020-03-19,10.98,10.79,11.86,11.12,14928320
16,2020-03-18,9.86,9.86,11.58,11.06,31808496
17,2020-03-17,10.06,9.85,10.77,10.51,23914992
18,2020-03-16,10.07,9.81,10.7,9.82,16475792
19,2020-03-13,10.72,9.84,11.07,11.05,17178080
20,2020-03-12,10.54,10.16,10.89,10.18,33081984
21,2020-03-11,12.17,11.32,12.26,11.39,23363872
22,2020-03-10,11.84,11.53,12.53,12.5,21758640
23,2020-03-09,11.09,11.09,11.85,11.61,18842672
24,2020-03-06,11.97,11.67,12.21,11.92,15445520
25,2020-03-05,12.31,12.24,12.62,12.29,8961488
26,2020-03-04,12.36,12.08,12.62,12.6,11427728
27,2020-03-03,12.28,11.79,12.43,11.98,11180016
28,2020-03-02,12.17,11.88,12.32,12.29,14663952
29,2020-02-28,11.69,11.61,12.26,12.07,19475808
30,2020-02-27,12.44,12.07,12.72,12.07,17589152
31,2020-02-26,12.94,12.68,13.07,12.7,13160928
32,2020-02-25,13.52,12.66,13.59,12.87,20461584
33,2020-02-24,13.12,13.08,13.52,13.36,16489280
34,2020-02-21,13.97,13.77,14.04,13.97,15432128
35,2020-02-20,14.03,13.98,14.3,14.27,11952720
36,2020-02-19,14.12,13.94,14.22,14.06,11504768
37,2020-02-18,13.95,13.77,14.14,14.11,13776656
38,2020-02-14,13.59,13.56,14.19,13.97,33832768
39,2020-02-13,14.53,14.53,15.08,14.85,24499728
40,2020-02-12,14.49,14.44,14.7,14.65,13380896
41,2020-02-11,14.61,14.39,14.66,14.47,11354592
42,2020-02-10,14.38,14.34,14.66,14.53,12967200
43,2020-02-07,14.41,14.41,14.59,14.49,7526384
44,2020-02-06,14.42,14.31,14.58,14.53,7439088
45,2020-02-05,14.61,14.35,14.66,14.37,10530176
46,2020-02-04,14.28,14.25,14.48,14.46,7896880
47,2020-02-03,14.1,13.98,14.21,14.08,9030208
48,2020-01-31,14.41,13.93,14.41,13.96,16018672
