,date,open,low,high,close,volume
0,2020-01-06,255.46,252.62,255.865,254.59,612754
1,2020-01-03,254.96,253.75,258.11,256.97,468388
2,2020-01-02,257.01,256.25,259.66,259.59,636649
3,2020-04-06,229.21,227.76,244.2,242.46,661026
4,2020-04-03,215.34,211.9,219.65,218.3,576433
5,2020-04-02,209.5,208.265,218.0,216.2,673637
6,2020-04-01,223.14,209.72,226.93,211.25,920085
7,2020-03-31,234.51,229.1106,237.57,232.47,945710
8,2020-03-30,226.31,222.0,237.36,235.13,645282
9,2020-03-27,226.53,221.57,233.63,223.02,752143
10,2020-03-26,214.41,212.51,232.39,230.37,728553
11,2020-03-25,214.81,208.37,221.8399,212.31,1030086
12,2020-03-24,218.75,210.48,223.829,217.43,1315128
13,2020-03-23,212.97,204.28,223.87,208.35,892170
14,2020-03-20,229.17,209.32,229.27,213.11,1309557
15,2020-03-19,220.51,211.12,229.016,221.09,910661
16,2020-03-18,215.4,210.4,226.43,221.67,1103652
17,2020-03-17,211.89,203.705,237.4,234.29,1238015
18,2020-03-16,226.63,205.61,226.63,206.35,1232876
19,2020-03-13,215.0,214.69,235.5,235.42,1393862
20,2020-03-12,201.51,200.07,219.21,204.46,1312348
21,2020-03-11,222.19,214.61,225.175,217.73,737049
22,2020-03-10,231.16,219.6,232.705,229.12,1003289
23,2020-03-09,222.53,216.7,231.51,222.41,1058663
24,2020-03-06,239.59,230.5,241.77,237.78,1034162
25,2020-03-05,251.03,246.615,254.86,248.06,821910
26,2020-03-04,254.22,249.525,259.5,259.5,733275
27,2020-03-03,256.98,246.66,261.87,249.07,811245
28,2020-03-02,242.08,241.51,259.08,258.81,1386638
29,2020-02-28,234.02,234.02,246.1737,242.19,1674522
30,2020-02-27,241.86,234.96,261.09,244.15,1534852
31,2020-02-26,268.17,266.36,274.65,270.19,659351
32,2020-02-25,278.9,265.775,281.63,266.44,681562
33,2020-02-24,279.05,274.44,280.91,276.74,953890
34,2020-02-21,293.01,284.55,293.9,287.11,584191
35,2020-02-20,295.89,288.06,296.745,294.02,525418
36,2020-02-19,292.94,290.305,299.06,296.14,524690
37,2020-02-18,292.6,287.63,292.6,290.9,700605
38,2020-02-14,292.94,290.42,292.94,291.98,911896
39,2020-02-13,291.75,291.06,293.44,291.68,600342
40,2020-02-12,289.55,288.43,292.89,292.46,449251
41,2020-02-11,287.5,284.8,289.16,288.29,435296
42,2020-02-10,283.22,281.3037,287.73,286.52,471367
43,2020-02-07,285.44,282.98,287.56,284.83,417036
44,2020-02-06,284.73,283.63,287.77,285.88,392400
45,2020-02-05,292.39,280.63,293.43,283.95,672253
46,2020-02-04,285.0,282.66,289.76,289.22,462353
47,2020-02-03,279.66,276.77,282.74,281.33,640345
48,2020-01-31,279.67,272.84,279.79,274.33,482447
49,2020-01-30,276.02,275.28,280.34,280.14,298337
50,2020-01-29,279.67,276.03,280.97,277.72,341186
51,2020-01-28,273.35,271.0,279.16,278.36,383823
52,2020-01-27,270.48,268.16,273.46,270.7,425063
53,2020-01-24,278.31,275.34,280.22,277.34,459990
54,2020-01-23,274.37,273.58,278.71,277.71,493859
55,2020-01-22,274.97,274.33,277.2958,274.73,530282
56,2020-01-21,269.9,268.68,275.88,273.82,645836
57,2020-01-17,269.2,266.45,270.6,270.28,531676
58,2020-01-16,266.05,264.69,266.9064,266.81,713076
59,2020-01-15,263.02,263.02,265.43,264.28,426893
60,2020-01-14,264.57,261.57,264.57,262.87,506148
61,2020-01-13,262.74,261.94,264.52,264.05,437010
62,2020-01-10,262.57,260.14,263.0573,260.8,266217
63,2020-01-09,259.98,258.515,261.8,261.43,513197
64,2020-01-08,256.41,255.91,258.89,257.73,445915
65,2020-01-07,255.11,253.5,258.34,256.67,357158
66,2020-07-06,300.19,299.4,307.31,301.64,537142
67,2020-07-02,295.39,295.39,299.735,297.97,338432
68,2020-07-01,291.12,287.33,295.57,294.32,401098
69,2020-06-30,282.69,279.99,293.24,291.73,473876
70,2020-06-29,283.79,277.125,286.2032,282.13,419610
71,2020-06-26,287.52,280.26,289.14,283.08,1122903
72,2020-06-25,284.63,281.7113,287.65,287.19,291384
73,2020-06-24,286.71,281.85,290.965,285.25,468397
74,2020-06-23,290.49,288.97,294.45,289.66,469809
75,2020-06-22,283.49,281.84,289.36,289.36,524152
76,2020-06-19,292.94,281.36,295.11,281.59,1235673
77,2020-06-18,286.11,284.01,291.28,289.36,421162
78,2020-06-17,284.51,283.5,289.02,285.64,435129
79,2020-06-16,281.48,278.32,286.75,282.59,540857
80,2020-06-15,265.68,265.68,278.725,274.83,448284
81,2020-06-12,277.74,266.78,280.96,270.27,594338
82,2020-06-11,282.21,271.355,286.36,271.94,495742
83,2020-06-10,288.98,285.94,291.0,286.0,670637
84,2020-06-09,290.75,284.591,293.06,285.27,499745
85,2020-06-08,286.37,283.44,292.32,290.75,411982
86,2020-06-05,282.93,280.89,289.55,289.1,450330
87,2020-06-04,284.63,279.0,286.958,282.16,348973
88,2020-06-03,289.2,282.77,290.99,286.9,408256
89,2020-06-02,286.56,281.02,288.14,288.14,454867
90,2020-06-01,281.85,281.47,289.23,286.7,536701
91,2020-05-29,274.66,273.93,283.63,283.0,776100
92,2020-05-28,268.89,268.71,281.04,275.1,615522
93,2020-05-27,267.65,259.04,269.34,269.31,468136
94,2020-05-26,274.39,268.71,275.0,268.97,526565
95,2020-05-22,265.87,264.87,271.24,269.87,276453
96,2020-05-21,271.35,266.18,272.565,266.28,476526
97,2020-05-20,267.08,265.03,274.61,272.21,442098
98,2020-05-19,264.99,262.41,268.74,262.41,406856
99,2020-05-18,258.59,256.54,264.56,263.51,399419
100,2020-05-15,249.3,247.528,254.69,253.93,451096
101,2020-05-14,249.25,244.53,252.25,252.15,541169
102,2020-05-13,259.57,249.3,263.48,252.11,397748
103,2020-05-12,268.2,259.6,268.2,259.79,538022
104,2020-05-11,259.99,259.2,267.98,265.85,500441
105,2020-05-08,262.93,259.06,264.39,263.02,568985
106,2020-05-07,260.27,255.64,266.32,260.76,874555
107,2020-05-06,263.92,260.175,269.565,268.07,595345
108,2020-05-05,258.0,258.0,267.26,262.23,763497
109,2020-05-04,254.58,254.55,260.25,258.8,447896
110,2020-05-01,257.44,252.77,260.0,255.64,580946
111,2020-04-30,263.53,261.39,268.09,261.83,842667
112,2020-04-29,260.62,258.13,266.53,265.84,648666
113,2020-04-28,266.4,254.42,266.96,257.35,485112
114,2020-04-27,264.18,260.48,265.61,262.87,395323
115,2020-04-24,264.32,256.885,264.93,259.45,472095
116,2020-04-23,261.76,257.87,264.99,258.95,317004
117,2020-04-22,260.4,256.4,264.86,263.27,508902
118,2020-04-21,263.45,252.72,263.88,253.28,567421
119,2020-04-20,262.44,258.61,268.44,266.72,429587
120,2020-04-17,261.5,256.32,264.79,263.9,846114
121,2020-04-16,255.94,253.37,259.21,257.82,556057
122,2020-04-15,251.05,249.38,256.6127,253.98,498903
123,2020-04-14,247.38,247.38,256.7171,254.8,556258
124,2020-04-13,234.88,234.21,243.59,242.93,367516
125,2020-04-09,243.17,234.59,244.23,237.92,821185
126,2020-04-08,241.43,238.05,246.74,244.37,425750
127,2020-04-07,247.25,234.49,252.0,239.65,698888
128,2020-10-05,322.46,321.58,326.195,323.87,388324
129,2020-10-02,330.19,318.94,331.46,321.58,399863
130,2020-10-01,332.07,329.285,336.35,334.8,494035
131,2020-09-30,318.51,317.35,328.79,327.23,682274
132,2020-09-29,318.22,317.36,321.87,319.51,474905
133,2020-09-28,318.36,315.54,320.24,318.8,326520
134,2020-09-25,303.71,301.38,312.89,312.16,361331
135,2020-09-24,300.28,298.76,307.88,304.41,275091
136,2020-09-23,313.83,301.0,313.83,302.55,310341
137,2020-09-22,310.86,307.79,316.04,315.44,292790
138,2020-09-21,300.91,298.35,309.47,309.19,700436
139,2020-09-18,309.24,299.89,312.0,305.08,800944
140,2020-09-17,308.83,305.01,313.3,308.88,518402
141,2020-09-16,331.44,317.43,331.44,317.89,499648
142,2020-09-15,323.78,321.765,330.0295,328.21,251642
143,2020-09-14,318.69,317.62,323.58,321.6,266869
144,2020-09-11,318.48,309.74,320.75,314.08,341449
145,2020-09-10,323.68,315.35,327.975,317.42,442757
146,2020-09-09,314.78,310.41,322.305,320.05,506316
147,2020-09-08,311.35,306.5294,319.0,308.61,551031
148,2020-09-04,330.22,313.73,333.23,321.21,586309
149,2020-09-03,344.55,328.24,346.88,332.14,510902
150,2020-09-02,354.87,343.68,354.87,350.59,379254
151,2020-09-01,338.95,338.22,345.395,343.89,342486
152,2020-08-31,336.65,334.64,340.03,339.01,518039
153,2020-08-28,332.36,332.26,336.72,336.71,626458
154,2020-08-27,334.51,327.72,334.89,332.34,234836
155,2020-08-26,324.41,324.295,333.23,331.48,340214
156,2020-08-25,325.75,324.165,328.97,326.49,296265
157,2020-08-24,327.41,322.66,330.32,325.25,368979
158,2020-08-21,327.92,322.38,327.92,324.5,462841
159,2020-08-20,319.14,318.78,328.92,328.32,300788
160,2020-08-19,321.51,316.22,322.86,319.53,234969
161,2020-08-18,319.56,317.54,322.405,320.47,267318
162,2020-08-17,315.15,315.15,319.675,317.36,277165
163,2020-08-14,314.24,311.06,317.08,313.19,250929
164,2020-08-13,309.41,309.41,319.43,314.77,319382
165,2020-08-12,302.28,302.28,310.1,308.4,242665
166,2020-08-11,307.87,300.48,307.87,301.92,293599
167,2020-08-10,311.62,301.56,311.62,308.78,366467
168,2020-08-07,313.85,308.75,318.0,312.37,326063
169,2020-08-06,313.05,311.1,319.83,315.25,521661
170,2020-08-05,312.06,309.875,319.83,312.27,419538
171,2020-08-04,313.76,307.16,314.94,308.78,524194
172,2020-08-03,311.62,310.59,316.52,315.23,370851
173,2020-07-31,312.56,304.81,312.56,310.6,276023
174,2020-07-30,302.16,300.14,311.47,309.67,344353
175,2020-07-29,300.98,300.56,308.33,306.05,360007
176,2020-07-28,299.87,296.78,303.27,298.22,543611
177,2020-07-27,294.97,294.97,300.62,300.17,348953
178,2020-07-24,297.15,291.55,298.03,293.51,619984
179,2020-07-23,307.13,298.56,309.34,300.15,365105
180,2020-07-22,307.62,304.71,310.0,306.89,247223
181,2020-07-21,309.88,303.76,310.05,305.75,442950
182,2020-07-20,301.48,299.88,309.57,309.11,279200
183,2020-07-17,297.1,293.57,301.45,301.13,551151
184,2020-07-16,299.72,291.445,299.72,295.3,504036
185,2020-07-15,301.27,297.26,304.49,301.04,298246
186,2020-07-14,291.19,289.08,301.27,301.04,506912
187,2020-07-13,303.67,293.73,306.26,295.56,432114
188,2020-07-10,303.25,298.84,305.11,301.65,247889
189,2020-07-09,302.57,301.19,307.6,304.69,430270
190,2020-07-08,301.69,297.62,303.09,301.9,249530
191,2020-07-07,301.42,299.16,306.23,299.32,338997
192,2021-01-04,362.35,353.745,373.79,357.67,521740
193,2020-12-31,363.81,362.42,366.47,363.8,396538
194,2020-12-30,362.96,360.87,364.8634,362.32,224725
195,2020-12-29,365.0,358.72,366.69,360.85,195760
196,2020-12-28,367.08,361.94,368.0,363.72,208692
197,2020-12-24,362.76,361.13,366.325,364.17,209331
198,2020-12-23,364.72,362.19,369.82,362.22,398798
199,2020-12-22,355.0,355.0,362.58,362.31,376029
200,2020-12-21,351.73,344.2746,357.89,355.95,635566
201,2020-12-18,347.67,347.005,358.01,357.81,932540
202,2020-12-17,345.74,342.255,346.73,346.63,360730
203,2020-12-16,344.63,341.3004,346.0,343.62,315085
204,2020-12-15,344.31,342.19,349.37,343.03,418017
205,2020-12-14,336.75,335.26,346.31,343.39,426115
206,2020-12-11,331.57,328.6,335.73,335.185,329790
207,2020-12-10,332.19,330.255,337.2123,334.04,323285
208,2020-12-09,342.7,333.27,343.48,334.55,329640
209,2020-12-08,344.49,338.27,344.49,341.28,402701
210,2020-12-07,343.92,340.48,346.6761,341.89,350074
211,2020-12-04,339.15,339.0,345.54,343.47,294333
212,2020-12-03,332.65,332.65,340.5,337.54,269097
213,2020-12-02,338.87,334.23,339.8451,334.93,284758
214,2020-12-01,339.09,335.2,343.7,340.85,397479
215,2020-11-30,330.17,328.75,338.84,338.06,598692
216,2020-11-27,326.24,324.23,331.99,330.41,209297
217,2020-11-25,323.7,320.2,328.13,322.87,324758
218,2020-11-24,316.41,313.845,321.33,320.12,428680
219,2020-11-23,318.95,310.9425,319.425,313.42,357059
220,2020-11-20,323.73,317.81,325.95,318.26,296977
221,2020-11-19,316.25,313.64,325.53,324.12,338513
222,2020-11-18,318.52,315.34,319.77,317.99,319654
223,2020-11-17,321.88,318.48,324.185,319.79,380220
224,2020-11-16,328.17,320.955,328.79,322.67,334836
225,2020-11-13,326.36,324.55,329.23,328.21,420728
226,2020-11-12,328.52,322.865,332.58,323.64,254960
227,2020-11-11,325.24,325.24,334.05,328.96,300667
228,2020-11-10,321.99,318.13,329.23,319.43,632639
229,2020-11-09,346.13,328.13,348.98,328.47,500875
230,2020-11-06,330.14,323.4475,337.67,336.8,269601
231,2020-11-05,330.15,324.595,339.9,328.35,539342
232,2020-11-04,330.22,323.32,335.37,329.25,678179
233,2020-11-03,313.66,312.05,320.74,315.91,358391
234,2020-11-02,304.445,304.445,314.6,311.23,457560
235,2020-10-30,306.35,301.255,309.28,304.37,422617
236,2020-10-29,308.36,306.605,313.96,310.85,442853
237,2020-10-28,319.71,307.215,322.17,308.03,396636
238,2020-10-27,324.67,321.56,327.7434,322.17,368927
239,2020-10-26,323.67,315.78,328.36,321.0,330645
240,2020-10-23,329.23,324.38,331.85,330.22,349893
241,2020-10-22,327.38,323.1825,329.2099,326.78,370257
242,2020-10-21,332.01,326.9,336.43,327.86,390739
243,2020-10-20,337.905,331.71,337.905,331.96,697591
244,2020-10-19,348.7,334.79,353.04,336.25,565562
245,2020-10-16,353.55,348.72,357.925,349.72,521827
246,2020-10-15,348.31,344.94,352.7,351.7,295484
247,2020-10-14,354.13,346.69,355.35,351.4,341796
248,2020-10-13,345.16,345.16,355.19,351.31,384374
249,2020-10-12,340.56,340.25,351.49,347.86,425198
250,2020-10-09,336.0,334.09,339.17,336.82,333372
251,2020-10-08,331.97,328.82,334.38,333.54,328402
252,2020-10-07,319.52,319.52,330.96,330.4,394637
253,2020-10-06,322.7,314.9,324.86,316.47,700394
254,2021-04-05,353.99,353.81,363.785,362.76,529986
255,2021-04-01,344.88,343.515,356.99,351.85,649774
256,2021-03-31,335.38,333.49,342.25,339.56,590630
257,2021-03-30,338.72,330.47,338.81,331.89,600893
258,2021-03-29,342.04,336.41,345.7,342.23,593743
259,2021-03-26,328.16,324.095,343.71,342.96,763465
260,2021-03-25,328.73,323.4648,331.8999,327.88,515082
261,2021-03-24,331.9332,328.0905,335.07,330.37,434088
262,2021-03-23,338.49,331.9,340.98,333.53,512341
263,2021-03-22,326.26,326.26,337.235,334.86,591262
264,2021-03-19,322.43,320.69,328.42,324.25,842075
265,2021-03-18,321.36,318.1,327.44,321.49,530570
266,2021-03-17,326.37,321.3601,330.92,328.37,478206
267,2021-03-16,329.96,327.985,333.24,330.78,575119
268,2021-03-15,314.77,314.77,325.89,325.71,496731
269,2021-03-12,316.56,314.11,319.28,316.88,547552
270,2021-03-11,317.73,317.73,325.44,322.64,730915
271,2021-03-10,310.625,308.2003,316.9,310.09,737127
272,2021-03-09,300.01,297.76,312.88,308.0,759551
273,2021-03-08,307.47,292.83,311.94,293.55,726578
274,2021-03-05,311.93,292.79,312.57,308.03,940326
275,2021-03-04,318.99,301.69,321.77,306.16,841319
276,2021-03-03,333.79,317.55,333.79,319.86,790897
277,2021-03-02,350.06,334.91,350.78,336.33,566265
278,2021-03-01,347.39,345.05,352.49,346.11,723931
279,2021-02-26,340.96,337.98,349.02,340.99,872046
280,2021-02-25,354.4,336.83,369.7,338.46,1245451
281,2021-02-24,371.67,365.045,386.68,385.37,417683
282,2021-02-23,378.0,364.845,378.47,375.56,427095
283,2021-02-22,393.61,382.0263,393.61,383.2,396464
284,2021-02-19,391.2,390.094,400.6,395.37,443474
285,2021-02-18,390.46,383.395,391.545,389.81,358122
286,2021-02-17,397.65,388.39,397.65,393.9,290936
287,2021-02-16,404.89,400.81,413.19,401.86,386610
288,2021-02-12,397.64,395.13,404.16,403.6,340628
289,2021-02-11,390.39,390.39,396.62,396.13,319517
290,2021-02-10,388.97,383.35,390.31,386.59,364294
291,2021-02-09,382.0,381.52,387.9183,386.39,238776
292,2021-02-08,381.11,379.48,383.76,381.97,428896
293,2021-02-05,379.72,377.43,384.66,379.48,347497
294,2021-02-04,372.59,370.75,377.63,377.41,265128
295,2021-02-03,376.67,369.815,376.99,370.07,254688
296,2021-02-02,369.97,369.97,377.99,375.12,300443
297,2021-02-01,358.1,356.27,370.43,367.94,436705
298,2021-01-29,357.16,351.87,360.85,354.37,464742
299,2021-01-28,353.36,352.93,369.535,362.87,420318
300,2021-01-27,362.21,345.45,364.98,348.85,480243
301,2021-01-26,368.12,362.97,369.87,366.64,661722
302,2021-01-25,376.59,364.51,377.65,367.87,525423
303,2021-01-22,371.23,370.79,375.83,374.57,661642
304,2021-01-21,379.57,371.74,380.21,371.86,364887
305,2021-01-20,371.89,371.47,380.755,378.65,334953
306,2021-01-19,367.27,365.27,370.76,369.51,375453
307,2021-01-15,368.85,362.22,370.57,364.28,498106
308,2021-01-14,376.0,367.61,378.36,369.05,457752
309,2021-01-13,370.94,366.49,378.85,375.58,464654
310,2021-01-12,371.38,370.57,375.85,373.27,760751
311,2021-01-11,371.65,369.02,375.0,373.33,291179
312,2021-01-08,366.56,365.0,375.78,374.66,497712
313,2021-01-07,352.61,352.61,366.17,365.02,410011
314,2021-01-06,351.85,348.5291,355.345,349.9,767203
315,2021-01-05,356.78,353.7255,360.5,359.83,400335
316,2021-07-02,352.43,351.5,354.99,353.41,224073
317,2021-07-01,346.35,346.02,350.91,349.24,330978
318,2021-06-30,352.01,346.36,352.03,347.06,275075
319,2021-06-29,348.7,348.67,353.27,352.53,252452
320,2021-06-28,346.6,346.01,351.69,349.13,442233
321,2021-06-25,343.05,339.6,344.59,343.48,1404550
322,2021-06-24,342.4,339.56,344.91,341.55,310923
323,2021-06-23,340.78,338.52,341.94,339.0,293187
324,2021-06-22,337.14,336.28,341.155,340.62,317297
325,2021-06-21,331.93,329.395,337.935,336.83,407245
326,2021-06-18,336.46,329.74,339.04,331.43,826587
327,2021-06-17,330.79,330.35,338.845,336.57,334303
328,2021-06-16,335.76,327.85,338.33,332.16,328051
329,2021-06-15,339.27,334.05,339.27,335.51,383491
330,2021-06-14,336.84,335.96,339.81,338.5,446171
331,2021-06-11,337.16,334.37,339.64,336.42,441637
332,2021-06-10,326.0,325.51,335.995,335.73,554719
333,2021-06-09,331.61,326.05,332.26,326.85,423953
334,2021-06-08,330.71,327.74,332.59,329.39,322037
335,2021-06-07,335.33,326.0,338.84,328.57,636671
336,2021-06-04,332.7,332.7,339.45,338.78,377824
337,2021-06-03,332.0,327.73,334.46,329.3,309664
338,2021-06-02,335.35,335.34,339.51,336.41,348851
339,2021-06-01,340.92,332.43,340.92,335.99,298331
340,2021-05-28,339.83,337.64,343.79,337.94,303480
341,2021-05-27,335.74,332.52,338.9865,336.79,920948
342,2021-05-26,339.58,336.63,341.57,338.03,274642
343,2021-05-25,338.98,337.86,341.05,339.19,267567
344,2021-05-24,334.68,334.41,340.22,338.77,269643
345,2021-05-21,336.3,328.47,336.99,330.26,270860
346,2021-05-20,329.12,328.5,335.89,333.72,334960
347,2021-05-19,316.24,316.22,327.32,326.49,326358
348,2021-05-18,324.03,320.83,328.77,321.18,447018
349,2021-05-17,324.2,318.61,325.495,321.23,294756
350,2021-05-14,321.63,320.37,328.42,326.47,462916
351,2021-05-13,324.54,317.1127,326.28,317.67,422187
352,2021-05-12,314.7,313.75,323.14,320.56,629374
353,2021-05-11,318.4,314.68,326.14,320.87,669648
