,date,open,low,high,close,volume
0,2020-01-06,207.23,206.77,208.57,208.57,741049
1,2020-01-03,207.01,207.01,208.91,207.97,501700
2,2020-01-02,209.2,207.89,209.88,208.79,830135
3,2020-04-06,160.58,158.81,174.54,173.15,1537900
4,2020-04-03,155.07,151.04,158.3,154.14,1671100
5,2020-04-02,152.35,152.0,159.57,157.26,1524401
6,2020-04-01,167.51,152.09,167.51,153.68,1330300
7,2020-03-31,167.75,164.01,170.0,165.04,1704033
8,2020-03-30,167.58,162.11,173.01,171.03,1997244
9,2020-03-27,160.79,158.23,171.53,165.42,2180024
10,2020-03-26,163.88,161.5,167.44,165.7,2574327
11,2020-03-25,166.29,160.61,167.99,163.15,2845800
12,2020-03-24,150.67,150.25,167.55,166.04,2441636
13,2020-03-23,146.71,143.93,156.35,145.48,3027811
14,2020-03-20,152.6,145.75,155.4,149.55,3037800
15,2020-03-19,154.35,148.0,155.84,151.08,2627018
16,2020-03-18,156.41,145.05,158.94,155.92,2391100
17,2020-03-17,175.03,160.83,177.41,164.47,3626104
18,2020-03-16,160.68,154.51,176.26,170.53,3392729
19,2020-03-13,181.25,168.05,183.09,177.45,4007126
20,2020-03-12,175.43,169.53,181.37,173.49,4328600
21,2020-03-11,181.48,177.66,189.95,184.98,4925626
22,2020-03-10,184.8,175.25,189.67,183.1,4736400
23,2020-03-09,198.39,173.43,198.45,178.93,6143500
24,2020-03-06,209.48,206.47,216.01,214.81,1492781
25,2020-03-05,220.53,213.77,221.66,216.78,1283604
26,2020-03-04,218.65,216.71,225.56,225.48,1204813
27,2020-03-03,220.95,211.56,223.13,214.8,1252000
28,2020-03-02,208.78,208.6,221.23,221.06,2083043
29,2020-02-28,207.04,202.34,208.68,208.0,2363700
30,2020-02-27,219.84,212.05,221.72,212.22,1572200
31,2020-02-26,223.64,222.19,226.3,222.49,1093711
32,2020-02-25,227.38,221.47,228.17,222.44,1562000
33,2020-02-24,226.93,223.07,230.15,223.3,1250300
34,2020-02-21,234.27,230.69,234.75,231.51,890724
35,2020-02-20,236.82,232.31,237.38,234.33,791481
36,2020-02-19,236.65,235.35,238.19,237.43,1422500
37,2020-02-18,233.32,232.54,235.46,235.27,760200
38,2020-02-14,234.89,233.75,235.81,235.73,585500
39,2020-02-13,230.91,230.76,234.59,234.58,790300
40,2020-02-12,230.68,230.05,232.04,230.92,589021
41,2020-02-11,232.0,231.11,233.63,231.22,822377
42,2020-02-10,229.64,229.14,231.23,231.07,688406
43,2020-02-07,229.87,228.88,230.6,230.13,918946
44,2020-02-06,228.41,227.91,230.04,229.6,873100
45,2020-02-05,229.46,226.57,229.65,228.3,1025808
46,2020-02-04,227.0,226.48,228.63,226.64,1504100
47,2020-02-03,222.22,221.43,225.75,225.03,1193200
48,2020-01-31,223.76,219.76,227.71,220.25,1383509
49,2020-01-30,215.08,214.56,219.85,219.63,1213369
50,2020-01-29,217.0,216.27,218.44,216.58,839823
51,2020-01-28,212.25,212.25,217.72,216.56,982200
52,2020-01-27,210.65,210.65,213.22,211.95,493700
53,2020-01-24,213.71,211.79,214.84,213.42,639631
54,2020-01-23,210.72,210.17,213.29,213.1,891635
55,2020-01-22,211.54,211.4,212.83,211.91,634902
56,2020-01-21,211.3,210.17,212.28,211.26,1045300
57,2020-01-17,210.9,210.36,211.96,211.85,943300
58,2020-01-16,210.17,209.11,210.98,210.15,548803
59,2020-01-15,207.69,206.97,210.32,209.03,534518
60,2020-01-14,208.6,206.74,209.24,207.65,606501
61,2020-01-13,208.31,207.55,209.46,209.07,547100
62,2020-01-10,209.38,207.56,209.83,208.06,448430
63,2020-01-09,208.61,208.1,209.54,209.1,528942
64,2020-01-08,206.97,206.5,209.1,207.65,691728
65,2020-01-07,205.47,205.47,208.51,206.8,495500
66,2020-07-06,194.67,192.21,194.81,192.7,1242526
67,2020-07-02,193.8,190.77,193.8,191.45,1241428
68,2020-07-01,192.7,190.12,193.82,191.14,1065700
69,2020-06-30,187.69,186.15,193.25,192.6,1758501
70,2020-06-29,191.43,187.24,191.89,188.22,1154423
71,2020-06-26,193.54,189.23,196.41,190.02,2459542
72,2020-06-25,187.67,187.25,194.9,194.39,1883500
73,2020-06-24,187.88,185.77,188.71,187.53,2358214
74,2020-06-23,191.04,188.49,191.38,189.01,1815800
75,2020-06-22,185.8,185.02,190.26,188.78,1332700
76,2020-06-19,193.9,186.21,194.02,186.79,2787200
77,2020-06-18,190.72,190.13,194.86,190.99,1172800
78,2020-06-17,186.73,186.42,193.42,191.93,1545947
79,2020-06-16,188.49,184.27,188.83,186.12,1161900
80,2020-06-15,178.52,177.21,185.35,184.1,1631500
81,2020-06-12,184.91,177.85,185.38,181.95,1378432
82,2020-06-11,190.28,179.9,190.28,180.65,1768000
83,2020-06-10,193.37,191.2,194.99,193.18,1667819
84,2020-06-09,196.71,193.69,197.45,194.29,1328228
85,2020-06-08,200.04,196.64,200.44,198.01,1525006
86,2020-06-05,204.4,199.46,204.4,200.2,1592033
87,2020-06-04,197.86,195.9,198.53,197.99,623629
88,2020-06-03,196.17,195.33,201.47,198.97,1225605
89,2020-06-02,196.65,194.05,197.55,194.83,1181301
90,2020-06-01,196.28,194.67,197.58,196.14,1182900
91,2020-05-29,198.04,195.2,199.06,196.95,3211471
92,2020-05-28,199.39,196.0,201.53,198.69,1073600
93,2020-05-27,198.38,195.97,200.15,197.84,1565630
94,2020-05-26,195.43,194.75,197.36,195.06,1262714
95,2020-05-22,193.31,190.69,193.41,191.97,940800
96,2020-05-21,194.65,192.1,195.55,193.33,1183100
97,2020-05-20,197.37,194.91,199.35,195.27,1029600
98,2020-05-19,195.49,195.36,197.97,195.54,1031419
99,2020-05-18,195.74,195.33,200.31,196.84,1509528
100,2020-05-15,192.22,190.44,193.43,191.67,2127540
101,2020-05-14,187.53,186.23,194.27,193.93,1170607
102,2020-05-13,195.0,189.33,195.0,190.23,3089500
103,2020-05-12,191.57,191.57,194.95,193.22,1451400
104,2020-05-11,188.75,188.49,194.07,192.01,1470300
105,2020-05-08,186.17,185.19,189.77,189.76,856961
106,2020-05-07,178.91,178.91,186.35,184.83,1135131
107,2020-05-06,184.28,176.38,184.71,177.24,1133600
108,2020-05-05,177.07,177.07,184.02,182.93,1144720
109,2020-05-04,178.24,176.09,178.82,177.68,1570900
110,2020-05-01,171.51,169.29,179.85,178.21,2029407
111,2020-04-30,168.23,167.45,173.86,172.67,2624900
112,2020-04-29,174.54,170.1,175.25,170.61,1857030
113,2020-04-28,175.66,171.9,175.98,172.33,1522700
114,2020-04-27,175.91,171.56,177.04,172.93,1463478
115,2020-04-24,176.39,173.18,177.94,175.54,1271700
116,2020-04-23,181.31,174.0,181.4,174.77,1617000
117,2020-04-22,181.62,176.82,182.44,181.59,813845
118,2020-04-21,178.9,177.93,182.68,178.18,1015800
119,2020-04-20,188.31,183.06,188.31,185.69,1128700
120,2020-04-17,191.77,188.62,193.98,190.81,1407323
121,2020-04-16,183.86,181.97,186.98,186.24,1239323
122,2020-04-15,190.46,182.75,192.44,183.94,1261883
123,2020-04-14,189.11,187.85,194.32,194.03,1234900
124,2020-04-13,188.67,184.52,189.99,186.38,919095
125,2020-04-09,190.57,186.68,193.6,192.05,1798576
126,2020-04-08,177.28,175.76,190.91,187.96,2284200
127,2020-04-07,178.17,173.38,179.7,175.92,2130251
128,2020-10-05,207.06,204.74,207.9,206.51,907700
129,2020-10-02,204.86,204.38,207.92,205.52,877428
130,2020-10-01,206.72,204.27,207.71,206.18,1391943
131,2020-09-30,205.96,203.66,208.24,206.3,1583929
132,2020-09-29,202.74,202.2,205.43,205.09,1340316
133,2020-09-28,198.76,198.52,204.9,203.43,1568818
134,2020-09-25,194.34,192.19,197.87,196.36,1217804
135,2020-09-24,200.42,195.22,201.08,195.68,1975640
136,2020-09-23,200.78,200.09,205.23,200.41,2258639
137,2020-09-22,198.08,195.94,201.3,199.97,1936600
138,2020-09-21,198.18,196.5,199.96,199.2,1724806
139,2020-09-18,201.27,200.86,204.03,201.0,1459741
140,2020-09-17,200.0,199.04,203.14,201.67,1202400
141,2020-09-16,203.33,202.27,204.56,202.53,1135400
142,2020-09-15,202.28,201.68,203.92,202.0,1013414
143,2020-09-14,203.33,201.68,204.42,201.96,1053616
144,2020-09-11,202.26,199.5,203.07,201.54,1189209
145,2020-09-10,204.36,201.76,206.4,202.05,1594500
146,2020-09-09,200.14,199.35,205.6,203.63,1155259
147,2020-09-08,201.87,197.84,202.07,198.0,1679700
148,2020-09-04,206.07,200.12,206.5,202.74,1093447
149,2020-09-03,210.48,202.81,212.1,203.85,2032020
150,2020-09-02,202.64,202.5,210.31,209.73,1805500
151,2020-09-01,199.32,198.46,202.97,202.65,1441732
152,2020-08-31,199.7,199.7,202.23,199.99,1465101
153,2020-08-28,201.0,198.61,201.23,200.11,1280424
154,2020-08-27,196.37,195.4,200.46,199.58,948741
155,2020-08-26,191.98,190.23,197.27,195.44,1504943
156,2020-08-25,191.63,189.61,193.81,192.37,2126845
157,2020-08-24,193.44,188.23,194.14,190.17,2116913
158,2020-08-21,197.06,193.18,197.06,193.64,1179500
159,2020-08-20,196.86,196.29,198.08,197.01,1371300
160,2020-08-19,195.08,194.86,199.14,197.57,1290600
161,2020-08-18,196.34,194.61,197.66,196.42,1172346
162,2020-08-17,197.2,196.67,199.63,196.72,1504300
163,2020-08-14,194.72,194.52,197.63,197.2,1242908
164,2020-08-13,191.13,190.0,194.79,194.67,4634100
165,2020-08-12,194.95,191.64,195.24,192.13,1690332
166,2020-08-11,194.72,192.05,194.72,193.55,1671300
167,2020-08-10,195.41,192.72,196.33,192.84,1012505
168,2020-08-07,195.17,193.53,195.72,195.44,1134500
169,2020-08-06,197.61,194.23,198.14,195.61,1386400
170,2020-08-05,196.71,196.71,199.61,198.53,1536271
171,2020-08-04,200.02,197.63,201.73,199.64,1385715
172,2020-08-03,205.39,199.5,206.45,200.23,1743758
173,2020-07-31,205.2,200.53,206.81,205.22,2318332
174,2020-07-30,203.64,202.61,207.43,207.43,1442900
