,date,open,low,high,close,volume
0,2020-01-06,47.13,46.76,47.67,47.65,1088400
1,2020-01-03,47.16,46.75,47.5,47.35,883209
2,2020-01-02,47.91,47.21,47.98,47.77,1093200
3,2020-04-06,37.0,36.52,38.51,38.22,3000919
4,2020-04-03,36.1,35.56,36.93,35.87,1262600
5,2020-04-02,35.59,35.18,37.07,35.94,2000500
6,2020-04-01,36.81,35.22,36.99,35.61,2217100
7,2020-03-31,38.25,37.58,39.06,37.81,2031027
8,2020-03-30,36.84,36.4,38.89,38.6,1780100
9,2020-03-27,36.29,35.64,37.7,36.85,1809948
10,2020-03-26,37.24,36.76,38.17,37.28,1775900
11,2020-03-25,36.65,35.04,37.81,36.89,2858205
12,2020-03-24,36.83,35.69,37.47,36.49,2655749
13,2020-03-23,34.38,33.81,35.98,35.6,3217564
14,2020-03-20,37.13,34.12,37.15,34.75,2301400
15,2020-03-19,37.78,35.63,38.03,36.85,2806800
16,2020-03-18,37.13,34.77,39.46,38.43,2297900
17,2020-03-17,38.65,36.82,39.44,39.13,2883900
18,2020-03-16,37.16,37.16,39.57,37.99,3434416
19,2020-03-13,40.18,38.69,41.57,41.49,5280600
20,2020-03-12,38.03,38.0,40.49,38.73,6776115
21,2020-03-11,41.19,39.82,41.19,39.97,2325847
22,2020-03-10,41.83,39.75,42.24,42.19,3243000
23,2020-03-09,40.72,40.45,42.81,40.95,3661900
24,2020-03-06,40.49,40.41,42.86,42.69,4555625
25,2020-03-05,39.37,39.17,41.83,41.63,4313625
26,2020-03-04,39.38,38.09,40.58,40.57,4984043
27,2020-03-03,40.76,38.58,41.86,38.7,2740252
28,2020-03-02,39.73,38.7,41.03,41.0,3068224
29,2020-02-28,39.37,38.87,40.46,39.55,4720035
30,2020-02-27,38.82,38.76,42.56,40.12,3528400
31,2020-02-26,40.71,39.49,41.18,39.6,4449703
32,2020-02-25,41.21,40.51,41.93,40.95,3753835
33,2020-02-24,42.68,42.26,43.42,42.84,2262606
34,2020-02-21,44.22,43.89,44.29,44.09,1218400
35,2020-02-20,44.1,43.9,44.69,44.52,937400
36,2020-02-19,44.0,43.9,44.56,44.1,1070300
37,2020-02-18,43.8,43.23,44.22,43.98,1733900
38,2020-02-14,44.0,43.72,44.34,43.93,1157039
39,2020-02-13,43.88,43.72,44.2,44.0,885000
40,2020-02-12,44.23,43.72,44.7,44.29,1421000
41,2020-02-11,43.29,43.25,44.39,44.01,1475618
42,2020-02-10,41.84,41.64,43.15,43.0,1269006
43,2020-02-07,42.92,41.96,43.02,41.99,1361014
44,2020-02-06,44.08,43.06,44.19,43.3,1285600
