,date,open,low,high,close,volume
0,2020-01-06,25.94,25.17,25.98,25.64,4471810
1,2020-01-03,25.71,25.53,26.14,25.69,5940788
2,2020-01-02,25.7,25.13,25.93,25.36,3395100
3,2020-04-06,5.2,5.13,6.0,5.87,28007901
4,2020-04-03,5.44,4.56,5.63,5.38,51801400
5,2020-04-02,4.75,4.31,5.3,4.69,53258000
6,2020-04-01,4.04,3.86,4.16,4.02,22611200
7,2020-03-31,4.41,4.11,4.58,4.18,31240233
8,2020-03-30,4.76,4.0,4.77,4.11,26494600
9,2020-03-27,5.38,4.76,5.4,4.86,18508836
10,2020-03-26,5.94,5.61,6.6,5.76,18500603
11,2020-03-25,6.13,5.31,6.67,5.89,19289724
12,2020-03-24,4.81,4.68,5.84,5.58,16021900
13,2020-03-23,4.81,4.3,4.9,4.31,14154700
14,2020-03-20,5.16,4.65,5.47,4.83,17519837
15,2020-03-19,4.55,4.07,5.4,4.95,14530000
16,2020-03-18,4.16,3.8,4.75,4.44,16461800
17,2020-03-17,5.69,4.4,5.71,4.46,19718042
18,2020-03-16,6.73,5.45,6.92,5.46,18546800
19,2020-03-13,8.5,6.95,8.59,8.07,24978844
20,2020-03-12,6.93,6.6,8.3,7.76,19844700
21,2020-03-11,10.1,7.95,10.11,8.25,19683329
22,2020-03-10,11.37,9.4,11.5,10.79,22820600
23,2020-03-09,13.42,9.32,13.7,9.55,28073200
24,2020-03-06,23.42,20.22,23.51,20.7,10198118
25,2020-03-05,24.43,24.03,25.21,24.34,5725500
26,2020-03-04,25.36,24.53,25.62,25.13,4376244
27,2020-03-03,25.7,24.75,26.57,24.99,7364300
28,2020-03-02,25.49,24.65,25.89,25.52,8987000
29,2020-02-28,24.0,23.83,25.52,24.92,10240481
30,2020-02-27,23.81,23.38,26.96,25.07,8817000
31,2020-02-26,25.5,24.4,25.86,24.43,5516308
32,2020-02-25,27.24,25.34,27.29,25.5,4462310
33,2020-02-24,26.96,26.41,27.03,26.75,3025812
34,2020-02-21,28.14,27.52,28.48,28.4,3148500
35,2020-02-20,28.59,28.44,29.21,28.58,2347067
36,2020-02-19,28.4,27.97,28.68,28.47,2951182
37,2020-02-18,27.05,26.95,28.22,28.11,2974600
38,2020-02-14,28.05,27.24,28.08,27.36,4292301
39,2020-02-13,28.37,27.83,28.51,27.92,3498215
40,2020-02-12,28.93,28.43,29.03,28.48,3219800
41,2020-02-11,28.58,28.14,28.81,28.17,2070400
42,2020-02-10,27.88,27.46,28.02,27.97,3010302
43,2020-02-07,28.28,27.99,28.58,28.11,3167600
44,2020-02-06,28.95,28.28,29.23,28.94,3738900
45,2020-02-05,28.81,28.62,29.44,28.9,5835341
46,2020-02-04,28.19,28.06,28.55,28.14,4419930
47,2020-02-03,27.26,27.1,27.69,27.56,4022412
48,2020-01-31,27.58,26.95,27.67,27.44,5312500
49,2020-01-30,27.46,27.37,28.25,28.18,3922485
50,2020-01-29,28.98,27.98,29.07,28.09,4514596
51,2020-01-28,29.19,28.54,29.27,28.73,4140836
52,2020-01-27,29.08,28.62,29.49,28.85,4242846
53,2020-01-24,30.0,29.37,30.08,29.98,3472111
54,2020-01-23,30.27,29.87,30.63,30.27,4816342
55,2020-01-22,31.29,30.85,31.45,30.87,4710746
56,2020-01-21,32.14,31.7,32.74,31.74,5215900
57,2020-01-17,33.08,32.57,33.24,32.67,4551822
58,2020-01-16,33.69,32.98,33.71,33.1,4458100
59,2020-01-15,33.23,32.99,33.69,33.54,4440301
60,2020-01-14,32.14,32.13,33.77,33.59,6103153
61,2020-01-13,32.5,31.85,32.6,32.01,4581507
62,2020-01-10,32.35,32.04,32.53,32.38,4642751
63,2020-01-09,32.61,31.55,32.7,32.6,7590118
64,2020-01-08,32.51,32.04,33.21,32.73,13506968
65,2020-01-07,29.93,29.5,32.58,32.51,37100071
66,2020-07-06,13.56,13.21,13.72,13.53,10165746
67,2020-07-02,13.52,13.18,13.94,13.26,14346427
68,2020-07-01,13.63,12.91,13.97,13.0,22681836
69,2020-06-30,13.08,12.87,13.62,13.5,9837200
70,2020-06-29,13.15,12.92,13.46,13.33,10097800
71,2020-06-26,13.5,12.8,13.5,13.25,11946826
72,2020-06-25,12.87,12.68,13.67,13.66,12251300
73,2020-06-24,13.78,12.89,13.9,13.07,12338900
74,2020-06-23,14.62,14.04,14.99,14.13,11418233
75,2020-06-22,13.9,13.52,14.36,14.28,8855611
76,2020-06-19,14.91,13.82,14.99,13.98,19446900
77,2020-06-18,13.71,13.48,14.46,14.22,10042900
78,2020-06-17,14.2,13.82,14.38,13.89,10889500
79,2020-06-16,15.5,14.04,15.54,14.57,16001715
80,2020-06-15,13.1,13.01,14.33,14.08,15620200
81,2020-06-12,14.01,13.04,14.5,13.77,15513600
82,2020-06-11,12.73,12.31,14.36,12.79,17749400
83,2020-06-10,15.93,14.51,15.93,14.83,15456800
84,2020-06-09,16.45,15.6,16.9,16.53,14750831
85,2020-06-08,17.65,16.57,17.87,17.73,29519921
86,2020-06-05,14.34,14.33,16.6,16.07,36336841
87,2020-06-04,12.43,12.26,13.1,13.0,16043508
88,2020-06-03,12.49,12.02,12.73,12.53,16115900
89,2020-06-02,11.93,11.77,12.25,12.23,14175642
90,2020-06-01,10.76,10.45,11.79,11.73,24904107
91,2020-05-29,11.69,10.71,11.69,10.79,47936768
92,2020-05-28,12.63,11.75,12.67,11.87,14623362
93,2020-05-27,12.97,11.93,13.01,12.58,16487000
94,2020-05-26,12.7,12.32,12.93,12.71,15215100
95,2020-05-22,12.0,11.65,12.2,12.17,10415806
96,2020-05-21,12.01,11.77,12.35,12.05,18807400
97,2020-05-20,11.67,11.64,12.1,11.95,15601100
98,2020-05-19,11.89,11.32,12.08,11.36,14586411
99,2020-05-18,11.6,11.47,12.23,11.92,22513669
100,2020-05-15,10.22,10.11,10.92,10.61,18137526
101,2020-05-14,10.33,9.67,11.04,10.36,20150300
102,2020-05-13,11.68,10.5,11.68,10.73,17266934
103,2020-05-12,12.2,11.76,12.39,11.79,14729224
104,2020-05-11,12.25,11.81,12.44,12.03,14496300
105,2020-05-08,12.25,12.05,12.54,12.45,19479257
106,2020-05-07,11.44,11.35,12.38,11.88,19899300
107,2020-05-06,11.81,11.31,12.14,11.61,20242500
108,2020-05-05,12.99,11.63,13.18,11.78,26477415
109,2020-05-04,10.72,10.5,12.07,12.06,18185500
110,2020-05-01,12.42,11.11,12.76,11.28,24359528
111,2020-04-30,13.35,12.18,14.05,13.08,39879500
112,2020-04-29,11.32,11.13,13.15,13.05,35121000
113,2020-04-28,10.85,10.21,10.95,10.67,19229600
114,2020-04-27,10.2,9.75,10.8,10.5,25852700
115,2020-04-24,11.12,10.16,11.45,10.69,40004004
116,2020-04-23,9.82,9.8,10.97,10.5,38583000
117,2020-04-22,9.0,8.84,9.62,9.42,26465997
118,2020-04-21,8.19,8.06,8.81,8.57,22556500
119,2020-04-20,7.64,7.51,8.85,8.48,26625900
120,2020-04-17,7.45,7.42,8.5,8.49,26718200
121,2020-04-16,7.96,7.38,7.98,7.49,13095000
122,2020-04-15,7.12,7.08,8.07,7.94,24475600
123,2020-04-14,8.2,7.62,8.31,8.08,26955200
124,2020-04-13,8.79,8.03,8.99,8.38,35821100
125,2020-04-09,9.11,7.13,10.07,8.2,92823757
126,2020-04-08,6.83,6.72,7.62,7.58,35954800
127,2020-04-07,6.6,6.36,7.24,6.52,39030522
128,2020-10-05,9.97,9.62,10.13,9.84,11057000
129,2020-10-02,8.83,8.75,9.9,9.74,15061700
130,2020-10-01,9.38,9.01,9.51,9.31,15803520
131,2020-09-30,9.63,9.39,9.79,9.47,12557534
132,2020-09-29,10.16,9.43,10.17,9.54,13312598
133,2020-09-28,10.15,10.1,10.65,10.27,15469922
134,2020-09-25,10.74,9.84,10.83,9.85,22848500
