,date,open,low,high,close,volume
0,2020-01-06,225.15,224.94,228.15,225.9,1737940
1,2020-01-03,228.65,225.98,230.27,226.0,1710400
2,2020-01-02,235.25,230.84,236.8,231.14,1320500
3,2020-04-06,194.62,190.61,198.2,193.86,2090415
4,2020-04-03,193.39,185.25,194.99,186.6,1943700
5,2020-04-02,187.63,186.45,199.24,194.5,1963500
6,2020-04-01,192.0,188.54,197.4,189.28,1566500
7,2020-03-31,202.7,197.47,205.88,199.61,2372844
8,2020-03-30,198.47,197.1,208.59,206.53,1281981
9,2020-03-27,195.31,191.34,199.15,193.17,1173102
10,2020-03-26,192.98,189.98,202.8,201.34,1512830
11,2020-03-25,193.36,189.72,204.62,191.15,2165356
12,2020-03-24,185.56,179.27,200.72,194.42,2161662
13,2020-03-23,186.41,173.91,194.61,176.73,2162916
14,2020-03-20,190.97,182.29,193.85,189.15,2155623
15,2020-03-19,199.5,188.58,204.86,191.04,1818214
16,2020-03-18,190.71,182.83,211.53,201.57,2582200
17,2020-03-17,185.35,181.59,205.76,205.1,2284700
18,2020-03-16,170.15,167.43,191.2,180.35,1809066
19,2020-03-13,197.15,188.67,206.52,206.36,2180400
20,2020-03-12,197.9,178.48,206.17,187.73,2288700
21,2020-03-11,210.0,203.45,213.13,207.8,1525370
22,2020-03-10,210.93,204.62,214.58,214.58,1962500
23,2020-03-09,214.99,204.74,214.99,205.15,2393738
24,2020-03-06,226.23,225.44,231.53,229.71,2175040
25,2020-03-05,230.5,229.16,234.73,234.0,1548200
26,2020-03-04,231.42,229.79,237.44,237.2,1213900
27,2020-03-03,231.09,224.55,237.22,227.36,1607800
28,2020-03-02,221.09,220.63,230.84,230.65,1625428
29,2020-02-28,217.39,213.81,222.78,219.61,2353636
30,2020-02-27,231.88,223.99,233.28,224.09,1410300
31,2020-02-26,235.95,235.11,240.17,235.52,1310211
32,2020-02-25,245.54,234.82,246.39,235.49,1423702
33,2020-02-24,249.76,244.68,251.09,245.53,1330700
34,2020-02-21,255.24,253.7,255.59,254.97,1587000
35,2020-02-20,254.9,252.11,256.01,255.4,922900
36,2020-02-19,256.41,255.01,257.01,255.82,931000
37,2020-02-18,255.91,254.97,256.59,255.74,857924
