,date,open,low,high,close,volume
0,2020-01-06,26.82,26.67,26.89,26.88,4392836
1,2020-01-03,26.9,26.86,27.08,27.02,2795640
2,2020-01-02,27.1,26.95,27.31,27.31,4686124
3,2020-04-06,18.05,17.86,18.94,18.84,15165652
4,2020-04-03,17.1,16.9,17.34,17.11,8445040
5,2020-04-02,17.42,16.86,17.63,17.19,17219264
6,2020-04-01,17.54,17.35,18.01,17.38,11401732
7,2020-03-31,18.97,18.1,19.0,18.22,9334900
8,2020-03-30,18.64,18.39,19.05,18.96,10806000
9,2020-03-27,19.0,18.51,19.33,18.57,7623644
10,2020-03-26,18.75,18.63,20.02,19.79,10330140
11,2020-03-25,18.61,18.0,19.49,18.73,10401740
12,2020-03-24,18.12,17.9,18.75,18.54,11743244
13,2020-03-23,17.24,16.25,17.97,17.25,14850400
14,2020-03-20,17.2,17.15,18.17,17.51,12536000
15,2020-03-19,16.83,16.08,17.38,17.19,12283652
16,2020-03-18,16.39,15.76,17.11,17.1,11824412
17,2020-03-17,17.4,16.69,18.29,17.83,11578000
18,2020-03-16,17.47,16.02,18.46,17.09,14069304
19,2020-03-13,19.81,18.36,20.22,19.9,16927684
20,2020-03-12,19.71,18.78,20.58,18.78,14556992
21,2020-03-11,21.89,20.59,21.97,21.07,9833200
22,2020-03-10,22.09,21.15,22.63,22.62,11578800
23,2020-03-09,21.67,21.25,24.53,21.38,9308432
24,2020-03-06,22.56,22.52,23.24,23.14,6343200
25,2020-03-05,23.59,23.19,23.89,23.36,6724068
26,2020-03-04,23.63,23.42,24.27,24.25,5060000
27,2020-03-03,23.66,23.18,24.41,23.24,7252968
28,2020-03-02,23.1,22.65,23.74,23.73,10159340
29,2020-02-28,22.61,22.3,23.11,22.92,11979200
30,2020-02-27,23.38,23.14,23.9,23.15,8504400
31,2020-02-26,24.09,23.85,24.51,23.92,9839200
32,2020-02-25,24.61,23.8,24.76,23.87,10114488
33,2020-02-24,24.5,24.01,24.88,24.42,8784400
34,2020-02-21,25.73,25.29,25.85,25.44,4738076
35,2020-02-20,25.7,25.63,25.96,25.93,4781600
36,2020-02-19,25.5,25.45,25.86,25.78,4218884
37,2020-02-18,25.82,25.25,25.85,25.35,5959200
38,2020-02-14,26.1,25.91,26.17,26.02,2736400
39,2020-02-13,25.69,25.64,26.16,26.09,3848076
40,2020-02-12,25.91,25.78,26.01,25.89,3974400
41,2020-02-11,25.79,25.65,26.05,25.66,5501200
