,date,open,low,high,close,volume
0,2020-01-06,46.73,46.33,47.62,47.58,1374420
1,2020-01-03,47.15,46.87,47.39,47.31,1026526
2,2020-01-02,47.83,47.47,48.08,47.66,1376400
3,2020-04-06,33.4,33.4,36.76,35.92,4103000
4,2020-04-03,30.96,30.16,32.87,31.92,1773200
5,2020-04-02,29.62,29.29,31.95,30.97,1534838
6,2020-04-01,31.66,29.58,31.66,29.96,2956419
7,2020-03-31,35.08,33.11,35.62,33.5,1497666
8,2020-03-30,35.25,33.22,36.24,35.45,1831700
9,2020-03-27,35.81,33.9,36.4,35.46,2305518
10,2020-03-26,35.2,35.08,39.75,37.7,4341617
11,2020-03-25,29.48,29.09,36.79,34.69,7012315
12,2020-03-24,25.56,25.41,28.83,27.48,5971956
13,2020-03-23,25.91,23.5,27.46,23.8,4032300
14,2020-03-20,30.7,25.9,30.92,26.84,4638437
15,2020-03-19,29.75,25.75,32.27,29.89,4288000
16,2020-03-18,29.09,19.46,31.08,30.0,8310414
17,2020-03-17,31.59,29.0,32.91,31.2,5416248
18,2020-03-16,30.0,28.16,34.39,31.15,4739500
19,2020-03-13,32.23,30.48,36.34,35.95,4320000
20,2020-03-12,30.8,29.5,32.38,30.1,5056635
21,2020-03-11,34.02,33.05,35.57,33.92,3793205
22,2020-03-10,36.18,32.56,36.77,35.44,3700206
23,2020-03-09,36.27,33.85,37.29,34.06,4771239
24,2020-03-06,41.07,38.78,41.5,40.5,3942241
25,2020-03-05,41.98,41.54,43.21,42.74,4115216
26,2020-03-04,43.73,42.46,43.98,42.94,2476046
27,2020-03-03,43.53,41.86,44.13,42.81,2118700
28,2020-03-02,41.85,41.36,43.53,43.39,3216721
29,2020-02-28,40.9,39.78,41.88,41.66,4729244
30,2020-02-27,42.22,40.96,43.94,42.31,2833725
31,2020-02-26,43.07,42.65,43.66,43.2,1862318
32,2020-02-25,45.24,43.06,45.37,43.17,1978522
33,2020-02-24,44.06,43.6,45.24,44.92,2475013
34,2020-02-21,46.4,45.67,46.55,45.69,2031540
35,2020-02-20,46.57,45.73,46.92,46.45,1256900
36,2020-02-19,46.25,45.85,46.84,46.57,1636500
37,2020-02-18,45.53,45.43,45.99,45.67,1500723
38,2020-02-14,46.0,45.54,46.1,45.71,1524402
39,2020-02-13,46.37,44.85,46.39,45.79,2662000
40,2020-02-12,46.96,46.05,47.05,46.34,1237394
41,2020-02-11,46.94,46.53,47.37,46.84,1409538
42,2020-02-10,46.49,45.71,46.7,46.62,2037700
43,2020-02-07,47.1,46.75,47.49,47.36,2052318
44,2020-02-06,48.36,46.76,48.38,47.05,2291681
45,2020-02-05,47.85,47.01,48.09,47.96,1655762
46,2020-02-04,46.62,46.62,48.05,47.06,1985596
47,2020-02-03,47.78,45.49,47.92,45.94,3254124
48,2020-01-31,46.0,45.28,48.01,47.32,4165514
49,2020-01-30,51.4,46.47,52.67,46.63,8452170
50,2020-01-29,51.02,50.74,51.78,51.16,2627200
51,2020-01-28,50.2,49.87,51.28,50.75,1404100
52,2020-01-27,49.46,48.43,50.22,49.85,1759700
53,2020-01-24,52.14,50.73,52.42,51.01,1479200
