,date,open,low,high,close,volume
0,2020-01-06,93.18,91.74,93.18,92.35,1586490
1,2020-01-03,94.25,93.6,94.825,94.1,970674
2,2020-01-02,95.94,95.01,96.34,96.31,1666166
3,2020-04-06,47.01,45.7,50.71,49.93,3145010
4,2020-04-03,45.92,43.04,46.46,43.29,2186245
5,2020-04-02,44.72,44.25,48.79,45.59,2493807
6,2020-04-01,44.62,44.12,47.47,45.92,2585781
7,2020-03-31,50.24,48.43,52.21,49.24,2633410
8,2020-03-30,50.27,48.02,51.82,49.92,2698270
9,2020-03-27,51.95,49.4101,52.81,51.28,2598665
10,2020-03-26,51.8,50.02,55.89,55.28,2314377
11,2020-03-25,51.17,47.56,53.425,50.73,2253576
12,2020-03-24,50.18,47.55,52.12,49.52,2826606
13,2020-03-23,44.36,42.11,48.64,46.5,4518362
14,2020-03-20,42.05,41.73,49.61,45.17,5777383
15,2020-03-19,33.23,29.33,45.36,40.58,7461181
16,2020-03-18,44.38,29.22,45.7,33.55,5924072
17,2020-03-17,52.39,45.6501,52.855,48.31,4214711
18,2020-03-16,59.01,51.08,59.01,51.12,3218448
19,2020-03-13,62.8,60.16,66.5,66.47,2752259
20,2020-03-12,62.87,58.97,64.79,59.4,3413667
21,2020-03-11,70.59,66.97,71.63,67.23,2680747
22,2020-03-10,72.29,69.62,73.35,72.84,2700397
23,2020-03-09,70.6,68.12,71.57,68.91,2783459
24,2020-03-06,75.36,74.3,77.96,76.29,2435112
25,2020-03-05,80.35,77.93,81.67,78.5,1722254
26,2020-03-04,82.15,80.265,83.15,83.1,1918353
27,2020-03-03,82.41,79.83,84.87,80.57,2725768
28,2020-03-02,78.71,77.63,82.18,82.17,2603800
29,2020-02-28,75.32,73.8,79.39,78.11,3559744
30,2020-02-27,80.52,77.35,81.71,77.98,3511354
31,2020-02-26,82.11,80.8,83.44,81.1,1711240
32,2020-02-25,84.77,79.91,84.84,81.11,2541370
33,2020-02-24,86.73,83.72,87.18,83.98,2110245
34,2020-02-21,90.15,88.91,90.46,90.07,1248245
35,2020-02-20,89.97,89.97,92.04,91.09,1412047
36,2020-02-19,88.32,87.78,90.87,90.71,1413870
37,2020-02-18,88.06,87.57,89.48,88.02,1000103
38,2020-02-14,90.41,88.09,90.52,88.32,1019009
39,2020-02-13,90.4,89.74,91.1,90.52,733640
40,2020-02-12,91.69,90.88,92.3,91.51,896630
41,2020-02-11,87.65,87.11,91.1,90.78,1408250
42,2020-02-10,86.95,86.025,87.35,87.3,947034
43,2020-02-07,87.47,86.63,87.49,87.13,1263704
44,2020-02-06,90.97,87.68,90.99,88.24,1145422
45,2020-02-05,91.82,90.28,92.5,90.52,1119245
46,2020-02-04,88.31,88.2301,91.02,90.51,1537830
47,2020-02-03,85.57,85.25,87.56,86.72,1663091
48,2020-01-31,86.74,84.59,87.065,84.79,1634136
49,2020-01-30,85.0,84.51,88.14,87.68,2558366
50,2020-01-29,90.33,89.5,91.05,89.88,1575137
51,2020-01-28,89.57,88.7,90.295,89.64,1466454
52,2020-01-27,89.16,88.19,89.6,88.6,1693139
53,2020-01-24,92.81,90.75,92.84,91.54,1558585
54,2020-01-23,90.54,89.25,92.4,92.33,1438213
55,2020-01-22,91.84,90.89,92.405,91.15,957960
56,2020-01-21,91.04,90.465,91.91,91.0,1484583
57,2020-01-17,90.9,90.475,92.185,91.53,1912598
58,2020-01-16,88.39,88.39,91.42,91.2,1927846
59,2020-01-15,88.73,87.59,89.33,87.89,1548423
60,2020-01-14,88.84,88.51,89.73,89.01,2280779
61,2020-01-13,89.42,88.63,89.42,88.87,2075296
62,2020-01-10,91.73,89.39,91.73,89.51,1336773
63,2020-01-09,94.11,91.685,94.35,91.73,1098919
64,2020-01-08,91.43,90.96,93.47,93.09,2306161
65,2020-01-07,92.33,90.85,92.5,91.19,2113818
66,2020-07-06,79.74,77.14,80.23,78.43,1451910
67,2020-07-02,76.63,76.63,79.18,76.81,1872194
68,2020-07-01,77.91,74.395,77.99,75.42,1697816
69,2020-06-30,75.36,74.76,78.44,77.92,2767466
70,2020-06-29,74.43,74.105,75.93,75.67,2263495
71,2020-06-26,76.3,73.94,77.03,74.13,4276068
72,2020-06-25,73.89,73.36,76.86,76.63,1890645
73,2020-06-24,78.18,74.359,78.2,74.62,2863725
74,2020-06-23,80.01,77.71,80.88,78.76,2268786
75,2020-06-22,78.28,76.6,79.3,78.52,2621935
76,2020-06-19,78.39,77.32,80.79,77.73,3849649
77,2020-06-18,75.36,74.32,77.28,76.61,1934175
78,2020-06-17,76.05,74.25,76.56,76.05,3108563
79,2020-06-16,78.5,74.96,79.41,76.15,2103735
80,2020-06-15,72.36,71.8,76.24,75.55,3538314
81,2020-06-12,76.93,73.61,77.78,75.66,4460537
82,2020-06-11,76.46,72.92,79.29,72.95,7323620
83,2020-06-10,78.92,77.5,82.61,82.43,19583441
84,2020-06-09,81.45,75.47,82.04,75.91,7472928
85,2020-06-08,87.63,87.02,89.74,87.5,3647529
86,2020-06-05,88.44,85.05,89.0,85.85,2538529
87,2020-06-04,81.54,81.21,84.22,83.69,2375681
88,2020-06-03,81.15,81.15,84.55,83.33,4793549
89,2020-06-02,77.84,77.05,79.66,79.66,1875116
90,2020-06-01,75.93,74.52,77.05,76.64,1445646
91,2020-05-29,74.19,73.205,75.62,75.35,2617371
92,2020-05-28,77.71,73.55,78.2,73.63,2703846
93,2020-05-27,78.9,75.57,81.96,77.63,2718604
94,2020-05-26,75.62,74.45,76.37,75.68,2040248
95,2020-05-22,71.34,70.11,72.131,71.89,1498120
96,2020-05-21,72.47,71.345,74.4,71.53,2146250
97,2020-05-20,71.79,71.26,73.325,71.71,2156722
98,2020-05-19,71.0,69.94,74.22,70.0,2365717
99,2020-05-18,67.41,67.41,70.8,70.18,1668246
100,2020-05-15,62.28,61.5,64.4,64.07,1267152
101,2020-05-14,58.85,57.26,63.19,63.15,1698693
102,2020-05-13,64.5,60.13,64.5,60.79,1796877
103,2020-05-12,67.46,64.44,67.75,64.5,1153269
104,2020-05-11,66.73,65.03,68.1399,66.71,1564079
105,2020-05-08,67.13,66.44,68.68,68.15,1130920
106,2020-05-07,66.48,65.09,68.2,65.23,1297472
107,2020-05-06,68.33,64.84,68.39,65.18,1175125
108,2020-05-05,65.25,64.67,67.045,65.64,2351639
109,2020-05-04,64.1,63.26,65.43,64.27,2236921
110,2020-05-01,67.4,64.09,67.4,65.75,1760660
111,2020-04-30,68.5,68.2,71.03,69.55,2163579
112,2020-04-29,68.86,68.34,72.41,71.66,1821588
113,2020-04-28,68.04,66.48,69.77,66.68,1796687
114,2020-04-27,62.69,62.5,65.91,65.51,1531454
115,2020-04-24,62.39,61.32,63.74,62.74,1184015
116,2020-04-23,61.43,60.66,62.65,60.73,1110406
117,2020-04-22,60.03,59.03,61.23,60.5,1451530
118,2020-04-21,56.29,56.04,59.72,58.35,1778835
119,2020-04-20,61.44,58.721,62.42,59.53,2256345
120,2020-04-17,62.86,62.39,64.76,63.92,3040356
121,2020-04-16,60.38,57.8,61.29,59.36,1444161
122,2020-04-15,58.64,58.51,61.23,60.87,1764917
123,2020-04-14,62.05,61.39,64.64,62.82,1848238
124,2020-04-13,61.56,58.19,61.85,60.74,1290559
125,2020-04-09,63.14,62.01,66.65,62.23,3636228
126,2020-04-08,54.73,54.29,60.385,60.2,3699927
127,2020-04-07,54.09,52.44,56.23,53.5,3587399
128,2020-10-05,95.0,94.915,97.6261,97.2,1168388
129,2020-10-02,91.46,91.24,94.495,93.56,1125789
130,2020-10-01,92.75,91.68,94.9653,93.96,2159190
131,2020-09-30,92.18,90.9,93.28,91.68,2297208
132,2020-09-29,89.61,89.52,92.29,91.92,1920383
133,2020-09-28,88.41,88.35,90.88,90.03,1315799
134,2020-09-25,84.06,83.54,87.04,86.4,1498402
135,2020-09-24,82.85,82.12,85.63,84.33,1218062
136,2020-09-23,84.53,83.92,85.73,83.95,1661679
137,2020-09-22,84.35,83.0482,85.114,84.51,1075891
138,2020-09-21,86.75,83.4,87.55,84.56,2486756
139,2020-09-18,87.04,86.0,89.42,88.95,4795489
140,2020-09-17,84.22,82.63,84.37,83.29,1702655
141,2020-09-16,86.69,84.36,86.7011,84.97,2162237
142,2020-09-15,86.42,85.7389,87.62,86.01,1580973
143,2020-09-14,85.52,84.92,86.45,85.89,1222849
144,2020-09-11,84.45,83.45,85.26,84.55,1749877
145,2020-09-10,87.0,83.71,87.69,84.09,1051644
146,2020-09-09,86.06,85.385,86.63,85.65,1440767
147,2020-09-08,86.21,84.155,86.48,84.66,3209897
148,2020-09-04,87.86,84.715,88.21,86.21,1350398
149,2020-09-03,89.88,86.14,90.06,86.76,1860705
150,2020-09-02,88.68,87.53,90.7,90.0,2293852
151,2020-09-01,85.32,84.205,87.12,87.05,1097488
152,2020-08-31,87.74,85.77,87.89,86.12,1548993
153,2020-08-28,85.38,85.15,87.315,87.25,1346266
154,2020-08-27,85.85,84.64,85.85,85.34,878413
155,2020-08-26,85.31,84.69,85.91,85.44,1134671
156,2020-08-25,86.03,84.55,86.3099,85.36,998366
157,2020-08-24,84.55,84.385,85.865,85.5,1530950
158,2020-08-21,84.76,83.68,84.81,83.88,726917
159,2020-08-20,84.21,83.74,84.865,84.49,1105169
160,2020-08-19,86.88,84.77,87.05,85.42,1539048
161,2020-08-18,88.19,87.19,89.11,87.24,806584
162,2020-08-17,88.92,87.73,89.31,88.16,1436934
163,2020-08-14,88.52,87.625,88.93,88.34,760924
164,2020-08-13,88.62,88.35,89.33,88.63,906358
165,2020-08-12,90.81,88.215,91.51,89.5,1956432
166,2020-08-11,88.0,87.99,90.82,88.84,2497430
167,2020-08-10,84.64,84.23,86.81,86.44,1271431
168,2020-08-07,83.55,82.92,84.81,83.86,1260484
169,2020-08-06,83.16,83.16,85.175,84.53,1656917
170,2020-08-05,81.28,81.08,83.94,83.84,2105311
171,2020-08-04,81.81,80.26,81.81,81.02,1323746
172,2020-08-03,78.25,78.25,80.443,79.72,1520705
173,2020-07-31,80.27,76.18,80.4,77.75,2376216
174,2020-07-30,82.5,79.91,82.84,80.46,1987045
175,2020-07-29,82.21,82.21,83.72,83.67,1732439
176,2020-07-28,83.67,82.08,84.27,82.17,904967
177,2020-07-27,82.25,81.75,84.35,83.55,1262876
178,2020-07-24,80.8,80.7682,83.16,82.25,1265065
179,2020-07-23,83.04,81.32,83.53,82.33,1509865
180,2020-07-22,81.68,81.185,82.8,82.72,1546297
181,2020-07-21,83.38,81.53,83.8,81.87,1298430
182,2020-07-20,81.46,80.17,82.23,81.94,1283650
183,2020-07-17,82.73,81.18,82.79,81.78,1457661
