,date,open,low,high,close,volume
0,2020-01-06,160.04,159.59,161.58,161.03,604700
1,2020-01-03,158.5,158.5,161.36,160.64,371340
2,2020-01-02,161.93,158.52,162.42,159.73,1094942
3,2020-04-06,137.09,134.7,141.37,137.68,999139
4,2020-04-03,129.41,128.54,133.02,129.99,780937
5,2020-04-02,129.0,127.42,132.43,131.38,1229421
6,2020-04-01,131.67,127.57,133.21,131.24,979500
7,2020-03-31,140.0,133.02,142.74,137.06,1869300
8,2020-03-30,143.98,138.75,145.74,144.65,1095425
9,2020-03-27,137.16,135.6,146.55,143.47,1533223
10,2020-03-26,134.4,130.8,142.39,141.8,2473900
11,2020-03-25,128.27,127.0,139.75,133.4,1356700
12,2020-03-24,119.66,117.23,129.7,129.51,1061828
13,2020-03-23,122.0,109.22,122.0,114.92,1195400
14,2020-03-20,133.58,121.09,134.65,123.31,2560000
15,2020-03-19,130.94,128.44,136.37,132.0,1116045
16,2020-03-18,126.7,124.03,134.3,132.95,1545007
17,2020-03-17,125.39,120.06,135.5,135.18,1442300
18,2020-03-16,134.33,121.75,134.33,122.31,1603915
19,2020-03-13,142.21,133.45,148.35,147.74,2054316
20,2020-03-12,141.72,136.13,145.67,136.39,1337041
21,2020-03-11,153.39,150.0,153.86,151.39,1048100
22,2020-03-10,151.5,147.97,157.25,157.12,1146800
23,2020-03-09,153.36,147.91,154.41,148.3,1064200
24,2020-03-06,158.38,154.48,159.94,159.06,934725
25,2020-03-05,160.76,158.99,162.72,160.94,834600
26,2020-03-04,159.79,159.33,163.44,163.44,1052700
27,2020-03-03,156.35,154.46,160.33,157.75,1153700
28,2020-03-02,152.89,151.39,155.95,155.58,1201546
29,2020-02-28,152.39,147.83,153.81,151.88,1578042
30,2020-02-27,161.44,154.57,162.73,154.68,1388700
31,2020-02-26,164.03,162.88,165.18,163.08,945830
32,2020-02-25,167.02,163.01,167.19,163.65,763000
33,2020-02-24,166.07,165.24,167.47,166.74,955500
34,2020-02-21,168.29,167.24,168.72,167.98,916224
35,2020-02-20,169.0,168.06,169.38,168.72,770400
36,2020-02-19,173.85,169.17,174.0,169.19,773041
37,2020-02-18,175.08,173.27,175.74,173.85,477440
38,2020-02-14,173.8,173.58,175.02,174.93,463600
39,2020-02-13,173.4,173.3,174.8,173.58,630300
40,2020-02-12,172.04,171.36,174.05,173.41,779000
41,2020-02-11,170.99,170.48,172.6,171.65,550819
42,2020-02-10,168.38,168.17,170.57,170.57,514411
43,2020-02-07,168.42,166.86,168.42,167.55,931900
44,2020-02-06,168.51,167.42,169.85,167.84,771731
45,2020-02-05,168.19,167.33,169.11,167.93,595300
46,2020-02-04,165.4,165.4,169.05,167.79,814300
47,2020-02-03,163.85,163.7,166.0,164.81,1126700
48,2020-01-31,164.04,162.54,164.7,163.2,560106
49,2020-01-30,164.0,163.62,165.35,164.48,603000
50,2020-01-29,164.9,163.57,165.45,164.52,569000
51,2020-01-28,163.89,163.42,165.13,164.38,518523
52,2020-01-27,163.63,163.36,164.66,163.79,558109
53,2020-01-24,165.74,163.69,165.74,164.66,484337
54,2020-01-23,163.68,162.59,165.62,165.41,491700
55,2020-01-22,165.1,162.68,165.68,163.28,467400
56,2020-01-21,163.33,163.1,165.0,164.8,1188831
57,2020-01-17,164.15,162.8,164.36,162.9,1963400
58,2020-01-16,162.95,162.84,164.45,163.81,673248
59,2020-01-15,161.15,160.83,163.72,162.29,875722
60,2020-01-14,160.55,158.59,160.9,160.46,1023667
61,2020-01-13,159.21,159.21,160.97,160.78,1216300
62,2020-01-10,157.59,156.86,158.74,158.57,1155330
63,2020-01-09,157.91,157.03,158.4,157.27,1644600
64,2020-01-08,156.5,155.78,158.0,157.83,2239300
65,2020-01-07,156.49,154.7,157.53,155.76,4546882
66,2020-07-06,168.27,164.26,168.94,164.79,585200
67,2020-07-02,168.01,163.11,168.44,165.04,1145910
68,2020-07-01,162.94,162.76,166.47,165.41,656740
69,2020-06-30,161.97,161.16,163.32,162.25,817500
70,2020-06-29,162.21,159.18,162.21,161.63,516500
71,2020-06-26,167.59,161.11,167.8,161.83,976613
72,2020-06-25,162.9,161.81,166.75,166.6,589200
73,2020-06-24,165.32,160.28,167.71,163.48,891444
74,2020-06-23,170.57,166.7,170.88,167.34,790022
75,2020-06-22,166.05,164.27,168.99,168.5,1035700
76,2020-06-19,173.12,165.36,173.26,165.84,5600100
77,2020-06-18,169.18,167.11,171.35,170.24,3038800
78,2020-06-17,170.35,167.35,171.84,170.93,999900
79,2020-06-16,170.5,167.1,173.5,169.18,1288028
80,2020-06-15,155.46,155.46,165.76,165.38,1724736
81,2020-06-12,156.66,153.96,159.76,159.27,1166400
82,2020-06-11,152.99,151.59,155.59,152.39,874500
83,2020-06-10,159.71,156.64,160.02,157.92,813442
84,2020-06-09,157.82,156.07,161.26,160.09,750000
85,2020-06-08,161.74,158.56,162.44,160.08,910300
86,2020-06-05,155.75,154.63,159.67,158.59,1127000
87,2020-06-04,152.92,149.62,153.6,151.13,751738
88,2020-06-03,155.17,154.28,156.75,154.72,1204100
89,2020-06-02,155.27,152.89,155.27,154.96,687323
90,2020-06-01,153.5,152.57,155.24,154.1,616229
91,2020-05-29,153.61,152.36,154.76,153.72,1875500
92,2020-05-28,153.27,151.61,155.38,155.14,1038100
93,2020-05-27,152.17,147.27,153.33,151.45,770921
