,date,open,low,high,close,volume
0,2020-01-06,110.96,110.89,111.68,110.96,823264
1,2020-01-03,110.06,110.06,111.32,111.11,724241
2,2020-01-02,112.04,109.42,112.04,110.38,906900
3,2020-04-06,97.82,97.61,104.95,103.63,794900
4,2020-04-03,95.92,93.01,97.16,94.16,684213
5,2020-04-02,93.52,93.52,98.58,97.37,565400
6,2020-04-01,95.6,92.33,100.03,94.64,999531
7,2020-03-31,101.64,98.56,102.26,99.23,944581
8,2020-03-30,98.52,97.86,103.38,102.82,1058029
9,2020-03-27,92.78,91.21,100.42,97.41,879600
10,2020-03-26,90.19,90.19,97.08,96.27,810136
11,2020-03-25,87.93,79.48,93.79,90.3,1183549
12,2020-03-24,83.2,81.21,89.3,88.59,1351918
13,2020-03-23,85.52,77.92,85.57,80.5,1491753
14,2020-03-20,98.85,85.56,99.01,86.2,1884038
15,2020-03-19,106.38,92.18,106.38,98.51,1472900
16,2020-03-18,102.64,95.26,109.94,105.84,1574444
17,2020-03-17,96.2,95.79,108.33,108.09,1887740
18,2020-03-16,92.87,91.17,97.98,93.68,1546200
19,2020-03-13,98.81,93.55,100.67,100.67,1463000
20,2020-03-12,96.13,90.51,102.73,94.68,1667100
21,2020-03-11,103.2,100.53,103.93,102.85,1312461
22,2020-03-10,106.86,101.16,107.31,105.43,1418547
23,2020-03-09,107.11,103.33,107.47,105.13,1519812
24,2020-03-06,107.6,106.5,111.67,111.25,1557800
25,2020-03-05,111.02,110.19,111.9,111.13,1204600
26,2020-03-04,107.94,107.94,113.15,112.9,1106307
27,2020-03-03,107.62,105.69,109.37,106.54,1146700
28,2020-03-02,103.71,103.31,108.31,107.89,1877500
29,2020-02-28,104.83,101.73,105.66,103.25,2349523
30,2020-02-27,111.77,107.2,113.12,107.2,1163007
31,2020-02-26,113.98,112.05,115.24,112.09,1023215
32,2020-02-25,116.62,113.69,117.1,113.74,830200
33,2020-02-24,117.93,116.09,118.28,116.22,967112
34,2020-02-21,118.82,118.53,119.64,118.7,967021
35,2020-02-20,119.74,118.84,119.78,119.23,894529
36,2020-02-19,120.47,119.6,120.48,119.6,693800
37,2020-02-18,120.66,120.26,121.08,120.57,939300
38,2020-02-14,118.83,117.2,120.53,120.45,1290800
39,2020-02-13,117.93,117.82,119.56,119.5,618903
40,2020-02-12,118.88,117.67,119.22,117.94,957246
41,2020-02-11,118.62,118.48,119.68,119.36,502100
42,2020-02-10,117.92,117.69,118.35,118.31,656400
43,2020-02-07,117.81,117.15,118.14,117.59,817300
44,2020-02-06,118.62,117.13,118.62,117.66,1362927
45,2020-02-05,116.52,115.0,118.96,118.28,1167623
46,2020-02-04,118.5,117.22,119.2,117.22,974000
47,2020-02-03,117.4,117.0,118.74,118.67,1290145
48,2020-01-31,116.97,115.82,117.73,117.03,3787721
49,2020-01-30,116.24,115.91,117.52,117.38,577200
50,2020-01-29,116.31,115.64,116.64,116.31,607734
51,2020-01-28,116.54,116.05,117.84,116.31,599000
52,2020-01-27,117.17,115.93,117.98,116.39,1026840
53,2020-01-24,117.06,116.59,117.66,117.38,699424
54,2020-01-23,116.04,115.88,116.93,116.88,672311
55,2020-01-22,116.66,115.72,116.73,116.09,690900
56,2020-01-21,115.14,114.55,116.11,115.92,925500
57,2020-01-17,114.8,114.04,115.09,114.98,602100
58,2020-01-16,114.03,113.74,114.96,114.71,785000
59,2020-01-15,113.02,112.98,113.97,113.75,561900
