,date,open,low,high,close,volume
0,2020-01-06,209.06,208.24,209.87,209.58,602000
1,2020-01-03,206.38,206.31,209.57,209.23,672100
2,2020-01-02,210.46,206.07,210.91,207.24,817428
3,2020-04-06,139.72,139.25,146.28,145.07,1175803
4,2020-04-03,133.66,130.27,138.06,132.22,1147620
5,2020-04-02,135.01,131.93,142.09,135.34,1555335
6,2020-04-01,139.65,130.79,140.45,138.02,2248065
7,2020-03-31,150.43,142.76,152.24,147.17,2165411
8,2020-03-30,160.23,144.18,161.64,152.1,2100300
9,2020-03-27,146.01,145.68,164.93,160.27,1374345
10,2020-03-26,140.66,138.34,151.92,151.06,1761900
11,2020-03-25,125.58,123.7,149.27,140.78,1938170
12,2020-03-24,126.19,123.0,129.34,127.46,2236300
13,2020-03-23,131.62,118.17,131.62,121.08,2070209
14,2020-03-20,147.72,128.58,150.95,131.62,1569000
15,2020-03-19,153.49,145.31,155.57,146.57,1292729
16,2020-03-18,169.76,147.07,176.75,153.88,1563275
17,2020-03-17,167.25,162.06,182.42,181.59,1992224
18,2020-03-16,175.84,163.47,178.25,163.47,1463056
19,2020-03-13,189.9,179.15,193.93,193.16,1343648
20,2020-03-12,182.25,179.12,196.65,181.98,1766900
21,2020-03-11,203.22,195.0,203.25,195.85,1101600
22,2020-03-10,201.43,195.99,209.0,208.84,1354400
23,2020-03-09,200.49,197.17,203.61,197.17,1306028
24,2020-03-06,208.47,202.86,210.11,209.06,919000
25,2020-03-05,214.75,210.73,216.47,213.31,801400
26,2020-03-04,211.71,210.82,218.03,217.72,990229
27,2020-03-03,209.67,207.38,216.57,208.73,1099227
28,2020-03-02,201.76,199.81,209.67,209.67,1275719
29,2020-02-28,204.17,195.57,204.33,200.59,1702900
30,2020-02-27,218.83,207.51,219.85,207.67,1120919
31,2020-02-26,221.91,220.24,223.22,221.22,907519
32,2020-02-25,226.68,220.98,227.41,221.41,855900
33,2020-02-24,226.58,224.5,229.09,225.79,726725
34,2020-02-21,226.95,226.89,229.06,228.02,811841
35,2020-02-20,225.51,225.02,227.19,227.15,779213
36,2020-02-19,228.54,225.74,229.4,225.8,692433
37,2020-02-18,228.06,225.82,228.22,228.07,443542
38,2020-02-14,226.18,225.67,228.01,227.53,456900
39,2020-02-13,224.0,224.0,226.32,225.59,730546
40,2020-02-12,222.82,222.32,225.22,224.39,851546
41,2020-02-11,221.5,221.37,223.91,222.88,814700
42,2020-02-10,220.99,219.11,221.75,221.75,884744
43,2020-02-07,219.76,218.05,220.12,219.17,471500
44,2020-02-06,217.61,215.68,219.27,219.13,569000
45,2020-02-05,218.63,217.45,219.77,217.61,464500
46,2020-02-04,216.94,216.19,219.67,218.77,655700
47,2020-02-03,217.32,216.1,218.78,216.69,499900
48,2020-01-31,217.94,216.04,219.13,216.69,609604
49,2020-01-30,215.99,215.36,218.35,218.01,536500
50,2020-01-29,220.03,216.3,220.03,216.62,734400
51,2020-01-28,218.65,218.04,220.88,219.27,516200
52,2020-01-27,218.44,217.14,219.42,218.86,786500
53,2020-01-24,218.83,217.66,219.4,219.33,566900
54,2020-01-23,216.86,216.01,218.71,218.49,554338
55,2020-01-22,219.85,215.81,220.7,216.64,718906
56,2020-01-21,216.42,216.29,219.41,219.3,730100
57,2020-01-17,215.26,214.66,216.85,216.07,1213303
58,2020-01-16,212.2,211.34,214.94,214.89,545238
59,2020-01-15,211.6,210.53,212.45,211.9,796635
60,2020-01-14,210.21,207.83,210.21,209.51,550600
61,2020-01-13,208.23,208.23,211.03,211.02,490241
62,2020-01-10,206.78,206.26,208.87,208.45,736100
63,2020-01-09,205.48,204.91,206.88,206.35,738816
64,2020-01-08,205.29,204.56,206.83,205.87,872346
65,2020-01-07,208.19,204.78,208.58,205.02,850660
66,2020-07-06,163.22,158.31,163.7,159.49,1240407
67,2020-07-02,161.57,157.29,162.55,159.92,947334
68,2020-07-01,155.03,154.6,159.76,159.05,690195
69,2020-06-30,152.72,151.96,155.37,154.64,1405043
70,2020-06-29,151.37,148.97,153.0,153.0,680170
71,2020-06-26,152.7,150.13,154.44,151.38,1183121
72,2020-06-25,150.67,149.95,153.49,153.37,869012
73,2020-06-24,153.46,149.18,154.15,151.57,998823
74,2020-06-23,157.56,154.4,158.39,155.31,1127200
75,2020-06-22,155.47,152.33,157.64,156.23,1447700
76,2020-06-19,163.7,155.09,164.11,155.09,3239600
77,2020-06-18,160.8,158.67,161.76,160.31,1376417
78,2020-06-17,168.34,161.27,169.04,162.74,1214448
79,2020-06-16,167.14,165.49,170.58,167.33,1116611
80,2020-06-15,157.88,157.88,162.75,160.71,1600500
81,2020-06-12,166.44,159.68,166.44,163.75,1562800
82,2020-06-11,163.74,161.72,167.03,161.87,1187400
83,2020-06-10,172.99,169.85,175.01,171.35,802900
84,2020-06-09,175.0,172.4,175.53,174.22,917224
85,2020-06-08,175.48,172.59,178.12,178.07,1378800
86,2020-06-05,165.0,164.99,174.01,172.69,2109900
87,2020-06-04,161.13,157.76,161.85,158.87,1431605
88,2020-06-03,160.57,160.01,163.0,162.0,1294412
89,2020-06-02,161.75,157.0,161.94,158.77,1483814
90,2020-06-01,155.99,155.24,161.8,160.42,1047500
91,2020-05-29,157.21,154.22,158.86,156.01,3918100
92,2020-05-28,160.94,156.66,160.94,159.03,1226500
93,2020-05-27,165.0,157.4,165.0,158.9,1015334
94,2020-05-26,158.83,157.44,162.56,160.41,983629
95,2020-05-22,154.21,152.97,154.71,153.67,1015702
96,2020-05-21,155.16,153.73,158.0,154.18,820306
97,2020-05-20,156.48,152.08,156.48,155.83,1448007
98,2020-05-19,157.24,154.4,159.09,154.65,1174500
99,2020-05-18,156.78,154.01,160.49,158.48,1040339
100,2020-05-15,150.22,145.87,154.6,150.35,1980900
101,2020-05-14,148.52,145.15,151.86,151.86,1666500
102,2020-05-13,150.56,149.28,152.31,151.06,1790434
103,2020-05-12,157.8,151.0,158.35,151.5,1859905
104,2020-05-11,162.6,157.11,162.93,157.24,1024248
105,2020-05-08,163.41,160.87,164.29,163.96,1371744
106,2020-05-07,159.62,155.12,163.32,160.44,1158100
107,2020-05-06,159.46,156.76,161.62,156.8,1067300
108,2020-05-05,160.3,158.63,161.84,159.34,774348
109,2020-05-04,156.41,155.33,158.74,158.16,1210318
110,2020-05-01,159.12,157.31,161.49,158.44,979529
111,2020-04-30,163.5,161.5,164.24,162.95,1075100
112,2020-04-29,166.32,162.64,167.97,165.81,821101
113,2020-04-28,164.86,162.11,166.87,162.47,578500
114,2020-04-27,160.59,159.18,162.16,160.75,1495200
115,2020-04-24,158.06,155.54,159.98,158.38,1001600
116,2020-04-23,159.47,154.65,159.98,157.45,1567251
117,2020-04-22,161.0,158.91,162.13,159.84,1551800
118,2020-04-21,160.0,157.64,161.58,158.25,2160700
119,2020-04-20,166.27,160.32,167.7,160.51,1299826
120,2020-04-17,164.87,164.5,171.09,170.37,1232831
121,2020-04-16,161.79,159.01,164.93,161.25,866064
122,2020-04-15,161.23,158.33,164.73,161.08,907535
123,2020-04-14,165.91,162.35,168.56,167.03,1021400
124,2020-04-13,165.7,159.02,166.51,161.41,758539
125,2020-04-09,162.8,162.8,172.91,167.36,1751349
126,2020-04-08,149.01,146.58,161.57,160.73,1195500
127,2020-04-07,153.32,145.94,154.38,147.35,1000007
128,2020-10-05,159.04,156.71,160.84,160.43,1135490
129,2020-10-02,153.32,151.59,159.02,157.94,1487300
130,2020-10-01,149.72,149.61,155.63,155.6,1140147
131,2020-09-30,148.65,147.31,150.48,149.34,1204300
132,2020-09-29,149.34,146.44,150.78,147.52,851800
133,2020-09-28,150.38,149.58,152.82,151.45,1126100
134,2020-09-25,146.46,145.31,148.1,148.04,1225400
135,2020-09-24,146.44,145.01,148.62,146.96,1287300
136,2020-09-23,149.02,146.52,151.16,147.06,1294700
137,2020-09-22,146.04,146.04,150.47,149.2,1055900
138,2020-09-21,149.75,145.61,149.88,145.93,1579100
139,2020-09-18,152.31,150.97,153.5,151.06,1945431
140,2020-09-17,151.97,150.51,154.85,153.5,850266
141,2020-09-16,152.68,152.19,154.91,153.09,966923
142,2020-09-15,154.54,152.47,155.9,152.57,896634
143,2020-09-14,150.87,150.14,156.08,154.56,1386100
144,2020-09-11,152.36,148.5,152.43,149.87,1353321
145,2020-09-10,155.72,151.35,156.13,152.52,1855918
146,2020-09-09,158.38,155.93,159.29,156.34,1214600
