,date,open,low,high,close,volume
0,2020-01-06,31.08,30.96,31.39,31.37,20810810
1,2020-01-03,31.75,31.41,32.0,31.42,22876630
2,2020-01-02,31.93,31.73,32.25,32.24,20329000
3,2020-04-06,24.46,24.36,25.34,25.24,38868000
4,2020-04-03,23.66,23.06,24.26,23.43,28961480
5,2020-04-02,22.24,22.14,23.8,23.71,45049000
6,2020-04-01,22.8,21.97,23.44,22.36,41858320
7,2020-03-31,23.8,23.61,25.27,23.71,50215310
8,2020-03-30,23.22,22.84,24.14,24.01,52343490
9,2020-03-27,23.3,23.0,24.21,23.07,39448000
10,2020-03-26,22.6,22.6,24.48,24.32,60233430
11,2020-03-25,21.22,20.92,24.4,21.76,64442450
12,2020-03-24,20.56,20.13,21.87,21.28,62970000
13,2020-03-23,19.29,17.77,19.6,19.35,46921000
14,2020-03-20,20.2,18.79,20.87,19.22,74044000
15,2020-03-19,16.76,16.5,20.75,19.45,74438210
16,2020-03-18,18.57,15.57,18.75,16.79,98993000
17,2020-03-17,19.18,18.15,20.0,19.95,70662000
18,2020-03-16,20.82,18.02,21.88,18.76,76935020
19,2020-03-13,22.55,20.12,23.45,23.42,84714000
20,2020-03-12,22.7,21.63,24.28,21.88,64281110
21,2020-03-11,25.39,24.25,25.65,24.6,36043720
22,2020-03-10,25.66,24.34,26.37,26.29,55075310
23,2020-03-09,25.11,24.42,26.03,24.77,43934000
24,2020-03-06,26.7,26.25,27.09,26.95,30169000
25,2020-03-05,27.73,27.25,28.31,27.4,24374130
26,2020-03-04,27.75,27.48,28.57,28.55,23477890
27,2020-03-03,28.47,27.16,28.85,27.43,29930000
28,2020-03-02,27.68,27.12,28.54,28.5,31976470
29,2020-02-28,26.33,26.27,27.41,27.26,44604240
30,2020-02-27,28.03,27.35,28.53,27.4,34837090
31,2020-02-26,28.44,28.4,28.82,28.59,23088560
32,2020-02-25,29.41,28.11,29.57,28.27,31892000
33,2020-02-24,29.42,29.01,29.88,29.16,36849000
34,2020-02-21,30.85,30.23,30.95,30.45,24530900
35,2020-02-20,31.4,30.61,31.57,30.92,25521000
36,2020-02-19,31.3,31.17,31.68,31.57,20525250
37,2020-02-18,31.5,30.81,31.5,31.08,26703240
38,2020-02-14,32.48,31.71,32.57,31.78,19137000
39,2020-02-13,32.15,32.1,32.55,32.4,13857000
40,2020-02-12,32.2,32.16,32.51,32.47,15310200
41,2020-02-11,31.67,31.6,32.08,32.02,15527030
42,2020-02-10,31.24,31.03,31.46,31.42,19218100
43,2020-02-07,31.83,31.49,31.85,31.52,15884050
44,2020-02-06,31.88,31.42,31.99,31.97,22683110
45,2020-02-05,31.75,31.59,31.98,31.74,24825000
46,2020-02-04,31.18,30.97,31.46,31.16,22559000
47,2020-02-03,30.56,30.36,30.66,30.52,21289940
48,2020-01-31,31.42,30.36,31.46,30.52,22123000
49,2020-01-30,31.43,30.86,31.55,31.52,21128180
50,2020-01-29,32.08,31.71,32.54,31.75,23673010
