,date,open,low,high,close,volume
0,2020-01-06,128.39,126.81,128.75,126.89,644600
1,2020-01-03,127.63,127.32,129.24,128.51,605900
2,2020-01-02,131.53,128.88,132.25,129.31,699306
3,2020-04-06,98.96,97.67,102.15,100.42,661000
4,2020-04-03,94.8,93.29,98.59,93.61,827800
5,2020-04-02,94.99,93.99,100.83,95.9,794649
6,2020-04-01,98.02,95.18,99.84,95.93,809200
7,2020-03-31,102.96,100.94,104.45,101.87,1230207
8,2020-03-30,100.97,97.63,105.09,104.77,657327
9,2020-03-27,98.35,96.76,102.3,100.31,543305
10,2020-03-26,98.72,98.13,107.24,101.99,711600
11,2020-03-25,96.27,93.28,99.95,97.76,1125200
12,2020-03-24,82.47,81.08,98.95,96.76,994728
13,2020-03-23,89.6,76.96,90.11,78.75,925648
14,2020-03-20,103.41,88.01,103.41,90.8,906640
15,2020-03-19,104.45,97.09,105.72,103.05,639524
16,2020-03-18,97.74,97.59,105.85,105.46,732713
17,2020-03-17,99.34,95.85,107.96,106.71,850222
18,2020-03-16,93.5,93.5,104.05,97.01,839619
19,2020-03-13,109.43,99.35,110.43,106.08,784542
20,2020-03-12,104.42,100.2,108.08,104.22,1149400
21,2020-03-11,116.73,110.4,117.39,110.94,1088201
22,2020-03-10,118.83,114.07,120.67,120.36,923145
23,2020-03-09,114.02,112.61,118.03,115.46,1039832
24,2020-03-06,115.43,115.43,121.55,120.82,802400
25,2020-03-05,117.16,116.79,120.88,119.12,1044208
26,2020-03-04,119.75,117.13,121.84,121.76,636724
27,2020-03-03,119.19,116.8,122.33,117.96,811100
28,2020-03-02,114.73,112.72,120.05,120.01,951424
29,2020-02-28,111.51,110.69,115.37,114.49,1002411
30,2020-02-27,117.1,115.08,120.38,115.09,873344
31,2020-02-26,122.65,119.83,124.26,119.84,921700
32,2020-02-25,127.87,121.23,127.87,121.52,889900
33,2020-02-24,129.99,126.73,129.99,127.43,799824
34,2020-02-21,135.95,133.45,136.1,133.95,550000
35,2020-02-20,136.13,135.64,137.39,136.77,260300
36,2020-02-19,136.16,135.74,137.38,136.77,492600
37,2020-02-18,137.75,135.3,138.1,135.98,386300
38,2020-02-14,138.01,137.17,138.76,138.13,317524
39,2020-02-13,139.3,137.1,139.51,138.16,356248
40,2020-02-12,138.06,137.85,141.0,139.83,762520
41,2020-02-11,137.16,136.5,138.39,137.62,262600
42,2020-02-10,135.49,135.17,136.74,136.64,187007
43,2020-02-07,137.84,135.65,138.4,136.24,327228
44,2020-02-06,140.64,138.14,141.09,138.89,467905
45,2020-02-05,138.36,138.25,140.21,140.11,750842
46,2020-02-04,135.31,135.31,137.84,136.85,689500
47,2020-02-03,132.05,131.86,134.49,133.98,558739
48,2020-01-31,135.02,130.66,135.02,131.24,690700
49,2020-01-30,135.26,130.59,136.36,136.11,656213
50,2020-01-29,130.82,128.88,137.24,136.23,838700
51,2020-01-28,127.76,126.83,130.11,129.21,759200
52,2020-01-27,127.11,127.07,128.76,127.84,596300
53,2020-01-24,130.72,128.84,131.06,129.68,342616
54,2020-01-23,129.84,128.61,131.26,130.82,350500
55,2020-01-22,131.27,130.15,132.23,130.23,367700
56,2020-01-21,133.12,130.34,133.41,130.52,821644
57,2020-01-17,134.19,133.11,134.88,134.72,671400
58,2020-01-16,132.63,132.47,133.98,133.95,345200
59,2020-01-15,131.5,131.3,132.46,131.96,321500
60,2020-01-14,131.0,130.44,131.56,131.53,521524
61,2020-01-13,128.73,128.21,131.0,130.95,619500
62,2020-01-10,129.1,128.2,129.41,128.51,274641
63,2020-01-09,127.42,126.47,128.9,128.73,607125
64,2020-01-08,126.7,126.21,128.69,126.99,493102
65,2020-01-07,126.35,125.76,128.14,126.61,736972
66,2020-07-06,119.43,116.71,120.09,118.18,629400
