,date,open,low,high,close,volume
0,2020-01-06,120.99,120.49,121.75,120.75,766216
1,2020-01-03,120.44,120.44,122.12,120.98,869300
2,2020-01-02,123.0,119.58,123.16,120.2,1618900
3,2020-04-06,116.2,116.2,123.3,121.52,1224040
4,2020-04-03,118.39,112.6,118.8,113.32,1187700
5,2020-04-02,111.54,110.95,118.45,117.64,945140
6,2020-04-01,115.0,110.56,117.99,112.8,1355700
7,2020-03-31,124.92,117.19,126.5,119.56,2831789
8,2020-03-30,122.86,121.87,127.27,126.72,1584323
9,2020-03-27,116.77,115.0,125.03,120.77,1169921
10,2020-03-26,108.53,108.53,121.87,119.32,1634190
11,2020-03-25,103.77,101.35,114.27,110.45,1757000
12,2020-03-24,100.71,96.63,105.28,103.95,2167342
13,2020-03-23,100.38,92.0,100.38,97.07,2781023
14,2020-03-20,115.12,98.25,115.12,100.69,3441199
15,2020-03-19,129.0,114.06,130.26,115.12,2393331
16,2020-03-18,129.61,122.63,133.22,130.08,2661200
17,2020-03-17,121.33,120.5,140.29,138.5,2364400
18,2020-03-16,115.5,115.35,132.36,118.81,2367944
19,2020-03-13,121.36,116.54,128.33,128.29,1667010
20,2020-03-12,122.21,114.28,127.45,117.97,2494900
21,2020-03-11,135.35,128.28,136.63,129.67,2157227
22,2020-03-10,138.15,131.3,140.75,137.71,2185439
23,2020-03-09,133.15,132.65,139.78,137.19,2322250
24,2020-03-06,136.01,134.63,141.7,141.0,1492800
25,2020-03-05,138.52,136.7,140.49,139.36,1218411
26,2020-03-04,133.07,133.07,140.33,140.31,1528742
27,2020-03-03,131.22,130.6,134.75,131.42,1639241
28,2020-03-02,124.33,124.08,130.94,130.84,1860400
29,2020-02-28,124.11,120.62,125.8,123.66,3988848
30,2020-02-27,132.77,127.72,134.39,127.78,1277804
31,2020-02-26,132.95,132.59,134.93,133.04,1118600
32,2020-02-25,136.71,132.77,136.85,133.09,1056623
33,2020-02-24,136.85,135.95,137.75,136.53,1219400
34,2020-02-21,137.41,137.12,138.14,137.77,1222247
35,2020-02-20,138.32,136.5,138.67,137.3,1022410
36,2020-02-19,139.07,138.24,141.37,138.7,1288700
37,2020-02-18,140.34,139.26,140.57,139.26,1478406
38,2020-02-14,137.52,137.01,139.65,139.32,1091200
39,2020-02-13,135.7,135.55,137.23,136.95,814200
40,2020-02-12,134.52,134.5,136.11,135.7,996011
41,2020-02-11,135.53,135.1,135.99,135.34,746800
42,2020-02-10,134.71,134.45,135.55,135.21,1400027
43,2020-02-07,135.88,134.39,136.13,134.45,938211
44,2020-02-06,134.62,134.17,135.29,135.0,669042
45,2020-02-05,134.56,134.09,135.67,135.07,923332
46,2020-02-04,135.95,134.82,136.81,134.84,1193042
47,2020-02-03,136.33,136.15,136.95,136.52,1253809
48,2020-01-31,136.91,135.44,137.73,136.2,1300636
49,2020-01-30,135.82,135.6,137.12,136.77,922700
50,2020-01-29,136.0,135.28,136.41,136.04,608400
51,2020-01-28,135.53,135.07,136.39,135.8,904200
52,2020-01-27,136.0,134.93,136.83,135.25,703430
53,2020-01-24,135.29,135.2,136.41,135.78,813800
54,2020-01-23,134.03,133.81,135.53,135.29,933357
55,2020-01-22,133.8,133.27,134.81,134.05,1255023
56,2020-01-21,130.49,130.2,133.4,133.22,1666703
57,2020-01-17,128.83,128.81,130.59,130.44,1338428
58,2020-01-16,127.0,126.83,128.73,128.57,984228
59,2020-01-15,125.0,124.88,127.03,126.88,912644
60,2020-01-14,124.0,123.51,124.57,124.57,886141
61,2020-01-13,122.77,122.77,124.03,123.74,961800
62,2020-01-10,122.2,122.15,122.74,122.56,754706
63,2020-01-09,120.49,120.15,122.22,122.13,803600
64,2020-01-08,119.55,119.23,121.19,120.49,1096700
65,2020-01-07,120.43,119.91,120.97,120.0,841267
66,2020-07-06,132.63,130.35,133.92,131.04,552197
67,2020-07-02,131.15,130.6,132.16,131.06,731300
68,2020-07-01,128.45,128.45,131.13,130.62,766900
69,2020-06-30,125.47,125.47,129.43,128.66,1228713
70,2020-06-29,124.38,122.49,125.44,125.37,617720
71,2020-06-26,122.43,121.84,125.56,124.08,1789657
72,2020-06-25,124.4,120.67,124.4,122.22,707801
73,2020-06-24,124.34,123.1,125.2,124.4,1038024
74,2020-06-23,127.71,124.88,128.18,125.22,833000
75,2020-06-22,126.33,125.7,127.6,126.83,1127400
76,2020-06-19,131.06,126.36,131.13,126.36,1766000
77,2020-06-18,129.34,127.54,130.17,129.17,629218
78,2020-06-17,130.0,127.46,130.84,129.86,697741
79,2020-06-16,131.49,128.79,132.68,129.66,699817
80,2020-06-15,126.27,124.73,130.43,129.22,1212324
81,2020-06-12,129.65,125.81,129.78,127.29,901401
82,2020-06-11,129.61,126.75,130.86,127.5,1024922
83,2020-06-10,131.0,130.17,132.69,131.06,614700
84,2020-06-09,131.62,129.18,131.62,130.7,857232
85,2020-06-08,130.53,129.75,132.88,132.5,753332
86,2020-06-05,131.3,130.72,134.26,131.56,827400
87,2020-06-04,131.36,128.73,132.6,130.7,1113300
88,2020-06-03,130.28,129.53,132.56,132.35,1117200
89,2020-06-02,127.7,127.09,130.09,130.09,821957
90,2020-06-01,126.91,125.7,128.95,127.77,794223
91,2020-05-29,123.71,122.55,127.4,127.0,1516853
92,2020-05-28,122.25,122.07,124.59,123.72,947609
93,2020-05-27,122.04,118.05,122.27,120.54,876590
94,2020-05-26,122.65,120.18,123.8,120.74,873850
95,2020-05-22,120.16,119.3,121.03,120.71,445800
96,2020-05-21,121.0,120.06,121.94,120.62,685400
97,2020-05-20,121.28,120.19,122.07,120.6,683470
98,2020-05-19,122.11,120.11,123.09,120.17,756000
99,2020-05-18,120.59,119.68,123.26,122.51,931116
100,2020-05-15,115.65,114.56,118.78,117.76,3087046
101,2020-05-14,115.89,112.5,116.85,116.27,1039100
102,2020-05-13,116.99,115.09,116.99,116.51,1194724
103,2020-05-12,119.61,117.05,119.98,117.07,908114
104,2020-05-11,117.02,115.55,119.82,119.49,1091117
105,2020-05-08,119.17,117.52,120.31,118.03,1068669
106,2020-05-07,120.63,118.39,123.52,119.08,1119049
107,2020-05-06,123.78,117.53,124.17,117.78,1128400
108,2020-05-05,121.19,121.19,124.68,123.43,784022
109,2020-05-04,119.16,118.3,121.79,121.46,720100
110,2020-05-01,120.59,118.56,120.76,119.2,821160
111,2020-04-30,125.0,120.1,125.6,121.69,1174800
112,2020-04-29,127.67,123.74,127.81,125.72,934713
113,2020-04-28,127.76,125.88,128.0,126.52,929400
114,2020-04-27,126.0,125.03,126.48,125.75,1476200
115,2020-04-24,126.25,124.42,126.81,125.01,1010900
116,2020-04-23,127.25,124.53,129.19,124.68,946644
117,2020-04-22,127.92,126.59,129.8,127.89,739900
118,2020-04-21,125.2,123.78,127.6,125.43,1075400
119,2020-04-20,131.75,125.87,132.43,126.46,773341
120,2020-04-17,132.68,128.56,133.0,131.76,1189451
121,2020-04-16,131.87,129.59,132.74,131.24,915685
122,2020-04-15,131.39,128.92,132.77,129.21,922900
123,2020-04-14,131.1,129.51,133.72,133.61,904400
124,2020-04-13,129.79,125.41,130.48,127.24,764900
125,2020-04-09,126.38,125.6,132.87,131.75,1177300
126,2020-04-08,119.26,117.65,126.33,125.35,953026
127,2020-04-07,124.0,116.82,124.95,118.27,1261413
128,2020-10-05,149.25,148.59,152.16,151.89,707035
129,2020-10-02,147.52,146.87,149.97,148.96,751224
130,2020-10-01,145.56,145.44,148.86,148.57,1478200
131,2020-09-30,144.63,144.14,146.28,144.88,1099637
132,2020-09-29,144.75,142.88,145.1,143.7,565233
133,2020-09-28,144.47,143.65,146.06,144.55,599200
