,date,open,low,high,close,volume
0,2020-01-06,74.12,68.09,74.49,68.75,1732581
1,2020-01-03,72.3,68.68,75.57,73.93,2187937
2,2020-01-02,74.02,73.34,76.62,76.56,847439
3,2020-04-06,64.56,63.76,68.65,68.0,773140
4,2020-04-03,61.99,60.55,62.42,61.51,557719
5,2020-04-02,64.99,61.23,67.29,62.64,508238
6,2020-04-01,67.58,63.7,69.67,64.72,690315
7,2020-03-31,69.03,67.96,72.72,70.77,1286102
8,2020-03-30,74.3,69.1,76.36,69.46,1103102
9,2020-03-27,73.08,71.87,77.23,74.41,824633
10,2020-03-26,72.64,72.31,77.86,76.52,745939
11,2020-03-25,69.84,66.59,74.09,71.15,803496
12,2020-03-24,66.66,66.5,70.96,69.83,824578
13,2020-03-23,60.53,58.06,65.01,63.41,840989
14,2020-03-20,62.15,59.8,65.22,60.78,1270681
15,2020-03-19,52.89,52.24,64.25,62.01,1219173
16,2020-03-18,53.2,50.05,55.87,52.61,935742
17,2020-03-17,54.42,51.3,57.38,57.15,993412
18,2020-03-16,54.32,52.76,58.65,53.92,1015190
19,2020-03-13,60.33,54.7,62.79,62.43,996818
20,2020-03-12,54.19,51.86,59.98,56.72,1225882
21,2020-03-11,64.88,59.6,66.36,60.47,1165835
22,2020-03-10,69.02,63.6,69.02,67.11,776214
23,2020-03-09,69.17,62.66,70.52,66.11,1024385
24,2020-03-06,72.46,71.55,75.64,74.44,814341
25,2020-03-05,78.24,73.85,79.64,75.17,817138
26,2020-03-04,79.8,78.28,81.27,80.66,760560
27,2020-03-03,82.7,77.27,83.48,78.1,941065
28,2020-03-02,77.93,75.75,82.68,82.34,1405525
29,2020-02-28,72.0,71.0,78.11,77.37,1852697
30,2020-02-27,77.9,74.21,80.82,77.12,1038982
31,2020-02-26,79.6,79.49,82.86,80.4,675376
32,2020-02-25,82.82,79.14,84.22,79.51,765986
33,2020-02-24,79.74,77.95,84.81,82.41,945357
34,2020-02-21,86.74,84.61,87.09,85.99,469035
35,2020-02-20,86.15,82.33,87.89,86.46,886768
36,2020-02-19,87.88,87.46,90.1,88.9,549516
37,2020-02-18,87.22,86.12,87.73,87.31,446781
38,2020-02-14,87.86,86.7,88.44,87.11,592228
39,2020-02-13,87.53,87.23,89.16,87.74,547707
40,2020-02-12,87.77,86.44,88.23,87.98,642472
41,2020-02-11,86.04,84.89,87.51,87.14,531919
42,2020-02-10,82.88,82.78,85.73,85.44,648533
43,2020-02-07,83.36,81.67,83.85,82.85,309458
44,2020-02-06,82.22,81.25,83.9,83.53,494711
45,2020-02-05,83.23,79.77,83.63,81.81,614271
46,2020-02-04,78.99,78.69,82.49,81.79,717268
47,2020-02-03,77.37,76.5,78.29,77.59,511355
48,2020-01-31,78.16,76.38,78.61,76.81,537693
49,2020-01-30,79.2,77.14,80.04,78.34,332151
