,date,open,low,high,close,volume
0,2020-01-06,123.37,123.12,124.16,124.06,2855280
1,2020-01-03,124.32,123.94,125.1,124.6,2090689
2,2020-01-02,124.66,124.23,126.27,125.85,2708000
3,2020-04-06,80.22,78.74,84.25,83.87,11253027
4,2020-04-03,76.0,72.61,76.66,73.6,10023100
5,2020-04-02,77.06,75.83,79.12,76.66,8338115
6,2020-04-01,80.65,77.0,81.31,77.84,8313414
7,2020-03-31,89.94,85.07,90.9,85.61,6076864
8,2020-03-30,88.51,85.27,91.39,90.27,5565000
9,2020-03-27,87.94,85.82,91.97,88.73,7000135
10,2020-03-26,92.24,90.84,99.69,93.29,9461911
11,2020-03-25,87.61,85.32,96.46,90.17,11046500
12,2020-03-24,73.51,71.7,84.77,84.05,10593900
13,2020-03-23,72.82,68.12,75.42,68.96,8907637
14,2020-03-20,78.98,72.56,82.44,74.12,12208600
15,2020-03-19,72.54,69.79,77.89,77.07,12330400
16,2020-03-18,80.02,67.0,81.52,73.75,14359300
17,2020-03-17,87.61,83.22,88.94,86.58,10512212
18,2020-03-16,82.44,80.37,93.18,85.87,15072429
19,2020-03-13,90.38,84.3,100.08,99.6,12680441
20,2020-03-12,87.66,81.81,89.61,83.53,12206638
21,2020-03-11,100.3,93.87,100.96,95.38,8823339
22,2020-03-10,101.93,97.45,103.37,103.3,9793200
23,2020-03-09,100.87,96.94,101.44,98.29,12266300
24,2020-03-06,105.73,103.79,108.77,108.24,9897802
25,2020-03-05,111.62,109.7,112.59,110.94,12060600
26,2020-03-04,110.25,109.25,115.79,115.7,7470920
27,2020-03-03,115.02,107.0,116.4,108.01,9285025
28,2020-03-02,111.11,108.59,113.99,113.87,9851607
29,2020-02-28,109.05,107.0,111.03,109.93,11363607
30,2020-02-27,115.9,112.78,117.48,112.81,8279823
31,2020-02-26,121.27,118.47,122.43,118.5,5269710
32,2020-02-25,127.71,119.91,127.99,120.9,7628112
33,2020-02-24,129.43,127.23,130.96,128.19,6329300
34,2020-02-21,136.2,133.89,136.27,134.9,3106406
35,2020-02-20,136.41,134.9,138.04,136.58,2541728
36,2020-02-19,136.3,136.12,137.42,136.93,1785417
37,2020-02-18,135.87,134.94,136.75,135.6,2428250
38,2020-02-14,134.71,134.53,136.37,135.87,2360549
39,2020-02-13,133.15,133.06,134.67,134.46,3178514
40,2020-02-12,133.39,132.53,133.72,133.24,1715434
41,2020-02-11,133.03,132.32,133.65,132.63,1733538
42,2020-02-10,131.61,131.35,132.5,132.24,1816500
43,2020-02-07,132.57,131.34,132.75,131.82,2885600
44,2020-02-06,134.16,133.11,134.35,133.25,1708611
45,2020-02-05,133.43,131.29,133.8,133.6,4084500
46,2020-02-04,132.88,131.72,133.34,131.85,2547518
47,2020-02-03,130.55,130.45,132.22,131.0,2721912
48,2020-01-31,132.17,129.38,132.25,129.87,3522773
49,2020-01-30,130.75,130.44,133.33,133.22,2428584
50,2020-01-29,132.48,131.44,133.13,131.68,2518612
51,2020-01-28,132.0,131.14,133.87,132.45,3713052
52,2020-01-27,131.15,128.87,131.98,130.64,6432400
53,2020-01-24,136.36,133.85,138.13,135.11,8612529
54,2020-01-23,131.26,130.14,131.57,131.37,3841000
55,2020-01-22,130.93,130.93,132.27,131.49,2484078
56,2020-01-21,131.11,130.39,131.82,130.53,3102769
57,2020-01-17,131.45,130.79,131.86,131.52,3659734
58,2020-01-16,130.5,129.71,130.93,130.55,2424850
59,2020-01-15,128.69,128.45,129.84,129.82,3187200
60,2020-01-14,128.62,128.34,130.09,128.8,3836948
61,2020-01-13,127.84,127.63,128.95,128.54,3285752
62,2020-01-10,127.58,126.92,128.17,127.28,2790286
63,2020-01-09,126.49,126.39,127.88,127.81,2788834
64,2020-01-08,124.05,123.8,126.36,125.54,3460175
65,2020-01-07,123.47,123.36,124.4,123.41,2045027
66,2020-07-06,96.51,95.84,97.9,96.58,4059607
67,2020-07-02,96.77,93.85,97.29,94.33,4239747
68,2020-07-01,95.25,93.64,96.96,94.05,3301022
69,2020-06-30,94.16,93.57,95.6,95.2,4367100
70,2020-06-29,94.44,93.34,95.41,94.52,4962408
71,2020-06-26,95.93,92.45,96.3,93.42,10489400
72,2020-06-25,94.61,93.76,98.12,97.85,5195400
73,2020-06-24,97.65,95.0,98.27,95.48,5958300
74,2020-06-23,100.94,99.25,101.65,99.42,4364800
75,2020-06-22,98.0,97.95,100.5,99.44,4799900
76,2020-06-19,104.23,99.32,104.23,100.94,7589500
77,2020-06-18,102.14,101.27,103.49,102.16,3645733
78,2020-06-17,105.67,103.83,106.12,103.96,4408202
79,2020-06-16,109.02,102.86,109.06,105.62,6710620
80,2020-06-15,100.0,97.62,104.74,103.95,6478926
81,2020-06-12,103.21,98.08,103.5,101.68,7251105
82,2020-06-11,100.87,98.13,102.99,98.6,8601200
83,2020-06-10,110.0,105.96,110.33,106.16,5747400
84,2020-06-09,110.08,108.67,111.8,110.46,5517423
85,2020-06-08,111.91,110.64,113.71,113.67,6795230
86,2020-06-05,114.11,108.07,115.93,109.73,10097634
87,2020-06-04,103.47,103.23,107.43,106.54,5841610
88,2020-06-03,102.78,101.63,105.87,105.4,7301046
89,2020-06-02,98.6,98.17,100.49,99.07,5433811
90,2020-06-01,95.56,94.56,98.07,96.75,4272832
91,2020-05-29,95.5,94.66,97.11,95.07,7711888
92,2020-05-28,101.54,98.01,102.46,98.06,9271708
93,2020-05-27,100.0,96.8,101.69,101.23,11007700
94,2020-05-26,93.94,92.89,95.57,94.32,6559400
95,2020-05-22,89.71,88.21,89.95,89.33,3734517
96,2020-05-21,90.11,89.12,91.43,89.83,6241900
97,2020-05-20,89.18,88.77,91.34,90.73,5218515
98,2020-05-19,88.42,86.61,89.84,87.26,4920630
99,2020-05-18,86.72,85.92,89.0,88.41,7787399
100,2020-05-15,82.47,81.22,83.39,82.22,6618627
101,2020-05-14,76.92,76.0,83.9,83.81,10625116
102,2020-05-13,82.0,77.4,82.13,78.03,10681603
103,2020-05-12,86.1,83.1,87.26,83.14,5504900
104,2020-05-11,87.5,85.3,87.65,85.33,5917627
105,2020-05-08,88.5,87.55,89.66,89.5,3917177
106,2020-05-07,85.3,84.93,87.37,86.73,4629415
107,2020-05-06,87.49,83.86,87.76,84.0,4723400
108,2020-05-05,88.0,86.36,88.73,86.74,4410300
109,2020-05-04,86.09,85.02,87.37,86.38,4875440
110,2020-05-01,88.1,87.16,89.07,88.32,4620200
111,2020-04-30,93.75,91.17,94.31,91.25,6553700
112,2020-04-29,91.75,90.89,96.39,96.12,9396537
113,2020-04-28,87.56,86.21,88.96,88.19,7165900
114,2020-04-27,83.47,82.34,85.15,85.06,7785036
115,2020-04-24,84.13,81.31,84.78,83.17,9126723
116,2020-04-23,83.24,81.71,84.78,82.46,5807217
117,2020-04-22,83.6,81.97,83.66,82.54,5133476
118,2020-04-21,80.73,79.47,82.46,81.52,7360300
119,2020-04-20,84.59,82.69,85.27,84.01,6140419
120,2020-04-17,85.32,84.28,87.39,87.39,8269000
121,2020-04-16,83.79,80.33,83.94,81.35,7526616
122,2020-04-15,83.43,80.68,85.4,83.79,10415600
123,2020-04-14,91.46,85.91,92.5,88.39,8703213
124,2020-04-13,93.29,87.94,93.42,90.33,5037700
125,2020-04-09,94.59,93.46,97.85,94.82,6904961
126,2020-04-08,89.21,88.12,93.0,92.08,6122800
127,2020-04-07,91.43,87.42,93.3,87.58,8698551
128,2020-10-05,103.33,102.27,104.08,103.89,2863463
129,2020-10-02,99.78,98.63,103.14,101.61,3783618
130,2020-10-01,100.33,99.37,101.48,101.33,4179300
131,2020-09-30,98.23,98.23,101.52,100.25,5060944
132,2020-09-29,98.74,97.23,99.35,97.75,3200685
133,2020-09-28,99.0,98.63,99.73,98.82,3931088
134,2020-09-25,94.68,94.46,96.85,96.26,2775850
135,2020-09-24,95.34,93.71,96.9,95.45,4249018
136,2020-09-23,95.76,95.09,97.1,95.56,9427242
137,2020-09-22,98.01,96.41,99.78,98.48,4884443
138,2020-09-21,100.6,96.22,100.63,98.17,8340195
139,2020-09-18,104.46,103.31,106.12,103.44,6630300
140,2020-09-17,104.27,103.32,105.35,104.66,3215625
141,2020-09-16,106.73,104.69,107.49,105.98,5799110
142,2020-09-15,107.84,106.24,108.12,106.68,3371640
143,2020-09-14,104.65,104.22,107.69,107.27,3620420
144,2020-09-11,102.91,102.01,103.85,103.36,2604824
145,2020-09-10,104.19,102.31,105.11,102.77,3289041
146,2020-09-09,104.57,102.69,104.71,103.78,2474721
147,2020-09-08,104.42,103.3,105.08,103.67,4517032
148,2020-09-04,106.35,104.48,108.28,105.67,5235348
149,2020-09-03,104.97,103.85,109.03,104.46,6747900
150,2020-09-02,102.58,102.29,104.87,104.4,3536900
151,2020-09-01,100.54,100.16,102.78,102.47,3143403
152,2020-08-31,102.9,101.36,102.9,101.59,4665800
153,2020-08-28,102.15,100.74,102.9,102.54,4382900
154,2020-08-27,98.76,98.53,102.14,101.53,3992187
155,2020-08-26,98.56,97.81,99.14,98.4,2936500
156,2020-08-25,100.62,98.03,100.79,99.05,2946625
157,2020-08-24,96.68,96.39,99.37,99.33,4141100
158,2020-08-21,96.49,95.96,97.65,96.15,2845431
159,2020-08-20,95.74,95.68,97.58,96.72,3102500
160,2020-08-19,96.82,95.89,97.91,96.89,3079639
161,2020-08-18,98.19,96.47,98.83,96.67,3337580
162,2020-08-17,99.92,97.44,100.0,97.55,7488517
163,2020-08-14,99.66,99.27,101.29,100.41,1956500
164,2020-08-13,100.53,99.5,101.83,100.42,3265769
165,2020-08-12,104.76,100.68,104.8,101.68,3408210
166,2020-08-11,103.99,102.96,105.7,103.26,4744256
167,2020-08-10,99.49,99.26,102.65,101.62,5254800
168,2020-08-07,95.29,94.95,99.3,99.16,4690730
169,2020-08-06,95.18,94.48,96.27,95.92,2698800
170,2020-08-05,93.82,93.81,95.58,95.39,2852335
171,2020-08-04,93.49,92.49,93.8,93.19,2415124
172,2020-08-03,93.31,92.44,94.4,93.54,2869843
173,2020-07-31,94.31,92.23,94.45,93.32,4088793
174,2020-07-30,94.68,92.5,94.78,94.65,3856300
175,2020-07-29,94.71,94.44,96.75,96.69,2791954
176,2020-07-28,95.76,94.18,96.29,94.42,3567652
177,2020-07-27,94.64,93.64,95.98,95.79,3501828
178,2020-07-24,95.3,93.3,97.15,95.33,4790446
179,2020-07-23,95.51,95.51,97.78,96.67,4239812
180,2020-07-22,95.81,95.38,97.41,96.54,4360503
181,2020-07-21,95.25,94.73,97.46,96.33,4227530
182,2020-07-20,94.8,93.58,95.36,94.0,3560385
183,2020-07-17,96.35,95.01,96.53,95.18,2873784
184,2020-07-16,96.5,95.67,97.79,96.32,2666018
185,2020-07-15,96.66,96.39,97.78,97.36,5405620
186,2020-07-14,93.19,92.29,95.22,94.84,4044400
187,2020-07-13,94.24,92.78,95.76,93.56,4819700
188,2020-07-10,90.32,89.82,93.31,93.23,4400900
189,2020-07-09,92.51,89.58,93.21,90.57,4484524
190,2020-07-08,91.97,90.71,93.1,92.9,6382100
191,2020-07-07,95.44,92.63,95.52,93.01,5564231
192,2021-01-04,121.3,116.85,121.8,118.04,3472122
193,2020-12-31,119.71,119.16,121.06,120.91,1747820
194,2020-12-30,118.25,118.15,119.95,119.43,1954220
195,2020-12-29,119.24,118.0,119.35,118.14,1860400
196,2020-12-28,118.05,117.6,119.35,118.36,1878730
197,2020-12-24,116.93,115.82,117.44,117.35,707000
198,2020-12-23,115.78,115.78,118.19,116.95,2725210
199,2020-12-22,116.19,114.38,116.26,114.55,3634384
200,2020-12-21,115.77,113.72,118.0,116.41,4528300
201,2020-12-18,118.59,116.65,119.36,117.51,8394103
202,2020-12-17,119.41,118.46,119.67,118.98,3747029
203,2020-12-16,118.93,118.28,119.59,119.0,2943758
204,2020-12-15,118.79,115.56,119.31,119.1,4529332
205,2020-12-14,121.73,116.65,121.79,117.36,5336327
206,2020-12-11,120.11,118.84,120.5,120.23,2942800
207,2020-12-10,120.72,119.7,122.13,121.84,2818840
208,2020-12-09,123.28,121.01,123.96,121.69,3622849
209,2020-12-08,122.47,122.02,124.55,123.52,3623321
210,2020-12-07,124.51,122.63,124.87,123.94,4253700
211,2020-12-04,124.35,123.85,125.32,125.04,5048606
212,2020-12-03,122.85,122.12,123.95,123.12,4285438
213,2020-12-02,119.28,118.9,122.85,122.33,3271937
214,2020-12-01,120.32,119.85,122.57,119.93,3584437
215,2020-11-30,120.03,118.0,121.48,118.59,3517700
216,2020-11-27,120.53,119.79,121.69,120.59,2447715
217,2020-11-25,119.5,118.25,120.98,120.58,4646612
218,2020-11-24,119.0,117.89,120.84,120.39,6169168
219,2020-11-23,114.24,113.72,116.78,116.09,3024092
220,2020-11-20,113.74,111.9,114.54,112.58,3702955
221,2020-11-19,113.78,112.53,114.8,114.14,3249828
222,2020-11-18,116.94,114.19,118.76,114.24,3264300
223,2020-11-17,116.97,114.14,117.79,116.48,4023241
224,2020-11-16,119.1,116.75,120.39,118.67,5339100
225,2020-11-13,112.34,112.21,115.64,114.99,4812925
226,2020-11-12,109.82,109.55,112.12,111.1,4942909
227,2020-11-11,115.93,110.3,116.0,111.12,5642700
228,2020-11-10,118.59,115.12,119.89,115.95,7056800
229,2020-11-09,110.54,110.19,119.81,117.37,17261700
230,2020-11-06,98.52,96.27,98.64,96.69,3126557
231,2020-11-05,97.21,96.84,98.32,98.11,4197300
232,2020-11-04,94.0,92.86,97.82,96.4,4545528
233,2020-11-03,94.75,94.4,96.85,96.29,4004301
234,2020-11-02,92.96,92.27,94.13,93.4,3573259
235,2020-10-30,90.8,89.11,91.32,91.24,4736471
236,2020-10-29,91.41,90.13,92.23,91.07,5419500
237,2020-10-28,91.96,91.0,93.57,91.6,7037800
238,2020-10-27,97.62,94.9,97.7,94.93,3780300
239,2020-10-26,99.77,95.78,100.1,96.88,5731514
240,2020-10-23,100.63,100.0,103.64,100.98,8921228
241,2020-10-22,101.7,101.57,104.86,104.79,3748804
242,2020-10-21,103.17,101.36,103.39,101.43,2588400
243,2020-10-20,102.94,102.83,104.61,103.14,2955074
244,2020-10-19,105.13,102.25,105.22,102.47,3196787
245,2020-10-16,104.65,104.2,105.68,104.91,2394339
246,2020-10-15,103.44,103.02,104.89,104.43,2699337
247,2020-10-14,105.38,104.76,106.27,104.81,2826595
248,2020-10-13,105.89,104.76,106.59,105.01,2602606
249,2020-10-12,106.46,106.0,107.01,106.61,2626756
250,2020-10-09,105.99,105.24,107.21,106.34,3511300
251,2020-10-08,104.33,104.06,106.14,106.06,2922912
252,2020-10-07,102.81,102.39,104.15,103.38,3048720
253,2020-10-06,105.01,101.32,105.29,101.76,3309200
254,2021-04-05,146.91,145.61,147.48,146.06,2960100
255,2021-04-01,142.34,142.21,144.63,144.57,2629367
256,2021-03-31,142.98,141.35,143.26,141.44,2957303
257,2021-03-30,142.9,142.61,144.48,143.49,2034531
258,2021-03-29,141.98,140.31,143.07,142.37,2220600
259,2021-03-26,143.74,141.05,143.98,143.73,2687546
260,2021-03-25,137.95,136.76,142.53,142.28,2766588
261,2021-03-24,137.97,137.61,140.04,138.42,2638925
262,2021-03-23,138.94,135.13,139.5,136.08,4905400
263,2021-03-22,139.49,138.81,140.99,139.95,2274141
264,2021-03-19,141.9,139.74,141.94,140.71,5098313
265,2021-03-18,145.49,142.07,145.5,142.58,3173793
266,2021-03-17,144.76,141.9,144.82,144.68,3278500
267,2021-03-16,147.25,142.82,147.26,143.3,4031004
268,2021-03-15,148.04,146.03,148.92,146.99,2587554
269,2021-03-12,149.1,148.02,150.64,148.54,2420100
270,2021-03-11,146.0,145.13,147.82,147.75,3147700
