,date,open,low,high,close,volume
0,2020-01-06,1167.01,1147.14,1177.74,1165.71,301824
1,2020-01-03,1175.74,1175.74,1190.305,1187.98,191740
2,2020-01-02,1194.86,1179.61,1197.58,1189.74,214068
3,2020-04-06,829.85,811.01,892.35,875.1,628558
4,2020-04-03,783.49,764.44,793.98,790.56,363562
5,2020-04-02,776.86,757.1842,797.13,794.65,360543
6,2020-04-01,809.78,774.91,834.18,776.86,417239
7,2020-03-31,861.07,835.36,878.03,846.0,511651
8,2020-03-30,834.9,832.92,883.64,873.99,267770
9,2020-03-27,852.27,827.5,882.1252,851.63,253717
10,2020-03-26,870.18,857.03,895.42,884.99,364701
11,2020-03-25,821.36,805.24,884.06,844.43,362684
12,2020-03-24,755.64,751.85,824.99,808.43,419301
13,2020-03-23,711.65,684.91,741.865,723.22,438422
14,2020-03-20,830.25,720.88,831.65,728.13,486964
15,2020-03-19,799.47,730.0,834.78,827.29,464708
16,2020-03-18,867.0,756.03,873.7543,808.5,425586
17,2020-03-17,870.51,846.68,927.02,913.92,441858
18,2020-03-16,910.0,840.91,945.15,851.33,435148
19,2020-03-13,1020.66,939.635,1020.66,1012.73,462038
20,2020-03-12,1040.13,976.9,1045.8,978.19,426573
21,2020-03-11,1133.47,1073.13,1133.47,1089.03,427704
22,2020-03-10,1137.58,1112.4,1166.205,1148.3,618413
23,2020-03-09,1013.58,1011.77,1126.0,1113.69,579098
24,2020-03-06,1008.5,1002.03,1066.71,1060.31,377549
25,2020-03-05,1037.72,1006.62,1043.25,1029.87,349369
26,2020-03-04,1040.0,1008.67,1063.25,1058.24,503496
27,2020-03-03,1003.99,997.89,1082.3,1024.71,834804
28,2020-03-02,1042.0,1013.34,1051.29,1046.89,491136
29,2020-02-28,983.09,977.06,1037.05,1032.51,600272
30,2020-02-27,998.9,994.5458,1033.5,1004.98,327155
31,2020-02-26,1039.54,1010.77,1045.2689,1014.06,296897
32,2020-02-25,1059.73,1031.38,1063.34,1032.69,309025
33,2020-02-24,1051.9,1043.0,1062.99,1056.64,336332
34,2020-02-21,1077.17,1062.6533,1082.4136,1068.03,216612
35,2020-02-20,1065.49,1065.49,1085.85,1082.52,219772
36,2020-02-19,1074.91,1066.06,1077.0,1066.79,167191
37,2020-02-18,1075.0,1066.36,1079.32,1073.85,249436
38,2020-02-14,1068.24,1047.425,1073.58,1053.21,199659
39,2020-02-13,1057.69,1057.69,1071.85,1066.55,241221
40,2020-02-12,1054.64,1048.09,1066.4,1063.57,191069
41,2020-02-11,1052.37,1048.51,1056.2,1051.22,166157
42,2020-02-10,1061.24,1052.29,1066.65,1053.72,193307
43,2020-02-07,1057.06,1047.865,1066.79,1058.91,219322
44,2020-02-06,1075.26,1061.69,1081.84,1062.31,279579
45,2020-02-05,1056.34,1050.735,1077.02,1073.25,303297
46,2020-02-04,1058.16,1042.92,1063.96,1050.21,281299
47,2020-02-03,1062.13,1050.17,1069.32,1050.45,263993
48,2020-01-31,1080.92,1056.11,1094.53,1057.96,312972
49,2020-01-30,1089.75,1079.915,1092.625,1086.58,328188
50,2020-01-29,1108.2,1096.08,1118.23,1096.51,182284
51,2020-01-28,1116.63,1104.13,1119.0,1107.58,208502
52,2020-01-27,1123.22,1112.695,1127.66,1114.49,213552
53,2020-01-24,1166.35,1136.78,1167.16,1140.23,253324
54,2020-01-23,1151.56,1149.0,1168.3,1166.0,251774
55,2020-01-22,1155.77,1146.09,1162.89,1157.33,228321
