,date,open,low,high,close,volume
0,2020-01-06,329.3,327.88,334.86,333.74,5442051
1,2020-01-03,330.63,330.3,334.89,332.76,3934670
2,2020-01-02,328.55,327.7,333.35,333.32,4602311
3,2020-04-06,133.7,129.21,149.69,148.77,51483126
4,2020-04-03,125.0,122.5,131.29,124.52,37510462
5,2020-04-02,128.51,120.0204,136.68,123.27,42634173
6,2020-04-01,138.91,130.0,144.38,130.7,42302130
7,2020-03-31,155.0,149.0,160.64,149.14,30098438
8,2020-03-30,153.81,140.68,153.81,152.28,51418541
9,2020-03-27,172.0,155.5401,172.92,162.0,48290194
10,2020-03-26,172.29,167.18,186.48,180.55,63986951
11,2020-03-25,154.9,141.0,174.77,158.73,78882332
12,2020-03-24,123.68,116.13,127.96,127.68,44296978
13,2020-03-23,98.75,93.56,114.49,105.62,46515994
14,2020-03-20,99.85,94.28,107.0,95.01,42320248
15,2020-03-19,98.8,90.35,103.57,97.71,40556917
16,2020-03-18,99.86,89.0,107.85,101.89,62725201
17,2020-03-17,132.51,101.25,134.96,124.14,54761655
18,2020-03-16,149.42,128.76,151.0,129.61,26859433
19,2020-03-13,174.97,161.3755,178.28,170.2,21524439
20,2020-03-12,160.53,154.813,189.85,154.84,32271016
21,2020-03-11,222.99,187.0,226.99,189.08,28674800
22,2020-03-10,237.0,215.0,237.83,231.01,13214010
23,2020-03-09,238.0035,224.37,241.48,227.17,11796584
24,2020-03-06,253.7,249.8,264.29,262.33,13093555
25,2020-03-05,275.79,259.65,276.31,260.37,14758015
26,2020-03-04,284.55,277.01,285.91,283.12,7058285
27,2020-03-03,292.0,278.08,297.44,280.62,7617325
28,2020-03-02,279.54,274.29,291.7099,289.27,11138498
29,2020-02-28,278.07,269.6,282.86,275.11,15245374
30,2020-02-27,300.37,284.29,301.0,287.76,11119812
31,2020-02-26,307.0,304.06,315.22,305.59,7083779
32,2020-02-25,318.26,303.63,320.64,304.14,8120866
33,2020-02-24,320.0,316.33,321.74,317.9,6253918
34,2020-02-21,334.05,330.23,334.6599,330.38,3847620
35,2020-02-20,338.29,335.39,341.24,336.28,2837408
36,2020-02-19,338.12,335.861,341.4742,338.3,4971638
37,2020-02-18,338.77,336.1,339.99,338.88,2963402
38,2020-02-14,342.3,338.0,344.5,340.49,4232503
39,2020-02-13,344.32,342.63,347.89,342.82,3833873
40,2020-02-12,346.42,345.85,349.95,347.45,4488685
41,2020-02-11,347.64,342.1,348.0745,344.42,5391518
42,2020-02-10,337.22,336.3201,345.94,344.67,5923928
