,date,open,low,high,close,volume
0,2020-01-06,34.41,34.37,34.9,34.85,42233299
1,2020-01-03,34.98,34.76,35.15,34.9,50763659
2,2020-01-02,35.35,35.29,35.66,35.64,37643855
3,2020-04-06,21.03,20.81,21.6,21.39,97766200
4,2020-04-03,20.4,19.68,20.74,20.03,68293500
5,2020-04-02,19.65,19.59,20.79,20.57,70007400
6,2020-04-01,19.93,19.51,20.35,19.77,83961300
7,2020-03-31,21.82,20.96,22.49,21.23,95213702
8,2020-03-30,21.65,21.27,22.35,22.04,80449107
9,2020-03-27,21.68,21.1,22.2,21.6,91522847
10,2020-03-26,21.31,21.17,22.95,22.72,116271076
11,2020-03-25,21.71,20.41,22.1,21.1,146991300
12,2020-03-24,19.42,19.01,21.15,21.03,147882436
13,2020-03-23,19.26,17.95,19.67,18.08,181898500
14,2020-03-20,21.76,19.56,21.84,19.67,150910446
15,2020-03-19,20.26,19.0,21.75,21.2,122461306
16,2020-03-18,20.27,19.7,20.97,20.79,148272500
17,2020-03-17,21.06,20.03,22.69,21.98,120065734
18,2020-03-16,19.85,19.58,21.73,20.44,121688800
19,2020-03-13,22.19,21.48,24.25,24.16,128357432
20,2020-03-12,20.59,20.15,22.87,20.51,139552600
21,2020-03-11,22.84,22.26,23.96,22.67,127543845
22,2020-03-10,23.25,21.59,23.68,23.61,134863600
23,2020-03-09,22.23,21.51,23.49,21.93,145196000
24,2020-03-06,25.47,25.1,26.21,25.71,119121241
25,2020-03-05,27.24,26.4,27.35,26.78,110878735
26,2020-03-04,28.25,27.4,28.42,28.39,111239800
27,2020-03-03,29.37,27.62,29.75,27.75,138698500
28,2020-03-02,28.35,27.44,29.38,29.37,147776301
29,2020-02-28,28.0,27.7,28.75,28.5,171263573
30,2020-02-27,29.55,28.91,30.3,29.13,121148300
31,2020-02-26,31.39,30.56,31.6,30.63,80065690
32,2020-02-25,32.69,30.84,32.76,31.08,91586817
33,2020-02-24,33.18,32.52,33.21,32.73,79159600
34,2020-02-21,34.53,34.14,34.64,34.36,46675500
35,2020-02-20,34.46,34.46,35.08,34.85,42604100
36,2020-02-19,34.45,34.41,34.85,34.72,29632112
37,2020-02-18,34.77,34.01,34.83,34.27,40327241
38,2020-02-14,34.88,34.7,34.96,34.85,26447711
39,2020-02-13,34.76,34.55,35.03,34.91,31775115
40,2020-02-12,35.08,34.78,35.45,34.92,36656700
41,2020-02-11,34.85,34.76,35.04,34.77,32476329
42,2020-02-10,34.44,34.38,34.69,34.69,24373800
43,2020-02-07,34.32,34.24,34.66,34.61,31263034
44,2020-02-06,34.94,34.6,35.01,34.67,39511500
45,2020-02-05,34.1,34.07,34.81,34.71,54604800
46,2020-02-04,33.56,33.53,33.9,33.62,45061600
47,2020-02-03,33.0,32.92,33.4,32.97,48508200
48,2020-01-31,33.07,32.65,33.17,32.83,54845300
49,2020-01-30,32.7,32.67,33.52,33.48,50542800
50,2020-01-29,33.33,32.98,33.44,33.01,37428275
51,2020-01-28,33.02,32.95,33.49,33.24,38834600
52,2020-01-27,32.57,32.47,33.13,32.85,57096200
53,2020-01-24,34.12,33.27,34.14,33.54,47797206
54,2020-01-23,34.09,33.73,34.26,34.12,45717148
55,2020-01-22,34.37,34.23,34.45,34.36,38879700
56,2020-01-21,34.42,34.22,34.52,34.26,50811010
57,2020-01-17,34.92,34.6,34.95,34.71,54156100
58,2020-01-16,34.9,34.6,34.99,34.72,50368507
59,2020-01-15,34.77,34.34,34.79,34.67,74745500
60,2020-01-14,35.3,35.11,35.67,35.32,66786220
61,2020-01-13,34.84,34.66,35.07,35.06,38015943
62,2020-01-10,35.0,34.66,35.07,34.74,39740673
63,2020-01-09,35.3,34.94,35.33,35.03,39882756
64,2020-01-08,34.57,34.55,35.19,34.97,45336656
65,2020-01-07,34.7,34.53,34.92,34.62,34348581
66,2020-07-06,23.82,23.46,24.08,23.66,59589043
67,2020-07-02,23.84,23.22,23.99,23.29,56000200
68,2020-07-01,24.03,23.23,24.07,23.26,57379923
69,2020-06-30,23.2,23.1,23.91,23.75,61716200
70,2020-06-29,23.41,23.1,23.84,23.39,66269230
71,2020-06-26,24.09,23.02,24.11,23.15,118139200
72,2020-06-25,23.7,23.55,24.77,24.72,65031930
73,2020-06-24,24.54,23.68,24.54,23.81,75437100
74,2020-06-23,25.01,24.76,25.41,24.79,46108300
75,2020-06-22,24.89,24.61,25.03,24.62,55484307
76,2020-06-19,25.44,24.49,25.49,25.25,127563637
77,2020-06-18,24.7,24.58,25.49,25.04,53419011
78,2020-06-17,25.9,24.92,25.9,25.0,58349500
79,2020-06-16,26.18,24.86,26.24,25.8,96796548
80,2020-06-15,23.76,23.69,25.17,25.15,76538947
81,2020-06-12,25.03,24.04,25.05,24.78,73729708
82,2020-06-11,24.98,23.68,25.69,23.93,149875500
83,2020-06-10,27.97,26.51,28.1,26.6,90415306
84,2020-06-09,27.72,27.55,28.54,28.22,77773400
85,2020-06-08,28.59,28.14,28.9,28.54,79598500
86,2020-06-05,28.95,27.88,29.01,28.11,118767900
87,2020-06-04,25.71,25.57,26.83,26.78,94545300
88,2020-06-03,25.5,25.39,26.14,25.99,86744600
89,2020-06-02,24.96,24.56,25.39,24.84,71118137
90,2020-06-01,24.28,24.05,24.87,24.61,58470225
91,2020-05-29,24.42,24.06,24.91,24.12,113923769
92,2020-05-28,26.08,24.79,26.14,24.86,84436774
93,2020-05-27,26.07,24.97,26.17,25.98,117672717
94,2020-05-26,23.75,23.67,24.6,24.28,119485500
95,2020-05-22,22.93,22.46,22.95,22.66,48107033
96,2020-05-21,22.81,22.78,23.27,22.9,57726000
97,2020-05-20,22.68,22.64,23.0,22.91,59789500
98,2020-05-19,22.66,22.19,23.0,22.21,62179000
99,2020-05-18,22.42,22.07,23.06,22.93,86699200
100,2020-05-15,21.4,21.23,21.7,21.44,64484000
101,2020-05-14,20.29,20.1,21.79,21.71,88359139
102,2020-05-13,21.66,20.72,21.75,20.87,112113400
103,2020-05-12,22.71,21.85,22.82,21.87,69588705
104,2020-05-11,23.11,22.56,23.12,22.58,68951801
105,2020-05-08,23.47,23.25,23.62,23.57,45250012
106,2020-05-07,22.66,22.61,23.37,22.84,51884300
107,2020-05-06,23.0,22.23,23.08,22.35,53874600
108,2020-05-05,23.48,22.62,23.52,22.66,45691920
109,2020-05-04,22.7,22.43,22.99,22.93,45886132
110,2020-05-01,23.38,22.81,23.46,23.08,51772619
111,2020-04-30,24.21,23.85,24.38,24.05,55244100
112,2020-04-29,24.91,24.51,25.11,24.78,73493911
113,2020-04-28,24.45,23.85,24.81,23.89,65504910
114,2020-04-27,22.52,22.45,23.65,23.47,66916700
115,2020-04-24,22.11,21.67,22.3,22.18,47675736
116,2020-04-23,21.96,21.85,22.39,21.87,50614823
117,2020-04-22,22.16,21.75,22.23,21.8,49759122
118,2020-04-21,21.9,21.5,22.37,21.64,78871343
119,2020-04-20,22.57,22.18,23.13,22.5,74446300
120,2020-04-17,22.34,22.31,23.4,23.28,92800300
121,2020-04-16,22.15,21.09,22.21,21.42,89213331
122,2020-04-15,22.16,21.91,22.65,22.19,99082222
123,2020-04-14,24.5,23.1,24.65,23.73,88991100
124,2020-04-13,24.78,23.78,24.85,23.92,83164717
125,2020-04-09,24.07,24.05,25.32,24.86,125414787
126,2020-04-08,22.41,22.41,23.6,23.45,81212300
127,2020-04-07,22.8,21.85,22.88,22.14,94560305
128,2020-10-05,24.52,24.38,24.71,24.62,44396800
129,2020-10-02,23.64,23.57,24.43,24.21,51682108
130,2020-10-01,24.27,23.86,24.41,24.1,44782200
131,2020-09-30,23.78,23.77,24.32,24.09,56226101
132,2020-09-29,23.98,23.53,23.99,23.77,45716131
133,2020-09-28,23.88,23.79,24.31,24.09,47996900
134,2020-09-25,23.28,23.13,23.55,23.49,42111339
135,2020-09-24,23.38,22.95,23.82,23.34,53570700
136,2020-09-23,24.1,23.26,24.26,23.26,59950325
137,2020-09-22,24.27,23.81,24.6,23.94,68665345
138,2020-09-21,24.57,24.03,24.78,24.47,75218600
139,2020-09-18,25.15,25.1,25.58,25.21,94055811
140,2020-09-17,25.13,25.1,25.48,25.35,48862044
141,2020-09-16,25.28,25.05,25.91,25.6,64623411
142,2020-09-15,25.77,25.19,25.83,25.28,63820200
143,2020-09-14,25.67,25.54,25.99,25.75,47802400
144,2020-09-11,25.22,25.09,25.58,25.5,47708344
145,2020-09-10,25.7,25.08,25.89,25.14,56609617
146,2020-09-09,25.64,25.23,25.72,25.51,53822700
147,2020-09-08,26.14,25.39,26.32,25.48,74978641
148,2020-09-04,26.26,25.8,26.76,26.54,99621412
149,2020-09-03,26.2,25.46,26.62,25.66,86192500
150,2020-09-02,25.53,25.49,26.16,26.02,57300900
151,2020-09-01,25.58,25.4,25.9,25.71,46152100
152,2020-08-31,26.09,25.69,26.14,25.74,49416216
153,2020-08-28,26.4,25.99,26.47,26.3,46466400
154,2020-08-27,25.49,25.44,26.22,26.05,52934800
155,2020-08-26,25.94,25.54,25.94,25.56,39478000
156,2020-08-25,26.04,25.73,26.19,26.0,57304734
157,2020-08-24,25.22,25.04,25.7,25.69,54579500
158,2020-08-21,24.98,24.9,25.43,24.98,55010700
159,2020-08-20,25.16,25.02,25.33,25.1,49403700
160,2020-08-19,25.66,25.39,26.08,25.5,59856000
161,2020-08-18,25.87,25.46,25.99,25.53,45850127
162,2020-08-17,26.31,25.84,26.41,25.9,57518714
163,2020-08-14,26.06,25.92,26.66,26.47,50931900
164,2020-08-13,26.49,26.14,26.67,26.35,55955500
165,2020-08-12,27.48,26.41,27.57,26.73,62023958
166,2020-08-11,27.28,26.78,27.75,26.92,81441000
167,2020-08-10,26.31,26.21,26.81,26.56,64051124
168,2020-08-07,25.34,25.26,26.19,26.11,63354500
169,2020-08-06,25.45,25.28,25.67,25.47,51999733
170,2020-08-05,25.32,25.25,25.59,25.39,51695566
171,2020-08-04,24.96,24.86,25.06,25.01,37985300
172,2020-08-03,25.03,24.69,25.31,24.99,58284026
173,2020-07-31,24.93,24.46,24.95,24.88,62039245
174,2020-07-30,24.72,24.35,24.95,24.84,61755900
175,2020-07-29,24.36,24.19,25.29,25.27,71393500
176,2020-07-28,24.13,24.08,24.56,24.36,48406513
177,2020-07-27,24.22,23.88,24.27,24.14,54721348
178,2020-07-24,24.56,24.27,24.83,24.35,50217643
179,2020-07-23,24.52,24.11,24.64,24.54,61047616
180,2020-07-22,24.24,23.97,24.33,24.31,52193708
