,date,open,low,high,close,volume
0,2020-01-06,65.06,64.07,65.45,64.17,2490400
1,2020-01-03,63.35,63.35,65.11,64.77,2371000
2,2020-01-02,64.67,63.4,65.26,63.88,2178900
3,2020-04-06,64.1,64.01,66.66,65.62,2401800
4,2020-04-03,63.83,61.81,66.48,62.17,2608700
5,2020-04-02,63.73,63.73,66.88,64.56,3559831
6,2020-04-01,62.0,61.57,65.34,64.17,3267433
7,2020-03-31,65.55,63.74,66.43,64.66,4810000
8,2020-03-30,64.83,64.13,66.9,65.99,3774700
9,2020-03-27,61.08,60.69,65.79,64.38,3738400
10,2020-03-26,59.8,58.0,63.37,62.56,3414000
11,2020-03-25,58.06,55.73,59.89,56.02,3144944
12,2020-03-24,54.17,53.79,59.58,58.22,3478200
13,2020-03-23,54.24,51.26,54.79,51.94,4180978
14,2020-03-20,59.77,54.33,59.77,54.89,3951205
15,2020-03-19,63.92,55.15,64.58,60.11,3830029
16,2020-03-18,60.45,58.73,64.78,64.45,3188500
17,2020-03-17,59.7,57.85,67.63,64.63,5024040
18,2020-03-16,59.25,53.91,59.9,58.43,3641200
19,2020-03-13,65.24,59.58,65.72,63.84,5489731
20,2020-03-12,66.49,61.67,68.85,63.18,3204112
21,2020-03-11,71.12,68.82,71.84,69.76,2321118
22,2020-03-10,73.99,69.25,74.47,72.96,3415322
23,2020-03-09,72.03,69.99,74.52,72.51,3092903
24,2020-03-06,75.22,73.64,76.46,76.05,2418039
25,2020-03-05,77.6,75.88,77.63,77.03,2258600
26,2020-03-04,77.17,76.66,78.73,78.56,2327534
27,2020-03-03,75.3,74.39,77.2,76.15,2494235
28,2020-03-02,70.92,70.79,75.2,75.17,2610845
29,2020-02-28,70.13,68.17,71.04,70.46,4412189
30,2020-02-27,75.19,71.98,76.22,72.01,3990100
31,2020-02-26,75.1,74.98,76.91,75.67,4313700
32,2020-02-25,76.5,74.11,76.6,74.53,2524130
33,2020-02-24,76.0,75.49,77.36,76.37,2853700
34,2020-02-21,76.7,76.28,77.56,76.86,1403945
35,2020-02-20,76.43,76.04,77.45,76.6,1130434
36,2020-02-19,78.73,76.96,79.0,77.01,1386703
37,2020-02-18,77.4,77.01,78.04,78.04,1883400
38,2020-02-14,77.18,77.11,77.96,77.22,1889600
39,2020-02-13,76.53,75.85,77.52,77.17,1122334
40,2020-02-12,77.03,75.51,77.37,76.53,1769415
41,2020-02-11,76.74,76.59,77.86,77.64,1684323
42,2020-02-10,77.06,75.99,77.18,76.72,2515242
43,2020-02-07,77.8,76.16,78.06,76.92,2665000
44,2020-02-06,75.99,73.99,82.82,78.0,5057900
45,2020-02-05,75.62,74.86,76.63,76.63,2922100
46,2020-02-04,74.31,73.57,75.27,75.01,2472300
47,2020-02-03,72.55,72.44,74.37,74.15,2747712
48,2020-01-31,72.72,71.86,73.16,72.18,1999233
49,2020-01-30,72.45,71.0,73.16,73.1,2674837
50,2020-01-29,72.79,72.43,72.99,72.59,1656800
51,2020-01-28,73.95,72.33,74.0,72.67,2743811
52,2020-01-27,71.06,70.89,74.66,73.96,4428500
53,2020-01-24,72.08,71.24,72.74,71.93,2035700
54,2020-01-23,71.52,71.11,72.45,71.87,2422700
55,2020-01-22,69.7,69.66,72.13,71.85,3200319
56,2020-01-21,68.69,68.55,69.42,69.26,1592808
57,2020-01-17,69.27,68.89,69.83,69.24,1629800
58,2020-01-16,68.45,68.07,69.19,69.18,2071600
59,2020-01-15,66.68,66.68,68.89,68.21,2089100
60,2020-01-14,67.26,66.19,67.6,66.55,2224400
61,2020-01-13,66.25,66.01,67.75,67.5,2296500
62,2020-01-10,66.76,65.92,66.88,66.27,1621400
63,2020-01-09,64.92,64.65,66.82,66.72,2586337
64,2020-01-08,63.91,63.83,64.67,64.47,2040807
65,2020-01-07,63.93,63.71,64.62,63.92,2518504
66,2020-07-06,72.67,71.2,72.67,72.44,2593635
67,2020-07-02,71.08,70.73,72.02,71.81,1786947
68,2020-07-01,69.48,69.18,70.97,70.68,2056600
69,2020-06-30,68.35,68.22,69.83,69.49,1666616
70,2020-06-29,68.07,67.54,69.07,68.39,1303804
71,2020-06-26,69.29,67.23,69.85,67.34,2967009
72,2020-06-25,68.82,67.1,69.27,69.2,1304737
73,2020-06-24,70.19,68.85,70.55,68.98,1211200
74,2020-06-23,71.78,70.56,71.82,70.57,1123647
75,2020-06-22,70.55,69.82,71.12,71.08,1280801
76,2020-06-19,71.66,70.52,71.8,70.68,3058600
77,2020-06-18,69.43,69.43,70.78,70.47,1358100
78,2020-06-17,70.58,69.3,70.99,69.6,1867759
