,date,open,low,high,close,volume
0,2020-01-06,85.3,84.15,85.59,85.29,3501721
1,2020-01-03,84.48,84.39,85.76,85.5,1871712
2,2020-01-02,85.0,84.18,85.87,85.87,2957832
3,2020-04-06,84.04,82.79,85.43,84.93,2874100
4,2020-04-03,81.43,80.2,82.69,81.42,3271170
5,2020-04-02,78.35,77.98,82.36,82.22,3161139
6,2020-04-01,78.77,77.82,80.85,78.66,3017812
7,2020-03-31,81.66,80.76,84.36,81.19,2767713
8,2020-03-30,80.87,80.31,82.99,82.19,2371219
9,2020-03-27,78.0,76.37,80.67,79.79,4446300
10,2020-03-26,74.43,73.91,80.74,80.17,4465717
11,2020-03-25,72.78,72.21,74.86,73.57,5993799
12,2020-03-24,73.07,72.1,75.73,73.91,4685491
13,2020-03-23,74.85,69.69,75.09,71.81,4664013
14,2020-03-20,76.85,74.04,78.74,75.75,6097484
15,2020-03-19,85.18,77.16,85.2,78.17,6492212
16,2020-03-18,76.2,75.95,85.22,84.59,7524300
17,2020-03-17,73.36,72.88,81.28,80.51,5921725
18,2020-03-16,72.66,69.1,77.14,71.57,4351916
19,2020-03-13,78.55,73.59,81.32,80.99,5774200
20,2020-03-12,73.1,71.28,77.26,75.47,6982509
21,2020-03-11,80.92,76.38,81.9,77.97,3685420
22,2020-03-10,80.51,78.73,83.31,82.98,3490500
23,2020-03-09,80.65,78.1,81.73,78.4,4109100
24,2020-03-06,85.09,82.95,86.19,85.38,3442818
25,2020-03-05,89.04,86.42,89.94,87.65,3821839
26,2020-03-04,87.26,87.09,91.14,91.06,4342596
27,2020-03-03,86.92,84.56,88.98,85.91,3240754
28,2020-03-02,83.37,82.9,87.23,87.18,3370530
29,2020-02-28,81.81,80.59,83.59,83.47,4659608
30,2020-02-27,85.25,84.23,87.02,84.27,3004349
31,2020-02-26,87.79,86.88,88.7,87.03,3126905
32,2020-02-25,89.82,86.2,90.23,86.99,2620400
33,2020-02-24,90.77,89.19,91.33,89.53,2380637
34,2020-02-21,92.67,92.24,93.16,92.67,1529500
35,2020-02-20,93.1,92.41,93.5,93.06,1778209
36,2020-02-19,92.36,92.21,93.57,93.16,1616311
37,2020-02-18,92.59,91.04,92.65,92.22,1820615
38,2020-02-14,92.9,91.9,93.43,93.14,1740200
39,2020-02-13,91.36,90.99,92.89,92.57,2146496
40,2020-02-12,91.86,91.11,92.19,91.43,1590927
41,2020-02-11,91.83,91.42,92.3,91.85,1706516
42,2020-02-10,90.7,90.25,91.39,91.28,2597700
43,2020-02-07,92.71,91.18,92.96,91.25,2306038
44,2020-02-06,93.9,92.75,95.0,93.3,3888400
45,2020-02-05,91.33,90.45,91.65,91.31,3185000
46,2020-02-04,90.66,90.07,91.62,90.87,2213329
47,2020-02-03,89.98,89.65,90.64,89.69,1498500
48,2020-01-31,90.28,89.05,90.32,89.22,1796691
49,2020-01-30,89.85,89.27,90.7,90.64,1608500
50,2020-01-29,90.71,90.48,91.17,90.5,1548201
51,2020-01-28,90.7,90.26,90.94,90.55,1952233
52,2020-01-27,89.68,89.12,90.96,90.53,2222430
53,2020-01-24,91.24,90.51,91.47,90.78,1610800
54,2020-01-23,91.03,90.53,91.43,91.1,2129415
55,2020-01-22,91.61,90.58,91.86,91.16,2815400
56,2020-01-21,89.52,89.31,91.87,91.07,4284900
57,2020-01-17,89.84,89.21,89.93,89.73,4474921
58,2020-01-16,90.0,89.32,90.0,89.99,2243904
59,2020-01-15,89.2,88.69,89.95,89.56,2561016
60,2020-01-14,88.76,87.89,89.27,89.21,3836300
61,2020-01-13,87.47,87.1,90.3,89.37,5007745
62,2020-01-10,86.97,85.65,87.05,85.9,3118900
63,2020-01-09,86.61,85.86,87.08,86.54,2098938
64,2020-01-08,85.61,85.54,86.99,86.73,3576601
65,2020-01-07,84.71,84.7,85.93,85.49,4803200
66,2020-07-06,87.77,87.56,88.5,88.11,2724400
