,date,open,low,high,close,volume
0,2020-01-06,86.47,86.25,87.92,87.91,2270193
1,2020-01-03,86.07,85.91,87.64,87.18,1713600
2,2020-01-02,88.39,86.96,88.44,87.31,2447500
3,2020-04-06,56.95,55.9,60.69,60.15,2634227
4,2020-04-03,52.35,51.81,54.18,53.48,2390350
5,2020-04-02,53.13,51.71,55.06,52.76,3455447
6,2020-04-01,54.7,53.02,56.24,53.9,3620800
7,2020-03-31,59.73,56.4,60.73,57.0,4804723
8,2020-03-30,61.78,58.41,62.23,59.75,4584248
9,2020-03-27,60.49,59.65,64.78,62.47,2589299
10,2020-03-26,61.75,60.51,64.36,62.88,2567560
11,2020-03-25,59.76,56.53,64.98,60.56,3706618
12,2020-03-24,54.16,53.27,60.86,59.2,3909456
13,2020-03-23,50.48,49.01,53.0,50.69,4753383
14,2020-03-20,55.61,51.59,58.0,51.65,3851900
15,2020-03-19,52.51,48.11,59.21,54.75,4186733
16,2020-03-18,55.2,49.9,57.95,54.0,5066806
17,2020-03-17,58.32,55.32,61.23,60.32,7026829
18,2020-03-16,54.0,49.01,57.39,57.3,5346600
19,2020-03-13,59.0,54.39,61.48,61.06,4209824
20,2020-03-12,59.99,55.2,60.24,55.4,3948400
21,2020-03-11,67.84,63.84,68.04,65.37,3652613
22,2020-03-10,69.39,66.42,70.61,70.12,2767700
23,2020-03-09,67.74,66.06,69.73,66.87,3959260
24,2020-03-06,75.35,72.06,76.69,73.82,3047720
25,2020-03-05,77.83,77.01,79.37,77.87,2771418
26,2020-03-04,78.5,77.09,80.48,80.41,3110377
27,2020-03-03,79.2,75.82,81.43,76.55,2731425
28,2020-03-02,76.25,74.31,79.62,79.61,3898536
29,2020-02-28,76.06,73.34,77.98,75.65,4757188
30,2020-02-27,79.5,78.0,82.47,78.31,5770800
31,2020-02-26,82.83,82.15,84.83,82.18,3469532
32,2020-02-25,86.65,81.67,86.76,81.89,2900938
33,2020-02-24,86.17,85.05,88.0,85.5,2881063
34,2020-02-21,91.34,89.62,91.62,90.26,1877800
35,2020-02-20,91.08,90.57,91.99,91.93,2212336
36,2020-02-19,90.53,90.2,91.23,90.94,1422912
37,2020-02-18,89.51,89.2,90.76,90.16,1544620
38,2020-02-14,91.0,89.86,91.15,90.21,1221227
39,2020-02-13,90.48,90.2,91.31,90.4,1725449
40,2020-02-12,90.28,90.01,91.2,90.93,1578106
41,2020-02-11,89.38,88.72,90.07,89.89,1799500
42,2020-02-10,86.89,86.87,88.73,88.7,2311633
43,2020-02-07,88.25,86.48,88.77,87.02,1987126
44,2020-02-06,90.03,88.54,90.58,88.64,2018246
45,2020-02-05,87.68,87.36,89.88,89.5,2315840
46,2020-02-04,86.53,86.44,87.24,86.69,1795827
47,2020-02-03,85.39,84.91,86.37,85.26,2170400
48,2020-01-31,86.69,84.53,86.96,84.69,2841993
49,2020-01-30,87.05,85.91,87.59,87.1,2048900
50,2020-01-29,89.38,88.1,90.1,88.12,2623500
51,2020-01-28,88.4,87.82,89.3,88.89,1458104
52,2020-01-27,87.79,87.35,88.83,87.8,1718329
53,2020-01-24,90.27,88.77,90.27,89.44,1209634
54,2020-01-23,88.86,88.36,90.31,89.82,1620000
55,2020-01-22,90.93,88.96,91.17,89.27,2003301
56,2020-01-21,89.45,89.41,91.7,90.24,3611203
57,2020-01-17,89.45,88.35,90.33,89.94,3406600
58,2020-01-16,89.53,88.55,89.81,88.95,2007216
59,2020-01-15,87.6,87.29,89.87,88.92,3783447
60,2020-01-14,90.98,90.26,91.83,90.47,1994311
61,2020-01-13,90.64,90.36,91.28,91.26,2138078
62,2020-01-10,89.58,89.34,90.74,90.65,2452200
63,2020-01-09,89.43,88.43,89.49,89.37,2225731
64,2020-01-08,88.21,87.86,89.37,88.65,2047041
65,2020-01-07,87.79,87.46,89.21,88.41,2043418
66,2020-07-06,89.0,87.07,89.73,87.7,2050040
67,2020-07-02,88.95,87.24,89.26,87.45,2489900
68,2020-07-01,87.42,86.34,88.12,87.35,2279170
69,2020-06-30,86.0,85.63,88.22,87.27,3124000
70,2020-06-29,85.59,84.78,86.78,86.33,2961906
71,2020-06-26,84.86,84.68,87.03,84.8,5378204
72,2020-06-25,83.35,82.84,84.85,84.71,2157437
73,2020-06-24,85.0,83.39,86.6,83.82,4005772
74,2020-06-23,85.88,84.58,86.61,85.84,2661890
75,2020-06-22,80.78,80.37,84.98,84.78,3111400
76,2020-06-19,83.84,80.53,83.86,81.2,4938897
77,2020-06-18,82.47,81.45,83.85,82.3,2285855
78,2020-06-17,83.47,82.16,84.33,83.24,2275367
79,2020-06-16,82.56,80.42,84.13,83.47,3790175
80,2020-06-15,75.53,75.23,80.98,80.01,2431254
81,2020-06-12,79.4,75.67,79.68,77.76,2538100
82,2020-06-11,79.45,76.57,79.45,77.25,2583309
83,2020-06-10,82.18,80.05,82.32,81.7,2862800
84,2020-06-09,82.27,80.92,82.53,81.62,2054709
85,2020-06-08,83.8,82.99,84.86,83.68,1944600
86,2020-06-05,82.82,81.9,83.6,82.53,2906333
87,2020-06-04,81.66,79.18,82.31,79.92,2566165
88,2020-06-03,81.6,81.02,82.44,82.22,2300200
89,2020-06-02,77.47,77.38,80.55,80.53,2777935
90,2020-06-01,77.02,76.07,77.99,77.5,2250381
91,2020-05-29,76.31,75.53,78.71,78.09,4220760
92,2020-05-28,80.19,76.19,80.19,76.43,3152946
93,2020-05-27,81.34,78.34,81.34,79.08,2894414
94,2020-05-26,79.76,79.3,81.16,79.47,2953382
95,2020-05-22,78.99,75.82,78.99,76.92,4687600
96,2020-05-21,79.5,76.88,81.91,77.98,6370300
97,2020-05-20,85.73,80.75,85.83,81.54,4161800
98,2020-05-19,86.28,83.35,86.57,83.48,3190900
99,2020-05-18,82.38,82.32,87.69,87.16,4952074
100,2020-05-15,76.13,75.85,79.82,78.61,5137000
101,2020-05-14,74.27,73.59,77.72,77.19,2504545
102,2020-05-13,76.37,74.18,77.39,75.03,1767586
103,2020-05-12,78.9,76.97,79.59,77.05,1527337
104,2020-05-11,77.78,77.05,79.31,78.02,1666946
105,2020-05-08,76.75,76.73,78.87,78.63,1440099
106,2020-05-07,75.34,75.2,77.09,76.25,1732275
107,2020-05-06,75.24,73.74,76.21,73.99,1914800
108,2020-05-05,76.18,74.64,77.04,74.75,2021914
109,2020-05-04,71.1,70.71,74.58,74.36,2615100
110,2020-05-01,74.84,71.84,75.63,72.26,2507382
111,2020-04-30,78.94,75.8,78.99,76.73,3898300
112,2020-04-29,79.23,78.79,80.89,80.05,2673544
113,2020-04-28,76.95,76.7,79.18,77.59,3080812
114,2020-04-27,72.23,72.21,75.18,74.57,2434607
115,2020-04-24,70.39,69.73,72.3,71.88,1589796
116,2020-04-23,68.74,68.09,70.58,69.6,1679108
117,2020-04-22,69.4,67.93,69.9,68.98,1255483
118,2020-04-21,68.05,67.05,69.06,67.8,1913463
119,2020-04-20,69.36,68.66,71.61,69.79,2290041
120,2020-04-17,67.35,67.25,70.99,70.4,3422100
121,2020-04-16,64.58,63.59,65.73,64.98,1697500
122,2020-04-15,66.72,64.3,67.92,64.76,2800300
123,2020-04-14,69.49,68.03,70.0,69.85,2723000
124,2020-04-13,65.6,64.72,68.73,68.34,3104934
125,2020-04-09,65.94,64.75,68.09,65.99,2729200
126,2020-04-08,63.13,62.54,65.34,64.45,3348791
127,2020-04-07,64.7,61.61,65.31,61.75,2623639
128,2020-10-05,112.57,112.57,116.74,116.07,2006376
129,2020-10-02,111.04,111.01,113.46,112.42,1930575
130,2020-10-01,112.69,111.86,114.72,114.09,3631204
131,2020-09-30,109.5,109.5,112.41,111.29,2187144
132,2020-09-29,109.94,108.84,111.22,110.08,2378869
133,2020-09-28,107.25,106.65,108.57,108.44,1508200
134,2020-09-25,105.1,104.25,106.64,105.97,1917164
135,2020-09-24,106.12,104.11,106.86,104.77,2526700
136,2020-09-23,108.07,106.39,109.78,106.49,1920405
137,2020-09-22,106.41,105.91,108.25,107.63,1678534
138,2020-09-21,104.04,103.49,105.97,105.97,2131085
139,2020-09-18,105.42,104.64,107.38,105.58,2262787
140,2020-09-17,106.0,104.56,107.02,105.63,1729706
141,2020-09-16,108.99,106.8,109.13,107.08,1728232
142,2020-09-15,108.54,107.42,109.39,107.96,1550938
143,2020-09-14,108.35,106.7,109.13,107.7,2573262
144,2020-09-11,108.57,106.17,109.07,107.11,1353834
145,2020-09-10,109.11,107.1,110.0,107.38,2177614
146,2020-09-09,106.28,105.18,109.27,108.85,2245530
147,2020-09-08,104.3,102.83,106.82,105.26,2911607
148,2020-09-04,109.49,104.32,110.44,106.31,2543720
149,2020-09-03,114.0,107.85,114.0,108.7,2452000
150,2020-09-02,113.94,111.68,114.2,114.02,2508300
151,2020-09-01,110.99,110.73,114.43,113.5,2364920
152,2020-08-31,111.49,109.85,112.17,110.91,2509223
153,2020-08-28,111.68,110.11,111.7,111.23,2366570
154,2020-08-27,112.55,110.23,112.55,111.22,2760500
155,2020-08-26,113.41,111.58,114.19,112.31,4124400
156,2020-08-25,113.5,108.6,113.86,112.64,10462412
157,2020-08-24,118.3,114.8,119.48,117.37,5434600
158,2020-08-21,112.0,111.95,114.45,114.0,3811415
159,2020-08-20,111.42,110.44,112.07,111.7,2109629
160,2020-08-19,110.66,110.66,113.67,111.96,3060520
161,2020-08-18,111.89,110.33,112.15,110.52,2216000
162,2020-08-17,110.99,109.88,111.39,110.79,2260900
163,2020-08-14,108.34,108.0,110.32,109.49,2552468
164,2020-08-13,105.58,105.5,108.44,107.9,2281100
165,2020-08-12,104.56,104.1,105.54,104.98,1217307
166,2020-08-11,105.0,103.72,105.59,104.12,1489527
167,2020-08-10,103.76,102.9,105.43,104.22,1981735
168,2020-08-07,102.88,101.91,103.72,102.9,1781543
169,2020-08-06,101.89,100.62,102.79,102.75,2479600
170,2020-08-05,101.42,99.93,102.04,101.91,1869659
171,2020-08-04,100.59,99.85,101.58,100.51,1267700
172,2020-08-03,100.07,99.75,101.99,100.89,1596989
173,2020-07-31,100.25,98.29,100.47,99.59,1888000
174,2020-07-30,97.14,96.8,100.68,100.03,2232134
175,2020-07-29,97.61,97.26,98.88,98.1,1395600
176,2020-07-28,97.84,97.06,98.79,97.19,1475037
177,2020-07-27,96.87,96.34,98.31,97.92,2280331
178,2020-07-24,95.82,95.55,97.75,96.99,2134232
179,2020-07-23,97.12,95.98,98.53,96.08,2862408
180,2020-07-22,95.47,95.33,99.42,97.36,7995600
181,2020-07-21,88.84,88.61,91.13,90.28,2181649
182,2020-07-20,87.69,86.48,88.98,88.38,2200937
183,2020-07-17,88.83,87.43,88.83,87.96,1290361
184,2020-07-16,88.23,87.85,89.71,88.35,1464915
185,2020-07-15,88.95,87.03,88.98,88.42,2010166
186,2020-07-14,85.6,84.42,87.08,86.89,1869597
187,2020-07-13,85.71,85.4,88.33,85.6,1873560
188,2020-07-10,85.04,84.48,85.72,84.9,1688400
189,2020-07-09,87.15,84.07,87.15,84.95,2034260
190,2020-07-08,85.57,85.48,87.22,87.18,2058403
191,2020-07-07,86.97,85.39,87.53,85.59,2253135
192,2021-01-04,99.62,98.66,101.12,100.49,3636646
193,2020-12-31,101.47,99.25,101.47,99.79,2232100
194,2020-12-30,100.96,100.96,101.91,101.38,1639330
195,2020-12-29,103.04,100.44,103.54,100.76,2201100
196,2020-12-28,103.0,101.18,103.54,102.58,2601627
197,2020-12-24,102.22,101.83,103.44,102.55,996700
198,2020-12-23,104.43,102.31,105.29,102.34,2314015
199,2020-12-22,103.54,103.13,105.28,104.13,3580661
200,2020-12-21,100.73,100.51,103.33,103.3,2991900
201,2020-12-18,102.05,101.52,102.72,101.95,4913100
202,2020-12-17,104.3,102.23,104.46,102.34,3067100
203,2020-12-16,103.51,102.59,104.15,103.5,3136926
204,2020-12-15,101.6,101.2,103.0,102.99,3310013
205,2020-12-14,101.02,99.65,101.79,101.28,3926200
206,2020-12-11,102.8,100.2,103.03,100.6,4044310
207,2020-12-10,101.75,99.6,103.41,103.03,4406626
208,2020-12-09,103.07,102.6,105.15,104.76,4784400
209,2020-12-08,102.2,102.02,103.51,102.99,2974800
210,2020-12-07,105.16,101.45,105.45,102.73,5506910
211,2020-12-04,106.56,104.85,106.62,105.57,3657531
212,2020-12-03,106.94,105.71,107.43,106.54,4567000
213,2020-12-02,108.03,107.2,109.47,107.47,3393800
214,2020-12-01,108.78,107.15,109.49,108.86,5335390
215,2020-11-30,112.68,108.57,112.68,108.8,6493700
216,2020-11-27,115.0,112.08,115.09,112.63,3242400
217,2020-11-25,114.06,113.08,116.44,113.9,5503029
218,2020-11-24,115.79,113.2,117.05,113.54,11676029
219,2020-11-23,120.21,119.9,124.31,122.04,4443800
220,2020-11-20,119.88,118.97,120.74,119.14,1866503
221,2020-11-19,118.42,117.77,120.5,118.83,1728442
222,2020-11-18,119.1,117.74,120.16,117.77,2963118
223,2020-11-17,118.12,117.36,120.87,119.02,2740898
224,2020-11-16,115.0,113.62,118.85,118.65,3306999
225,2020-11-13,114.64,113.5,115.84,114.3,1832044
226,2020-11-12,114.45,112.34,115.5,114.0,2279667
227,2020-11-11,113.83,112.1,114.81,114.56,2058314
228,2020-11-10,111.6,110.99,113.71,112.63,3906709
229,2020-11-09,120.31,110.92,123.21,111.0,4896100
230,2020-11-06,123.0,121.61,123.75,123.06,1670063
231,2020-11-05,122.2,121.75,124.89,123.06,2489882
232,2020-11-04,119.69,118.56,121.4,119.86,1916071
233,2020-11-03,117.0,116.17,119.73,118.82,2033408
234,2020-11-02,112.97,112.76,115.8,115.72,2838979
235,2020-10-30,111.56,109.6,112.65,111.55,1897109
236,2020-10-29,112.28,111.5,113.95,112.28,2107033
237,2020-10-28,111.5,110.35,114.3,111.11,2264016
238,2020-10-27,115.01,113.3,116.12,113.58,2143715
239,2020-10-26,117.14,112.88,117.18,114.36,1377014
240,2020-10-23,115.5,115.21,118.25,118.21,1858600
241,2020-10-22,118.98,115.77,119.62,117.46,1977727
242,2020-10-21,121.45,118.55,121.78,118.69,1772180
243,2020-10-20,121.29,120.78,123.67,120.89,1725793
244,2020-10-19,120.12,119.71,123.22,120.83,2260028
245,2020-10-16,120.89,119.31,121.1,119.35,1855426
246,2020-10-15,117.43,116.9,120.74,120.56,1625462
247,2020-10-14,118.93,117.39,119.9,118.44,1640980
248,2020-10-13,118.12,117.21,119.15,118.21,1231774
249,2020-10-12,117.87,116.86,118.7,118.33,1334002
250,2020-10-09,115.37,115.11,118.25,116.59,2824100
251,2020-10-08,115.13,113.91,115.65,114.92,1523429
252,2020-10-07,114.0,113.76,115.44,114.49,1552500
253,2020-10-06,115.98,112.25,116.43,112.45,2395400
254,2021-04-05,116.31,115.7,118.48,117.99,1641946
255,2021-04-01,115.94,114.01,116.3,115.76,2486520
256,2021-03-31,116.31,114.23,116.31,114.81,1938988
257,2021-03-30,114.19,113.34,116.06,115.72,1934100
258,2021-03-29,119.45,114.52,120.09,114.8,2598410
259,2021-03-26,116.55,116.18,119.35,119.26,1872814
260,2021-03-25,114.43,113.44,116.52,116.18,2250687
261,2021-03-24,119.1,114.22,119.5,114.32,2883992
262,2021-03-23,120.65,118.24,121.38,118.81,3663100
263,2021-03-22,118.1,117.11,121.29,120.96,2810320
264,2021-03-19,113.83,113.68,120.29,118.19,9098446
265,2021-03-18,111.61,111.31,116.26,113.38,2906572
266,2021-03-17,112.16,109.98,112.85,112.25,2584400
267,2021-03-16,113.66,112.7,114.46,113.45,2328200
268,2021-03-15,111.49,111.25,114.59,113.92,3347188
269,2021-03-12,108.95,107.8,111.29,110.99,1963080
270,2021-03-11,108.64,107.47,109.44,108.58,2407300
271,2021-03-10,107.45,106.62,109.48,108.15,3175770
272,2021-03-09,106.55,105.65,109.64,105.82,3294996
273,2021-03-08,103.29,102.73,107.42,106.57,3830841
274,2021-03-05,99.61,97.29,103.2,102.85,5128100
275,2021-03-04,99.74,95.93,100.41,98.24,4288709
276,2021-03-03,102.37,100.0,102.73,100.37,2848834
277,2021-03-02,102.12,101.46,103.75,102.52,3011692
278,2021-03-01,100.5,100.5,102.59,101.69,3709209
279,2021-02-26,101.1,99.79,102.36,100.35,4570055
280,2021-02-25,103.82,101.46,112.3,102.94,10053700
281,2021-02-24,116.1,112.7,117.14,113.46,3279800
282,2021-02-23,115.85,113.13,115.89,115.5,2198416
283,2021-02-22,117.11,115.9,118.2,116.73,1742940
284,2021-02-19,117.63,117.43,119.02,118.0,2044450
285,2021-02-18,117.89,116.42,118.45,116.76,1890521
286,2021-02-17,120.19,118.22,122.21,118.34,2242046
287,2021-02-16,120.53,120.49,123.3,120.75,1880200
288,2021-02-12,118.71,118.5,121.13,120.51,1858078
289,2021-02-11,119.0,118.57,120.94,119.59,1636075
290,2021-02-10,118.79,116.99,119.29,118.81,1274900
291,2021-02-09,117.83,116.74,119.37,118.46,1528206
292,2021-02-08,115.0,114.98,117.96,117.9,1715100
293,2021-02-05,114.2,113.34,114.9,114.53,1632937
294,2021-02-04,112.64,112.01,114.76,113.84,2422000
295,2021-02-03,109.36,108.85,111.16,110.32,1503510
296,2021-02-02,107.95,106.64,110.93,108.78,2530444
297,2021-02-01,109.45,105.66,110.0,107.69,2706900
298,2021-01-29,112.11,108.37,112.39,108.82,2481444
299,2021-01-28,113.53,112.25,116.56,112.31,2429900
300,2021-01-27,113.54,112.83,116.23,113.57,2445900
301,2021-01-26,114.15,113.01,115.51,114.7,2140626
