,date,open,low,high,close,volume
0,2020-01-06,262.22,259.97,266.84,266.53,1604500
1,2020-01-03,261.73,261.68,264.24,262.83,1603106
2,2020-01-02,265.27,263.1,266.6,265.71,1725895
3,2020-04-06,225.3,223.68,233.19,231.73,2312279
4,2020-04-03,225.22,217.21,227.02,221.05,1296188
5,2020-04-02,219.42,218.8,227.76,227.43,1597496
6,2020-04-01,216.15,214.49,224.01,219.75,2054732
7,2020-03-31,216.49,213.51,225.26,224.01,2768127
8,2020-03-30,214.54,211.88,218.1,217.28,1975424
9,2020-03-27,207.24,206.14,215.96,211.15,2309398
10,2020-03-26,199.67,199.25,214.05,213.85,2733364
11,2020-03-25,200.39,194.16,204.03,198.5,3578978
12,2020-03-24,204.16,194.5,206.46,197.77,3580360
13,2020-03-23,213.77,192.79,217.79,195.55,4579139
14,2020-03-20,212.35,210.8,219.09,214.6,3794747
15,2020-03-19,230.57,215.03,231.7,215.42,2709751
16,2020-03-18,233.11,222.29,245.66,228.84,3782775
17,2020-03-17,224.76,217.74,242.7,242.29,3972473
18,2020-03-16,210.59,203.42,228.66,217.55,2983387
19,2020-03-13,222.28,210.67,233.03,230.57,3548242
20,2020-03-12,217.7,215.01,228.99,215.04,3827455
21,2020-03-11,225.38,223.42,228.53,226.1,2034175
22,2020-03-10,230.84,224.17,233.13,231.36,2695191
23,2020-03-09,219.9,217.41,228.78,225.0,2656341
24,2020-03-06,231.45,224.81,233.88,233.13,4332532
25,2020-03-05,235.58,233.76,238.68,238.02,2333129
26,2020-03-04,238.18,237.11,241.67,240.92,2005168
27,2020-03-03,239.68,229.45,243.11,233.5,1998709
28,2020-03-02,231.88,228.18,239.17,239.17,2291674
29,2020-02-28,231.07,225.82,232.9,231.86,3680627
30,2020-02-27,238.49,236.33,244.13,236.61,2705356
31,2020-02-26,241.15,238.97,243.56,239.98,2108869
32,2020-02-25,245.01,237.06,245.88,239.28,2280672
33,2020-02-24,244.34,243.06,246.52,244.25,1679970
34,2020-02-21,246.23,246.06,252.3,250.9,1915715
35,2020-02-20,248.91,245.71,251.29,247.11,1161056
36,2020-02-19,250.75,249.21,251.93,249.65,1579820
37,2020-02-18,254.22,249.26,255.23,249.58,1889487
38,2020-02-14,248.64,247.27,253.82,253.7,2380175
39,2020-02-13,245.74,244.57,250.01,247.98,1945853
40,2020-02-12,250.33,243.8,250.93,245.91,2444716
41,2020-02-11,247.3,246.74,252.76,249.98,2671966
42,2020-02-10,241.02,240.36,246.52,245.68,2670848
43,2020-02-07,245.29,240.3,245.41,240.72,3808022
44,2020-02-06,246.66,235.69,256.12,245.93,10312309
45,2020-02-05,279.15,276.44,279.53,278.82,1438149
46,2020-02-04,276.18,275.41,279.23,277.32,1301207
47,2020-02-03,270.28,269.92,274.69,272.31,1827934
48,2020-01-31,272.53,267.61,273.94,268.28,1781081
49,2020-01-30,272.98,272.54,274.94,274.1,1407330
50,2020-01-29,275.96,274.34,276.83,275.13,951451
51,2020-01-28,273.24,272.82,276.58,275.19,1225499
52,2020-01-27,267.52,266.26,273.44,272.74,1629628
53,2020-01-24,272.57,270.61,273.53,271.28,1268895
54,2020-01-23,271.73,269.75,273.27,271.74,1163685
55,2020-01-22,271.25,270.7,272.5,271.84,1076649
56,2020-01-21,269.9,268.41,271.09,270.57,1323892
57,2020-01-17,270.76,268.4,271.45,270.14,1201036
58,2020-01-16,271.7,267.5,272.0,269.93,927611
59,2020-01-15,269.01,268.88,272.61,270.35,1157759
60,2020-01-14,268.23,266.42,270.5,269.04,1478505
61,2020-01-13,267.58,266.55,269.55,269.28,1309458
62,2020-01-10,268.23,266.73,269.37,267.58,997940
63,2020-01-09,267.9,266.1,268.31,266.68,960683
64,2020-01-08,266.07,264.75,268.63,266.55,1444726
65,2020-01-07,264.77,263.36,266.67,265.9,1370754
66,2020-07-06,242.19,241.39,247.36,244.19,3279643
67,2020-07-02,236.11,234.49,239.91,238.89,1932900
68,2020-07-01,233.05,232.77,236.88,235.48,1476635
69,2020-06-30,226.76,225.27,234.78,233.27,2372329
70,2020-06-29,228.17,222.99,228.66,227.13,2141455
71,2020-06-26,223.89,223.24,228.93,227.72,2635816
72,2020-06-25,225.99,219.65,225.99,223.2,2544014
73,2020-06-24,230.15,222.08,231.05,226.98,2258265
74,2020-06-23,230.88,230.49,233.99,231.87,1520669
75,2020-06-22,230.99,226.24,230.99,229.3,1483067
76,2020-06-19,232.57,229.25,233.37,231.64,2463690
77,2020-06-18,230.46,229.11,232.38,230.31,1158136
78,2020-06-17,231.25,229.82,234.1,231.32,1344523
79,2020-06-16,231.85,229.29,234.47,230.53,1521075
80,2020-06-15,223.01,221.37,230.19,228.28,2056007
81,2020-06-12,228.67,223.26,230.72,225.09,2063169
82,2020-06-11,230.02,223.66,230.64,224.42,2439205
83,2020-06-10,232.46,230.67,235.01,231.2,2436726
84,2020-06-09,241.15,231.25,244.05,231.33,2421073
85,2020-06-08,234.42,233.49,241.04,241.04,3645754
86,2020-06-05,237.67,234.8,238.28,235.94,3570363
87,2020-06-04,235.94,233.99,239.2,237.45,1871648
88,2020-06-03,237.11,233.61,237.79,236.95,1831816
89,2020-06-02,238.92,235.42,238.92,238.37,1300677
90,2020-06-01,240.45,236.7,243.15,238.71,1193903
91,2020-05-29,237.75,233.6,240.87,240.74,1974803
92,2020-05-28,233.41,231.4,238.16,235.45,1834359
93,2020-05-27,225.34,221.71,229.01,228.92,3829053
94,2020-05-26,234.95,226.03,236.91,227.3,3677963
95,2020-05-22,235.47,232.58,238.53,233.25,12086173
96,2020-05-21,237.14,228.63,237.5,232.95,8547380
97,2020-05-20,249.33,236.48,251.98,236.9,4083603
98,2020-05-19,258.44,255.78,258.79,256.6,849939
99,2020-05-18,257.38,255.78,261.69,258.13,1051867
100,2020-05-15,251.18,249.56,255.9,251.78,2039249
101,2020-05-14,252.94,248.65,253.45,252.22,1312759
102,2020-05-13,256.1,251.87,257.73,255.36,1239975
103,2020-05-12,256.4,255.27,260.06,255.52,1253947
104,2020-05-11,247.18,246.8,257.15,255.48,1528618
105,2020-05-08,252.72,247.64,253.25,248.1,1453813
106,2020-05-07,259.35,249.11,259.35,249.83,1298521
107,2020-05-06,254.25,251.96,255.92,252.64,1072237
108,2020-05-05,251.8,249.78,256.99,255.14,964868
109,2020-05-04,246.06,242.98,249.96,248.87,1155523
110,2020-05-01,244.51,241.58,247.53,245.56,1459739
111,2020-04-30,249.86,245.32,257.16,246.2,2932012
112,2020-04-29,256.41,250.69,256.41,251.39,1771079
113,2020-04-28,263.81,254.61,265.13,255.36,2219201
114,2020-04-27,262.61,260.84,264.65,263.23,1528666
115,2020-04-24,259.98,255.92,261.94,261.45,1883650
116,2020-04-23,261.47,257.69,263.9,258.44,1252517
117,2020-04-22,252.38,251.52,261.19,260.07,2059636
118,2020-04-21,253.36,248.08,254.79,250.07,2518697
119,2020-04-20,255.34,253.05,260.08,256.84,1405903
120,2020-04-17,259.03,249.38,259.37,254.85,2083017
121,2020-04-16,248.38,246.23,256.04,255.05,1691936
122,2020-04-15,241.35,239.44,247.41,246.2,1879348
123,2020-04-14,245.67,241.36,245.67,243.28,2206204
124,2020-04-13,239.37,235.54,242.6,241.84,1342625
125,2020-04-09,243.73,237.43,244.3,241.25,2451273
126,2020-04-08,233.16,229.42,245.4,243.73,2568737
127,2020-04-07,233.99,229.17,236.91,231.6,2412881
128,2020-10-05,228.3,228.26,232.53,232.17,1001081
129,2020-10-02,226.09,225.21,229.11,226.83,1034013
130,2020-10-01,228.54,222.92,230.89,225.06,1245424
131,2020-09-30,221.61,221.12,229.67,226.85,2370737
132,2020-09-29,220.43,219.29,221.29,219.78,867388
133,2020-09-28,220.74,219.08,222.2,219.36,1073488
134,2020-09-25,214.54,214.0,218.94,218.46,1531040
135,2020-09-24,220.34,214.52,220.79,215.62,1559396
136,2020-09-23,220.26,218.88,223.96,219.94,1735164
137,2020-09-22,221.88,217.17,222.37,218.19,1928812
138,2020-09-21,225.59,219.71,225.59,222.72,1251073
139,2020-09-18,220.49,220.49,228.07,226.09,4122136
140,2020-09-17,220.68,218.79,223.44,222.09,1969128
141,2020-09-16,220.45,218.59,224.11,221.34,2496596
142,2020-09-15,230.09,220.38,230.52,220.48,2544247
143,2020-09-14,230.97,229.95,232.5,229.99,1155676
144,2020-09-11,228.94,227.9,230.81,229.87,1201676
145,2020-09-10,229.11,225.5,229.81,228.31,2128852
146,2020-09-09,230.24,228.71,233.06,229.67,1438901
147,2020-09-08,228.87,224.73,229.64,228.19,1541212
148,2020-09-04,230.93,226.61,232.19,228.21,1585395
149,2020-09-03,239.83,228.21,240.5,229.17,1815634
150,2020-09-02,234.55,234.01,240.1,240.02,1334872
151,2020-09-01,237.86,232.74,239.71,234.8,1448808
152,2020-08-31,237.74,235.77,238.35,236.69,2384293
153,2020-08-28,240.94,234.86,241.18,236.72,1963697
154,2020-08-27,232.54,226.19,242.04,240.39,3950304
155,2020-08-26,248.3,243.78,248.71,247.62,1188381
156,2020-08-25,249.69,247.8,250.88,249.38,1123925
157,2020-08-24,252.37,248.01,253.07,248.56,927086
158,2020-08-21,251.64,249.06,252.86,251.26,1196098
159,2020-08-20,253.75,251.63,255.41,252.44,787992
160,2020-08-19,258.36,254.02,259.52,255.43,1040821
161,2020-08-18,254.97,252.67,258.26,257.25,1826950
162,2020-08-17,252.4,251.53,254.12,253.52,1012448
163,2020-08-14,254.99,250.23,255.73,251.7,1155240
164,2020-08-13,250.48,250.05,256.27,255.76,1076445
165,2020-08-12,249.48,249.48,253.04,250.77,1255900
166,2020-08-11,252.79,248.56,254.03,248.61,1667696
167,2020-08-10,253.0,248.66,253.0,250.32,2565927
168,2020-08-07,253.68,248.61,255.26,249.98,2285299
169,2020-08-06,259.33,249.94,261.23,253.1,2657660
170,2020-08-05,273.28,273.28,277.83,276.33,1099719
171,2020-08-04,275.94,274.45,276.79,275.77,850328
172,2020-08-03,275.88,272.98,277.43,276.57,1246553
173,2020-07-31,267.2,266.4,274.3,274.29,1529843
174,2020-07-30,266.49,263.26,268.24,266.98,941474
175,2020-07-29,266.86,266.86,270.95,269.47,864963
176,2020-07-28,267.67,265.37,268.46,266.16,833531
177,2020-07-27,263.49,262.31,268.77,268.28,957206
178,2020-07-24,265.71,262.26,266.14,265.08,634529
179,2020-07-23,267.23,264.9,269.24,265.88,863040
180,2020-07-22,264.9,264.12,267.87,266.59,1139462
181,2020-07-21,262.97,262.26,269.49,264.51,1483383
182,2020-07-20,261.26,258.39,261.8,261.14,1029255
183,2020-07-17,260.05,257.52,262.35,260.29,1312969
184,2020-07-16,260.21,258.23,261.65,258.41,1319984
185,2020-07-15,258.36,257.49,261.43,260.27,1391875
186,2020-07-14,250.6,250.34,257.19,256.8,1295992
187,2020-07-13,250.87,249.44,255.66,250.96,1376740
188,2020-07-10,251.55,248.39,253.27,250.92,909943
189,2020-07-09,248.86,247.6,253.82,252.13,1814924
190,2020-07-08,245.63,244.93,250.49,246.4,2407117
191,2020-07-07,242.16,241.36,245.95,245.08,1873401
192,2021-01-04,244.71,240.57,245.4,244.42,1148811
193,2020-12-31,241.03,240.58,244.5,243.95,715525
194,2020-12-30,242.38,240.41,243.09,240.5,684477
195,2020-12-29,243.16,241.08,244.47,242.13,838031
196,2020-12-28,242.56,241.09,243.6,241.93,661087
197,2020-12-24,238.76,238.76,243.0,241.78,451290
198,2020-12-23,240.89,238.06,241.03,238.13,943144
199,2020-12-22,241.21,239.08,242.25,239.74,965384
200,2020-12-21,243.11,239.12,244.12,241.65,962734
201,2020-12-18,242.22,240.81,246.88,245.77,2821392
202,2020-12-17,240.27,239.84,243.37,242.47,1202884
203,2020-12-16,238.81,236.18,240.87,239.14,1241857
204,2020-12-15,234.41,233.83,239.44,238.01,1294127
205,2020-12-14,237.36,233.87,240.56,233.99,1268424
206,2020-12-11,235.2,234.03,236.85,236.61,1306892
207,2020-12-10,234.4,234.01,237.21,236.26,1385962
208,2020-12-09,234.02,231.65,234.75,233.95,1349591
209,2020-12-08,229.22,228.73,234.34,234.22,1225663
210,2020-12-07,236.35,229.95,237.48,230.52,1331714
211,2020-12-04,232.51,232.42,236.71,236.68,2421566
212,2020-12-03,235.21,231.54,235.28,232.53,2408261
213,2020-12-02,232.67,232.45,240.32,235.81,2292934
214,2020-12-01,230.2,229.67,232.75,232.67,1725367
215,2020-11-30,224.31,224.21,229.0,228.95,4281953
216,2020-11-27,222.58,220.48,223.75,223.22,870956
217,2020-11-25,224.7,221.09,225.2,221.77,1669983
218,2020-11-24,223.26,221.18,224.0,223.54,2373864
219,2020-11-23,225.97,221.98,227.56,222.75,1534922
220,2020-11-20,226.79,225.27,228.85,226.06,1288157
221,2020-11-19,228.38,226.07,229.59,227.06,1476468
222,2020-11-18,236.11,227.46,236.19,227.62,1908054
223,2020-11-17,235.69,234.44,239.07,236.33,1157979
224,2020-11-16,240.23,235.7,240.32,236.49,1615672
225,2020-11-13,235.42,234.04,238.1,236.72,1921343
226,2020-11-12,236.81,233.14,237.58,234.19,1339456
227,2020-11-11,237.5,234.78,237.81,237.07,1597463
228,2020-11-10,235.0,233.61,237.29,234.28,2221793
229,2020-11-09,240.63,233.88,241.62,234.29,1978746
230,2020-11-06,229.3,228.84,235.57,230.69,1368017
231,2020-11-05,233.99,226.61,238.34,228.77,2227607
232,2020-11-04,234.54,230.73,239.06,230.86,1520942
233,2020-11-03,230.55,229.05,233.68,231.76,1160374
234,2020-11-02,227.76,226.22,231.21,228.91,1063437
235,2020-10-30,226.54,222.11,228.1,225.34,1449471
236,2020-10-29,229.93,225.08,230.82,226.64,1104031
237,2020-10-28,234.08,229.47,235.31,229.98,1087002
238,2020-10-27,236.87,236.33,239.71,238.12,1023627
239,2020-10-26,233.29,232.59,236.79,235.94,1000181
240,2020-10-23,234.8,233.23,236.54,234.26,1010697
241,2020-10-22,229.72,229.58,235.37,235.05,1124288
242,2020-10-21,232.25,227.19,233.01,230.48,1204680
243,2020-10-20,231.96,230.09,232.51,230.34,851893
244,2020-10-19,231.57,230.55,234.72,231.43,1150474
245,2020-10-16,229.9,228.76,233.18,231.05,1082175
246,2020-10-15,226.35,225.7,230.55,229.12,1173550
247,2020-10-14,230.85,227.26,232.87,227.83,945258
248,2020-10-13,231.48,229.5,233.73,230.78,908840
249,2020-10-12,232.11,230.78,234.47,232.39,887257
250,2020-10-09,231.57,228.55,232.16,231.36,1613084
251,2020-10-08,229.86,228.56,231.43,230.29,1036261
252,2020-10-07,230.35,228.18,231.77,229.79,1063747
253,2020-10-06,232.04,229.14,234.3,229.55,1019603
254,2021-04-05,236.31,236.31,240.92,238.95,1255180
255,2021-04-01,237.45,234.54,238.45,235.53,982756
256,2021-03-31,239.03,236.27,239.63,237.06,1206568
257,2021-03-30,239.96,238.0,242.15,239.05,923966
258,2021-03-29,239.51,237.44,242.18,240.95,918783
259,2021-03-26,236.12,233.27,239.19,238.98,1152215
260,2021-03-25,237.54,232.58,237.54,235.67,1233541
261,2021-03-24,233.33,232.78,236.25,235.71,990067
262,2021-03-23,235.9,233.46,235.93,234.24,931111
263,2021-03-22,232.52,232.04,235.63,235.56,1032143
264,2021-03-19,233.93,231.91,235.28,233.03,2629997
265,2021-03-18,232.64,232.06,234.95,233.21,884295
266,2021-03-17,233.25,232.65,234.93,233.36,1192798
267,2021-03-16,235.19,232.68,235.47,233.55,949554
268,2021-03-15,232.42,231.96,234.96,234.73,1127310
269,2021-03-12,233.37,230.39,234.1,232.27,1232047
270,2021-03-11,232.04,230.11,233.72,232.23,2543458
271,2021-03-10,239.03,230.89,239.03,231.93,2165775
272,2021-03-09,240.91,236.63,241.87,236.76,1250035
273,2021-03-08,239.65,237.9,243.38,239.93,1002174
274,2021-03-05,235.78,234.91,241.4,240.27,1134009
275,2021-03-04,235.76,232.48,237.77,234.84,1430319
276,2021-03-03,237.88,235.18,238.4,235.6,1408627
277,2021-03-02,240.93,237.27,240.93,238.6,851122
278,2021-03-01,236.63,235.79,239.97,239.89,1350228
279,2021-02-26,239.94,234.97,241.3,235.11,1580499
280,2021-02-25,240.56,239.25,243.92,240.96,1255383
281,2021-02-24,241.2,238.55,241.92,240.53,1606628
282,2021-02-23,240.68,237.16,242.62,241.49,1755779
283,2021-02-22,241.91,235.79,242.04,239.85,1364641
284,2021-02-19,249.5,241.57,249.64,241.72,2117326
285,2021-02-18,250.28,247.63,251.51,249.41,1453756
286,2021-02-17,250.28,247.91,250.86,250.38,1181124
287,2021-02-16,250.01,248.68,251.35,250.89,1053236
288,2021-02-12,247.4,246.06,250.58,249.9,1165997
