,date,open,low,high,close,volume
0,2020-01-06,66.96,66.81,67.51,67.48,731952
1,2020-01-03,66.85,66.62,67.56,67.34,752839
2,2020-01-02,67.6,66.44,67.67,67.06,1106138
3,2020-04-06,56.98,55.55,57.9899,57.39,1106690
4,2020-04-03,54.15,52.9076,55.66,55.44,903318
5,2020-04-02,52.61,52.2691,55.59,54.64,1442573
6,2020-04-01,52.68,51.03,54.505,53.47,1638961
7,2020-03-31,55.99,54.73,56.79,55.51,2875814
8,2020-03-30,55.32,54.03,57.17,56.63,1611983
9,2020-03-27,53.01,52.59,55.98,54.5,1272894
10,2020-03-26,52.62,51.4801,55.75,55.28,1622208
11,2020-03-25,48.25,46.8,53.06,52.09,1696252
12,2020-03-24,48.05,45.89,49.98,48.97,1235443
13,2020-03-23,48.81,44.68,51.14,46.48,2067759
14,2020-03-20,56.84,48.0,57.13,48.85,2570013
15,2020-03-19,54.44,53.17,59.58,56.51,1607212
16,2020-03-18,55.1,52.07,56.72,54.59,3284922
17,2020-03-17,51.2,49.03,58.4,57.96,2419583
18,2020-03-16,49.91,47.57,52.39,50.52,1621291
19,2020-03-13,52.69,49.88,53.85,53.15,1488944
20,2020-03-12,52.56,49.6,53.58,49.97,2101730
21,2020-03-11,56.52,54.94,57.18,55.73,1133188
22,2020-03-10,59.96,55.59,60.315,57.91,1761905
23,2020-03-09,58.25,52.91,60.06,58.55,2247551
24,2020-03-06,61.06,59.54,62.5,62.25,1694816
25,2020-03-05,62.89,61.14,62.89,61.82,1313617
26,2020-03-04,62.46,60.42,64.66,64.56,1651754
27,2020-03-03,64.59,63.38,67.0,63.81,1612463
28,2020-03-02,61.38,60.955,64.44,64.32,1188653
29,2020-02-28,60.98,59.18,61.58,61.41,2032912
30,2020-02-27,63.37,62.5,64.73,62.5,1467183
31,2020-02-26,66.43,64.24,66.43,64.43,1299173
32,2020-02-25,67.62,66.05,68.2872,66.23,901669
33,2020-02-24,68.32,67.1,68.96,67.66,1031838
34,2020-02-21,71.36,69.85,71.445,70.14,749237
35,2020-02-20,71.09,70.89,71.85,71.55,641466
36,2020-02-19,70.84,70.5604,71.87,71.39,602274
37,2020-02-18,71.27,70.78,71.32,70.8,753772
38,2020-02-14,71.17,71.045,71.83,71.4,350574
39,2020-02-13,70.63,70.18,71.42,71.21,612761
40,2020-02-12,70.53,69.67,71.19,70.69,603439
