,date,open,low,high,close,volume
0,2020-01-06,57.64,57.1,57.79,57.52,1390655
1,2020-01-03,57.36,57.3,57.98,57.94,782400
2,2020-01-02,57.92,57.1,58.19,57.56,574600
3,2020-04-06,38.67,37.96,39.29,38.27,1534000
4,2020-04-03,38.55,36.63,39.08,37.17,1225775
5,2020-04-02,38.34,37.8,39.79,39.08,1592263
6,2020-04-01,39.59,37.53,40.44,38.37,1729400
7,2020-03-31,39.71,39.69,41.46,41.03,1988910
8,2020-03-30,36.51,35.65,40.19,39.59,1772510
9,2020-03-27,36.31,35.15,37.33,36.19,1688631
10,2020-03-26,37.16,36.32,38.8,37.64,1544451
11,2020-03-25,35.56,35.23,38.95,36.63,2054000
12,2020-03-24,34.69,34.12,35.61,35.0,1834407
13,2020-03-23,31.62,30.74,33.79,32.74,2095000
14,2020-03-20,33.41,31.7,35.06,31.78,2263218
15,2020-03-19,30.0,29.0,33.95,32.74,2221510
16,2020-03-18,33.0,29.64,33.5,30.25,2400079
17,2020-03-17,35.02,33.64,36.51,35.29,2583900
18,2020-03-16,35.96,33.32,37.62,33.64,1704822
19,2020-03-13,38.0,36.0,39.39,38.56,1727800
20,2020-03-12,37.48,34.11,38.53,36.15,3126247
21,2020-03-11,42.16,39.32,42.4,39.9,1944291
22,2020-03-10,44.7,40.75,44.78,43.34,1660516
23,2020-03-09,43.93,42.19,45.67,43.58,2266330
24,2020-03-06,47.29,45.88,47.54,46.85,1529805
25,2020-03-05,48.57,47.91,49.1,48.42,1028000
26,2020-03-04,49.32,49.26,50.3,49.71,1650627
27,2020-03-03,48.91,48.04,49.89,48.56,1125211
28,2020-03-02,47.21,47.07,49.19,49.03,1794535
29,2020-02-28,46.68,45.65,47.55,46.95,2186501
30,2020-02-27,49.9,47.51,49.99,47.85,1615500
31,2020-02-26,51.25,50.52,51.94,50.53,1324800
32,2020-02-25,52.92,50.62,52.97,51.02,1263800
33,2020-02-24,52.75,52.22,53.18,53.02,1212001
34,2020-02-21,53.63,53.0,53.86,53.23,579771
35,2020-02-20,53.61,53.17,54.04,53.98,853815
36,2020-02-19,53.79,53.57,54.2,53.76,1077423
37,2020-02-18,54.0,52.95,54.0,53.6,1092349
38,2020-02-14,55.72,54.18,55.72,54.22,1301100
39,2020-02-13,55.15,54.66,56.79,55.77,2246300
40,2020-02-12,56.6,54.84,57.5,55.02,2763800
41,2020-02-11,54.92,54.7,56.31,55.0,1713100
42,2020-02-10,53.82,53.62,55.16,54.67,1519209
43,2020-02-07,53.49,53.12,54.43,54.08,879400
44,2020-02-06,54.64,53.63,55.0,53.64,887746
45,2020-02-05,53.3,53.29,54.65,54.36,919139
46,2020-02-04,53.57,52.8,54.32,52.98,780900
47,2020-02-03,52.69,52.52,53.44,52.99,887700
48,2020-01-31,52.24,51.82,52.43,52.43,978100
49,2020-01-30,51.0,50.91,52.5,52.47,956200
50,2020-01-29,51.67,51.0,51.77,51.05,800700
51,2020-01-28,52.1,51.3,52.38,51.61,1444200
52,2020-01-27,53.61,51.71,53.66,51.84,1383133
53,2020-01-24,55.55,54.12,55.57,54.32,802039
54,2020-01-23,55.57,54.84,55.84,55.6,593644
55,2020-01-22,56.48,55.19,56.49,55.88,822700
56,2020-01-21,56.15,55.72,56.56,56.41,940300
57,2020-01-17,56.32,55.88,56.58,56.06,1316800
58,2020-01-16,55.66,55.41,56.54,56.32,692744
59,2020-01-15,55.55,55.19,56.0,55.38,532000
60,2020-01-14,55.84,55.33,56.16,55.6,674620
61,2020-01-13,55.7,55.45,56.39,55.78,708700
62,2020-01-10,55.91,55.55,56.34,55.66,673305
63,2020-01-09,56.39,55.21,56.54,55.98,799612
64,2020-01-08,57.01,56.14,57.13,56.39,827510
65,2020-01-07,57.55,56.93,57.81,57.04,733457
66,2020-07-06,40.35,39.94,40.74,40.49,1298055
67,2020-07-02,41.1,39.73,41.53,39.78,1555000
68,2020-07-01,41.1,40.04,41.26,40.13,1560943
69,2020-06-30,40.85,40.3,41.37,41.13,1095600
70,2020-06-29,40.56,40.44,41.36,40.81,908000
71,2020-06-26,42.38,40.2,42.38,40.22,2111856
72,2020-06-25,41.29,41.21,42.6,42.52,2062508
73,2020-06-24,40.53,39.7,42.17,41.19,2608113
74,2020-06-23,40.69,40.42,41.57,41.08,1580027
75,2020-06-22,40.66,40.03,40.91,40.39,1071660
76,2020-06-19,42.0,40.63,42.0,40.63,2544500
77,2020-06-18,39.97,39.71,41.36,41.21,1489856
78,2020-06-17,41.07,40.08,41.11,40.41,1124303
79,2020-06-16,41.0,39.97,41.47,41.08,1216237
