,date,open,low,high,close,volume
0,2020-01-06,290.24,288.2009,291.19,290.82,1271039
1,2020-01-03,290.77,290.22,292.68,290.85,700601
2,2020-01-02,299.06,292.28,299.08,294.24,1117205
3,2020-04-06,308.49,300.6,314.14,311.39,3181488
4,2020-04-03,303.7,296.805,311.525,300.51,1422849
5,2020-04-02,290.1,290.0,307.15,304.47,3286691
6,2020-04-01,308.81,290.35,313.462,293.27,2177809
7,2020-03-31,313.48,309.2,319.94,316.38,2869284
8,2020-03-30,300.0,298.08,321.41,316.13,1747331
9,2020-03-27,297.0,294.25,307.14,296.75,1653113
10,2020-03-26,284.74,284.505,306.77,304.94,2270494
11,2020-03-25,274.73,268.13,300.84,284.98,2678911
12,2020-03-24,278.89,269.98,283.26,276.19,3464065
13,2020-03-23,283.35,262.25,288.055,269.19,2695449
14,2020-03-20,288.02,277.81,301.88,278.77,2730104
15,2020-03-19,293.15,283.28,297.48,288.02,2470019
16,2020-03-18,293.71,277.51,306.74,298.68,2767265
17,2020-03-17,285.33,284.135,314.65,305.32,2626160
18,2020-03-16,281.86,273.59,309.35,281.72,3862648
19,2020-03-13,279.14,276.24,306.0,305.21,3641090
20,2020-03-12,280.0,266.01,285.42,268.88,2901039
21,2020-03-11,295.99,291.96,303.36,294.25,1879300
22,2020-03-10,304.49,289.585,308.775,305.63,2378951
23,2020-03-09,301.0,293.7604,306.97,297.19,2149461
24,2020-03-06,308.27,306.17,319.18,317.95,1513179
25,2020-03-05,319.73,315.0,326.45,317.7,1470424
26,2020-03-04,319.29,316.41,328.45,328.45,1752361
27,2020-03-03,320.28,311.87,333.0,315.78,2036116
28,2020-03-02,308.64,307.83,328.23,327.89,2364903
29,2020-02-28,300.23,299.001,310.54,308.39,2396721
30,2020-02-27,324.72,309.63,325.55,310.08,2221502
31,2020-02-26,326.98,323.61,330.93,327.45,1411869
32,2020-02-25,327.2,322.7,330.61,324.11,1831162
33,2020-02-24,331.5,325.42,336.0,325.98,1732708
34,2020-02-21,336.97,334.6,337.82,336.71,923304
35,2020-02-20,342.18,332.5,343.0,336.64,1497864
36,2020-02-19,338.0,335.42,341.77,341.04,1483396
37,2020-02-18,343.66,334.09,344.0,337.1,1515642
38,2020-02-14,334.0,331.83,335.4,333.0,1023247
39,2020-02-13,329.2,329.0,338.875,334.25,1307289
40,2020-02-12,331.66,329.04,334.71,331.76,1603271
41,2020-02-11,338.06,329.72,340.05,332.29,1805994
42,2020-02-10,332.0,330.24,339.56,338.93,1867026
43,2020-02-07,335.39,331.66,340.32,338.7,2207973
44,2020-02-06,338.39,333.5,348.66,337.24,3613625
45,2020-02-05,285.63,279.175,374.99,332.87,10159156
46,2020-02-04,276.4,275.94,285.6,283.29,1684515
47,2020-02-03,270.61,269.76,275.3,272.73,1257840
48,2020-01-31,276.08,267.59,276.28,268.85,1701673
49,2020-01-30,288.12,276.14,288.12,277.53,1601196
50,2020-01-29,282.05,279.66,283.38,282.52,1167396
51,2020-01-28,283.96,280.72,284.285,281.95,1121569
52,2020-01-27,278.14,276.235,282.335,281.14,1405659
53,2020-01-24,284.21,277.32,284.99,278.14,1260633
54,2020-01-23,287.23,281.21,288.08,284.21,1936176
55,2020-01-22,288.17,287.6,290.845,288.1,1571001
56,2020-01-21,286.54,282.756,287.84,287.19,2253524
57,2020-01-17,287.32,284.9,288.0,285.5,1765147
58,2020-01-16,294.49,284.24,294.8,286.14,2800044
59,2020-01-15,298.94,292.41,300.37,293.09,1976036
60,2020-01-14,294.1,291.27,306.35,298.97,2112700
61,2020-01-13,294.81,290.83,295.5,293.9,1401120
62,2020-01-10,294.64,294.36,298.74,296.51,1164465
63,2020-01-09,293.99,292.36,296.57,294.3,966484
64,2020-01-08,288.88,287.81,294.19,292.66,1059043
65,2020-01-07,290.57,287.99,291.84,290.09,1035257
66,2020-07-06,268.04,267.13,270.71,269.8,859462
67,2020-07-02,265.49,264.12,267.98,265.12,943015
68,2020-07-01,266.89,261.87,269.315,264.77,1093832
69,2020-06-30,260.95,260.37,268.47,267.55,1274156
70,2020-06-29,260.84,258.395,263.68,260.35,899311
71,2020-06-26,262.76,257.6,262.99,258.66,2356957
72,2020-06-25,262.42,258.75,263.42,262.63,1271432
73,2020-06-24,266.9,261.79,271.42,263.04,1449153
74,2020-06-23,266.37,265.49,273.01,268.19,1820273
75,2020-06-22,266.5,261.23,267.36,264.29,2195443
76,2020-06-19,261.75,259.8,271.99,271.0,7712797
77,2020-06-18,261.08,258.95,270.19,260.3,6575010
78,2020-06-17,283.6,279.68,285.28,281.46,2070648
79,2020-06-16,282.01,280.22,285.96,282.12,1753280
80,2020-06-15,276.36,272.02,278.99,278.49,2187997
81,2020-06-12,286.06,273.59,286.96,279.27,2041096
82,2020-06-11,293.66,281.2,294.39,283.22,1669775
83,2020-06-10,296.08,291.9,296.81,295.25,1424444
84,2020-06-09,297.0,291.0,297.34,293.74,2045997
85,2020-06-08,304.48,299.13,306.06,301.26,1491208
86,2020-06-05,300.61,298.12,308.27,306.72,1297718
87,2020-06-04,302.99,297.55,303.9554,299.65,1019028
88,2020-06-03,303.04,299.71,304.68,302.6,945551
89,2020-06-02,300.28,300.28,303.92,302.86,946067
90,2020-06-01,305.72,300.7,306.95,301.45,862977
91,2020-05-29,300.98,297.91,307.82,307.09,1917451
92,2020-05-28,302.29,297.86,304.8,300.5,1431003
93,2020-05-27,297.0,291.83,301.5,301.46,1374743
94,2020-05-26,309.07,294.89,309.07,295.87,1663463
95,2020-05-22,304.11,300.8,305.03,304.53,690248
96,2020-05-21,309.76,302.53,311.26,304.46,1100070
97,2020-05-20,311.58,308.185,314.575,309.53,904099
98,2020-05-19,314.67,308.66,316.85,310.08,862168
99,2020-05-18,324.0,315.285,324.0,315.9,1022392
100,2020-05-15,313.49,311.0,317.21,316.6,813737
101,2020-05-14,311.15,311.15,317.78,315.82,1167110
102,2020-05-13,320.9,312.66,327.2,314.96,1795946
103,2020-05-12,329.91,318.89,335.0,319.77,1882440
104,2020-05-11,313.41,313.0,330.13,328.01,1513685
105,2020-05-08,315.49,311.37,317.7,314.02,1126321
106,2020-05-07,308.71,308.51,317.55,314.01,1764508
