,date,open,low,high,close,volume
0,2020-01-06,50.31,50.02,50.75,50.74,3978978
1,2020-01-03,50.26,49.8,50.43,50.27,2276100
2,2020-01-02,50.46,50.22,50.92,50.92,2587200
3,2020-04-06,35.63,34.45,35.72,35.24,6782107
4,2020-04-03,33.46,32.96,34.23,33.75,5085403
5,2020-04-02,32.4,32.07,33.95,33.64,6709735
6,2020-04-01,31.95,31.38,33.1,32.7,7727200
7,2020-03-31,33.56,33.29,34.88,33.68,7049836
8,2020-03-30,32.6,31.72,34.18,34.0,6232210
9,2020-03-27,31.63,31.28,33.53,32.54,5764585
10,2020-03-26,31.93,30.93,33.17,33.0,8442571
11,2020-03-25,31.51,29.51,32.89,31.64,9866701
12,2020-03-24,29.21,29.17,31.59,31.0,9411694
13,2020-03-23,28.81,26.93,28.96,27.49,8555226
14,2020-03-20,30.3,28.87,31.31,29.07,9555948
15,2020-03-19,28.46,27.7,31.32,30.0,7907605
16,2020-03-18,28.06,26.4,29.54,28.76,10176628
17,2020-03-17,30.13,28.19,30.6,29.97,11954602
18,2020-03-16,29.14,29.0,32.62,29.18,9714900
19,2020-03-13,31.75,30.45,34.13,34.13,9089324
20,2020-03-12,31.85,29.4,32.34,29.52,9726587
21,2020-03-11,35.62,33.7,35.92,34.2,8600293
22,2020-03-10,36.51,35.04,36.61,36.55,8741406
23,2020-03-09,34.8,34.2,37.44,34.95,8351900
24,2020-03-06,37.57,37.36,38.74,38.07,9299800
25,2020-03-05,38.56,38.16,40.12,39.3,10984106
26,2020-03-04,39.31,38.65,40.91,40.5,12017480
27,2020-03-03,40.89,38.1,40.94,38.83,14057800
28,2020-03-02,40.03,39.2,40.96,40.96,11490700
29,2020-02-28,39.52,38.54,40.07,39.9,14506949
30,2020-02-27,40.51,40.23,42.82,40.96,11049300
31,2020-02-26,41.82,41.19,42.07,41.37,6741572
32,2020-02-25,43.21,41.33,43.42,41.59,5765100
33,2020-02-24,44.02,42.9,44.12,43.13,5088329
34,2020-02-21,45.51,44.83,45.74,45.04,5058517
35,2020-02-20,45.8,45.6,46.3,45.83,2925869
36,2020-02-19,45.3,45.2,46.01,45.92,3957000
37,2020-02-18,45.8,45.18,46.03,45.29,3253802
38,2020-02-14,46.1,45.69,46.23,45.9,3770824
39,2020-02-13,46.44,45.96,46.6,46.03,2699350
40,2020-02-12,46.81,46.51,47.2,46.56,2631647
41,2020-02-11,46.66,46.31,46.8,46.42,3480600
42,2020-02-10,46.98,46.34,47.06,46.49,3079060
43,2020-02-07,47.23,46.98,47.51,47.25,3867000
44,2020-02-06,47.25,47.06,47.63,47.54,5696917
45,2020-02-05,46.48,46.45,47.2,46.98,5209430
46,2020-02-04,45.84,45.83,46.63,45.95,6870934
47,2020-02-03,45.04,44.92,45.88,45.21,6482200
48,2020-01-31,45.04,44.34,45.19,44.78,6765800
49,2020-01-30,44.16,44.1,45.48,45.4,5153412
50,2020-01-29,45.1,44.28,45.18,44.46,9836000
51,2020-01-28,45.4,44.81,45.43,44.97,8295772
52,2020-01-27,45.17,45.04,45.76,45.05,5940144
53,2020-01-24,46.66,45.54,46.7,45.95,6416428
54,2020-01-23,46.48,46.25,47.44,47.02,5586200
55,2020-01-22,46.92,46.5,47.07,46.73,6344932
56,2020-01-21,46.31,46.23,47.5,46.78,7863205
57,2020-01-17,46.85,45.86,46.96,46.18,12580024
58,2020-01-16,46.75,46.36,47.45,46.72,12395222
59,2020-01-15,50.73,50.37,50.89,50.69,4273620
60,2020-01-14,50.83,50.65,51.21,51.01,3150124
61,2020-01-13,50.67,50.55,50.89,50.88,3557500
62,2020-01-10,51.39,50.42,51.39,50.54,3307800
63,2020-01-09,51.51,51.27,51.6,51.48,2775413
64,2020-01-08,51.45,51.01,51.57,51.31,3941404
65,2020-01-07,50.69,50.69,51.42,51.25,3573860
66,2020-07-06,38.7,38.29,38.96,38.55,3910427
67,2020-07-02,38.32,37.8,38.89,37.94,4114591
68,2020-07-01,38.69,37.43,38.76,37.59,5924000
69,2020-06-30,36.98,36.88,38.88,38.65,8099108
70,2020-06-29,36.85,36.63,37.29,36.95,4300449
71,2020-06-26,37.55,36.04,37.73,36.32,7386900
72,2020-06-25,37.09,36.98,38.24,38.15,7176301
73,2020-06-24,38.22,37.2,38.29,37.23,7383200
74,2020-06-23,39.13,38.69,39.52,38.72,4882725
75,2020-06-22,38.78,38.42,39.15,38.53,3967915
76,2020-06-19,39.35,38.3,39.4,39.23,13322600
77,2020-06-18,38.31,38.2,39.15,38.63,3606355
78,2020-06-17,38.74,38.32,39.37,38.73,4841900
79,2020-06-16,39.72,38.22,39.85,38.72,4984597
80,2020-06-15,37.07,36.85,38.65,38.43,4125304
81,2020-06-12,39.07,37.28,39.27,38.44,6191764
82,2020-06-11,38.34,37.53,39.18,37.68,8338521
83,2020-06-10,41.19,39.81,41.19,39.95,6664600
84,2020-06-09,41.16,40.95,41.77,41.42,4537834
85,2020-06-08,42.88,41.52,43.17,42.29,5488500
86,2020-06-05,42.89,41.61,42.99,42.3,7172142
87,2020-06-04,39.17,38.95,40.45,40.44,5165918
88,2020-06-03,39.06,38.86,39.6,39.34,4371097
89,2020-06-02,38.07,37.94,38.54,38.33,3989125
90,2020-06-01,37.37,37.26,38.09,37.7,2999900
91,2020-05-29,37.05,36.69,37.69,37.17,5766700
92,2020-05-28,39.11,37.57,39.21,37.59,5393368
93,2020-05-27,38.39,37.59,38.93,38.57,7335936
94,2020-05-26,35.69,35.55,37.68,36.89,7954300
95,2020-05-22,35.06,34.3,35.06,34.5,5236437
96,2020-05-21,34.65,34.6,35.23,34.98,5796862
97,2020-05-20,34.06,34.01,34.96,34.84,6587022
98,2020-05-19,33.58,33.11,33.96,33.52,5591341
99,2020-05-18,33.06,32.76,33.95,33.73,6944202
100,2020-05-15,32.06,31.7,32.38,32.06,4121500
101,2020-05-14,31.96,31.24,32.6,32.44,7074549
102,2020-05-13,32.62,31.65,32.73,32.49,6877194
103,2020-05-12,34.58,32.98,34.81,32.99,6567814
104,2020-05-11,34.83,34.39,34.91,34.45,5014820
105,2020-05-08,35.56,34.82,35.62,35.34,4757955
106,2020-05-07,34.98,34.7,35.85,34.85,5595148
107,2020-05-06,35.4,34.49,35.54,34.5,5061543
108,2020-05-05,36.03,35.13,36.18,35.14,3679606
109,2020-05-04,35.65,35.06,35.74,35.54,4139311
110,2020-05-01,36.65,35.85,36.74,36.0,4005294
111,2020-04-30,37.28,36.93,37.72,37.54,4397728
112,2020-04-29,38.39,37.43,38.39,38.02,7790024
113,2020-04-28,38.07,37.32,38.25,37.4,3929104
114,2020-04-27,35.85,35.69,37.23,36.94,5342647
115,2020-04-24,35.75,35.08,36.08,35.76,4132524
116,2020-04-23,35.71,35.1,35.95,35.32,4287700
117,2020-04-22,35.91,35.15,35.91,35.52,4128406
118,2020-04-21,35.33,34.87,36.1,35.21,6780000
119,2020-04-20,36.75,35.9,36.87,36.41,6156106
120,2020-04-17,37.47,36.82,37.78,37.39,8579895
121,2020-04-16,37.24,35.52,37.77,36.14,9772328
122,2020-04-15,34.91,34.43,35.19,34.63,5291500
123,2020-04-14,36.73,35.5,36.95,36.34,5368601
124,2020-04-13,36.98,35.41,37.0,36.0,7002812
125,2020-04-09,36.34,36.17,37.88,37.14,8038605
126,2020-04-08,35.09,34.71,35.9,35.65,5860639
127,2020-04-07,37.18,34.74,37.31,34.8,8191587
128,2020-10-05,35.04,35.01,35.64,35.38,3655500
129,2020-10-02,33.88,33.81,34.95,34.74,5850625
130,2020-10-01,34.46,33.91,34.71,34.17,8063935
131,2020-09-30,33.87,33.87,34.52,34.34,8480000
132,2020-09-29,34.08,33.63,34.16,33.87,4204900
133,2020-09-28,33.97,33.86,34.61,34.29,3291911
134,2020-09-25,32.82,32.65,33.48,33.4,3460907
135,2020-09-24,33.31,32.67,33.43,33.14,3805807
136,2020-09-23,33.61,33.23,34.2,33.25,4213834
137,2020-09-22,33.86,33.05,34.17,33.48,4801718
138,2020-09-21,34.47,33.37,34.82,33.97,4781268
139,2020-09-18,35.45,35.35,35.87,35.4,5827000
140,2020-09-17,35.09,35.05,35.61,35.56,3182053
141,2020-09-16,34.87,34.84,36.16,35.57,6385245
142,2020-09-15,35.7,34.48,35.88,34.87,6877500
143,2020-09-14,36.33,35.86,36.71,35.96,4116401
144,2020-09-11,35.58,35.52,36.23,36.0,3521314
145,2020-09-10,36.04,35.51,36.17,35.57,4037800
146,2020-09-09,36.26,35.84,36.37,35.89,4106800
147,2020-09-08,37.06,35.99,37.2,36.04,4954535
148,2020-09-04,37.64,37.33,38.22,37.5,6450546
149,2020-09-03,37.91,36.49,38.45,36.85,5060900
150,2020-09-02,37.14,37.06,37.79,37.67,3830567
151,2020-09-01,36.8,36.54,37.36,37.21,3136134
152,2020-08-31,37.56,36.78,37.56,36.98,3874600
153,2020-08-28,37.72,37.22,37.72,37.56,3139023
154,2020-08-27,36.62,36.61,37.76,37.55,4594477
