,date,open,low,high,close,volume
0,2020-01-06,2050.0,2035.0,2059.79,2047.4,384040
1,2020-01-03,2042.47,2035.0,2067.69,2065.48,294000
2,2020-01-02,2068.4,2053.22,2077.41,2074.58,329000
3,2020-04-06,1303.28,1292.81,1363.35,1356.68,751605
4,2020-04-03,1244.18,1203.08,1279.16,1230.68,442446
5,2020-04-02,1270.97,1241.22,1334.99,1260.0,574028
6,2020-04-01,1293.81,1248.18,1328.34,1271.63,563068
7,2020-03-31,1303.01,1296.01,1390.39,1345.32,771576
8,2020-03-30,1261.27,1216.98,1321.89,1308.23,600977
9,2020-03-27,1344.87,1253.61,1355.46,1255.15,701507
10,2020-03-26,1380.33,1353.52,1429.48,1406.0,616548
11,2020-03-25,1259.47,1246.95,1449.48,1365.85,998892
12,2020-03-24,1218.62,1200.58,1279.0,1259.47,854000
13,2020-03-23,1166.98,1107.29,1226.14,1152.24,859900
14,2020-03-20,1216.34,1157.41,1299.95,1177.43,1146558
15,2020-03-19,1211.16,1150.0,1236.64,1191.48,980600
16,2020-03-18,1277.86,1165.02,1327.09,1233.75,933400
17,2020-03-17,1309.56,1252.91,1370.52,1368.26,1080433
18,2020-03-16,1275.0,1252.22,1411.83,1289.67,987186
19,2020-03-13,1336.8,1270.87,1421.67,1421.33,1153267
20,2020-03-12,1297.0,1280.0,1369.99,1280.4,1282208
21,2020-03-11,1522.29,1420.56,1528.53,1442.5,829972
22,2020-03-10,1589.95,1499.94,1615.0,1559.0,742033
23,2020-03-09,1483.99,1476.51,1588.67,1527.8,770546
24,2020-03-06,1603.09,1584.0,1684.0,1612.09,1077741
25,2020-03-05,1662.99,1632.58,1680.04,1647.44,788800
26,2020-03-04,1697.15,1671.24,1736.89,1732.13,593630
27,2020-03-03,1726.63,1646.93,1749.99,1683.02,704463
28,2020-03-02,1709.75,1651.76,1732.92,1728.98,869405
29,2020-02-28,1643.64,1634.54,1718.0,1695.66,977187
30,2020-02-27,1612.98,1592.45,1730.0,1659.85,1338011
31,2020-02-26,1731.22,1659.64,1742.94,1678.2,903845
32,2020-02-25,1803.0,1711.01,1811.31,1726.58,958358
33,2020-02-24,1830.93,1777.88,1835.5,1792.54,886060
34,2020-02-21,1965.0,1922.16,1968.1,1928.72,358500
35,2020-02-20,1960.0,1956.39,1987.76,1970.91,359202
36,2020-02-19,1982.76,1962.32,1989.99,1968.49,241349
37,2020-02-18,1972.25,1961.95,1988.19,1976.28,363541
38,2020-02-14,1998.44,1984.66,2024.88,1990.96,535943
39,2020-02-13,1944.0,1929.1,1960.88,1959.94,389065
40,2020-02-12,1923.95,1911.21,1967.0,1960.36,473200
41,2020-02-11,1894.48,1892.62,1918.89,1909.3,408900
42,2020-02-10,1901.69,1883.0,1912.59,1886.64,470217
43,2020-02-07,1950.23,1904.16,1960.0,1909.59,449586
44,2020-02-06,1958.9,1937.01,1972.0,1960.9,412047
45,2020-02-05,1898.7,1882.71,1943.98,1939.29,552467
46,2020-02-04,1857.06,1848.18,1895.5,1864.51,662662
47,2020-02-03,1838.87,1830.05,1858.16,1839.03,634605
48,2020-01-31,1865.93,1820.44,1865.93,1830.55,717933
49,2020-01-30,1871.42,1858.86,1885.51,1872.09,589269
50,2020-01-29,1924.04,1890.09,1933.04,1893.95,445507
51,2020-01-28,1914.67,1900.0,1937.02,1917.45,512932
52,2020-01-27,1906.41,1868.04,1917.9,1908.89,708948
53,2020-01-24,1998.0,1954.74,2000.81,1962.96,580568
54,2020-01-23,1986.24,1975.12,2006.39,1993.2,368553
55,2020-01-22,2004.33,1992.04,2014.24,2000.24,357431
56,2020-01-21,2006.0,1963.87,2014.51,1990.57,711750
57,2020-01-17,2060.0,2046.91,2064.04,2054.69,470801
58,2020-01-16,2073.01,2040.97,2073.01,2054.75,546830
59,2020-01-15,2073.56,2061.38,2083.99,2065.16,309000
60,2020-01-14,2074.6,2067.16,2086.0,2071.48,331704
61,2020-01-13,2090.25,2073.01,2090.25,2080.5,255114
62,2020-01-10,2088.37,2076.94,2094.0,2086.9,198500
63,2020-01-09,2072.0,2072.0,2090.0,2084.29,274027
64,2020-01-08,2066.84,2057.14,2088.66,2062.9,326068
65,2020-01-07,2047.39,2038.54,2072.83,2068.05,346694
66,2020-07-06,1706.19,1680.17,1738.0,1703.76,440880
67,2020-07-02,1690.11,1658.4,1714.09,1669.98,360856
68,2020-07-01,1606.05,1601.14,1670.0,1658.79,538918
69,2020-06-30,1583.9,1566.42,1603.24,1592.34,293677
70,2020-06-29,1567.77,1540.48,1595.3,1593.22,366054
71,2020-06-26,1597.3,1532.83,1611.71,1541.25,601775
72,2020-06-25,1585.81,1561.72,1623.97,1615.39,498677
73,2020-06-24,1660.71,1582.0,1669.77,1610.33,597335
74,2020-06-23,1652.3,1640.0,1678.5,1677.1,363300
75,2020-06-22,1609.74,1593.87,1636.29,1633.52,333900
76,2020-06-19,1654.0,1600.0,1657.49,1626.91,754200
77,2020-06-18,1622.4,1590.93,1658.0,1628.35,546644
78,2020-06-17,1677.92,1626.01,1678.58,1638.24,355080
79,2020-06-16,1716.32,1641.75,1721.85,1673.74,454930
80,2020-06-15,1567.66,1555.01,1664.93,1650.67,409832
81,2020-06-12,1653.57,1572.84,1663.99,1623.92,489400
82,2020-06-11,1655.85,1576.57,1656.76,1588.37,920100
83,2020-06-10,1791.95,1717.72,1793.0,1733.31,536431
84,2020-06-09,1808.07,1770.0,1818.34,1777.97,450467
85,2020-06-08,1846.6,1825.57,1871.97,1840.91,672069
86,2020-06-05,1826.76,1802.85,1853.38,1812.64,1034500
87,2020-06-04,1714.9,1706.0,1749.18,1742.64,502432
88,2020-06-03,1704.03,1694.29,1743.84,1725.97,597668
89,2020-06-02,1690.0,1653.58,1692.05,1655.0,513730
90,2020-06-01,1633.12,1633.12,1684.17,1670.73,491034
91,2020-05-29,1657.0,1618.43,1657.0,1639.42,696825
92,2020-05-28,1695.59,1644.02,1708.0,1648.99,664242
93,2020-05-27,1775.93,1692.61,1788.0,1698.73,1018239
94,2020-05-26,1704.32,1692.11,1764.9,1746.91,1201362
95,2020-05-22,1591.74,1584.65,1637.29,1631.3,574739
96,2020-05-21,1605.0,1575.79,1623.44,1595.68,631917
97,2020-05-20,1578.52,1578.2,1605.74,1599.15,700096
98,2020-05-19,1556.29,1544.16,1598.83,1547.56,828454
99,2020-05-18,1430.0,1430.0,1581.56,1557.43,1322178
100,2020-05-15,1377.01,1372.13,1409.49,1384.31,632646
101,2020-05-14,1348.74,1303.25,1388.94,1382.51,708831
102,2020-05-13,1379.34,1336.32,1388.92,1366.07,781040
103,2020-05-12,1401.09,1385.11,1413.98,1385.92,507213
104,2020-05-11,1427.02,1403.12,1428.97,1411.0,564798
105,2020-05-08,1440.99,1366.1,1444.25,1430.83,877664
106,2020-05-07,1392.26,1382.0,1448.59,1443.91,655632
107,2020-05-06,1397.46,1356.0,1416.36,1378.91,526761
108,2020-05-05,1443.25,1383.86,1446.36,1393.2,425900
109,2020-05-04,1415.73,1388.51,1445.32,1413.3,471400
110,2020-05-01,1442.75,1415.31,1460.3,1448.79,458530
111,2020-04-30,1514.53,1464.78,1520.42,1480.57,451163
112,2020-04-29,1487.83,1473.3,1527.73,1520.53,703085
113,2020-04-28,1434.2,1410.8,1463.65,1439.32,613504
114,2020-04-27,1374.93,1371.04,1411.24,1402.99,456942
115,2020-04-24,1372.39,1338.66,1374.58,1362.77,334500
116,2020-04-23,1354.05,1350.79,1388.99,1360.0,372904
117,2020-04-22,1365.01,1342.0,1379.99,1355.0,356738
118,2020-04-21,1382.81,1317.4,1387.74,1342.22,652732
119,2020-04-20,1462.05,1410.0,1470.0,1411.63,459200
120,2020-04-17,1469.0,1450.19,1484.66,1470.87,691300
121,2020-04-16,1432.35,1391.02,1432.35,1407.4,488402
122,2020-04-15,1407.84,1390.67,1440.0,1424.61,452836
123,2020-04-14,1460.09,1424.0,1469.96,1449.42,579147
124,2020-04-13,1413.19,1368.39,1428.01,1421.01,404405
125,2020-04-09,1424.76,1403.0,1450.0,1420.64,1032857
126,2020-04-08,1382.65,1360.01,1428.72,1372.06,781037
127,2020-04-07,1412.01,1366.79,1495.0,1376.37,783524
128,2020-10-05,1705.28,1662.47,1720.47,1706.79,317000
129,2020-10-02,1698.99,1684.03,1720.0,1710.71,269900
130,2020-10-01,1735.54,1730.0,1750.0,1742.98,339523
131,2020-09-30,1682.64,1679.0,1729.79,1710.68,326110
132,2020-09-29,1700.15,1670.41,1712.27,1672.98,228590
133,2020-09-28,1694.99,1671.25,1729.25,1700.4,296300
134,2020-09-25,1635.0,1612.0,1660.74,1657.77,302629
135,2020-09-24,1617.28,1601.01,1680.35,1650.57,394142
136,2020-09-23,1692.1,1633.74,1693.09,1638.47,289084
137,2020-09-22,1659.22,1625.0,1679.34,1674.0,434029
138,2020-09-21,1676.2,1632.17,1688.09,1652.39,656113
139,2020-09-18,1791.16,1720.0,1794.52,1732.28,629354
140,2020-09-17,1783.19,1756.49,1805.84,1787.21,480610
141,2020-09-16,1800.0,1787.9,1837.83,1806.66,382341
142,2020-09-15,1797.41,1785.0,1817.74,1787.0,268000
143,2020-09-14,1803.0,1774.6,1805.45,1784.59,377208
144,2020-09-11,1813.52,1769.98,1835.02,1783.74,383115
145,2020-09-10,1871.0,1811.74,1901.9,1816.59,342025
146,2020-09-09,1887.55,1823.4,1910.08,1871.07,460900
147,2020-09-08,1886.86,1882.94,1930.08,1891.6,346975
148,2020-09-04,1947.97,1906.08,1962.6,1917.74,379300
149,2020-09-03,1952.15,1909.89,1966.22,1945.45,428324
150,2020-09-02,1940.0,1895.65,1955.4,1948.73,335300
151,2020-09-01,1905.13,1899.73,1937.0,1928.86,316036
