,date,open,low,high,close,volume
0,2020-01-06,25.72,25.46,25.79,25.52,4248600
1,2020-01-03,25.95,25.36,25.99,25.64,3125797
2,2020-01-02,25.68,25.34,25.73,25.61,4714900
3,2020-04-06,11.27,10.8,11.85,11.75,7939400
4,2020-04-03,10.68,10.25,10.87,10.4,7730300
5,2020-04-02,10.17,9.9,11.21,10.36,8703719
6,2020-04-01,10.09,9.44,10.1,9.8,9627870
7,2020-03-31,11.16,10.3,11.32,10.5,10750039
8,2020-03-30,11.52,10.67,11.79,10.96,11667755
9,2020-03-27,11.78,11.55,12.18,11.88,6679100
10,2020-03-26,11.78,11.53,12.63,12.4,5351065
11,2020-03-25,11.47,10.52,12.38,11.62,5693500
12,2020-03-24,9.67,9.67,11.35,11.25,9503329
13,2020-03-23,10.11,9.12,10.14,9.33,9820113
14,2020-03-20,10.19,9.6,10.62,10.0,12003131
15,2020-03-19,9.77,9.19,10.89,10.14,9060500
16,2020-03-18,10.14,9.18,10.92,9.7,12774020
17,2020-03-17,11.87,10.69,12.03,11.25,12478616
18,2020-03-16,11.07,10.01,12.53,11.61,14284834
19,2020-03-13,11.83,10.9,12.73,12.73,9728900
20,2020-03-12,11.6,10.58,12.07,10.7,11141067
21,2020-03-11,13.16,12.28,13.32,12.71,10754687
22,2020-03-10,13.28,12.37,13.84,13.76,11374600
23,2020-03-09,13.33,12.25,14.75,12.5,20122947
24,2020-03-06,16.34,15.96,16.62,16.08,14904900
25,2020-03-05,16.66,16.52,17.0,16.96,9556403
26,2020-03-04,16.81,16.6,17.3,17.28,8520500
27,2020-03-03,17.14,16.2,17.4,16.53,9925014
28,2020-03-02,16.39,15.89,17.19,17.17,10606608
29,2020-02-28,16.03,15.71,16.4,16.09,28759031
30,2020-02-27,17.39,16.67,17.6,16.67,10552829
31,2020-02-26,18.78,17.67,18.78,17.76,11815239
32,2020-02-25,19.69,18.56,19.7,18.62,8797807
33,2020-02-24,19.73,19.17,19.77,19.48,8661116
34,2020-02-21,20.46,20.07,20.57,20.53,5956200
35,2020-02-20,20.7,20.5,20.96,20.66,5011090
36,2020-02-19,21.11,20.67,21.15,20.81,6735141
37,2020-02-18,21.56,20.82,21.64,20.91,6982744
38,2020-02-14,22.06,21.78,22.18,21.98,2657700
39,2020-02-13,22.11,21.97,22.21,22.08,3625028
40,2020-02-12,22.42,21.91,22.59,22.16,6027900
41,2020-02-11,22.49,22.11,22.58,22.14,4126710
42,2020-02-10,22.26,22.03,22.36,22.15,3184000
43,2020-02-07,21.98,21.88,22.55,22.45,4115912
44,2020-02-06,21.96,21.85,22.33,22.23,4529100
45,2020-02-05,21.69,21.56,21.97,21.85,4678483
46,2020-02-04,21.82,21.2,22.04,21.31,6352515
47,2020-02-03,21.57,21.43,21.84,21.51,4837012
48,2020-01-31,21.73,21.38,21.81,21.66,5341301
49,2020-01-30,21.19,21.12,22.36,22.35,7351147
50,2020-01-29,22.06,21.38,22.23,21.48,5450375
51,2020-01-28,22.1,21.84,22.34,21.9,5238802
52,2020-01-27,21.57,21.52,22.46,22.05,5917013
53,2020-01-24,22.85,22.55,23.05,22.86,5023600
54,2020-01-23,22.36,22.31,23.15,22.96,7188500
55,2020-01-22,22.84,21.84,23.36,22.68,8477900
56,2020-01-21,23.48,22.68,23.51,22.73,9750500
57,2020-01-17,23.43,23.4,23.85,23.61,5454800
58,2020-01-16,23.38,23.34,23.72,23.51,5742700
59,2020-01-15,23.79,23.21,23.95,23.32,4815400
60,2020-01-14,24.0,23.71,24.09,24.02,7147100
61,2020-01-13,24.83,24.31,24.83,24.41,6227506
62,2020-01-10,24.96,24.73,25.0,24.86,3548700
63,2020-01-09,24.86,24.54,25.1,25.04,3452886
64,2020-01-08,25.02,24.73,25.27,24.77,5871700
65,2020-01-07,25.26,24.31,25.46,25.09,5494039
66,2020-07-06,15.73,15.29,16.01,15.51,6061846
67,2020-07-02,15.74,15.38,16.09,15.41,7851300
68,2020-07-01,15.6,15.27,15.97,15.41,8576047
69,2020-06-30,14.66,14.64,15.49,15.39,4992000
70,2020-06-29,14.76,14.5,15.07,14.85,6746749
71,2020-06-26,14.87,14.49,14.94,14.7,6852936
72,2020-06-25,14.22,14.11,14.97,14.95,6040500
73,2020-06-24,15.25,14.07,15.27,14.31,6794747
74,2020-06-23,15.59,15.45,15.83,15.54,12063107
75,2020-06-22,15.32,15.22,15.59,15.35,8578024
76,2020-06-19,16.68,15.38,16.68,15.49,14872700
77,2020-06-18,15.94,15.74,16.3,16.11,7564300
78,2020-06-17,16.78,16.04,16.9,16.1,7883100
79,2020-06-16,17.26,16.45,17.39,16.84,6417710
80,2020-06-15,15.09,15.08,16.55,16.35,7040400
81,2020-06-12,16.42,15.48,16.71,15.94,5858540
82,2020-06-11,15.95,15.51,16.52,15.63,7459200
83,2020-06-10,18.19,17.26,18.39,17.26,6661429
84,2020-06-09,18.34,18.01,18.72,18.67,7092625
85,2020-06-08,18.9,18.53,19.3,19.06,9745200
86,2020-06-05,18.2,17.54,18.27,17.75,9735956
87,2020-06-04,17.18,16.88,17.49,17.15,6776113
88,2020-06-03,17.62,17.32,17.68,17.33,4609969
89,2020-06-02,16.38,16.38,17.3,17.11,5434325
90,2020-06-01,16.5,16.23,16.74,16.33,4898730
91,2020-05-29,16.21,16.03,16.73,16.51,11857827
92,2020-05-28,16.63,16.24,16.66,16.39,5900474
93,2020-05-27,16.29,15.9,16.56,16.56,4719247
94,2020-05-26,15.65,15.6,16.17,16.01,4190426
95,2020-05-22,15.1,14.76,15.2,15.12,3346200
96,2020-05-21,15.73,15.05,15.73,15.42,3607100
97,2020-05-20,14.98,14.74,15.72,15.61,4473424
98,2020-05-19,15.03,14.49,15.17,14.51,4844132
99,2020-05-18,14.56,14.34,15.49,15.34,4993014
100,2020-05-15,13.92,13.71,14.49,13.76,5540400
