,date,open,low,high,close,volume
0,2020-01-06,25.48,25.09,25.77,25.74,1297004
1,2020-01-03,25.0,24.9622,25.46,25.22,1019293
2,2020-01-02,25.59,25.07,25.65,25.41,1151452
3,2020-04-06,11.65,11.445,12.9,12.81,1616079
4,2020-04-03,11.48,10.575,11.78,10.91,1638254
5,2020-04-02,11.3,10.91,11.64,11.54,1674201
6,2020-04-01,11.525,11.23,12.065,11.48,1885879
7,2020-03-31,12.77,12.02,13.1,12.23,1951109
8,2020-03-30,13.3,12.51,13.44,12.86,1427980
9,2020-03-27,13.4,12.75,13.695,13.33,1529481
10,2020-03-26,14.96,13.76,15.74,14.18,2057937
11,2020-03-25,14.12,13.55,15.5,14.63,2087501
12,2020-03-24,12.0,11.94,13.8,13.72,1725341
13,2020-03-23,11.5,10.66,11.88,11.12,2038139
14,2020-03-20,12.37,11.25,12.66,11.4,3607435
15,2020-03-19,10.5,9.79,12.12,12.01,2262129
16,2020-03-18,10.29,9.67,10.85,10.65,2741551
17,2020-03-17,12.19,10.11,12.5,11.29,2906059
18,2020-03-16,9.8,9.0,14.29,12.2,2843438
19,2020-03-13,15.35,14.605,16.48,15.9,2590722
20,2020-03-12,17.08,14.71,17.84,14.76,2978546
21,2020-03-11,19.79,18.84,20.29,19.11,2156472
22,2020-03-10,19.84,19.18,20.75,20.67,2458041
23,2020-03-09,20.43,18.74,20.6747,18.97,2120348
24,2020-03-06,23.53,21.41,23.7039,22.08,1861297
25,2020-03-05,24.83,24.11,25.23,24.47,1555112
26,2020-03-04,24.26,24.07,25.8,25.64,1689807
27,2020-03-03,24.09,23.37,24.79,23.72,1710915
28,2020-03-02,23.24,22.82,24.19,24.17,1877506
29,2020-02-28,22.17,22.01,23.47,22.71,2870662
30,2020-02-27,22.71,22.41,24.2,22.99,1946327
31,2020-02-26,24.71,23.245,24.75,23.27,2013917
32,2020-02-25,26.79,24.66,26.79,24.72,2502320
33,2020-02-24,26.3,25.82,27.39,26.7,1739389
34,2020-02-21,26.43,24.35,28.3001,26.69,3923305
35,2020-02-20,27.95,27.5941,28.43,28.18,1857911
36,2020-02-19,27.49,27.49,28.38,27.96,1339901
37,2020-02-18,27.15,26.88,27.52,27.27,963003
38,2020-02-14,27.53,26.94,27.8418,27.19,1200969
39,2020-02-13,26.64,26.5725,27.82,27.7,1807900
40,2020-02-12,25.67,25.6368,26.76,26.68,1428363
41,2020-02-11,25.17,25.08,25.69,25.61,1572659
42,2020-02-10,24.48,24.46,25.145,25.11,957521
43,2020-02-07,25.06,24.355,25.19,24.525,721183
44,2020-02-06,26.15,25.1,26.26,25.105,986572
45,2020-02-05,25.68,25.4518,26.22,26.1,1141407
46,2020-02-04,24.95,24.63,25.27,25.06,977591
47,2020-02-03,24.95,24.56,25.29,24.645,1507520
48,2020-01-31,26.01,24.55,26.21,24.795,1676459
49,2020-01-30,26.2,25.8,26.43,26.08,616166
50,2020-01-29,27.07,26.06,27.135,26.36,706039
51,2020-01-28,26.54,26.5,27.105,26.99,815061
52,2020-01-27,25.79,25.65,26.74,26.475,1419612
53,2020-01-24,27.01,26.14,27.22,26.35,785296
54,2020-01-23,26.94,26.53,27.13,26.92,1395814
