,date,open,low,high,close,volume
0,2020-01-06,500.17,498.51,504.77,504.0,411307
1,2020-01-03,501.72,501.52,506.7,503.57,337321
2,2020-01-02,510.0,504.92,510.0,508.98,560400
3,2020-04-06,442.01,433.4,452.98,449.52,957936
4,2020-04-03,426.71,411.03,432.98,418.07,612653
5,2020-04-02,408.18,406.19,433.87,426.53,649308
6,2020-04-01,418.11,401.9,424.5,409.54,1163700
7,2020-03-31,451.89,436.99,458.63,439.97,1390256
8,2020-03-30,438.0,434.51,456.25,455.35,1177358
9,2020-03-27,428.54,421.12,449.48,434.34,1044200
10,2020-03-26,408.06,405.57,454.5,451.9,1598329
11,2020-03-25,384.9,377.0,439.99,401.38,1951000
12,2020-03-24,349.3,346.29,373.06,371.7,1319600
13,2020-03-23,354.72,326.28,354.72,327.42,1422874
14,2020-03-20,401.01,350.96,402.4,354.72,1363213
15,2020-03-19,367.29,351.3,415.15,397.36,1593700
16,2020-03-18,357.17,323.98,374.57,373.36,1969554
17,2020-03-17,366.21,355.39,398.24,386.76,1609700
18,2020-03-16,368.44,354.01,376.57,357.28,1569371
19,2020-03-13,415.11,388.0,419.24,413.78,1579445
20,2020-03-12,398.38,383.43,420.0,386.22,1669907
21,2020-03-11,445.0,422.17,447.99,430.97,1263679
22,2020-03-10,441.33,434.23,459.02,459.0,1608337
23,2020-03-09,411.39,405.15,436.1,419.01,1478230
24,2020-03-06,452.04,440.52,458.96,450.41,1460371
25,2020-03-05,477.37,464.58,482.4,472.47,1022212
26,2020-03-04,488.09,479.3,497.77,495.31,1175004
27,2020-03-03,488.34,476.18,503.98,482.07,1589823
28,2020-03-02,467.14,461.57,488.18,487.94,1278217
29,2020-02-28,459.25,449.02,465.41,463.01,2039371
30,2020-02-27,495.64,475.78,500.86,475.82,1286083
31,2020-02-26,508.17,505.49,517.96,508.47,959697
32,2020-02-25,530.26,502.47,531.13,506.0,1064637
33,2020-02-24,536.05,527.65,541.31,528.0,1063898
34,2020-02-21,563.41,555.0,564.85,557.0,494200
35,2020-02-20,570.0,560.62,572.95,566.92,475404
36,2020-02-19,567.98,566.19,573.0,572.07,383200
